,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,5230000000.0,4326000000.0,904000000.0,322000000.0,455000000.0,267000000.0,0.6000000000000001,870000000.0,455000000.0,443000000.0,1101000000.0,5096000000.0,3880000000.0,10835000000.0,16319000000.0,27154000000.0,1248000000.0,4496000000.0,3844000000.0,5240000000.0,9736000000.0,17418000000.0,415000000.0,386000000.0,-396000000.0,-396000000.0,-66000000.0,100000000.0,46.41
2013-06-30,5487000000.0,4591000000.0,896000000.0,329000000.0,436000000.0,240000000.0,0.54,860000000.0,436000000.0,443000000.0,1123000000.0,5197000000.0,3838000000.0,10930000000.0,16420000000.0,27350000000.0,1068000000.0,4508000000.0,3841000000.0,5215000000.0,9723000000.0,17627000000.0,424000000.0,692000000.0,-462000000.0,-466000000.0,-66000000.0,-203000000.0,46.13
2013-09-30,5787000000.0,4750000000.0,1037000000.0,319000000.0,576000000.0,341000000.0,0.77,999000000.0,576000000.0,444000000.0,1368000000.0,5343000000.0,3960000000.0,11507000000.0,16567000000.0,28074000000.0,737000000.0,4699000000.0,3838000000.0,5382000000.0,10081000000.0,17993000000.0,423000000.0,1080000000.0,-418000000.0,-442000000.0,-68000000.0,-396000000.0,49.1
2013-12-31,5860000000.0,4886000000.0,974000000.0,336000000.0,482000000.0,248000000.0,0.56,918000000.0,482000000.0,443000000.0,1399000000.0,5138000000.0,3884000000.0,11295000000.0,16639000000.0,27934000000.0,499000000.0,4578000000.0,3882000000.0,5444000000.0,10022000000.0,17912000000.0,436000000.0,1003000000.0,-354000000.0,-359000000.0,-67000000.0,-604000000.0,55.26
2014-03-31,5731000000.0,4720000000.0,1011000000.0,316000000.0,552000000.0,328000000.0,0.75,989000000.0,552000000.0,439000000.0,1200000000.0,5267000000.0,3995000000.0,11266000000.0,16630000000.0,27896000000.0,625000000.0,4526000000.0,3878000000.0,5369000000.0,9895000000.0,18001000000.0,437000000.0,303000000.0,-339000000.0,-364000000.0,-66000000.0,-138000000.0,65.02
2014-06-30,5935000000.0,4745000000.0,1190000000.0,338000000.0,631000000.0,353000000.0,0.81,1085000000.0,631000000.0,437000000.0,1163000000.0,5361000000.0,4075000000.0,11547000000.0,16730000000.0,28277000000.0,657000000.0,4595000000.0,3900000000.0,5431000000.0,10026000000.0,18251000000.0,454000000.0,393000000.0,-321000000.0,-322000000.0,-65000000.0,-107000000.0,74.45
2014-09-30,6250000000.0,5107000000.0,1143000000.0,323000000.0,661000000.0,375000000.0,0.86,1116000000.0,661000000.0,436000000.0,1209000000.0,5539000000.0,4150000000.0,11811000000.0,16831000000.0,28642000000.0,519000000.0,4962000000.0,3894000000.0,5396000000.0,10358000000.0,18284000000.0,455000000.0,1058000000.0,-333000000.0,-620000000.0,-74000000.0,-389000000.0,65.06
2014-12-31,6635000000.0,5174000000.0,1461000000.0,356000000.0,1015000000.0,663000000.0,1.53,1483000000.0,1015000000.0,437000000.0,1740000000.0,5418000000.0,4074000000.0,12045000000.0,16782000000.0,28827000000.0,220000000.0,4637000000.0,3913000000.0,5460000000.0,10097000000.0,18730000000.0,468000000.0,1199000000.0,-361000000.0,-353000000.0,-74000000.0,-305000000.0,56.07
2015-03-31,4594000000.0,4342000000.0,252000000.0,287000000.0,-774000000.0,-589000000.0,-1.35,-314000000.0,-774000000.0,437000000.0,1606000000.0,4455000000.0,3843000000.0,10705000000.0,16221000000.0,26926000000.0,149000000.0,3733000000.0,3906000000.0,5280000000.0,9013000000.0,17913000000.0,460000000.0,256000000.0,-234000000.0,-237000000.0,-75000000.0,-146000000.0,63.58
2015-06-30,3968000000.0,3584000000.0,384000000.0,264000000.0,-144000000.0,-188000000.0,-0.43,290000000.0,-144000000.0,438000000.0,1973000000.0,3684000000.0,3535000000.0,9938000000.0,16080000000.0,26018000000.0,139000000.0,3114000000.0,3904000000.0,5107000000.0,8221000000.0,17797000000.0,434000000.0,581000000.0,-168000000.0,-176000000.0,-73000000.0,-41000000.0,61.7
