,Revenue,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,2449000000.0,2449000000.0,1236000000.0,909000000.0,632000000.0,3.69,993000000.0,909000000.0,171302000.0,4232000000.0,2618000000.0,6850000000.0,193888000000.0,200738000000.0,0.0,2259000000.0,28958000000.0,172848000000.0,175107000000.0,25631000000.0,84000000.0,190000000.0,-18000000.0,31000000.0,-309000000.0,-805000000.0,256.88
2013-06-30,2482000000.0,2482000000.0,1329000000.0,849000000.0,729000000.0,4.27,933000000.0,849000000.0,170648700.0,3793000000.0,2249000000.0,6042000000.0,187703000000.0,193745000000.0,0.0,2219000000.0,26509000000.0,165771000000.0,167990000000.0,25755000000.0,84000000.0,1140000000.0,-28000000.0,-21000000.0,-286000000.0,-1388000000.0,256.85
2013-09-30,2472000000.0,2472000000.0,1200000000.0,966000000.0,730000000.0,4.3,1051000000.0,966000000.0,169811600.0,4080000000.0,4311000000.0,8391000000.0,204326000000.0,212717000000.0,0.0,4644000000.0,28968000000.0,181928000000.0,186572000000.0,26145000000.0,85000000.0,1146000000.0,-14000000.0,-285000000.0,-287000000.0,-619000000.0,270.62
2013-12-31,2777000000.0,2777000000.0,1335000000.0,1133000000.0,841000000.0,4.98,1223000000.0,1133000000.0,170186000.0,4551000000.0,2247000000.0,6798000000.0,213075000000.0,219873000000.0,0.0,2831000000.0,29096000000.0,190426000000.0,193257000000.0,26616000000.0,90000000.0,1166000000.0,-34000000.0,-208000000.0,-286000000.0,-580000000.0,316.47
2014-03-31,2670000000.0,2670000000.0,1295000000.0,1051000000.0,756000000.0,4.47,1139000000.0,1051000000.0,169081400.0,4585000000.0,2868000000.0,7453000000.0,208844000000.0,216297000000.0,0.0,2283000000.0,25942000000.0,187401000000.0,189684000000.0,26613000000.0,88000000.0,-206000000.0,-15000000.0,133000000.0,-366000000.0,64000000.0,314.48
2014-06-30,2778000000.0,2778000000.0,1325000000.0,1122000000.0,808000000.0,4.79,1208000000.0,1122000000.0,168712200.0,5497000000.0,4207000000.0,9704000000.0,221989000000.0,231693000000.0,0.0,4323000000.0,32689000000.0,200351000000.0,204674000000.0,27019000000.0,86000000.0,738000000.0,-19000000.0,-39000000.0,-326000000.0,3000000.0,319.6
2014-09-30,2849000000.0,2849000000.0,1349000000.0,1157000000.0,917000000.0,5.46,1241000000.0,1157000000.0,167933000.0,6324000000.0,2631000000.0,8955000000.0,213857000000.0,222812000000.0,0.0,3230000000.0,29792000000.0,192347000000.0,195577000000.0,27235000000.0,84000000.0,1284000000.0,-6000000.0,163000000.0,-324000000.0,-336000000.0,328.32
2014-12-31,2784000000.0,2784000000.0,1313000000.0,1144000000.0,813000000.0,4.86,1220000000.0,1144000000.0,168225200.0,6001000000.0,2120000000.0,8121000000.0,231671000000.0,239792000000.0,0.0,2900000000.0,41965000000.0,209407000000.0,212307000000.0,27485000000.0,76000000.0,1271000000.0,-26000000.0,-18000000.0,-322000000.0,-1592000000.0,357.56
2015-03-31,2723000000.0,2723000000.0,1320000000.0,1067000000.0,822000000.0,4.92,1143000000.0,1067000000.0,167089000.0,4572000000.0,2836000000.0,7408000000.0,235306000000.0,242714000000.0,0.0,2398000000.0,44269000000.0,212840000000.0,215238000000.0,27476000000.0,76000000.0,-509000000.0,-98000000.0,-128000000.0,-389000000.0,-716000000.0,365.84
2015-06-30,2905000000.0,2905000000.0,1324000000.0,1238000000.0,819000000.0,4.92,1315000000.0,1238000000.0,166616600.0,4971000000.0,2347000000.0,7318000000.0,229690000000.0,237008000000.0,0.0,2421000000.0,37384000000.0,206715000000.0,209136000000.0,27872000000.0,77000000.0,1005000000.0,-36000000.0,23000000.0,-364000000.0,-475000000.0,345.98
