,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,3831000000.0,1063000000.0,2768000000.0,1183000000.0,674000000.0,609000000.0,0.37,887000000.0,674000000.0,1638000000.0,2533000000.0,3308000000.0,1791000000.0,10076000000.0,25882000000.0,35958000000.0,1372000000.0,8414000000.0,6522000000.0,13845000000.0,22259000000.0,13699000000.0,213000000.0,-428000000.0,-115000000.0,161000000.0,-580000000.0,-44000000.0,41.19
2013-06-30,4048000000.0,1108000000.0,2940000000.0,1260000000.0,530000000.0,536000000.0,0.33,719000000.0,530000000.0,1644000000.0,2799000000.0,3406000000.0,1785000000.0,10486000000.0,25766000000.0,36252000000.0,764000000.0,8354000000.0,6442000000.0,13525000000.0,21879000000.0,14373000000.0,189000000.0,1510000000.0,-98000000.0,57000000.0,-575000000.0,-1115000000.0,44.69
2013-09-30,4065000000.0,1175000000.0,2890000000.0,1174000000.0,818000000.0,692000000.0,0.42,998000000.0,818000000.0,1646000000.0,2722000000.0,3673000000.0,1640000000.0,10627000000.0,26177000000.0,36804000000.0,680000000.0,8279000000.0,6532000000.0,13811000000.0,22090000000.0,14714000000.0,180000000.0,1053000000.0,-124000000.0,-475000000.0,-577000000.0,-620000000.0,46.28
2013-12-31,4441000000.0,1273000000.0,3168000000.0,1322000000.0,869000000.0,726000000.0,0.44,1050000000.0,869000000.0,1644000000.0,4525000000.0,3360000000.0,1498000000.0,18916000000.0,19676000000.0,38592000000.0,359000000.0,12440000000.0,7981000000.0,10916000000.0,23356000000.0,15236000000.0,181000000.0,1410000000.0,-200000000.0,-315000000.0,-577000000.0,711000000.0,53.15
2014-03-31,3811000000.0,968000000.0,2843000000.0,1120000000.0,985000000.0,937000000.0,0.5700000000000001,1202000000.0,985000000.0,1652000000.0,7059000000.0,3316000000.0,1655000000.0,14014000000.0,19410000000.0,33424000000.0,281000000.0,7521000000.0,7367000000.0,10372000000.0,17893000000.0,15531000000.0,217000000.0,617000000.0,-118000000.0,2212000000.0,-605000000.0,-1192000000.0,51.95
2014-06-30,3889000000.0,991000000.0,2898000000.0,1138000000.0,448000000.0,333000000.0,0.2,483000000.0,448000000.0,1657000000.0,7175000000.0,3315000000.0,1666000000.0,14062000000.0,19441000000.0,33503000000.0,365000000.0,7798000000.0,7372000000.0,10326000000.0,18124000000.0,15379000000.0,35000000.0,1056000000.0,-110000000.0,-1511000000.0,-598000000.0,-486000000.0,48.51
2014-09-30,3921000000.0,1007000000.0,2914000000.0,1200000000.0,1008000000.0,721000000.0,0.43,1120000000.0,1008000000.0,1658000000.0,7221000000.0,3321000000.0,1565000000.0,14177000000.0,19273000000.0,33450000000.0,401000000.0,8103000000.0,7267000000.0,10146000000.0,18249000000.0,15201000000.0,112000000.0,903000000.0,-107000000.0,164000000.0,-597000000.0,-528000000.0,51.18
2014-12-31,4258000000.0,966000000.0,3292000000.0,1364000000.0,-60000000.0,13000000.0,0.01,43000000.0,-60000000.0,1657000000.0,7435000000.0,3390000000.0,1560000000.0,14608000000.0,19141000000.0,33749000000.0,590000000.0,8461000000.0,7242000000.0,10305000000.0,18766000000.0,14983000000.0,103000000.0,572000000.0,-191000000.0,351000000.0,-598000000.0,-231000000.0,59.03
2015-03-31,4041000000.0,847000000.0,3194000000.0,1029000000.0,1448000000.0,1186000000.0,0.71,1552000000.0,1448000000.0,1663000000.0,7607000000.0,3458000000.0,1437000000.0,14925000000.0,18654000000.0,33579000000.0,330000000.0,7689000000.0,7127000000.0,10201000000.0,17890000000.0,15689000000.0,104000000.0,626000000.0,-136000000.0,754000000.0,-623000000.0,-682000000.0,64.5
2015-06-30,4163000000.0,1013000000.0,3150000000.0,1135000000.0,52000000.0,-130000000.0,-0.08,143000000.0,52000000.0,1667000000.0,5476000000.0,3672000000.0,1304000000.0,13056000000.0,18898000000.0,31954000000.0,755000000.0,7435000000.0,6615000000.0,9228000000.0,16663000000.0,15291000000.0,91000000.0,71000000.0,-165000000.0,-1280000000.0,-619000000.0,-883000000.0,66.54
2015-09-30,4069000000.0,1097000000.0,2972000000.0,1176000000.0,987000000.0,706000000.0,0.42,1092000000.0,987000000.0,1668000000.0,5413000000.0,3908000000.0,1130000000.0,12926000000.0,18853000000.0,31779000000.0,642000000.0,7158000000.0,6632000000.0,9348000000.0,16506000000.0,15273000000.0,105000000.0,524000000.0,-234000000.0,-62000000.0,-617000000.0,-700000000.0,59.2
2015-12-31,4287000000.0,952000000.0,3335000000.0,1501000000.0,-410000000.0,-197000000.0,-0.08,-334000000.0,-410000000.0,1667000000.0,4270000000.0,4299000000.0,1221000000.0,10415000000.0,21333000000.0,31748000000.0,139000000.0,8017000000.0,6550000000.0,9307000000.0,17324000000.0,14424000000.0,76000000.0,884000000.0,-285000000.0,-984000000.0,-618000000.0,-1359000000.0,68.79
