,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,335012000.0,159498000.0,175514000.0,3850000.0,99491000.0,58823000.0,0.21,123803000.0,103475000.0,281592000.0,526974000.0,303882000.0,830856000.0,2399504000.0,3230360000.0,93000.0,617314100.0,450000000.0,753790000.0,1371104000.0,1859256000.0,20328000.0,137021000.0,-2704000.0,-1809000.0,-12953000.0,-14827000.0,16.02
2013-06-30,325792000.0,163514000.0,162278000.0,3623000.0,86221000.0,50850000.0,0.18,110602000.0,90218000.0,281672000.0,596063000.0,310486000.0,906549000.0,2419771000.0,3326320000.0,33000.0,661815000.0,450000000.0,762447000.0,1424262000.0,1902058000.0,20384000.0,84864000.0,-3906000.0,-23206000.0,-12959000.0,-16339000.0,16.12
2013-09-30,359310000.0,180528000.0,178782000.0,7431000.0,95455000.0,56123000.0,0.2,121914000.0,99590000.0,282278000.0,418280000.0,365705000.0,783985000.0,2770803000.0,3554788000.0,100000000.0,861789000.0,380000000.0,728215000.0,1590004000.0,1964784000.0,22324000.0,88019000.0,-3976000.0,-328432000.0,-13101000.0,25853000.0,16.05
2013-12-31,343165100.0,179460000.0,163705100.0,7699000.0,76442000.0,45870000.0,0.16,103147000.0,80766000.0,282066000.0,452961000.0,395915000.0,848876000.0,2800632000.0,3649508000.0,100000000.0,906877000.0,380000000.0,735490000.0,1642367000.0,2007141000.0,22381000.0,79470000.0,106000.0,-27185000.0,-14533000.0,-20298000.0,15.69
2014-03-31,363594000.0,184110000.0,179484000.0,7515000.0,86837000.0,51039000.0,0.185,113425000.0,90909000.0,283220000.0,502889000.0,404471000.0,907360000.0,2766929000.0,3674289000.0,0.0,792492000.0,480000000.0,828937000.0,1621429000.0,2052860000.0,22516000.0,67145000.0,-3898000.0,-5254000.0,-14546000.0,-14826000.0,15.38
2014-06-30,397764000.0,196397000.0,201367000.0,5994000.0,101781000.0,60224000.0,0.22,134650000.0,108785000.0,282500000.0,609461000.0,461222000.0,1070683000.0,3859789000.0,4930472000.0,6609000.0,1270618000.0,1168125000.0,1578340000.0,2848958000.0,2081514000.0,25865000.0,110457000.0,-5472000.0,-698997000.0,-14496000.0,647630000.0,15.35
2014-09-30,421418000.0,203126000.0,218292000.0,5640000.0,112685000.0,66650000.0,0.23500000000000001,147422000.0,119983000.0,281830000.0,657938000.0,415495000.0,1073433000.0,3872315000.0,4945748000.0,38750000.0,1263026000.0,1159682000.0,1577427000.0,2840453000.0,2105295000.0,27439000.0,107748000.0,-7427000.0,-7451000.0,-14505000.0,-27312000.0,16.08
2014-12-31,393020000.0,227479000.0,165541100.0,0.0,38446100.0,23797000.0,0.085,76542100.0,48480000.0,281888000.0,729817000.0,437575000.0,1167392000.0,3789066000.0,4956458000.0,45625000.0,1269153000.0,1152846000.0,1573560000.0,2842713000.0,2113745000.0,28062000.0,99669000.0,5505000.0,4389000.0,-15787000.0,-16102000.0,16.45
2015-03-31,404298000.0,211662000.0,192636000.0,0.0,93778000.0,55588000.0,0.2,130866000.0,103629000.0,278720000.0,625540000.0,444247000.0,1069787000.0,3769155000.0,4838942000.0,27500000.0,1209447000.0,1146010000.0,1568033000.0,2777480000.0,2061462000.0,27237000.0,50702000.0,-15000.0,-34803000.0,-15785000.0,-145216000.0,16.56
2015-06-30,419447000.0,217601000.0,201846000.0,0.0,100914000.0,59566000.0,0.215,137899000.0,110585000.0,275036000.0,658500000.0,494786000.0,1153286000.0,3867551000.0,5020837000.0,34375000.0,1328339000.0,1132300000.0,1579444000.0,2907783000.0,2113054000.0,27314000.0,176682000.0,-4584000.0,-75765000.0,-15495000.0,-29041000.0,16.43
