,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,576700000.0,426200000.0,150500000.0,79000000.0,67700000.0,43400000.0,0.36,90300000.0,67700000.0,121200000.0,182200000.0,412200000.0,0.0,711300000.0,1210600000.0,1921900000.0,0.0,449200000.0,524500000.0,701700000.0,1150900000.0,771000000.0,22600000.0,-1200000.0,-13200000.0,-16600000.0,-21900000.0,-57500000.0,24.84
2013-06-30,865100200.0,564000100.0,301100000.0,94500000.0,202200000.0,134600000.0,1.12,224700000.0,202199900.0,121900000.0,266000000.0,442400000.0,0.0,807000000.0,1211200000.0,2018200000.0,0.0,469500000.0,524500000.0,732700000.0,1202200000.0,816000000.0,22500000.0,198600000.0,-8500000.0,-16400000.0,-21600000.0,-97500000.0,26.58
2013-09-30,545200000.0,397500000.0,147700000.0,73500000.0,69300000.0,44400000.0,0.37,92300000.0,69300000.0,119100000.0,183100000.0,372200000.0,0.0,656600000.0,1250600000.0,1907200000.0,0.0,338100000.0,524000000.0,731100000.0,1069200000.0,838000000.0,23000000.0,-5400000.0,-10500000.0,-51000000.0,-21500000.0,-27300000.0,31.75
2013-12-31,520600000.0,385100000.0,135500000.0,86000000.0,42700000.0,27600000.0,0.23,66100000.0,42700000.0,119200000.0,240300000.0,336000000.0,0.0,687200000.0,1251800000.0,1939000000.0,0.0,343900000.0,524100000.0,737600000.0,1081500000.0,857500000.0,23400000.0,96300000.0,-13200000.0,-17500000.0,-25000000.0,-23000000.0,39.52
2014-03-31,606300000.0,427600000.0,178700000.0,95600000.0,76900000.0,50800000.0,0.42,102300000.0,76900000.0,119700000.0,244400000.0,426300000.0,0.0,814200000.0,1315700000.0,2129900000.0,0.0,493700000.0,524100000.0,737300000.0,1231000000.0,898900000.0,25400000.0,96500000.0,-9100000.0,-72300000.0,-25000000.0,-19100000.0,37.14
2014-06-30,885900000.0,551200100.0,334699900.0,123300000.0,229300000.0,140200000.0,1.16,254900000.0,229300000.0,119600000.0,347600000.0,424800000.0,0.0,880600000.0,1311500000.0,2192100000.0,0.0,484400000.0,524100000.0,746000000.0,1230400000.0,961700000.0,25600000.0,200300000.0,-7500000.0,-9500000.0,-25200000.0,-89500000.0,41.64
2014-09-30,555800000.0,406500000.0,149300000.0,92200000.0,57100000.0,32500000.0,0.27,82400000.0,57100000.0,119800000.0,331300000.0,361100000.0,0.0,775600000.0,1303000000.0,2078600000.0,0.0,364000000.0,524200000.0,743600000.0,1107600000.0,971000000.0,25300000.0,17100000.0,-6000000.0,-9200000.0,-25200000.0,-21600000.0,41.63
2014-12-31,574600000.0,414000000.0,160600000.0,101500000.0,59100000.0,34700000.0,0.29,84600000.0,59100000.0,120200000.0,314100000.0,366600000.0,0.0,780400000.0,1319400000.0,2099800000.0,0.0,359700000.0,524300000.0,757400000.0,1117100000.0,982700000.0,25500000.0,53700000.0,-7900000.0,-41700000.0,-32400000.0,-22800000.0,46.18
2015-03-31,634200000.0,452600000.0,181600000.0,92600000.0,89000000.0,54000000.0,0.45,115600000.0,89000000.0,120600000.0,310100000.0,486400000.0,0.0,932000000.0,1349200000.0,2281200000.0,0.0,530700000.0,629300000.0,851799900.0,1382500000.0,898700000.0,26600000.0,85800000.0,-9000000.0,-50100000.0,-32500000.0,-26900000.0,55.01
2015-06-30,929600000.0,555100000.0,374500100.0,112800000.0,261700000.0,165900000.0,1.3900000000000001,288599900.0,261700000.0,119900000.0,324100000.0,444500000.0,0.0,861400000.0,1506700000.0,2368100000.0,0.0,508900000.0,689400000.0,931400000.0,1440300000.0,927800000.0,26900000.0,274800000.0,-43100000.0,-175400000.0,-32200000.0,-87000000.0,50.01
