,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1761000000.0,578000000.0,1183000000.0,672000000.0,-330000000.0,-354000000.0,-0.26,-330000000.0,-330000000.0,1351900000.0,268000000.0,1232000000.0,851000000.0,3102000000.0,13661000000.0,16763000000.0,4000000.0,1636000000.0,4250000000.0,8624000000.0,10260000000.0,6503000000.0,0.0,187000000.0,0.0,-11000000.0,0.0,-114000000.0,7.8100000000000005
2013-06-30,1809000000.0,530000000.0,1279000000.0,708000000.0,220000000.0,130000000.0,0.1,220000000.0,220000000.0,1343500000.0,530000000.0,1278000000.0,842000000.0,3498000000.0,13498000000.0,16996000000.0,605000000.0,2477000000.0,3647000000.0,7916000000.0,10393000000.0,6603000000.0,0.0,397000000.0,-51000000.0,-28000000.0,0.0,-107000000.0,9.27
2013-09-30,1735000000.0,510000000.0,1225000000.0,686000000.0,103000000.0,-5000000.0,0.0,103000000.0,103000000.0,1340300000.0,571000000.0,1238000000.0,895000000.0,3525000000.0,13392000000.0,16917000000.0,3000000.0,1902000000.0,4246000000.0,8452000000.0,10354000000.0,6563000000.0,0.0,251000000.0,-57000000.0,-73000000.0,0.0,-138000000.0,11.74
2013-12-31,1838000000.0,556000000.0,1282000000.0,748000000.0,127000000.0,108000000.0,0.08,127000000.0,127000000.0,1341200000.0,217000000.0,1307000000.0,897000000.0,3011000000.0,13560000000.0,16571000000.0,3000000.0,1824000000.0,4237000000.0,8208000000.0,10032000000.0,6539000000.0,1165000000.0,275000000.0,-84000000.0,-363000000.0,0.0,-265000000.0,12.02
2014-03-31,1774000000.0,537000000.0,1237000000.0,706000000.0,197000000.0,133000000.0,0.1,197000000.0,197000000.0,1321700000.0,191000000.0,1217000000.0,926000000.0,2936000000.0,13399000000.0,16335000000.0,4000000.0,1719000000.0,4245000000.0,8082000000.0,9801000000.0,6534000000.0,0.0,198000000.0,-59000000.0,-65000000.0,0.0,-160000000.0,13.52
2014-06-30,1873000000.0,563000000.0,1310000000.0,768000000.0,-69000000.0,4000000.0,0.0,-69000000.0,-69000000.0,1323200000.0,357000000.0,1287000000.0,949000000.0,3214000000.0,13263000000.0,16477000000.0,3000000.0,1773000000.0,4252000000.0,8160000000.0,9933000000.0,6544000000.0,0.0,285000000.0,-65000000.0,-124000000.0,0.0,6000000.0,12.77
2014-09-30,1846000000.0,550000000.0,1296000000.0,762000000.0,64000000.0,43000000.0,0.03,64000000.0,64000000.0,1325500000.0,246000000.0,1233000000.0,989000000.0,3175000000.0,13543000000.0,16718000000.0,3000000.0,1820000000.0,4249000000.0,8197000000.0,10017000000.0,6701000000.0,0.0,346000000.0,-56000000.0,-473000000.0,0.0,18000000.0,11.81
2014-12-31,1887000000.0,560000000.0,1327000000.0,777000000.0,-493000000.0,-299000000.0,0.07,-493000000.0,-493000000.0,1324300000.0,587000000.0,1183000000.0,946000000.0,3606000000.0,13418000000.0,17024000000.0,403000000.0,2846000000.0,3841000000.0,7721000000.0,10567000000.0,6457000000.0,920000000.0,440000000.0,-79000000.0,-83000000.0,0.0,-14000000.0,13.25
2015-03-31,1768000000.0,520000000.0,1248000000.0,685000000.0,24000000.0,-1000000.0,0.0,24000000.0,24000000.0,1333700000.0,242000000.0,1161000000.0,958000000.0,3189000000.0,13283000000.0,16472000000.0,423000000.0,2463000000.0,3845000000.0,7508000000.0,9971000000.0,6501000000.0,0.0,-197000000.0,-46000000.0,-51000000.0,0.0,-94000000.0,17.75
2015-06-30,1843000000.0,540000000.0,1303000000.0,718000000.0,219000000.0,102000000.0,0.08,219000000.0,219000000.0,1341300000.0,903000000.0,1195000000.0,968000000.0,3773000000.0,13350000000.0,17123000000.0,43000000.0,1937000000.0,5069000000.0,8606000000.0,10543000000.0,6580000000.0,0.0,60000000.0,-46000000.0,-246000000.0,0.0,846000000.0,17.7
2015-09-30,1888000000.0,539000000.0,1349000000.0,746000000.0,-299000000.0,-198000000.0,-0.15,-299000000.0,-299000000.0,1344000000.0,350000000.0,1274000000.0,1086000000.0,3462000000.0,14753000000.0,18215000000.0,63000000.0,2238000000.0,5796000000.0,9567000000.0,11805000000.0,6410000000.0,0.0,408000000.0,-70000000.0,-1719000000.0,0.0,761000000.0,16.41
2015-12-31,1978000000.0,574000000.0,1404000000.0,794000000.0,-227000000.0,-142000000.0,-0.11,-227000000.0,-227000000.0,1341200000.0,319000000.0,1275000000.0,1016000000.0,3471000000.0,14662000000.0,18133000000.0,3000000.0,2430000000.0,5674000000.0,9383000000.0,11813000000.0,6320000000.0,788000000.0,420000000.0,-85000000.0,-170000000.0,0.0,-237000000.0,18.44
2016-03-31,1964000000.0,573000000.0,1391000000.0,735000000.0,293000000.0,202000000.0,0.15,293000000.0,293000000.0,1350400000.0,338000000.0,1291000000.0,1022000000.0,3164000000.0,14554000000.0,17718000000.0,253000000.0,2608000000.0,5424000000.0,8653000000.0,11261000000.0,6457000000.0,0.0,116000000.0,-30000000.0,-48000000.0,0.0,-51000000.0,18.81
2016-06-30,2126000000.0,639000000.0,1487000000.0,799000000.0,-334000000.0,-207000000.0,-0.15,-334000000.0,-334000000.0,1357400000.0,438000000.0,1387000000.0,981000000.0,3330000000.0,14508000000.0,17838000000.0,254000000.0,3182000000.0,5173000000.0,8436000000.0,11618000000.0,6220000000.0,0.0,421000000.0,-79000000.0,-102000000.0,0.0,-217000000.0,23.37
2016-09-30,2105000000.0,594000000.0,1511000000.0,792000000.0,348000000.0,228000000.0,0.17,348000000.0,348000000.0,1360600000.0,237000000.0,1385000000.0,998000000.0,3181000000.0,14516000000.0,17697000000.0,254000000.0,3016000000.0,5171000000.0,8199000000.0,11215000000.0,6482000000.0,0.0,-31000000.0,-71000000.0,-205000000.0,0.0,34000000.0,23.8
2016-12-31,2191000000.0,618000000.0,1573000000.0,852000000.0,140000000.0,124000000.0,0.09,140000000.0,140000000.0,1357600000.0,196000000.0,1472000000.0,955000000.0,3239000000.0,14857000000.0,18096000000.0,64000000.0,3587000000.0,5420000000.0,7776000000.0,11363000000.0,6733000000.0,826000000.0,676000000.0,-167000000.0,-532000000.0,0.0,28000000.0,21.63
2017-03-31,2160000000.0,650000000.0,1510000000.0,811000000.0,364000000.0,290000000.0,0.21,364000000.0,364000000.0,1365400000.0,156000000.0,1429000000.0,971000000.0,3026000000.0,14917000000.0,17943000000.0,5000000.0,3490000000.0,5509000000.0,7400000000.0,10890000000.0,7053000000.0,0.0,-7000000.0,-112000000.0,-140000000.0,0.0,-15000000.0,24.87
2017-06-30,2257000000.0,632000000.0,1625000000.0,832000000.0,225000000.0,146000000.0,0.11,225000000.0,225000000.0,1369800000.0,195000000.0,1444000000.0,1023000000.0,3222000000.0,15160000000.0,18382000000.0,1018000000.0,4300000000.0,4817000000.0,6847000000.0,11147000000.0,7235000000.0,0.0,297000000.0,-68000000.0,-479000000.0,0.0,332000000.0,27.72
2017-09-30,2222000000.0,637000000.0,1585000000.0,816000000.0,377000000.0,283000000.0,0.21,377000000.0,377000000.0,1372000000.0,210000000.0,1470000000.0,1077000000.0,3478000000.0,15158000000.0,18636000000.0,1266000000.0,4828000000.0,4416000000.0,6220000000.0,11048000000.0,7588000000.0,0.0,452000000.0,-60000000.0,-102000000.0,0.0,-139000000.0,29.17
2017-12-31,2409000000.0,674000000.0,1735000000.0,903000000.0,319000000.0,-615000000.0,-0.45,319000000.0,319000000.0,1370100000.0,188000000.0,1548000000.0,1078000000.0,3822000000.0,15220000000.0,19042000000.0,1801000000.0,5654000000.0,3815000000.0,6376000000.0,12030000000.0,7012000000.0,848000000.0,684000000.0,-79000000.0,-289000000.0,0.0,-68000000.0,24.79
2018-03-31,2379000000.0,672000000.0,1707000000.0,878000000.0,408000000.0,298000000.0,0.22,408000000.0,408000000.0,1376500000.0,287000000.0,1580000000.0,1113000000.0,4080000000.0,15122000000.0,19202000000.0,962000000.0,4988000000.0,4803000000.0,7185000000.0,12172000000.0,7030000000.0,0.0,193000000.0,-60000000.0,-173000000.0,0.0,130000000.0,27.32
2018-06-30,2490000000.0,739000000.0,1751000000.0,903000000.0,391000000.0,555000000.0,0.4,391000000.0,391000000.0,1380500000.0,208000000.0,1587000000.0,1087000000.0,3929000000.0,15687000000.0,19615000000.0,1685000000.0,4753000000.0,4808000000.0,7117000000.0,11871000000.0,7744000000.0,0.0,-403000000.0,-74000000.0,-491000000.0,0.0,726000000.0,32.7
2018-09-30,2393000000.0,672000000.0,1721000000.0,887000000.0,389000000.0,432000000.0,0.31,389000000.0,389000000.0,1382800000.0,168000000.0,1580000000.0,1134000000.0,3971000000.0,16409000000.0,20379000000.0,1820000000.0,5082000000.0,4806000000.0,7008000000.0,12090000000.0,8289000000.0,0.0,501000000.0,-76000000.0,-662000000.0,0.0,151000000.0,38.5
