,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1851100000.0,1476400000.0,374700000.0,159300000.0,198499900.0,142000000.0,0.61,273399900.0,198499900.0,230372000.0,695400000.0,1318400000.0,449500000.0,2601500000.0,3927400000.0,6528900000.0,0.0,1583200000.0,971400000.0,1784100000.0,3367300000.0,3161600000.0,74900000.0,16300000.0,-87400000.0,-73600000.0,-9000000.0,59700000.0,38.67
2013-06-30,1893900000.0,1497300000.0,396600000.0,155600000.0,243400000.0,174100000.0,0.75,319400000.0,243400000.0,229496000.0,817000000.0,1339700000.0,439200000.0,2736900000.0,3968500000.0,6705400000.0,0.0,1716600000.0,913300000.0,1732800000.0,3449400000.0,3256000000.0,76000000.0,283700000.0,-107400000.0,-105500000.0,0.0,-61900000.0,43.08
2013-09-30,1806200000.0,1426600000.0,379600000.0,157700000.0,225600000.0,166800000.0,0.725,297200000.0,225600000.0,227638000.0,920400000.0,1347500000.0,454700000.0,2906200000.0,4058100000.0,6964300000.0,0.0,1674700000.0,1018600000.0,1854900000.0,3529600000.0,3434700000.0,71600000.0,214800000.0,-103100000.0,-96000000.0,-30200000.0,-57000000.0,50.69
2013-12-31,1885401000.0,1478800000.0,406600600.0,167100000.0,187700300.0,141400000.0,0.62,264600300.0,187699800.0,228600000.0,939500000.0,1248500000.0,458100000.0,2798500000.0,4118500000.0,6917000000.0,0.0,1623900000.0,1021000000.0,1660700000.0,3284600000.0,3632400000.0,76900000.0,204000000.0,-119900000.0,-109700000.0,-30900000.0,-76200000.0,55.91
2014-03-31,2084100000.0,1638300000.0,445800000.0,173800000.0,233200000.0,159100000.0,0.6900000000000001,313300000.0,233200000.0,227430000.0,808100000.0,1546100000.0,516900000.0,3021300000.0,4336500000.0,7357800000.0,0.0,1910900000.0,1027600000.0,1709600000.0,3620500000.0,3737300000.0,80100000.0,46400000.0,-126200000.0,-231100000.0,-42400000.0,56000000.0,61.47
2014-06-30,2197000000.0,1724200000.0,472800000.0,181200000.0,280600100.0,190200000.0,0.8300000000000001,365700100.0,280600100.0,227678000.0,771400000.0,1571700000.0,528000000.0,3037300000.0,4419700000.0,7457000000.0,0.0,2170700000.0,704200000.0,1392600000.0,3563300000.0,3893700000.0,85100000.0,279800000.0,-131100000.0,-130600000.0,-33200000.0,-185100000.0,65.19
2014-09-30,2032100000.0,1607600000.0,424500000.0,174500000.0,237700000.0,166600000.0,0.73,319499900.0,237700000.0,227077000.0,782800000.0,1466100000.0,531800000.0,2951800000.0,4330500000.0,7282300000.0,0.0,2122800000.0,705800000.0,1359300000.0,3482100000.0,3800200000.0,81800000.0,220000000.0,-140600000.0,-139400000.0,-31600000.0,-20400000.0,52.61
2014-12-31,1991899000.0,1578600000.0,413299300.0,169400000.0,212199500.0,139900000.0,0.61,295599500.0,212199700.0,227150000.0,797800000.0,1443500000.0,505700000.0,2970800000.0,4257200000.0,7228000000.0,0.0,2168200000.0,716300000.0,1368900000.0,3537100000.0,3690900000.0,83400000.0,255600000.0,-165100000.0,-164000000.0,-30000000.0,-52200000.0,54.95
2015-03-31,1984200000.0,1555200000.0,429000000.0,168200000.0,259600100.0,178900000.0,0.79,336700100.0,259600100.0,225796000.0,1035500000.0,1564700000.0,506300000.0,3325400000.0,4197200000.0,7522600000.0,0.0,1601500000.0,1730600000.0,2358600000.0,3960100000.0,3562500000.0,77100000.0,32700000.0,-140000000.0,-151800000.0,-45300000.0,416800000.0,60.48
2015-06-30,2031900000.0,1602900000.0,429000000.0,167400000.0,242500000.0,148100000.0,0.65,323400000.0,242500000.0,225353000.0,1107900000.0,1573000000.0,525700000.0,3401400000.0,4364900000.0,7766300000.0,0.0,1635600000.0,1731700000.0,2379200000.0,4014800000.0,3751500000.0,80900000.0,286600000.0,-145000000.0,-143300000.0,-31500000.0,-94700000.0,56.84
2015-09-30,1884000000.0,1485800000.0,398200000.0,148000000.0,237100000.0,157400000.0,0.7000000000000001,315400000.0,237100000.0,224837000.0,1033300000.0,1551500000.0,523100000.0,3301000000.0,4386100000.0,7687100000.0,0.0,1539800000.0,1734500000.0,2359400000.0,3899200000.0,3787900000.0,78300000.0,150900000.0,-133800000.0,-132900000.0,-29500000.0,-82600000.0,41.59
2015-12-31,2123100000.0,1676200000.0,446900400.0,178400000.0,149100100.0,92800000.0,0.56,233000100.0,149100200.0,224414000.0,577700000.0,1665000000.0,723600000.0,3135200000.0,5690500000.0,8825700000.0,0.0,2357200000.0,2108900000.0,2837000000.0,5194200000.0,3631500000.0,83900000.0,397700000.0,-158500000.0,-1331100000.0,-10400000.0,497100000.0,43.23
2016-03-31,2268600000.0,1804300000.0,464300000.0,188400000.0,264200100.0,164100000.0,0.75,358600100.0,264200100.0,217388000.0,392300000.0,1861200000.0,756300000.0,3182400000.0,5758300000.0,8940700000.0,0.0,2310400000.0,2131900000.0,2869200000.0,5179600000.0,3761100000.0,94400000.0,34400000.0,-103200000.0,-103200000.0,-28200000.0,-124800000.0,38.4
2016-06-30,2329200000.0,1832500000.0,496700000.0,202300000.0,269399900.0,164400000.0,0.76,368399900.0,269399900.0,215735000.0,495000000.0,1806900000.0,744600000.0,3206900000.0,5781700000.0,8988600000.0,0.0,2399800000.0,2119500000.0,2832700000.0,5232500000.0,3756100000.0,99000000.0,327800000.0,-125700000.0,-125700000.0,-28000000.0,-86100000.0,29.52
2016-09-30,2214200000.0,1743100000.0,471100000.0,209700000.0,150300000.0,83300000.0,0.39,248100100.0,150300000.0,212872000.0,518700000.0,1764000000.0,687200000.0,3289200000.0,5718100000.0,9007300000.0,0.0,2445100000.0,2089900000.0,2771500000.0,5216600000.0,3790700000.0,97800000.0,230900000.0,-118900000.0,-113500000.0,-27600000.0,-99200000.0,35.18
2016-12-31,2259000000.0,1762400000.0,496599900.0,217600000.0,289299700.0,183200000.0,-1.3900000000000001,389499700.0,289300200.0,214374000.0,443700000.0,1689300000.0,641200000.0,2911600000.0,5923100000.0,8834700000.0,0.0,2091800000.0,2043600000.0,3441000000.0,5532800000.0,3301900000.0,100200000.0,442600000.0,-152800000.0,-61800000.0,-29600000.0,-423700000.0,39.44
2017-03-31,2407000000.0,1890700000.0,516300000.0,219000000.0,291500000.0,189200000.0,0.89,388800000.0,291500000.0,211596000.0,358400000.0,1934300000.0,656900000.0,3107300000.0,5976400000.0,9083700000.0,0.0,2151200000.0,2040300000.0,3452800000.0,5604000000.0,3479700000.0,97300000.0,60300000.0,-131200000.0,-132700000.0,-29700000.0,-15800000.0,41.79
2017-06-30,2389700000.0,1876800000.0,512899900.0,215100000.0,298099900.0,212000000.0,1.0,397899800.0,298099900.0,210572000.0,387100000.0,1939300000.0,701400000.0,3193200000.0,6095300000.0,9288500000.0,0.0,2106100000.0,2077900000.0,3490500000.0,5596600000.0,3691900000.0,99800000.0,338900000.0,-122000000.0,-122500000.0,-29400000.0,-198500000.0,42.36
2017-09-30,2416200000.0,1894600000.0,521600000.0,225000000.0,274599900.0,184900000.0,0.88,379499800.0,274599900.0,209803000.0,414300000.0,2046100000.0,773400000.0,3401100000.0,6415100000.0,9816200000.0,0.0,2381200000.0,2091900000.0,3518700000.0,5899900000.0,3916300000.0,104900000.0,224700000.0,-134900000.0,-315500000.0,-29400000.0,108100000.0,51.23
2017-12-31,2586100000.0,2021900000.0,564199700.0,239900000.0,207799800.0,-146100000.0,-0.7000000000000001,313799800.0,207800300.0,210400000.0,545300000.0,2018900000.0,766300000.0,3543200000.0,6244400000.0,9787600000.0,0.0,2425200000.0,2103700000.0,3536500000.0,5961700000.0,3825900000.0,106000000.0,556100000.0,-171900000.0,-181300000.0,-65500000.0,-256800000.0,51.09
2018-03-31,2784000000.0,2193000000.0,591000000.0,253000000.0,333000000.0,225000000.0,1.07,442000000.0,333000000.0,209500000.0,409700000.0,2247100000.0,800400000.0,3697800000.0,6337000000.0,10034800000.0,0.0,2436600000.0,2131500000.0,3582400000.0,6019000000.0,4015800000.0,109000000.0,35000000.0,-160000000.0,-161000000.0,-36000000.0,-3000000.0,50.23
2018-06-30,2694000000.0,2114000000.0,580000000.0,237000000.0,313000000.0,272000000.0,1.3,422000000.0,313000000.0,208600000.0,361900000.0,2131000000.0,800200000.0,3543700000.0,6233500000.0,9777200000.0,0.0,2236300000.0,2102500000.0,3486900000.0,5723200000.0,4054000000.0,109000000.0,270000000.0,-109000000.0,-106000000.0,-60000000.0,-212000000.0,43.16
2018-09-30,2478000000.0,1963000000.0,515000000.0,230000000.0,278000000.0,204000000.0,0.98,386000000.0,278000000.0,207500000.0,361800000.0,2061100000.0,810300000.0,3490600000.0,6225800000.0,9716400000.0,0.0,2099600000.0,2085600000.0,3446600000.0,5546200000.0,4170200000.0,108000000.0,251000000.0,-120000000.0,-126000000.0,-10000000.0,-108000000.0,42.78
2018-12-31,2574000000.0,2030000000.0,544000000.0,226000000.0,266000000.0,230000000.0,1.11,371000000.0,266000000.0,208200000.0,739000000.0,1988000000.0,781000000.0,3805000000.0,6290000000.0,10095000000.0,0.0,2399000000.0,1941000000.0,3351000000.0,5750000000.0,4345000000.0,105000000.0,570000000.0,-157000000.0,-121000000.0,-71000000.0,-60000000.0,34.74
2019-03-31,2566000000.0,2047000000.0,519000000.0,226000000.0,264000000.0,160000000.0,0.77,371000000.0,264000000.0,206500000.0,517000000.0,2065000000.0,807000000.0,3719000000.0,6385000000.0,10104000000.0,0.0,2299000000.0,1923000000.0,3420000000.0,5719000000.0,4385000000.0,107000000.0,40000000.0,-116000000.0,-104000000.0,-57000000.0,-153000000.0,38.41
2019-06-30,2551000000.0,2038000000.0,513000000.0,212000000.0,285000000.0,172000000.0,0.8300000000000001,392000000.0,285000000.0,205700000.0,710000000.0,2063000000.0,817000000.0,3849000000.0,6382000000.0,10231000000.0,0.0,2313000000.0,1929000000.0,3416000000.0,5729000000.0,4502000000.0,107000000.0,427000000.0,-128000000.0,-173000000.0,-37000000.0,-65000000.0,41.98
2019-09-30,2492000000.0,1968000000.0,524000000.0,230000000.0,276000000.0,194000000.0,0.9400000000000001,386000000.0,276000000.0,205300000.0,916000000.0,1983000000.0,810000000.0,3987000000.0,6212000000.0,10199000000.0,0.0,2525000000.0,1656000000.0,3096000000.0,5621000000.0,4578000000.0,110000000.0,357000000.0,-98000000.0,-103000000.0,-34000000.0,-30000000.0,36.68
2019-12-31,2559000000.0,2014000000.0,545000000.0,205000000.0,478000000.0,220000000.0,1.06,593000000.0,478000000.0,205700000.0,832000000.0,1921000000.0,807000000.0,3836000000.0,5866000000.0,9702000000.0,304000000.0,2329000000.0,1674000000.0,2529000000.0,4858000000.0,4844000000.0,115000000.0,184000000.0,-130000000.0,-109000000.0,-40000000.0,-172000000.0,43.38
2020-03-31,2279000000.0,1832000000.0,447000000.0,213000000.0,198000000.0,129000000.0,0.63,310000000.0,198000000.0,205700000.0,901000000.0,1735000000.0,847000000.0,3741000000.0,5761000000.0,9502000000.0,286000000.0,2124000000.0,1664000000.0,2514000000.0,4638000000.0,4864000000.0,112000000.0,263000000.0,-121000000.0,-120000000.0,-49000000.0,-62000000.0,24.37
