,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,477826000.0,176106000.0,301720000.0,45516000.0,128002000.0,47854000.0,0.32,249193000.0,128002000.0,151646000.0,964785900.0,794203000.0,2041296000.0,13581980000.0,15623280000.0,0.0,309850000.0,8871518000.0,9508179000.0,9818029000.0,5805250000.0,121191000.0,237429000.0,-432144000.0,-432991000.0,-110940000.0,62960000.0,101.06
2013-06-30,510033000.0,183353000.0,326680000.0,24316000.0,168373000.0,452417000.0,2.95,302977000.0,168373000.0,151938000.0,1663560000.0,691693000.0,2355253000.0,17107530000.0,19462780000.0,0.0,534674200.0,11365540000.0,12243740000.0,12778410000.0,6684372000.0,134604000.0,97409000.0,-312161100.0,-19311000.0,-112511000.0,621257000.0,105.47
2013-09-30,571481000.0,205868000.0,365613000.0,24841000.0,186753000.0,152677000.0,1.0,340946000.0,186753000.0,152407000.0,1694774000.0,696434000.0,2391208000.0,17128500000.0,19519710000.0,0.0,577087800.0,11354370000.0,12200760000.0,12777850000.0,6741862000.0,154193000.0,215583000.0,-22832900.0,-1143000.0,-113989000.0,-181896000.0,106.9
2013-12-31,576199200.0,206076000.0,370123200.0,20656000.0,194992200.0,88806000.0,0.58,350401100.0,194992000.0,152201000.0,2422338000.0,711067000.0,3133405000.0,17042860000.0,20176260000.0,0.0,549993000.0,11341510000.0,12582650000.0,13132650000.0,7043618000.0,155409000.0,227505000.0,-81765100.0,-79195000.0,-113678000.0,575552000.0,100.37
2014-03-31,574694000.0,213185000.0,361509000.0,29905000.0,176896900.0,54034000.0,0.35000000000000003,331166900.0,176896900.0,153030000.0,1233813000.0,699542000.0,1933355000.0,17046210000.0,18979570000.0,0.0,576678900.0,10577140000.0,11400350000.0,11977020000.0,7002544000.0,154270000.0,124209000.0,-146086000.0,-147072000.0,-496330000.0,-1162701000.0,114.53
2014-06-30,589794000.0,209961000.0,379833000.0,23271000.0,201273000.0,76527000.0,0.5,355901000.0,201273000.0,153078000.0,1095824000.0,724935000.0,1820759000.0,17077770000.0,18898530000.0,0.0,552103800.0,10558610000.0,11332530000.0,11884630000.0,7013900000.0,154628000.0,184784000.0,-151737000.0,-199499000.0,-116282000.0,-128282000.0,118.18
2014-09-30,618803000.0,222764000.0,396039000.0,22589000.0,214803000.0,127724000.0,0.8300000000000001,372048000.0,214803000.0,153120000.0,999825000.0,733095000.0,1732920000.0,17142240000.0,18875160000.0,0.0,615553800.0,10475750000.0,11212010000.0,11827570000.0,7047593000.0,157245000.0,160684000.0,-141765000.0,-141685000.0,-113702000.0,-208911000.0,115.76
2014-12-31,613707200.0,218616000.0,395091200.0,23172000.0,208849200.0,174826000.0,1.1400000000000001,371279100.0,208849100.0,153089000.0,2250400000.0,738594000.0,2988994000.0,16897770000.0,19886770000.0,0.0,586794900.0,9906983000.0,11397040000.0,11983830000.0,7902936000.0,162430000.0,225876000.0,260358000.0,-176868000.0,-113950000.0,867407000.0,128.69
2015-03-31,618476000.0,228926000.0,389550000.0,28791000.0,206209000.0,171182000.0,1.12,360432000.0,206209000.0,153230000.0,1652614000.0,761642000.0,2414256000.0,16764810000.0,19179070000.0,0.0,590716100.0,9886695000.0,10589410000.0,11180120000.0,7998948000.0,154223000.0,201446000.0,-113390000.0,2725000.0,-883684000.0,-902854000.0,140.48
2015-06-30,618221000.0,222959000.0,395262000.0,22284000.0,204926000.0,79460000.0,0.52,372770000.0,204926000.0,153450000.0,1595309000.0,785980000.0,2381289000.0,16732670000.0,19113960000.0,0.0,590447900.0,9867459000.0,10535060000.0,11125510000.0,7988447000.0,167844000.0,241630000.0,54204000.0,176440000.0,-114156000.0,-139715000.0,121.04
2015-09-30,629884000.0,227921000.0,401963000.0,20944000.0,227750000.0,184082000.0,1.2,380765000.0,227750000.0,153595000.0,1477386000.0,803591000.0,2280977000.0,16699290000.0,18980260000.0,0.0,626115900.0,9729796000.0,10291390000.0,10917500000.0,8062759000.0,153015000.0,165802000.0,-174649000.0,219636000.0,-114179000.0,-341182000.0,118.4
2015-12-31,624240100.0,224530000.0,399710100.0,24300000.0,210480100.0,137882000.0,0.9,374940100.0,210480100.0,153471000.0,797508000.0,852748000.0,1650256000.0,16701230000.0,18351490000.0,0.0,645095000.0,9008543000.0,9819464000.0,10464560000.0,7886927000.0,164460000.0,190533000.0,204443900.0,-679027000.0,-114180000.0,-174795000.0,127.54
2016-03-31,665985000.0,226806000.0,439179000.0,29353000.0,250353000.0,181747000.0,1.18,409801000.0,250353000.0,153626000.0,1677027000.0,841623000.0,2518650000.0,16657180000.0,19175830000.0,0.0,654305100.0,9980366000.0,10591740000.0,11246040000.0,7929790000.0,159448000.0,348980000.0,-203888000.0,-109357000.0,-328567000.0,642337000.0,127.08
2016-06-30,623546000.0,225916000.0,397630000.0,25418000.0,218124000.0,96597000.0,0.63,371299000.0,218124000.0,153662000.0,1245698000.0,861677000.0,2107375000.0,16856590000.0,18963960000.0,0.0,689639100.0,9754084000.0,10376110000.0,11065750000.0,7898219000.0,153175000.0,235171000.0,-177481000.0,-316235000.0,-114334000.0,-344570000.0,131.9
2016-09-30,625228000.0,236678000.0,388550000.0,25165000.0,157605000.0,76753000.0,0.5,361353000.0,157605000.0,153754000.0,483303000.0,861827000.0,1345130000.0,17444770000.0,18789900000.0,0.0,727607000.0,9628923000.0,10203040000.0,10930650000.0,7859253000.0,203748000.0,159634000.0,-305847900.0,-678792000.0,-114361000.0,-241563000.0,136.29
2016-12-31,636061000.0,231834000.0,404227000.0,25293000.0,199702100.0,147188000.0,0.9500000000000001,377734100.0,199702100.0,153715000.0,420088000.0,891686000.0,1311774000.0,17539870000.0,18851640000.0,0.0,722457000.0,9616133000.0,10197260000.0,10919720000.0,7931924000.0,178032000.0,290763000.0,-149321100.0,-232963000.0,-114364000.0,-130825000.0,125.78
2017-03-31,632228000.0,235378000.0,396850000.0,31386000.0,206225000.0,97083000.0,0.63,365430100.0,206225000.0,153860000.0,354183000.0,885136000.0,1239319000.0,17727310000.0,18966630000.0,0.0,760436900.0,9706846000.0,10283750000.0,11044190000.0,7922438000.0,159205000.0,239852000.0,-248882000.0,-267823000.0,-131555000.0,-37934000.0,132.41
2017-06-30,656907000.0,238858000.0,418049000.0,27141000.0,238690000.0,133709000.0,0.87,390608900.0,238690000.0,154177000.0,539780000.0,908709000.0,1448489000.0,17833270000.0,19281760000.0,0.0,388731000.0,10236640000.0,10819680000.0,11208410000.0,8073352000.0,151919000.0,124957000.0,-256110000.0,-279855000.0,-131666000.0,340495000.0,123.02
2017-09-30,657712000.0,245788000.0,411924000.0,25792000.0,233728900.0,117337000.0,0.76,385892900.0,233728900.0,154355000.0,576834000.0,915165000.0,1491999000.0,17816520000.0,19308520000.0,0.0,424540000.0,10234630000.0,10784280000.0,11208820000.0,8099695000.0,152164000.0,220156000.0,-248578000.0,-46217000.0,-131679000.0,-136885000.0,122.88
2017-12-31,655229000.0,242012000.0,413217000.0,29396000.0,229466100.0,103810000.0,0.67,383725100.0,229466000.0,154190000.0,505369000.0,953761000.0,1459130000.0,17913100000.0,19372230000.0,0.0,415146000.0,10271610000.0,10854630000.0,11269780000.0,8102456000.0,154259000.0,327014000.0,-268790000.0,-288149000.0,-131678000.0,-110330000.0,130.03
2018-03-31,661151000.0,248402000.0,412749000.0,35894000.0,208152000.0,176021000.0,1.1400000000000001,373949000.0,208152000.0,154385000.0,455129000.0,962308000.0,1417437000.0,18166500000.0,19583940000.0,0.0,451178000.0,10339310000.0,10948670000.0,11399850000.0,8184090000.0,165797000.0,225778000.0,-134647000.0,-183788000.0,-140288000.0,-92230000.0,123.22
2018-06-30,664484000.0,246531000.0,417953000.0,28468000.0,230624000.0,128681000.0,0.8300000000000001,387041000.0,230624000.0,154415000.0,727060000.0,976312000.0,1703372000.0,18257790000.0,19961160000.0,0.0,423911000.0,10721880000.0,11324010000.0,11747920000.0,8213242000.0,156417000.0,335068000.0,-285381000.0,-302013000.0,-140466000.0,238876000.0,125.42
2018-09-30,686284000.0,256817000.0,429467000.0,29677000.0,238364000.0,119118000.0,0.77,396360000.0,238364000.0,154440000.0,423784000.0,1024776000.0,1528560000.0,18608940000.0,20137500000.0,0.0,408271000.0,10889700000.0,11523250000.0,11931520000.0,8205974000.0,157996000.0,209781000.0,-205203000.0,-534266000.0,-140510000.0,21209000.0,123.09
2018-12-31,705157000.0,261264000.0,443892900.0,27683000.0,236545000.0,148527000.0,0.96,401984000.0,236544900.0,154427000.0,639191000.0,1021525000.0,1760184000.0,18496290000.0,20256480000.0,0.0,365912000.0,11007760000.0,11676600000.0,12042510000.0,8213968000.0,165439000.0,379618000.0,-13956100.0,-78809000.0,-166364000.0,-85402000.0,112.55
2019-03-31,725767000.0,265380000.0,460387000.0,41762000.0,125129000.0,98105000.0,0.63,290328000.0,125129000.0,154525000.0,432298000.0,1046525000.0,1578416000.0,18923190000.0,20501600000.0,0.0,418056000.0,11178680000.0,11713610000.0,12331320000.0,8170287000.0,165199000.0,207234000.0,-195635000.0,-223515000.0,-166362000.0,-190612000.0,133.88
2019-06-30,733741000.0,267051000.0,466690000.0,35071000.0,251388100.0,164318000.0,1.06,429407100.0,251388100.0,154555000.0,1162924000.0,1060894000.0,2323536000.0,18944740000.0,21268280000.0,0.0,507718000.0,12019140000.0,12540550000.0,13247610000.0,8020667000.0,178019000.0,358370000.0,-186170000.0,-104437000.0,-166599000.0,476693000.0,129.0
2019-09-30,743553000.0,274346000.0,469207000.0,31147000.0,269231000.0,107771000.0,0.7000000000000001,435701000.0,269231000.0,154577000.0,804765000.0,1105188000.0,2009797000.0,19278780000.0,21288570000.0,0.0,504446000.0,12059770000.0,12588610000.0,13292810000.0,7995767000.0,166470000.0,254188000.0,-394768000.0,-408514000.0,-166666000.0,-203833000.0,129.66
2019-12-31,757501000.0,277237100.0,480264000.0,32797000.0,375851000.0,140840000.0,0.91,546339000.0,375851000.0,154582000.0,691886000.0,1151595000.0,1939401000.0,19345500000.0,21284900000.0,343000000.0,467569000.0,12035850000.0,12602920000.0,13270660000.0,8014236000.0,170488000.0,361373000.0,-260081000.0,-278625000.0,-166667000.0,-195627000.0,137.86
2020-03-31,752556000.0,269787000.0,482769000.0,36454000.0,271369000.0,497496000.0,3.2,443046000.0,271369000.0,155011000.0,858577900.0,1149108000.0,2102280000.0,19727420000.0,21829700000.0,2000000.0,376219000.0,12288290000.0,12832020000.0,13408820000.0,8420883000.0,171677000.0,175197000.0,13003000.0,-73793000.0,-171964000.0,65288000.0,92.23
2020-06-30,654773000.0,241760000.0,413013000.0,37743000.0,194266000.0,266189000.0,1.71,372999000.0,194266000.0,155386000.0,1991655000.0,1151549000.0,3247204000.0,19753570000.0,23000780000.0,1000000.0,423566000.0,13278720000.0,13829090000.0,14453630000.0,8547146000.0,178733000.0,379075000.0,-74976000.0,-46729000.0,-172275000.0,800731000.0,90.38
2020-09-30,693268000.0,261425000.0,431843000.0,27862000.0,234322000.0,89854000.0,0.58,401317000.0,234322000.0,155645000.0,1764789000.0,1187408000.0,3055093000.0,19904120000.0,22959210000.0,0.0,434785000.0,13281450000.0,13828050000.0,14464180000.0,8495038000.0,166995000.0,228151000.0,-216165000.0,-267889000.0,-172333000.0,-187128000.0,80.3
2020-12-31,665089000.0,257372000.0,407717000.0,31053000.0,205365100.0,8688000.0,0.05,373945100.0,205365000.0,155432000.0,1719329000.0,1199913000.0,3015523000.0,19842670000.0,22858190000.0,862000000.0,442552000.0,13284250000.0,13874310000.0,14518580000.0,8339612000.0,168580000.0,374417000.0,-217591000.0,-225308000.0,-172332000.0,-194569000.0,94.53
2021-03-31,713695000.0,259440000.0,454255000.0,44959000.0,228895000.0,91624000.0,0.59,407723000.0,228895000.0,155928000.0,949183000.0,1196337000.0,2242051000.0,19971500000.0,22213550000.0,1000000.0,337550000.0,12775630000.0,13554270000.0,14092210000.0,8121347000.0,178828000.0,152063000.0,-245414000.0,-242273000.0,-171566000.0,-679936000.0,101.26
2021-06-30,713807000.0,250699000.0,463108000.0,38405000.0,237459000.0,111703000.0,0.72,421997000.0,237459000.0,156107000.0,637280000.0,1231035000.0,1965274000.0,20093800000.0,22059080000.0,1000000.0,413355000.0,12779450000.0,13329130000.0,13969080000.0,8089993000.0,184538000.0,408413000.0,-317991000.0,-321338000.0,-171551000.0,-398978000.0,114.59
2021-09-30,730056000.0,262227000.0,467829000.0,34560000.0,248963000.0,108297000.0,0.6900000000000001,428620000.0,248963000.0,156183000.0,1081921000.0,1265109000.0,2444471000.0,20404340000.0,22848810000.0,0.0,419095000.0,13621910000.0,14170830000.0,14794060000.0,8054749000.0,179657000.0,226383000.0,-359096000.0,-423439000.0,-170264000.0,641697000.0,108.35
2021-12-31,731062900.0,261783000.0,469279900.0,33649000.0,252722900.0,184599000.0,1.18,430551900.0,252723000.0,156116000.0,501158000.0,1296931000.0,1886066000.0,20479190000.0,22365260000.0,-7000000.0,415571000.0,13141030000.0,13711900000.0,14332030000.0,8033228000.0,177829000.0,346368000.0,-48700000.0,-37324000.0,-170372000.0,-889807000.0,115.18
2022-03-31,754307000.0,275095000.0,479212000.0,43194000.0,254329000.0,143047000.0,0.91,432482000.0,254329000.0,156650000.0,482343000.0,1299527000.0,1870088000.0,20605550000.0,22475630000.0,-12000000.0,395437000.0,13255680000.0,13833860000.0,14433970000.0,8041659000.0,178153000.0,219490000.0,-150475000.0,-150486000.0,-170488000.0,-87819000.0,128.8
2022-06-30,773927000.0,280292000.0,493635000.0,34665000.0,272089000.0,222989000.0,1.42,456113000.0,272089000.0,156720000.0,502850000.0,1330087000.0,1911513000.0,21354920000.0,23266430000.0,8000000.0,439288000.0,13899610000.0,14479830000.0,15123760000.0,8142669000.0,184024000.0,397149000.0,-818318900.0,-828835000.0,-171463000.0,452193000.0,88.98
2022-09-30,790523000.0,290250000.0,500273000.0,32519000.0,271529100.0,360977000.0,2.3,462640100.0,271529100.0,156754000.0,448886000.0,1319809000.0,1847287000.0,21879400000.0,23726690000.0,0.0,452457000.0,14080960000.0,14676160000.0,15333620000.0,8393071000.0,191111000.0,295764000.0,-293072100.0,-333050000.0,-171535000.0,-16678000.0,74.97
