,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,24552000000.0,23261000000.0,1291000000.0,712000000.0,475000000.0,345000000.0,1.01,574000000.0,475000000.0,341000000.0,2305000000.0,6416000000.0,8328000000.0,17927000000.0,8796000000.0,26723000000.0,446000000.0,14474000000.0,3714000000.0,5419000000.0,19893000000.0,6830000000.0,99000000.0,989000000.0,-41000000.0,-2140000000.0,-93000000.0,1201000000.0,41.62
2013-06-30,25420000000.0,24173000000.0,1247000000.0,774000000.0,-442000000.0,-585000000.0,-1.72,-320000000.0,-442000000.0,341000000.0,1901000000.0,6304000000.0,8373000000.0,17770000000.0,8049000000.0,25819000000.0,168000000.0,14590000000.0,3686000000.0,5254000000.0,19844000000.0,5975000000.0,122000000.0,300000000.0,-92000000.0,-118000000.0,-95000000.0,-586000000.0,47.2
2013-09-30,24523000000.0,23259000000.0,1264000000.0,732000000.0,471000000.0,339000000.0,1.0,588000000.0,471000000.0,340000000.0,2753000000.0,4898000000.0,7275000000.0,16037000000.0,7779000000.0,23816000000.0,190000000.0,12507000000.0,3693000000.0,5012000000.0,17519000000.0,6297000000.0,117000000.0,951000000.0,-26000000.0,-51000000.0,-105000000.0,-48000000.0,52.15
2013-12-31,22240000000.0,20895000000.0,1345000000.0,766000000.0,519000000.0,278000000.0,0.81,636000000.0,519000000.0,342000000.0,2741000000.0,4876000000.0,8478000000.0,17248000000.0,7761000000.0,25009000000.0,255000000.0,13362000000.0,3679000000.0,5058000000.0,18420000000.0,6589000000.0,117000000.0,37000000.0,-64000000.0,-89000000.0,-103000000.0,40000000.0,66.81
2014-03-31,21427000000.0,20130000000.0,1297000000.0,736000000.0,508000000.0,315000000.0,0.92,618000000.0,508000000.0,342000000.0,3041000000.0,4812000000.0,8030000000.0,16936000000.0,7765000000.0,24701000000.0,241000000.0,13147000000.0,3679000000.0,5022000000.0,18169000000.0,6532000000.0,110000000.0,820000000.0,-48000000.0,-146000000.0,-104000000.0,-374000000.0,69.98
2014-06-30,22894000000.0,21639000000.0,1255000000.0,794000000.0,387000000.0,234000000.0,0.6900000000000001,502000000.0,387000000.0,341000000.0,2865000000.0,5380000000.0,8266000000.0,17939000000.0,8094000000.0,26033000000.0,801000000.0,15115000000.0,3171000000.0,4517000000.0,19632000000.0,6401000000.0,115000000.0,716000000.0,-111000000.0,-564000000.0,-103000000.0,-328000000.0,68.56
2014-09-30,24070000000.0,22729000000.0,1341000000.0,775000000.0,466000000.0,266000000.0,0.79,574000000.0,466000000.0,336000000.0,2469000000.0,5662000000.0,8069000000.0,17538000000.0,8173000000.0,25711000000.0,843000000.0,14896000000.0,3164000000.0,4559000000.0,19455000000.0,6256000000.0,108000000.0,61000000.0,-36000000.0,-81000000.0,-119000000.0,-376000000.0,74.92
2014-12-31,25537000000.0,24083000000.0,1454000000.0,815000000.0,546000000.0,289000000.0,0.87,658000000.0,546000000.0,331000000.0,2881000000.0,5653000000.0,9408000000.0,19155000000.0,8093000000.0,27248000000.0,270000000.0,16030000000.0,3706000000.0,5118000000.0,21148000000.0,6100000000.0,112000000.0,953000000.0,-47000000.0,-19000000.0,-114000000.0,-522000000.0,80.73
2015-03-31,25375000000.0,23916000000.0,1459000000.0,803000000.0,591000000.0,365000000.0,1.1,707000000.0,591000000.0,330000000.0,3183000000.0,6095000000.0,9163000000.0,19631000000.0,8257000000.0,27888000000.0,283000000.0,16395000000.0,3720000000.0,5124000000.0,21519000000.0,6369000000.0,116000000.0,658000000.0,-56000000.0,-286000000.0,-113000000.0,-70000000.0,90.27
2015-06-30,27549000000.0,26091000000.0,1458000000.0,847000000.0,558000000.0,295000000.0,0.89,673000000.0,558000000.0,332000000.0,4616000000.0,6523000000.0,9211000000.0,21752000000.0,8390000000.0,30142000000.0,281000000.0,17243000000.0,5211000000.0,6643000000.0,23886000000.0,6256000000.0,115000000.0,868000000.0,-108000000.0,-463000000.0,-114000000.0,1028000000.0,83.65
