,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,13210000000.0,9639000000.0,3571000000.0,1390000000.0,1218000000.0,880000000.0,1.34,2130000000.0,1407000000.0,656200000.0,5982000000.0,18673000000.0,15074000000.0,42145000000.0,46598000000.0,88743000000.0,13246000000.0,28974000000.0,27240000000.0,41451000000.0,70425000000.0,18318000000.0,723000000.0,1424000000.0,-1056000000.0,-1459000000.0,0.0,545000000.0,86.97
2013-06-30,14621000000.0,10773000000.0,3848000000.0,1421000000.0,1557000000.0,960000000.0,1.48,2503000000.0,1742000000.0,649900000.0,6110000000.0,18342000000.0,13889000000.0,40805000000.0,46570000000.0,87375000000.0,13871000000.0,29919000000.0,25680000000.0,39778000000.0,69697000000.0,17678000000.0,761000000.0,3169000000.0,-783000000.0,-1341000000.0,-342000000.0,-1677000000.0,82.49
2013-09-30,13423000000.0,9774000000.0,3649000000.0,1319000000.0,1401000000.0,946000000.0,1.48,2358000000.0,1579000000.0,639300000.0,6357000000.0,17810000000.0,13392000000.0,40088000000.0,47184000000.0,87272000000.0,13522000000.0,29119000000.0,26015000000.0,39976000000.0,69095000000.0,18177000000.0,779000000.0,3018000000.0,-731000000.0,-1278000000.0,-388000000.0,-1496000000.0,83.4
2013-12-31,14402000000.0,10541000000.0,3861000000.0,1417000000.0,1452000000.0,1003000000.0,1.57,2451000000.0,1627000000.0,645200000.0,6081000000.0,17176000000.0,12625000000.0,38335000000.0,46561000000.0,84896000000.0,11031000000.0,27297000000.0,26719000000.0,36721000000.0,64018000000.0,20878000000.0,824000000.0,2580000000.0,-1032000000.0,-968000000.0,-381000000.0,-1883000000.0,90.81
2014-03-31,13241000000.0,9437000000.0,3804000000.0,1292000000.0,1398000000.0,922000000.0,1.47,2339000000.0,1558000000.0,626700000.0,5345000000.0,17399000000.0,12888000000.0,37968000000.0,46429000000.0,84397000000.0,11290000000.0,27295000000.0,26801000000.0,36733000000.0,64028000000.0,20369000000.0,781000000.0,1897000000.0,-555000000.0,-948000000.0,-383000000.0,-1651000000.0,99.37
2014-06-30,14150000000.0,10197000000.0,3953000000.0,1437000000.0,1475000000.0,999000000.0,1.6,2417000000.0,1628000000.0,626300000.0,7927000000.0,17524000000.0,13055000000.0,41276000000.0,46551000000.0,87827000000.0,12936000000.0,29741000000.0,27307000000.0,37163000000.0,66904000000.0,20923000000.0,789000000.0,2237000000.0,-538000000.0,-1434000000.0,-374000000.0,1832000000.0,108.67
2014-09-30,13549000000.0,9634000000.0,3915000000.0,1446000000.0,1392000000.0,1017000000.0,1.6600000000000001,2347000000.0,1549000000.0,611500000.0,6082000000.0,17012000000.0,13328000000.0,39042000000.0,45446000000.0,84488000000.0,11102000000.0,27589000000.0,28180000000.0,38003000000.0,65592000000.0,18896000000.0,798000000.0,2052000000.0,-608000000.0,-621000000.0,-440000000.0,-3240000000.0,99.03
2014-12-31,14244000000.0,11450000000.0,2794000000.0,2354000000.0,-951000000.0,-486000000.0,1.25,-2000000.0,-797000000.0,617200000.0,7341000000.0,16764000000.0,12205000000.0,38867000000.0,45814000000.0,84681000000.0,11501000000.0,27877000000.0,27784000000.0,39978000000.0,67855000000.0,16826000000.0,795000000.0,1871000000.0,-774000000.0,-624000000.0,-423000000.0,63000000.0,91.53
2015-03-31,12702000000.0,8760000000.0,3942000000.0,1249000000.0,1702000000.0,1245000000.0,1.8399999999999999,2605000000.0,1852000000.0,604900000.0,7563000000.0,16623000000.0,12099000000.0,38491000000.0,43999000000.0,82490000000.0,11972000000.0,26566000000.0,26803000000.0,38886000000.0,65452000000.0,17038000000.0,753000000.0,1270000000.0,-659000000.0,-384000000.0,-424000000.0,-622000000.0,80.03
2015-06-30,12317000000.0,8674000000.0,3643000000.0,1318000000.0,1333000000.0,802000000.0,1.18,2242000000.0,1481000000.0,603200000.0,7821000000.0,16425000000.0,11681000000.0,38227000000.0,44015000000.0,82242000000.0,10875000000.0,25606000000.0,27445000000.0,39475000000.0,65081000000.0,17161000000.0,761000000.0,2088000000.0,-445000000.0,-707000000.0,-422000000.0,-1131000000.0,84.82
