,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,142705000.0,0.0,142705000.0,50586000.0,69430000.0,41789000.0,0.48,77741000.0,69430000.0,87272000.0,210486000.0,57868000.0,275424000.0,134201000.0,409625000.0,0.0,85752000.0,0.0,49147000.0,134899000.0,274726000.0,8311000.0,95297000.0,-6440000.0,-7108000.0,-13297000.0,-13300000.0,36.94
2013-06-30,150772000.0,0.0,150772000.0,52894000.0,75358000.0,45477000.0,0.52,84009000.0,75358000.0,87341000.0,207766000.0,80111000.0,296676000.0,133186000.0,429862000.0,0.0,70271000.0,0.0,49685000.0,119956000.0,309906000.0,8651000.0,21563000.0,-6632000.0,-7076000.0,-13307000.0,-17207000.0,46.64
2013-09-30,136743000.0,0.0,136743000.0,48241000.0,68427000.0,40955000.0,0.47000000000000003,76931000.0,68427000.0,87647000.0,226378000.0,75283000.0,308929000.0,132221000.0,441150000.0,0.0,65397000.0,0.0,50354000.0,115751000.0,325399000.0,8504000.0,55504000.0,-6695000.0,-7093000.0,-15945000.0,-29799000.0,45.23
2013-12-31,141830000.0,0.0,141830000.0,50642000.0,72599000.0,45642000.0,0.52,81735000.0,72599000.0,87331000.0,221341000.0,80796000.0,308861000.0,132728000.0,441589000.0,0.0,107458000.0,0.0,49614000.0,157072000.0,284517000.0,9136000.0,52016000.0,-8906000.0,-9920000.0,-15820000.0,-47133000.0,51.96
2014-03-31,157885000.0,0.0,157885000.0,55984000.0,82038000.0,48528000.0,0.56,90660000.0,82038000.0,86453000.0,199065000.0,68764000.0,276022000.0,136822000.0,412844000.0,0.0,74457000.0,0.0,51707000.0,126164000.0,286680000.0,8622000.0,88316000.0,-12172000.0,-12672000.0,-59558000.0,-97920000.0,56.6
2014-06-30,143942000.0,0.0,143942000.0,52242000.0,69716000.0,42598000.0,0.5,79642000.0,69716000.0,85831000.0,145111000.0,87712000.0,243935000.0,141846000.0,385781000.0,0.0,69029000.0,0.0,52861000.0,121890000.0,263891000.0,9926000.0,32920000.0,-16154000.0,-16624000.0,-15580000.0,-70250000.0,49.21
2014-09-30,148910000.0,0.0,148910000.0,51587000.0,75084000.0,48146000.0,0.5700000000000001,85456000.0,75084000.0,85051000.0,126519000.0,88011000.0,222726000.0,144360000.0,367086000.0,0.0,68283000.0,0.0,53679000.0,121962000.0,245124000.0,10372000.0,62830000.0,-11648000.0,-12174000.0,-17914000.0,-69248000.0,53.53
2014-12-31,166488000.0,0.0,166488000.0,56266000.0,86963000.0,49120000.0,0.58,98043000.0,86963000.0,85406000.0,147927000.0,90586000.0,244107000.0,139794000.0,383901000.0,0.0,73665000.0,0.0,60169000.0,133834000.0,250067000.0,11080000.0,78591000.0,-10180000.0,-10668000.0,-17778000.0,-46515000.0,63.42
2015-03-31,142839000.0,0.0,142839000.0,47415000.0,69553000.0,42079000.0,0.5,79966000.0,69553000.0,83956000.0,137558000.0,61895000.0,209385000.0,166412000.0,375797000.0,0.0,70712000.0,0.0,61350000.0,132062000.0,243735000.0,10413000.0,78455000.0,-7536000.0,-37759000.0,-17725000.0,-51065000.0,57.41
2015-06-30,148725000.0,0.0,148725000.0,48230000.0,73370000.0,44646000.0,0.54,84670000.0,73370000.0,83290000.0,89634000.0,94249000.0,194619000.0,167490000.0,362109000.0,0.0,72464000.0,0.0,62628000.0,135092000.0,227017000.0,11300000.0,27370000.0,-10100000.0,-10566000.0,-17563000.0,-64728000.0,57.22
2015-09-30,187035000.0,0.0,187035000.0,58172000.0,101110000.0,67219000.0,0.81,113527000.0,101110000.0,82755000.0,121678000.0,91999000.0,222700000.0,174719000.0,397419000.0,0.0,78663000.0,0.0,58939000.0,137602000.0,259817000.0,12417000.0,88312000.0,-9295000.0,-14312000.0,-19125000.0,-41956000.0,67.08
2015-12-31,185201000.0,0.0,185201000.0,-38917000.0,75867000.0,50156000.0,0.61,88037000.0,75867000.0,83100000.0,102253000.0,96118000.0,204118000.0,180670000.0,384788000.0,0.0,73997000.0,0.0,51146000.0,125143000.0,259645000.0,12170000.0,51163000.0,-12369000.0,-16763000.0,-18987000.0,-53751000.0,64.9
2016-03-31,170500000.0,27400000.0,143100000.0,35300000.0,79500000.0,49200000.0,0.6000000000000001,91400000.0,79500000.0,81800000.0,107482000.0,68967000.0,184691000.0,210139000.0,394830000.0,0.0,83354000.0,0.0,63549000.0,146903000.0,247927000.0,11900000.0,97400000.0,-8900000.0,-27900000.0,-18900000.0,-64300000.0,65.33
2016-06-30,173100000.0,29000000.0,144100000.0,31000000.0,78000000.0,50700000.0,0.62,90300000.0,78000000.0,81300000.0,52193000.0,110670000.0,173872000.0,232772000.0,406644000.0,0.0,76632000.0,0.0,64249000.0,140881000.0,265763000.0,12300000.0,17500000.0,-16500000.0,-36000000.0,-18800000.0,-36800000.0,66.62
2016-09-30,168700000.0,32500000.0,136200000.0,30900000.0,65800000.0,40300000.0,0.5,76000000.0,65800000.0,81300000.0,72759000.0,120474000.0,206583000.0,234759000.0,441342000.0,0.0,81122000.0,0.0,70655000.0,151777000.0,289565000.0,10200000.0,59200000.0,-11000000.0,-13400000.0,-20400000.0,-25200000.0,64.85
2016-12-31,190800000.0,47800000.0,143000000.0,27000000.0,74900000.0,44700000.0,0.55,84900000.0,74900000.0,81400000.0,97300000.0,130400000.0,235100000.0,241600000.0,476700000.0,0.0,89900000.0,0.0,68900000.0,158800000.0,317900000.0,10000000.0,55500000.0,-8000000.0,-7100000.0,-20400000.0,-23900000.0,73.89
2017-03-31,356200000.0,162800000.0,193400000.0,51100000.0,26100000.0,15100000.0,0.16,52100000.0,26100000.0,91900000.0,194600000.0,245300000.0,455700000.0,4889400000.0,5345100000.0,0.0,260900000.0,1486700000.0,2338800000.0,2599700000.0,2745400000.0,26000000.0,-17700000.0,-7400000.0,-1386800000.0,-28300000.0,1457700000.0,81.07
2017-06-30,640800000.0,373900000.0,266900000.0,54200000.0,117799900.0,67300000.0,0.6000000000000001,173699900.0,117799900.0,112100000.0,259000000.0,242000000.0,519700000.0,4875900000.0,5395600000.0,0.0,376300000.0,1411300000.0,2202600000.0,2578900000.0,2816700000.0,55900000.0,189800000.0,-11800000.0,-80600000.0,-28400000.0,-111200000.0,91.4
2017-09-30,611400000.0,341700000.0,269700000.0,54900000.0,119300000.0,59700000.0,0.53,176800000.0,119300000.0,112300000.0,127200000.0,231000000.0,374300000.0,4853800000.0,5228100000.0,0.0,238000000.0,1312400000.0,2112200000.0,2350200000.0,2877900000.0,57500000.0,6800000.0,-6900000.0,97800000.0,-30700000.0,-132200000.0,107.63
2017-12-31,620700100.0,355100000.0,265600100.0,58400000.0,108700200.0,254600000.0,2.27,165100200.0,108700200.0,107200000.0,190800000.0,234500000.0,434700000.0,4831000000.0,5265700000.0,0.0,334000000.0,1237900000.0,1821100000.0,2155100000.0,3110600000.0,56400000.0,195500000.0,-11400000.0,-66900000.0,-30700000.0,-114600000.0,124.59
2018-03-31,777700000.0,449200000.0,328500000.0,62600000.0,167700000.0,117300000.0,1.04,222500000.0,167700000.0,112400000.0,230300000.0,268400000.0,512300000.0,4815900000.0,5328200000.0,0.0,384300000.0,1213400000.0,1768700000.0,2153000000.0,3175200000.0,54800000.0,163500000.0,-7300000.0,-25200000.0,-30600000.0,-114200000.0,114.1
2018-06-30,667500000.0,384000000.0,283500000.0,60900000.0,129100000.0,82400000.0,0.74,180200000.0,129100000.0,112000000.0,271800000.0,299100000.0,584000000.0,4732900000.0,5316900000.0,299500000.0,679900000.0,914600000.0,1487400000.0,2167300000.0,3149600000.0,51100000.0,185800000.0,-5300000.0,-72200000.0,-30400000.0,-135600000.0,104.07
2018-09-30,575900000.0,305400000.0,270500000.0,54400000.0,126100100.0,85000000.0,0.76,176900100.0,126100100.0,111400000.0,137700000.0,281700000.0,435500000.0,4684000000.0,5119500000.0,299600000.0,478900000.0,915100000.0,1488700000.0,1967600000.0,3151900000.0,50800000.0,-41200000.0,-15200000.0,115300000.0,-34600000.0,-82500000.0,95.96
2018-12-31,747699900.0,413300000.0,334399900.0,63900000.0,176499700.0,137400000.0,1.23,226299700.0,176499800.0,111800000.0,310800000.0,357700000.0,683700000.0,4637299000.0,5321000000.0,299800000.0,595900000.0,915600000.0,1484100000.0,2080000000.0,3241000000.0,49800000.0,226600000.0,-8500000.0,-43500000.0,-34700000.0,-39300000.0,97.83
2019-03-31,602600000.0,322100000.0,280500000.0,50700000.0,146500000.0,94600000.0,0.85,194300000.0,146500000.0,111500000.0,376400000.0,291300000.0,683200000.0,4647200000.0,5330400000.0,299900000.0,511400000.0,916100000.0,1533600000.0,2045000000.0,3285400000.0,47800000.0,118000000.0,-5800000.0,22000000.0,-34800000.0,-71700000.0,95.44
2019-06-30,620600000.0,337400000.0,283200000.0,55200000.0,125200000.0,87600000.0,0.79,180000000.0,125200000.0,111500000.0,244200000.0,316300000.0,577400000.0,4581900000.0,5159300000.0,0.0,285800000.0,916600000.0,1546500000.0,1832300000.0,3327000000.0,54800000.0,199600000.0,-13300000.0,-45400000.0,-34800000.0,-334800000.0,103.63
2019-09-30,675400000.0,381400000.0,294000000.0,52400000.0,147400000.0,105500000.0,0.9500000000000001,190800000.0,147400000.0,111600000.0,171400000.0,300500000.0,489500000.0,4529800000.0,5019300000.0,0.0,199000000.0,867100000.0,1491600000.0,1690600000.0,3328700000.0,43400000.0,77500000.0,-7800000.0,54700000.0,-40400000.0,-142500000.0,114.91
