,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1475063000.0,861216000.0,613847000.0,469541000.0,101174100.0,37546000.0,0.11,163320100.0,101174100.0,326759000.0,681127000.0,2113286000.0,83493000.0,3232833000.0,3654807000.0,6887640000.0,42150000.0,2453535000.0,2130621000.0,2728318000.0,5181853000.0,1705787000.0,62146000.0,-79886000.0,-8815000.0,13551000.0,0.0,-496665000.0,25.25
2013-06-30,1742014000.0,1018827000.0,723187000.0,499458000.0,187624000.0,69902000.0,0.21,250954000.0,187624000.0,327424000.0,576819000.0,1823038000.0,40984000.0,2799225000.0,3549063000.0,6348288000.0,42184000.0,2133096000.0,1915455000.0,2503743000.0,4636839000.0,1711449000.0,63330000.0,164557000.0,-30737000.0,51479000.0,0.0,-243324000.0,23.36
2013-09-30,1733866000.0,1032348000.0,701517900.0,496615000.0,158118900.0,94444000.0,0.29,207417900.0,158118900.0,328308000.0,621336000.0,1514799000.0,58641000.0,2558960000.0,3618375000.0,6177335000.0,42222000.0,1842727000.0,1878521000.0,2498301000.0,4341028000.0,1836307000.0,49299000.0,149969000.0,-39191000.0,-38768000.0,0.0,-99655000.0,23.13
2013-12-31,2233851000.0,1276998000.0,956852800.0,638696000.0,169210200.0,114646000.0,0.35000000000000003,322182200.0,169210400.0,328110000.0,611509000.0,1868034000.0,19133000.0,2879812000.0,4118602000.0,6998414000.0,42245000.0,2605740000.0,1866890000.0,2456668000.0,5062408000.0,1936006000.0,152972000.0,510468000.0,-77615000.0,-491256000.0,0.0,-26637000.0,26.3
2014-03-31,1860842000.0,1161460000.0,699382100.0,528395000.0,112481100.0,67663000.0,0.21,179500100.0,112481100.0,330035000.0,541900000.0,1777099000.0,61817000.0,2762237000.0,4081121000.0,6843358000.0,42305000.0,2379614000.0,1856479000.0,2435486000.0,4815100000.0,2028258000.0,67019000.0,-269966000.0,-13653000.0,-3496000.0,0.0,208328000.0,27.43
2014-06-30,2126806000.0,1314473000.0,812332900.0,566202000.0,206005900.0,105464000.0,0.32,271129900.0,206005900.0,330133000.0,500175000.0,2413023000.0,13204000.0,3338471000.0,4133300000.0,7471771000.0,42330000.0,2875964000.0,1831641000.0,2421532000.0,5297496000.0,2174275000.0,65124000.0,45982000.0,-39952000.0,1498000.0,0.0,-97605000.0,32.04
2014-09-30,2275076000.0,1428986000.0,846090000.0,601026000.0,185140100.0,107099000.0,0.32,259826100.0,185140100.0,330419000.0,741101000.0,2305467000.0,32846000.0,3461037000.0,4068917000.0,7529954000.0,42375000.0,2677009000.0,2084213000.0,2670107000.0,5347116000.0,2182838000.0,74686000.0,292462000.0,-39013000.0,-112508000.0,0.0,71434000.0,29.74
2014-12-31,2787194000.0,1706343000.0,1080851000.0,743336900.0,288626200.0,204277000.0,0.62,360053200.0,288626800.0,330620000.0,768974000.0,2308363000.0,0.0,3371769000.0,4196241000.0,7568010000.0,42407000.0,2928765000.0,1808605000.0,2337847000.0,5266612000.0,2301398000.0,71427000.0,593302000.0,-78624000.0,-37050000.0,0.0,-414226000.0,34.25
2015-03-31,2052503000.0,1290777000.0,761726000.0,531775000.0,160105000.0,92937000.0,0.28,234898000.0,160105000.0,331977000.0,500695000.0,2648311000.0,5122000.0,3593879000.0,4031781000.0,7625660000.0,15296000.0,2972989000.0,1734294000.0,2347650000.0,5320639000.0,2305021000.0,74793000.0,-179850000.0,-18628000.0,-106833000.0,0.0,-60435000.0,38.71
2015-06-30,2390506000.0,1487974000.0,902532100.0,610158000.0,228755100.0,125029000.0,0.38,301677100.0,228755100.0,332000000.0,472115000.0,2405431000.0,1899000.0,3342956000.0,4117303000.0,7460259000.0,13894000.0,2594774000.0,1734350000.0,2361957000.0,4956731000.0,2503528000.0,72922000.0,137659000.0,-31760000.0,-64004000.0,0.0,-120034000.0,37.0
