,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,4310000000.0,2671000000.0,1639000000.0,514000000.0,1135000000.0,953000000.0,2.77,1201000000.0,1135000000.0,340778000.0,855000000.0,15915000000.0,16770000000.0,76691000000.0,93461000000.0,1402000000.0,59071000000.0,4307000000.0,6448000000.0,65519000000.0,27942000000.0,66000000.0,913000000.0,-1466000000.0,-2000000.0,813000000.0,88.97
2013-06-30,4705000000.0,3025000000.0,1680000000.0,564000000.0,1079000000.0,891000000.0,2.59,1147000000.0,1079000000.0,341047000.0,679000000.0,16704000000.0,17383000000.0,76305000000.0,93688000000.0,1901000000.0,60582000000.0,3807000000.0,5811000000.0,66393000000.0,27295000000.0,68000000.0,895000000.0,-910000000.0,-167000000.0,-155000000.0,89.48
2013-09-30,5172000000.0,3471000000.0,1701000000.0,563000000.0,1143000000.0,916000000.0,2.66,1216000000.0,1143000000.0,340889000.0,768000000.0,16803000000.0,17571000000.0,77013000000.0,94584000000.0,1902000000.0,60718000000.0,3807000000.0,5648000000.0,66366000000.0,28218000000.0,73000000.0,928000000.0,-763000000.0,-174000000.0,-106000000.0,93.56
2013-12-31,5074000000.0,3355000000.0,1719000000.0,570000000.0,1156000000.0,998000000.0,2.9,1217000000.0,1156000000.0,340906000.0,579000000.0,16471000000.0,17050000000.0,77460000000.0,94510000000.0,1901000000.0,59936000000.0,3807000000.0,5749000000.0,65685000000.0,28825000000.0,61000000.0,1286000000.0,-1303000000.0,-174000000.0,-161000000.0,103.53
2014-03-31,4419000000.0,3003000000.0,1416000000.0,535000000.0,898000000.0,734000000.0,2.14,951000000.0,898000000.0,338870000.0,847000000.0,15738000000.0,16585000000.0,78594000000.0,95179000000.0,1901000000.0,60142000000.0,3808000000.0,5668000000.0,65810000000.0,29369000000.0,53000000.0,1250000000.0,-503000000.0,-214000000.0,-472000000.0,99.06
2014-06-30,4815000000.0,3290000000.0,1525000000.0,566000000.0,984000000.0,779000000.0,2.2800000000000002,1046000000.0,984000000.0,337846000.0,594000000.0,16318000000.0,16912000000.0,80535000000.0,97447000000.0,1851000000.0,61315000000.0,4057000000.0,5807000000.0,67122000000.0,30325000000.0,62000000.0,846000000.0,-956000000.0,-214000000.0,-153000000.0,103.7
2014-09-30,5200000000.0,3634000000.0,1566000000.0,554000000.0,1031000000.0,785000000.0,2.32,1075000000.0,1031000000.0,334472000.0,806000000.0,16362000000.0,17168000000.0,80389000000.0,97557000000.0,1851000000.0,61733000000.0,4057000000.0,5807000000.0,67540000000.0,30017000000.0,44000000.0,1126000000.0,-229000000.0,-218000000.0,-615000000.0,104.87
2014-12-31,4737000000.0,3314000000.0,1423000000.0,590000000.0,854000000.0,555000000.0,1.6600000000000001,883000000.0,854000000.0,335610000.0,655000000.0,17635000000.0,18290000000.0,79958000000.0,98248000000.0,2552000000.0,63664000000.0,3357000000.0,4997000000.0,68661000000.0,29587000000.0,29000000.0,1274000000.0,-816000000.0,-216000000.0,-537000000.0,114.88
2015-03-31,4389000000.0,2971000000.0,1418000000.0,554000000.0,869000000.0,681000000.0,2.05,905000000.0,869000000.0,328212000.0,948000000.0,16829000000.0,17777000000.0,80621000000.0,98398000000.0,2552000000.0,63196000000.0,4157000000.0,5500000000.0,68696000000.0,29702000000.0,36000000.0,1075000000.0,-1020000000.0,-214000000.0,333000000.0,111.49
2015-06-30,5048000000.0,3297000000.0,1751000000.0,578000000.0,1156000000.0,942000000.0,2.87,1191000000.0,1156000000.0,325463000.0,790000000.0,17735000000.0,18525000000.0,81315000000.0,99840000000.0,2102000000.0,64738000000.0,4157000000.0,5547000000.0,70285000000.0,29555000000.0,35000000.0,816000000.0,0.0,-213000000.0,-992000000.0,101.68
