,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,740060000.0,254983000.0,485077000.0,58246000.0,235055000.0,15462000.0,0.05,458434000.0,235055000.0,291102000.0,300320000.0,212732000.0,865415000.0,14507090000.0,15372500000.0,94839000.0,637626000.0,10741320000.0,11770250000.0,12407870000.0,2964631000.0,223379000.0,286626000.0,-116353000.0,-129016000.0,0.0,-436487000.0,69.64
2013-06-30,734928000.0,249214000.0,485714000.0,54790000.0,229961000.0,52359000.0,0.18,441163000.0,229961000.0,291225000.0,288427000.0,201028000.0,880066000.0,14512520000.0,15392580000.0,97013000.0,644198000.0,10691510000.0,11823490000.0,12467690000.0,2924892000.0,211202000.0,273401000.0,-138467000.0,-146440000.0,0.0,-159610000.0,72.39
2013-09-30,748977000.0,263964000.0,485013000.0,58504000.0,222838900.0,45836000.0,0.16,439017000.0,222838900.0,290372000.0,376348000.0,236211000.0,999803000.0,14567770000.0,15567570000.0,115378000.0,679718000.0,10660080000.0,11890560000.0,12570280000.0,2997290000.0,216178000.0,278839000.0,-130662000.0,-157556000.0,0.0,-28901000.0,73.03
2013-12-31,641785900.0,222856000.0,418930000.0,41979000.0,192849100.0,-34909000.0,-0.11,382677100.0,192849200.0,298083000.0,406920000.0,249925000.0,892683000.0,19702230000.0,20594910000.0,103586000.0,756387000.0,11490910000.0,12897350000.0,13653730000.0,6941175000.0,189828000.0,332193000.0,-149327000.0,-5026273000.0,0.0,4688131000.0,73.43
2014-03-31,875950000.0,300950000.0,575000000.0,64849000.0,251568100.0,90500000.0,0.27,522640000.0,251568100.0,332034000.0,364490000.0,245556000.0,852268000.0,19717400000.0,20569670000.0,105467000.0,708272000.0,11467860000.0,12926730000.0,13635000000.0,6934667000.0,271072000.0,362283000.0,-142943000.0,-204219000.0,-116829000.0,-174459000.0,73.78
2014-06-30,878242000.0,328933000.0,549309000.0,63318000.0,217178000.0,23012000.0,0.07,479350100.0,217178000.0,332344000.0,383204000.0,304015000.0,947746000.0,19724310000.0,20672060000.0,105624000.0,795878000.0,11464630000.0,12996750000.0,13792620000.0,6879436000.0,262172000.0,360653000.0,-156355000.0,-178489000.0,-116855000.0,-181297000.0,74.26
2014-09-30,892883000.0,332413000.0,560470000.0,65212000.0,239052000.0,95940000.0,0.29,506095000.0,239052000.0,332413000.0,376374000.0,311798000.0,978795000.0,19806070000.0,20784860000.0,106673000.0,845567000.0,11467000000.0,13076550000.0,13922120000.0,6862745000.0,267043000.0,427990000.0,-199662000.0,-287821000.0,-116851000.0,-123277000.0,80.53
2014-12-31,891681100.0,344310000.0,547371100.0,63917000.0,232884100.0,137073000.0,0.41000000000000003,499232100.0,232884000.0,332302000.0,298723000.0,313308000.0,1282996000.0,19860280000.0,21143280000.0,113335000.0,932131000.0,11807530000.0,13473920000.0,14406050000.0,6737228000.0,266348000.0,449271000.0,-259575000.0,-546180000.0,-273762000.0,16046000.0,78.7
2015-03-31,900471000.0,319131000.0,581340000.0,74056000.0,244907000.0,111790000.0,0.34,508449000.0,244907000.0,332712000.0,377117000.0,292565000.0,927514000.0,20177960000.0,21105480000.0,115998000.0,821955000.0,11954090000.0,13724730000.0,14546680000.0,6558793000.0,263542000.0,453058000.0,-201653000.0,-219660000.0,-273685000.0,-172241000.0,82.54
2015-06-30,899437000.0,326431000.0,573006000.0,73125000.0,240731000.0,1142363000.0,3.43,505952000.0,240731000.0,333091000.0,481625000.0,253342000.0,1117560000.0,19894070000.0,21011630000.0,94702000.0,780244000.0,11036600000.0,12827150000.0,13607390000.0,7404236000.0,265221000.0,465820000.0,-219230000.0,-219553000.0,-273686000.0,-1251924000.0,80.3
2015-09-30,918107000.0,333859000.0,584248000.0,76699000.0,230802100.0,92782000.0,0.28,501054000.0,230802100.0,333049000.0,300769000.0,324566000.0,1024371000.0,20971270000.0,21995640000.0,102188000.0,824542000.0,12039180000.0,13930800000.0,14755340000.0,7240303000.0,270252000.0,371998000.0,-237357000.0,-1249432000.0,-273685000.0,724176000.0,78.87
2015-12-31,945836100.0,342005000.0,603831200.0,87041000.0,229740200.0,130069000.0,0.39,504029200.0,229740100.0,333002000.0,309541000.0,313296000.0,981245000.0,20955720000.0,21936970000.0,106219000.0,855369000.0,12043740000.0,13992380000.0,14847750000.0,7089221000.0,274289000.0,503149000.0,-250652000.0,-271089000.0,-295388000.0,-235487000.0,86.45
2016-03-31,934384000.0,333592000.0,600792000.0,97581000.0,211739000.0,36843000.0,0.11,493825000.0,211739000.0,334155000.0,305121000.0,254669000.0,820882000.0,20897370000.0,21718250000.0,87823000.0,811946000.0,11778180000.0,13753310000.0,14565260000.0,7152994000.0,282086000.0,437656000.0,-193489000.0,-207746000.0,-299090000.0,-345592000.0,86.5
2016-06-30,962409000.0,348719000.0,613690000.0,91386000.0,231185000.0,75061000.0,0.22,510993000.0,231185000.0,337560000.0,334457000.0,229015000.0,817615000.0,21335460000.0,22153070000.0,100345000.0,875964000.0,12325860000.0,14328800000.0,15204770000.0,6948307000.0,279808000.0,480525000.0,-199508000.0,-669188000.0,-298756000.0,214403000.0,101.43
2016-09-30,992016000.0,365978000.0,626038000.0,89941000.0,244254000.0,87369000.0,0.26,528378100.0,244254000.0,337564000.0,273151000.0,276259000.0,839675000.0,21332050000.0,22171720000.0,101362000.0,897738000.0,12491600000.0,14520270000.0,15418010000.0,6753717000.0,284124000.0,386534000.0,-221181000.0,-262649000.0,-298782000.0,-169363000.0,94.21
2016-12-31,1032191000.0,392711000.0,639480000.0,92092000.0,261821900.0,124727000.0,0.35000000000000003,538803900.0,261822000.0,340000000.0,692146000.0,373532000.0,1324761000.0,21350330000.0,22675090000.0,101749000.0,961355000.0,12069390000.0,14156620000.0,15117980000.0,7557115000.0,276982000.0,482285000.0,-259822000.0,-289417000.0,-342372000.0,211552000.0,86.77
2017-03-31,1016000000.0,364000000.0,652000000.0,101000000.0,255000000.0,119000000.0,0.33,546000000.0,255000000.0,361000000.0,320320000.0,302697000.0,916449000.0,22860390000.0,23776840000.0,112882000.0,902195000.0,13380090000.0,15511170000.0,16413360000.0,7363480000.0,291000000.0,442000000.0,-262000000.0,-1763000000.0,-348000000.0,949000000.0,94.45
2017-06-30,1038000000.0,373000000.0,665000000.0,98000000.0,259000000.0,112000000.0,0.31,557000000.0,259000000.0,364000000.0,317576000.0,305982000.0,951335000.0,23532290000.0,24483620000.0,114932000.0,997912000.0,13726330000.0,15895400000.0,16893310000.0,7590309000.0,298000000.0,489000000.0,-301000000.0,-912000000.0,-348000000.0,420000000.0,100.18
2017-09-30,1063000000.0,388000000.0,675000000.0,100000000.0,261000000.0,85000000.0,0.22,560000000.0,261000000.0,395000000.0,6834864000.0,317856000.0,7474555000.0,23537200000.0,31011760000.0,114198000.0,1048871000.0,15090220000.0,17290550000.0,18339420000.0,12672330000.0,299000000.0,482000000.0,-289000000.0,-296000000.0,-386000000.0,6330000000.0,99.98
2017-12-31,1138000000.0,418000000.0,720000000.0,127000000.0,192000000.0,-8000000.0,0.17,554000000.0,192000000.0,382000000.0,435000000.0,398000000.0,1134000000.0,31095000000.0,32229000000.0,115000000.0,1292000000.0,16044000000.0,18598000000.0,19890000000.0,12339000000.0,362000000.0,619000000.0,-365000000.0,-7511000000.0,-427000000.0,493000000.0,111.01
2018-03-31,1299000000.0,433000000.0,866000000.0,134000000.0,349000000.0,86000000.0,0.21,725000000.0,349000000.0,409000000.0,340000000.0,402000000.0,1074000000.0,31176000000.0,32250000000.0,130000000.0,1187000000.0,15616000000.0,18231000000.0,19418000000.0,12832000000.0,376000000.0,452000000.0,-370000000.0,-384000000.0,-443000000.0,-163000000.0,109.61
2018-06-30,1330000000.0,454000000.0,876000000.0,138000000.0,345000000.0,152000000.0,0.37,726000000.0,345000000.0,415000000.0,331000000.0,455000000.0,1164000000.0,31210000000.0,32374000000.0,112000000.0,1286000000.0,15844000000.0,18522000000.0,19808000000.0,12566000000.0,381000000.0,659000000.0,-393000000.0,-394000000.0,-436000000.0,-273000000.0,107.82
2018-09-30,1375000000.0,474000000.0,901000000.0,145000000.0,359000000.0,136000000.0,0.33,745000000.0,359000000.0,415000000.0,448000000.0,471000000.0,1249000000.0,31395000000.0,32644000000.0,111000000.0,1304000000.0,16313000000.0,19045000000.0,20349000000.0,12295000000.0,386000000.0,664000000.0,-478000000.0,-503000000.0,-436000000.0,-44000000.0,111.33
