,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2018-06-30,179000000.0,106500000.0,72500000.0,80900000.0,-8400000.0,-65700000.0,-0.6000000000000001,6400000.0,-8400000.0,113311000.0,171800000.0,63900000.0,3984300000.0,2241100000.0,6225400000.0,5100000.0,3863600000.0,666400000.0,848000100.0,4711600000.0,1513800000.0,14800000.0,-11800000.0,-8500000.0,336100000.0,0.0,-435200000.0,33.19
2018-09-30,178100000.0,104600000.0,73500000.0,57300000.0,16200000.0,4200000.0,0.03,30800000.0,16200000.0,137769000.0,188000000.0,62600000.0,3718300000.0,2244500000.0,5962800000.0,6800000.0,3596300000.0,665000000.0,828000000.0,4424300000.0,1538500000.0,14600000.0,17100000.0,-9900000.0,3800000.0,0.0,-278800000.0,42.03
2018-12-31,194800000.0,108800000.0,86000000.0,65700000.0,20300000.0,5600000.0,0.08,34700000.0,20300000.0,114050000.0,217800000.0,63900000.0,2934100000.0,2313700000.0,5247800000.0,6800000.0,2769600000.0,663500000.0,862700000.0,3632300000.0,1615500000.0,14400000.0,27600000.0,-11500000.0,-35500000.0,0.0,-767700000.0,34.49
2019-03-31,203700000.0,110100000.0,93600000.0,66200000.0,27400000.0,11200000.0,0.08,42100000.0,27400000.0,140149000.0,206300000.0,68800000.0,4890100000.0,2369000000.0,7259100000.0,6800000.0,4683700000.0,662100000.0,888600000.0,5572300000.0,1686800000.0,14700000.0,-8800000.0,-13900000.0,-117600000.0,0.0,1934500000.0,51.3
2019-06-30,196300000.0,108300000.0,88000000.0,69300000.0,18700000.0,6300000.0,0.04,33600000.0,18700000.0,141149000.0,237900000.0,67800000.0,4351800000.0,2377500000.0,6729300000.0,6800000.0,4093300000.0,660700000.0,878900000.0,4972200000.0,1757100000.0,14900000.0,19000000.0,-12500000.0,15700000.0,0.0,-584900000.0,50.2
2019-09-30,202300000.0,113500000.0,88800000.0,82300000.0,6500000.0,62700000.0,0.44,21600000.0,6500000.0,142781000.0,270900000.0,69500000.0,3004300000.0,2431900000.0,5436200000.0,6800000.0,2743200000.0,659300000.0,839900000.0,3583100000.0,1853100000.0,15100000.0,14400000.0,-12000000.0,-22900000.0,0.0,-1332500000.0,49.37
2019-12-31,221800000.0,124000000.0,97800000.0,78100000.0,19700000.0,-1500000.0,-0.01,33300000.0,19700000.0,142049000.0,281300000.0,80400000.0,3623700000.0,2462000000.0,6085700000.0,10800000.0,3371700000.0,666300000.0,831700000.0,4203400000.0,1882300000.0,13600000.0,26000000.0,-16800000.0,5500000.0,0.0,592600000.0,67.88
2020-03-31,222700000.0,122200000.0,100500000.0,74200000.0,26300000.0,8600000.0,0.06,38400000.0,26300000.0,144645300.0,255300000.0,82800000.0,4056500000.0,2413600000.0,6470100000.0,9700000.0,3752700000.0,665000000.0,831800000.0,4584500000.0,1885600000.0,12100000.0,1400000.0,-15600000.0,9300000.0,0.0,489500000.0,50.07
2020-06-30,192600000.0,114000000.0,78600000.0,74600000.0,4000000.0,5500000.0,0.04,16400000.0,4000000.0,145593000.0,526900000.0,92900000.0,3350000000.0,2503900000.0,5853900000.0,8600000.0,2744500000.0,958600000.0,1123700000.0,3868200000.0,1985700000.0,12400000.0,22500000.0,-14100000.0,91900000.0,0.0,-719800000.0,79.27
2020-09-30,204400000.0,127700000.0,76700000.0,77300000.0,-600000.0,-800000.0,-0.01,12700000.0,-600000.0,147141000.0,554600000.0,91400000.0,3371300000.0,2546700000.0,5918000000.0,7700000.0,2741400000.0,957200000.0,1140300000.0,3881700000.0,2036300000.0,13300000.0,23400000.0,-14500000.0,75100000.0,0.0,-13800000.0,82.65
