,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,354266000.0,48191000.0,306075000.0,120212000.0,58136000.0,78609000.0,0.29,86099000.0,58136000.0,274936000.0,911144000.0,75253000.0,37016000.0,1461912000.0,861351000.0,2323263000.0,768466000.0,1210625000.0,0.0,92965000.0,1303590000.0,1019673000.0,27963000.0,75336000.0,-6569000.0,-1821000.0,0.0,15194000.0,13.93
2013-06-30,362481000.0,43243000.0,319238000.0,129718000.0,45142000.0,9429000.0,0.03,76781000.0,45142000.0,277146000.0,678483900.0,92581000.0,38705000.0,1265499000.0,1297590000.0,2563089000.0,893309900.0,1361903000.0,0.0,160926000.0,1522829000.0,1040260000.0,31639000.0,74895000.0,-17170000.0,-409087000.0,0.0,107467000.0,14.48
2013-09-30,366647000.0,49736000.0,316911000.0,125676000.0,47930000.0,38500000.0,0.14,80111000.0,47930000.0,278977000.0,716422000.0,101896000.0,45877000.0,1274163000.0,1283224000.0,2557387000.0,806348000.0,1297690000.0,0.0,163491000.0,1461181000.0,1096206000.0,32181000.0,98210000.0,-12211000.0,-6147000.0,0.0,-45218000.0,13.51
2013-12-31,376722000.0,59031000.0,317691000.0,123865000.0,37799000.0,37705000.0,0.13,69708100.0,37799000.0,277796000.0,633048000.0,107624000.0,50220000.0,1221091000.0,1207510000.0,2428601000.0,631643000.0,1148210000.0,0.0,124286000.0,1272496000.0,1156105000.0,31909000.0,119164000.0,-8979000.0,-9840000.0,0.0,-193734000.0,14.02
2014-03-31,378550000.0,57099000.0,321451000.0,127067000.0,42312000.0,33070000.0,0.12,73211000.0,42312000.0,281615000.0,629767000.0,106322000.0,55605000.0,1297725000.0,1226495000.0,2524220000.0,698789000.0,1192694000.0,0.0,117324000.0,1310018000.0,1214202000.0,30899000.0,28098000.0,-6252000.0,-34188000.0,0.0,-129000.0,15.54
2014-06-30,378788000.0,54413000.0,324375000.0,130653000.0,35497000.0,23263000.0,0.08,68021000.0,35497000.0,283344000.0,655326000.0,101924000.0,58311000.0,1414719000.0,1371114000.0,2785833000.0,889177000.0,1408047000.0,0.0,117302000.0,1525349000.0,1260484000.0,32524000.0,68865000.0,-11463000.0,-146302000.0,0.0,100094000.0,17.49
2014-09-30,400496000.0,54079000.0,346417000.0,126281000.0,54049000.0,37535000.0,0.13,89785000.0,54049000.0,284462000.0,595453000.0,107634000.0,61096000.0,1351610000.0,1354331000.0,2705941000.0,790209000.0,1296044000.0,0.0,125170000.0,1421214000.0,1284727000.0,35736000.0,87692000.0,-10243000.0,-10794000.0,0.0,-127843000.0,17.21
2014-12-31,423098100.0,58115000.0,364983100.0,129306000.0,74786100.0,65030000.0,0.23,111790100.0,74786100.0,283349000.0,1022606000.0,122492000.0,56394000.0,1851735000.0,1357821000.0,3209556000.0,866429000.0,1393091000.0,348676000.0,482891000.0,1875982000.0,1333574000.0,37004000.0,132067000.0,-11852000.0,-6731000.0,0.0,316843000.0,18.97
2015-03-31,411366000.0,60585000.0,350781000.0,127910000.0,49285000.0,36259000.0,0.13,84663000.0,49285000.0,284523000.0,980376000.0,133924000.0,54450000.0,1733644000.0,1328921000.0,3062565000.0,723514000.0,1226436000.0,348705000.0,472939000.0,1699375000.0,1363190000.0,35378000.0,46688000.0,-7520000.0,-8416000.0,0.0,-73682000.0,18.44
2015-06-30,415883000.0,51755000.0,364128000.0,124129000.0,76404000.0,58160000.0,0.2,108960000.0,76404000.0,285297000.0,744411000.0,131325000.0,62172000.0,1067228000.0,1313425000.0,2380653000.0,0.0,527363000.0,348733000.0,456075000.0,983438000.0,1397215000.0,32556000.0,121754000.0,-16547000.0,-19688000.0,0.0,-336943000.0,19.66
2015-09-30,433763000.0,65211000.0,368552000.0,130034000.0,77901000.0,77624000.0,0.27,107158000.0,77901000.0,284818000.0,711195000.0,133665000.0,57690000.0,1042084000.0,1289056000.0,2331140000.0,0.0,509647000.0,348760000.0,436931000.0,946578000.0,1384562000.0,29257000.0,86907000.0,-10026000.0,-6423000.0,0.0,-107916000.0,20.68
2015-12-31,441078900.0,60902000.0,380176900.0,130341000.0,81839800.0,80374000.0,0.27,112215900.0,81840000.0,288018000.0,711184000.0,164848000.0,56762000.0,964235000.0,1381280000.0,2345515000.0,0.0,536307000.0,343288000.0,433093000.0,969400000.0,1376115000.0,30376000.0,122851000.0,-10715000.0,-9977000.0,0.0,-107769000.0,20.81
2016-03-31,447862000.0,62054000.0,385808000.0,127500000.0,58036000.0,50562000.0,0.17,89522000.0,58036000.0,296615000.0,906717000.0,147533000.0,56634000.0,1152244000.0,1386780000.0,2539024000.0,372684000.0,567900000.0,642862000.0,737072000.0,1304972000.0,1234052000.0,31486000.0,83191000.0,-12116000.0,-13911000.0,0.0,118433000.0,23.58
2016-06-30,453021000.0,61783000.0,391238000.0,137498000.0,66906000.0,49335000.0,0.17,98706000.0,66906000.0,288191000.0,704318000.0,156444000.0,61932000.0,962179000.0,1415694000.0,2377873000.0,50000000.0,564471000.0,643073000.0,738009000.0,1302480000.0,1075393000.0,31800000.0,80366000.0,-16171000.0,7338000.0,0.0,-230349000.0,24.3
