,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-06-30,2779300000.0,2327700000.0,451600100.0,298000000.0,153600100.0,46700000.0,0.32,208200100.0,153600100.0,145300000.0,179300000.0,1555600000.0,378500000.0,2233700000.0,3786800000.0,6020500000.0,13500000.0,1445200000.0,3710900000.0,4366300000.0,5811500000.0,209000000.0,54600000.0,-900000.0,-11200000.0,-11200000.0,0.0,45200000.0,18.62
2013-09-30,2864300000.0,2405900000.0,458400100.0,365500000.0,92900200.0,-2200000.0,-0.01,146700100.0,92900200.0,166800000.0,350200000.0,1507700000.0,353800000.0,2285700000.0,3753100000.0,6038800000.0,170400000.0,1496500000.0,3239700000.0,3882500000.0,5379000000.0,659800000.0,53800000.0,163700000.0,-10500000.0,-10500000.0,0.0,16900000.0,22.83
2013-12-31,2713300000.0,2265000000.0,448299800.0,306300100.0,141999500.0,60000000.0,0.35000000000000003,195599500.0,141999300.0,156600000.0,188100000.0,1597300000.0,382000000.0,2213500000.0,3711100000.0,5924600000.0,45400000.0,1402600000.0,3205800000.0,3810300000.0,5212900000.0,711700000.0,53600000.0,-4500000.0,-16600000.0,-16600000.0,-7300000.0,-140900000.0,23.36
2014-03-31,2652300000.0,2227100000.0,425200000.0,289400000.0,135800000.0,50900000.0,0.30000000000000004,189400100.0,135800000.0,169600000.0,306700000.0,1723400000.0,164500000.0,2247900000.0,3664600000.0,5912500000.0,15400000.0,1418500000.0,3157000000.0,3739200000.0,5157700000.0,754800000.0,53600000.0,246300000.0,-9300000.0,-30200000.0,-7300000.0,-97000000.0,27.44
2014-06-30,3106000000.0,2609100000.0,496899900.0,308700000.0,188200000.0,86600000.0,0.51,241800000.0,188200000.0,170200000.0,227600000.0,1685700000.0,449600000.0,2415300000.0,3630000000.0,6045300000.0,15400000.0,1529400000.0,3110600000.0,3671100000.0,5200500000.0,844800000.0,53600000.0,-70400000.0,-11700000.0,-11700000.0,-7300000.0,2300000.0,31.88
2014-09-30,3266100000.0,2758800000.0,507300000.0,322600000.0,184700000.0,55600000.0,0.33,238200000.0,184700000.0,170900000.0,357800000.0,1648600000.0,423500000.0,2516200000.0,3591200000.0,6107400000.0,15400000.0,1527600000.0,3146300000.0,3685800000.0,5213400000.0,894000000.0,53500000.0,174600000.0,-13400000.0,-14100000.0,-7300000.0,-29000000.0,31.05
2014-12-31,3050100000.0,2558200000.0,491900100.0,327600100.0,164300500.0,51800000.0,0.30000000000000004,217900500.0,164300000.0,170600000.0,344500000.0,1716700000.0,337500000.0,2453400000.0,3622500000.0,6075900000.0,15400000.0,1468000000.0,3150600000.0,3671400000.0,5139400000.0,936500000.0,53600000.0,84500000.0,-20600000.0,-108800000.0,-11700000.0,11700000.0,35.17
2015-03-31,2755200000.0,2298700000.0,456500000.0,304900000.0,151600100.0,54700000.0,0.32,205600100.0,151600100.0,172100000.0,447400000.0,1623000000.0,357000000.0,2485900000.0,3602700000.0,6088600000.0,15400000.0,1425600000.0,3190800000.0,3687500000.0,5113100000.0,975500000.0,54000000.0,177800000.0,-10000000.0,-10500000.0,-11700000.0,-62700000.0,37.24
2015-06-30,3314000000.0,2779500000.0,534500000.0,328600000.0,205899900.0,108200000.0,0.63,260099900.0,205899900.0,171000000.0,335700000.0,1901200000.0,436200000.0,2714400000.0,3536800000.0,6251200000.0,15400000.0,1625600000.0,3154200000.0,3629800000.0,5255400000.0,995800000.0,54200000.0,-78700000.0,-12900000.0,-12900000.0,-11500000.0,-20400000.0,34.28
2015-09-30,3501100000.0,2933900000.0,567200200.0,362600000.0,204600100.0,150900000.0,0.89,266100100.0,204600100.0,169600000.0,97500000.0,2090600000.0,411400000.0,2734900000.0,4006600000.0,6741500000.0,27500000.0,1871900000.0,3240300000.0,3793900000.0,5665800000.0,1075700000.0,61500000.0,195800000.0,-21000000.0,-284800000.0,-11400000.0,-146800000.0,40.86
2015-12-31,3418400000.0,2860801000.0,557599100.0,377700100.0,179899400.0,89300000.0,0.53,243999400.0,179899900.0,170300000.0,37600000.0,2215800000.0,393100000.0,2790800000.0,3964500000.0,6755300000.0,27200000.0,1887300000.0,3232500000.0,3772100000.0,5659400000.0,1095900000.0,64100000.0,-17400000.0,-46200000.0,-46200000.0,-18300000.0,3400000.0,42.04
2016-03-31,3116700000.0,2592200000.0,524500000.0,363500000.0,161000000.0,77800000.0,0.47000000000000003,226600000.0,161000000.0,167300000.0,248200000.0,1992900000.0,460400000.0,2816300000.0,3901600000.0,6717900000.0,26900000.0,1943400000.0,3225000000.0,3734600000.0,5678000000.0,1039900000.0,65600000.0,427800000.0,-11000000.0,-11000000.0,-18000000.0,-206600000.0,41.5
2016-06-30,3664600000.0,3054100000.0,610500000.0,387000000.0,223500000.0,117500000.0,0.71,288900000.0,223500000.0,164900000.0,129400000.0,2342800000.0,487300000.0,3075300000.0,3812600000.0,6887900000.0,26100000.0,2177700000.0,3214400000.0,3696800000.0,5874500000.0,1013400000.0,65400000.0,-114700000.0,-14700000.0,-14700000.0,-17700000.0,13900000.0,40.08
2016-09-30,3708200000.0,3093900000.0,614300000.0,376800000.0,237500000.0,125900000.0,0.78,301600000.0,237500000.0,162100000.0,118300000.0,2289200000.0,451600000.0,2997800000.0,3775000000.0,6772800000.0,18500000.0,2126800000.0,3222900000.0,3655500000.0,5782300000.0,990500000.0,64100000.0,186200000.0,-15700000.0,-17800000.0,-17400000.0,-178200000.0,45.73
2016-12-31,3183200000.0,2604200000.0,579000000.0,381000000.0,198000000.0,103900000.0,0.64,257400000.0,198000000.0,163600000.0,263700000.0,2403500000.0,452000000.0,3238100000.0,3710300000.0,6948400000.0,18500000.0,2280700000.0,3215900000.0,3622200000.0,5902900000.0,1045500000.0,59400000.0,104700000.0,-22100000.0,-22400000.0,-25600000.0,66300000.0,52.09
2017-03-31,3256000000.0,2702500000.0,553500000.0,382800000.0,170700000.0,58200000.0,0.36,238099900.0,170700000.0,159400000.0,251700000.0,2225200000.0,493400000.0,3097600000.0,3677100000.0,6774700000.0,18500000.0,2222800000.0,3262000000.0,3644600000.0,5867400000.0,907300000.0,67400000.0,369900000.0,-19600000.0,-19600000.0,-25500000.0,-362200000.0,57.71
2017-06-30,3891700000.0,3250900000.0,640800000.0,410000000.0,230800000.0,140900000.0,0.9,292900100.0,230800000.0,156000000.0,79000000.0,2673100000.0,513600000.0,3396700000.0,3644900000.0,7041600000.0,18500000.0,2555200000.0,3277800000.0,3637300000.0,6192500000.0,849100000.0,62100000.0,6300000.0,-17200000.0,-17200000.0,-24800000.0,-164500000.0,62.53
