,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1605000000.0,1272000000.0,333000000.0,106000000.0,184000000.0,142000000.0,0.89,264000000.0,184000000.0,159682000.0,1027000000.0,1113000000.0,758000000.0,2986000000.0,6082000000.0,9068000000.0,112000000.0,1351000000.0,2959000000.0,5882000000.0,7233000000.0,1835000000.0,80000000.0,147000000.0,-77000000.0,-87000000.0,-12000000.0,-35000000.0,44.05
2013-06-30,1653000000.0,1334000000.0,319000000.0,113000000.0,169000000.0,133000000.0,0.8300000000000001,247000000.0,169000000.0,159676000.0,1152000000.0,1209000000.0,738000000.0,3180000000.0,6142000000.0,9322000000.0,224000000.0,1544000000.0,2860000000.0,5793000000.0,7337000000.0,1985000000.0,78000000.0,229000000.0,-78000000.0,-90000000.0,-14000000.0,-14000000.0,44.8
2013-09-30,1636000000.0,1290000000.0,346000000.0,97000000.0,211000000.0,172000000.0,1.09,291000000.0,211000000.0,158501000.0,1144000000.0,1242000000.0,753000000.0,3228000000.0,6284000000.0,9512000000.0,224000000.0,1597000000.0,2870000000.0,5831000000.0,7428000000.0,2084000000.0,80000000.0,232000000.0,-110000000.0,-113000000.0,-29000000.0,-134000000.0,52.79
2013-12-31,1616000000.0,1249000000.0,367000000.0,-5000000.0,944000000.0,654000000.0,4.16,1025000000.0,944000000.0,158801000.0,1025000000.0,1210000000.0,804000000.0,3182000000.0,5836000000.0,9018000000.0,177000000.0,1545000000.0,2887000000.0,4774000000.0,6319000000.0,2699000000.0,81000000.0,154000000.0,-112000000.0,-132000000.0,-28000000.0,-143000000.0,55.31
2014-03-31,1705000000.0,1327000000.0,378000000.0,104000000.0,243000000.0,196000000.0,1.25,319000000.0,243000000.0,156502000.0,1041000000.0,1242000000.0,816000000.0,3246000000.0,5883000000.0,9129000000.0,157000000.0,1510000000.0,2881000000.0,4699000000.0,6209000000.0,2920000000.0,76000000.0,164000000.0,-148000000.0,-151000000.0,-28000000.0,4000000.0,55.51
2014-06-30,1769000000.0,1361000000.0,408000000.0,119000000.0,259000000.0,259000000.0,1.6600000000000001,334000000.0,259000000.0,155752000.0,1103000000.0,1276000000.0,816000000.0,3339000000.0,5994000000.0,9333000000.0,158000000.0,1543000000.0,2880000000.0,4689000000.0,6232000000.0,3101000000.0,75000000.0,253000000.0,-125000000.0,-132000000.0,-39000000.0,-54000000.0,64.28
2014-09-30,1769000000.0,1333000000.0,436000000.0,118000000.0,310000000.0,253000000.0,1.6400000000000001,385000000.0,310000000.0,154428000.0,1546000000.0,1216000000.0,771000000.0,3687000000.0,6023000000.0,9710000000.0,765000000.0,2189000000.0,2639000000.0,4386000000.0,6575000000.0,3135000000.0,75000000.0,379000000.0,-191000000.0,-194000000.0,-39000000.0,287000000.0,58.52
2014-12-31,1559000000.0,1165000000.0,394000000.0,417000000.0,-54000000.0,-84000000.0,-0.55,18000000.0,-54000000.0,155012000.0,812000000.0,1042000000.0,782000000.0,2698000000.0,6098000000.0,8796000000.0,137000000.0,1338000000.0,2586000000.0,4380000000.0,5718000000.0,3078000000.0,72000000.0,166000000.0,-214000000.0,-228000000.0,-38000000.0,-652000000.0,59.96
2015-03-31,1450000000.0,1069000000.0,381000000.0,98000000.0,257000000.0,236000000.0,1.54,325000000.0,257000000.0,153217000.0,880000000.0,1012000000.0,744000000.0,2696000000.0,5930000000.0,8626000000.0,128000000.0,1195000000.0,2536000000.0,4232000000.0,5427000000.0,3199000000.0,68000000.0,270000000.0,-162000000.0,-173000000.0,-38000000.0,17000000.0,55.86
2015-06-30,1477000000.0,1102000000.0,375000000.0,106000000.0,188000000.0,205000000.0,1.34,295000000.0,188000000.0,153480000.0,1017000000.0,1099000000.0,762000000.0,2923000000.0,6065000000.0,8988000000.0,123000000.0,1268000000.0,2552000000.0,4235000000.0,5503000000.0,3485000000.0,107000000.0,283000000.0,-165000000.0,-181000000.0,-46000000.0,18000000.0,71.88
2015-09-30,1413000000.0,1110000000.0,303000000.0,93000000.0,186000000.0,161000000.0,1.07,268000000.0,186000000.0,149800000.0,982000000.0,1024000000.0,738000000.0,2796000000.0,6112000000.0,8908000000.0,463000000.0,1516000000.0,2541000000.0,4195000000.0,5711000000.0,3197000000.0,82000000.0,173000000.0,-104000000.0,-107000000.0,-47000000.0,-99000000.0,59.17
2015-12-31,1334000000.0,1075000000.0,259000000.0,209000000.0,-305000000.0,-298000000.0,-2.03,-199000000.0,-305000000.0,150838000.0,997000000.0,991000000.0,682000000.0,2787000000.0,5799000000.0,8586000000.0,513000000.0,1550000000.0,2468000000.0,4207000000.0,5757000000.0,2829000000.0,106000000.0,136000000.0,-89000000.0,-97000000.0,-43000000.0,-2000000.0,67.33
2016-03-31,1404000000.0,1014000000.0,390000000.0,80000000.0,287000000.0,257000000.0,1.74,361000000.0,287000000.0,147413000.0,747000000.0,1042000000.0,667000000.0,2503000000.0,5889000000.0,8392000000.0,116000000.0,1095000000.0,2487000000.0,4199000000.0,5294000000.0,3098000000.0,74000000.0,287000000.0,-70000000.0,-75000000.0,-44000000.0,-473000000.0,65.5
2016-06-30,1351000000.0,1013000000.0,338000000.0,71000000.0,243000000.0,221000000.0,1.51,318000000.0,243000000.0,146483000.0,770000000.0,1009000000.0,636000000.0,2456000000.0,5792000000.0,8248000000.0,119000000.0,1087000000.0,2464000000.0,4110000000.0,5197000000.0,3051000000.0,75000000.0,349000000.0,-58000000.0,-63000000.0,-54000000.0,-259000000.0,65.45
2016-09-30,1323000000.0,968000000.0,355000000.0,81000000.0,246000000.0,262000000.0,1.82,320000000.0,246000000.0,144005000.0,1286000000.0,1005000000.0,652000000.0,2978000000.0,5779000000.0,8757000000.0,92000000.0,1098000000.0,2923000000.0,4508000000.0,5606000000.0,3151000000.0,74000000.0,304000000.0,-58000000.0,-54000000.0,-52000000.0,265000000.0,66.56
2016-12-31,1311000000.0,989000000.0,322000000.0,146000000.0,158000000.0,160000000.0,1.13,230000000.0,158000000.0,144939000.0,668000000.0,1024000000.0,720000000.0,2472000000.0,5885000000.0,8357000000.0,118000000.0,1077000000.0,2890000000.0,4259000000.0,5336000000.0,3021000000.0,72000000.0,-47000000.0,-60000000.0,-247000000.0,-51000000.0,-292000000.0,78.74
2017-03-31,1471000000.0,1121000000.0,350000000.0,103000000.0,170000000.0,183000000.0,1.3,242000000.0,170000000.0,140644000.0,532000000.0,1102000000.0,717000000.0,2389000000.0,5899000000.0,8288000000.0,107000000.0,1015000000.0,2851000000.0,4232000000.0,5247000000.0,3041000000.0,72000000.0,192000000.0,-62000000.0,-64000000.0,-51000000.0,-270000000.0,89.85
2017-06-30,1510000000.0,1145000000.0,365000000.0,117000000.0,218000000.0,231000000.0,1.67,295000000.0,218000000.0,138620000.0,541000000.0,1212000000.0,771000000.0,2583000000.0,6300000000.0,8883000000.0,384000000.0,1424000000.0,2931000000.0,4337000000.0,5761000000.0,3122000000.0,77000000.0,298000000.0,-54000000.0,-325000000.0,-65000000.0,21000000.0,94.94
2017-09-30,1566000000.0,1183000000.0,383000000.0,133000000.0,229000000.0,226000000.0,1.65,311000000.0,229000000.0,136579000.0,492000000.0,1249000000.0,809000000.0,2613000000.0,6449000000.0,9062000000.0,435000000.0,1550000000.0,2954000000.0,4377000000.0,5927000000.0,3135000000.0,82000000.0,255000000.0,-64000000.0,-68000000.0,-62000000.0,-247000000.0,104.27
2017-12-31,1593000000.0,1180000000.0,413000000.0,143000000.0,240000000.0,203000000.0,1.49,319000000.0,240000000.0,137903000.0,608000000.0,1230000000.0,900000000.0,2792000000.0,6746000000.0,9538000000.0,326000000.0,1559000000.0,3315000000.0,4680000000.0,6239000000.0,3299000000.0,79000000.0,58000000.0,-87000000.0,-92000000.0,-63000000.0,145000000.0,107.08
2018-03-31,1851000000.0,1336000000.0,515000000.0,147000000.0,343000000.0,363000000.0,2.67,423000000.0,343000000.0,135916000.0,522000000.0,1476000000.0,955000000.0,3006000000.0,6774000000.0,9780000000.0,425000000.0,1602000000.0,3343000000.0,4513000000.0,6115000000.0,3665000000.0,80000000.0,143000000.0,-86000000.0,-235000000.0,-63000000.0,-2000000.0,100.21
2018-06-30,1844000000.0,1323000000.0,521000000.0,136000000.0,358000000.0,344000000.0,2.54,446000000.0,358000000.0,135590000.0,740000000.0,1445000000.0,917000000.0,3153000000.0,6636000000.0,9789000000.0,366000000.0,1610000000.0,3228000000.0,4392000000.0,6002000000.0,3787000000.0,88000000.0,585000000.0,-79000000.0,-96000000.0,-73000000.0,-254000000.0,111.06
2018-09-30,1771000000.0,1255000000.0,516000000.0,129000000.0,374000000.0,401000000.0,2.98,464000000.0,374000000.0,134519000.0,734000000.0,1365000000.0,1033000000.0,3180000000.0,6644000000.0,9824000000.0,229000000.0,1532000000.0,3196000000.0,4349000000.0,5881000000.0,3943000000.0,90000000.0,467000000.0,-79000000.0,-78000000.0,-73000000.0,-383000000.0,114.0
2018-12-31,1689000000.0,1269000000.0,420000000.0,134000000.0,259000000.0,99000000.0,0.75,350000000.0,259000000.0,134305000.0,470000000.0,1318000000.0,1046000000.0,2874000000.0,6439000000.0,9313000000.0,561000000.0,1779000000.0,2970000000.0,4155000000.0,5934000000.0,3379000000.0,91000000.0,363000000.0,-93000000.0,-98000000.0,-71000000.0,-526000000.0,89.97
2019-03-31,1687000000.0,1234000000.0,453000000.0,120000000.0,320000000.0,337000000.0,2.64,404000000.0,320000000.0,127542000.0,470000000.0,1358000000.0,1009000000.0,2884000000.0,6690000000.0,9574000000.0,743000000.0,1822000000.0,2933000000.0,4313000000.0,6135000000.0,3439000000.0,84000000.0,307000000.0,-79000000.0,-177000000.0,-70000000.0,-130000000.0,98.61
2019-06-30,1592000000.0,1169000000.0,423000000.0,118000000.0,186000000.0,209000000.0,1.67,272000000.0,186000000.0,125290000.0,518000000.0,1303000000.0,1011000000.0,2876000000.0,6630000000.0,9506000000.0,319000000.0,1408000000.0,3444000000.0,4844000000.0,6252000000.0,3254000000.0,86000000.0,424000000.0,-65000000.0,-66000000.0,-78000000.0,-307000000.0,107.8
2019-09-30,1586000000.0,1172000000.0,414000000.0,120000000.0,260000000.0,263000000.0,2.14,355000000.0,260000000.0,122700000.0,523000000.0,1282000000.0,994000000.0,2843000000.0,6571000000.0,9414000000.0,368000000.0,1533000000.0,3359000000.0,4742000000.0,6275000000.0,3139000000.0,95000000.0,397000000.0,-82000000.0,-82000000.0,-84000000.0,-299000000.0,122.29
2019-12-31,1432000000.0,1116000000.0,316000000.0,125000000.0,68000000.0,43000000.0,0.36,159000000.0,68000000.0,123926000.0,503000000.0,1181000000.0,1038000000.0,2765000000.0,6711000000.0,9476000000.0,496000000.0,1754000000.0,3409000000.0,4824000000.0,6578000000.0,2898000000.0,91000000.0,326000000.0,-144000000.0,-168000000.0,-68000000.0,-199000000.0,123.12
2020-03-31,1460000000.0,1112000000.0,348000000.0,125000000.0,194000000.0,218000000.0,1.83,280000000.0,194000000.0,119252000.0,608000000.0,1160000000.0,1036000000.0,2855000000.0,6690000000.0,9545000000.0,749000000.0,1928000000.0,3356000000.0,4781000000.0,6709000000.0,2836000000.0,86000000.0,259000000.0,-119000000.0,-128000000.0,-79000000.0,-16000000.0,73.39
2020-06-30,1193000000.0,951000000.0,242000000.0,114000000.0,83000000.0,107000000.0,0.9,172000000.0,83000000.0,118340000.0,575000000.0,1041000000.0,1031000000.0,2709000000.0,6797000000.0,9506000000.0,1045000000.0,2262000000.0,2989000000.0,4375000000.0,6637000000.0,2869000000.0,89000000.0,379000000.0,-88000000.0,-181000000.0,-69000000.0,-232000000.0,86.34
2020-09-30,1411000000.0,1084000000.0,327000000.0,106000000.0,184000000.0,207000000.0,1.75,274000000.0,184000000.0,118045000.0,650000000.0,1063000000.0,1001000000.0,2771000000.0,6998000000.0,9769000000.0,958000000.0,2409000000.0,3140000000.0,4476000000.0,6885000000.0,2884000000.0,90000000.0,431000000.0,-72000000.0,-78000000.0,-94000000.0,-290000000.0,107.45
2020-12-31,1591000000.0,1215000000.0,376000000.0,137000000.0,203000000.0,1453000000.0,12.56,294000000.0,203000000.0,117817000.0,1488000000.0,1242000000.0,978000000.0,3763000000.0,7146000000.0,10909000000.0,496000000.0,1973000000.0,3227000000.0,5041000000.0,7014000000.0,3895000000.0,91000000.0,274000000.0,-85000000.0,979000000.0,-51000000.0,-933000000.0,129.94
2021-03-31,1798000000.0,1313000000.0,485000000.0,137000000.0,326000000.0,322000000.0,2.84,417000000.0,326000000.0,113511000.0,1122000000.0,1510000000.0,1025000000.0,3710000000.0,7046000000.0,10756000000.0,497000000.0,1935000000.0,3135000000.0,4914000000.0,6849000000.0,3907000000.0,91000000.0,116000000.0,-92000000.0,98000000.0,-83000000.0,-371000000.0,149.81
2021-06-30,2198000000.0,1437000000.0,761000000.0,161000000.0,567000000.0,538000000.0,4.79,660000000.0,567000000.0,112294000.0,1083000000.0,1788000000.0,1118000000.0,4061000000.0,7159000000.0,11220000000.0,500000000.0,2129000000.0,3156000000.0,4934000000.0,7063000000.0,4157000000.0,93000000.0,427000000.0,-110000000.0,177000000.0,-84000000.0,-344000000.0,151.6
2021-09-30,2266000000.0,1551000000.0,715000000.0,165000000.0,536000000.0,506000000.0,4.58,630000000.0,536000000.0,110532000.0,1368000000.0,1738000000.0,1159000000.0,4355000000.0,7228000000.0,11583000000.0,103000000.0,1812000000.0,3724000000.0,5500000000.0,7312000000.0,4271000000.0,94000000.0,630000000.0,-102000000.0,-108000000.0,-84000000.0,-228000000.0,150.64
2021-12-31,2275000000.0,1554000000.0,721000000.0,170000000.0,517000000.0,524000000.0,4.82,617000000.0,517000000.0,111224000.0,536000000.0,1667000000.0,1524000000.0,3807000000.0,8168000000.0,11975000000.0,791000000.0,2505000000.0,3176000000.0,4933000000.0,7438000000.0,4537000000.0,100000000.0,584000000.0,-163000000.0,-1286000000.0,-53000000.0,-99000000.0,168.06
2022-03-31,2538000000.0,1793000000.0,745000000.0,174000000.0,531000000.0,502000000.0,4.64,637000000.0,531000000.0,108186000.0,614000000.0,1913000000.0,1549000000.0,4200000000.0,8226000000.0,12426000000.0,860000000.0,2554000000.0,3132000000.0,4919000000.0,7473000000.0,4953000000.0,106000000.0,316000000.0,-137000000.0,-149000000.0,-77000000.0,-95000000.0,142.87
2022-06-30,2486000000.0,1781000000.0,705000000.0,197000000.0,483000000.0,434000000.0,4.0,590000000.0,483000000.0,108392000.0,790000000.0,1827000000.0,1713000000.0,4459000000.0,8254000000.0,12713000000.0,809000000.0,2595000000.0,3022000000.0,4893000000.0,7488000000.0,5225000000.0,107000000.0,495000000.0,-124000000.0,-136000000.0,-77000000.0,-159000000.0,117.61
2022-09-30,2301000000.0,1755000000.0,546000000.0,184000000.0,308000000.0,191000000.0,1.76,413000000.0,308000000.0,108429000.0,9671000000.0,1612000000.0,1723000000.0,13192000000.0,8145000000.0,21337000000.0,977000000.0,2788000000.0,11360000000.0,13255000000.0,16043000000.0,5294000000.0,105000000.0,467000000.0,-139000000.0,-143000000.0,-76000000.0,8600000000.0,90.34
