,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,Shares,Cash & Equivalents,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2014-09-30,1254000000.0,93000000.0,1161000000.0,849000000.0,274000000.0,189000000.0,0.34,559998000.0,3181000000.0,95004000000.0,36337000000.0,131341000000.0,0.0,105362000000.0,2062000000.0,6596000000.0,111958000000.0,19383000000.0,129000000.0,186000000.0,-11000000.0,-1797000000.0,-383000000.0,-856000000.0,23.42
2014-12-31,1280000000.0,101000000.0,1179000000.0,853000000.0,283000000.0,197000000.0,0.36,556674000.0,3646000000.0,96142000000.0,36715000000.0,132857000000.0,0.0,106236000000.0,4642000000.0,7353000000.0,113589000000.0,19268000000.0,83000000.0,183000000.0,-119000000.0,-2867000000.0,-55000000.0,3071000000.0,24.86
2015-03-31,1289000000.0,106000000.0,1183000000.0,832000000.0,315000000.0,209000000.0,0.38,546291000.0,5619000000.0,99287000000.0,37248000000.0,136535000000.0,0.0,110415000000.0,3904000000.0,6556000000.0,116971000000.0,19564000000.0,117000000.0,98000000.0,-7000000.0,-1740000000.0,-55000000.0,3370000000.0,24.13
2015-06-30,1312000000.0,112000000.0,1200000000.0,881000000.0,282000000.0,190000000.0,0.35000000000000003,537729000.0,3055000000.0,100028000000.0,37223000000.0,137251000000.0,0.0,111161000000.0,3890000000.0,6504000000.0,117665000000.0,19586000000.0,126000000.0,417000000.0,-21000000.0,-3230000000.0,-53000000.0,678000000.0,27.31
2015-09-30,1327000000.0,118000000.0,1209000000.0,839000000.0,335000000.0,213000000.0,0.4,530985000.0,2119000000.0,98769000000.0,36678000000.0,135447000000.0,0.0,109020000000.0,4153000000.0,6827000000.0,115847000000.0,19600000000.0,120000000.0,316000000.0,-14000000.0,774000000.0,-53000000.0,-2203000000.0,23.86
2015-12-31,1348000000.0,116000000.0,1232000000.0,863000000.0,331000000.0,221000000.0,0.42,535600000.0,3441000000.0,101632000000.0,36576000000.0,138208000000.0,0.0,105971000000.0,9886000000.0,12591000000.0,118562000000.0,19646000000.0,125000000.0,398000000.0,-64000000.0,-1709000000.0,-53000000.0,2640000000.0,26.19
2016-03-31,1349000000.0,115000000.0,1234000000.0,863000000.0,332000000.0,216000000.0,0.41000000000000003,528071000.0,2389000000.0,103068000000.0,37009000000.0,140077000000.0,0.0,106620000000.0,10035000000.0,13492000000.0,120112000000.0,19965000000.0,127000000.0,374000000.0,-5000000.0,-2321000000.0,-53000000.0,717000000.0,20.95
2016-06-30,1401000000.0,123000000.0,1278000000.0,876000000.0,361000000.0,243000000.0,0.46,528968000.0,4382000000.0,107669000000.0,37514000000.0,145183000000.0,0.0,109744000000.0,11810000000.0,15213000000.0,124957000000.0,20226000000.0,134000000.0,330000000.0,-14000000.0,-3316000000.0,-64000000.0,4786000000.0,19.98
2016-09-30,1514000000.0,134000000.0,1380000000.0,907000000.0,427000000.0,290000000.0,0.56,519459000.0,3635000000.0,108388000000.0,38627000000.0,147015000000.0,0.0,111739000000.0,11902000000.0,15095000000.0,126834000000.0,20181000000.0,132000000.0,494000000.0,-22000000.0,-3062000000.0,-62000000.0,1828000000.0,24.71
2016-12-31,1499000000.0,136000000.0,1363000000.0,905000000.0,414000000.0,282000000.0,0.55,522093000.0,4143000000.0,111201000000.0,38319000000.0,149520000000.0,0.0,114163000000.0,12790000000.0,15610000000.0,129773000000.0,19747000000.0,122000000.0,292000000.0,-94000000.0,-2627000000.0,-62000000.0,3124000000.0,35.63
