,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1336500000.0,661400000.0,675100000.0,44300000.0,627800000.0,406500000.0,1.306,734900000.0,627800000.0,311500000.0,2210300000.0,242700000.0,385800000.0,2907700000.0,7430700000.0,10338400000.0,0.0,1285300000.0,1600000000.0,2935400000.0,4220700000.0,6117700000.0,107100000.0,678700000.0,-149500000.0,-196700000.0,-25200000.0,-528400000.0,38.07
2013-06-30,1714900000.0,849700000.0,865200000.0,44500000.0,833700000.0,498200000.0,1.686,940300000.0,833700000.0,295500000.0,2008300000.0,294300000.0,321000000.0,2719500000.0,7532100000.0,10251600000.0,0.0,577100000.0,3098000000.0,4331100000.0,4908200000.0,5343400000.0,106600000.0,-110400000.0,-245500000.0,-269200000.0,-23700000.0,98600000.0,34.3
2013-09-30,1097000000.0,710900000.0,386100000.0,32200000.0,385400000.0,234100000.0,0.8180000000000001,485499900.0,385400000.0,286500000.0,2397600000.0,186900000.0,357400000.0,3059700000.0,7739300000.0,10799000000.0,0.0,912900000.0,3098000000.0,4424100000.0,5337000000.0,5462000000.0,100100000.0,861000000.0,-226800000.0,-265000000.0,-23000000.0,-235500000.0,42.17
2013-12-31,1326300000.0,732500100.0,593800200.0,45000000.0,564800400.0,325800000.0,1.146,661600300.0,564800400.0,294400000.0,1864800000.0,230900000.0,274300000.0,2630100000.0,8048000000.0,10678100000.0,0.0,828300000.0,3098100000.0,4411400000.0,5239700000.0,5438400000.0,96800000.0,37500000.0,-189400000.0,-288400000.0,-57200000.0,-315000000.0,46.61
2014-03-31,1132600000.0,689800000.0,442800000.0,41700000.0,1169800000.0,708500000.0,2.586,1275100000.0,1169800000.0,274000000.0,4183500000.0,215700000.0,384400000.0,4911100000.0,7564400000.0,12475500000.0,0.0,1435700000.0,4592300000.0,5731500000.0,7167200000.0,5308300000.0,105300000.0,750000000.0,-391100000.0,469000000.0,-55200000.0,602800000.0,52.13
2014-06-30,1472700000.0,882400000.0,590299900.0,39500000.0,531299900.0,312600000.0,1.224,629099900.0,531299900.0,255300000.0,2839100000.0,258300000.0,205000000.0,3405700000.0,7899200000.0,11304900000.0,0.0,720300000.0,4592400000.0,5739500000.0,6459800000.0,4845100000.0,97800000.0,-194700000.0,-288000000.0,-268700000.0,-52000000.0,-874600000.0,48.11
2014-09-30,921400000.0,620300000.0,301100000.0,38200000.0,246600000.0,130900000.0,0.526,342000000.0,246600000.0,248400000.0,2796800000.0,156900000.0,254800000.0,3338700000.0,8321101000.0,11659800000.0,0.0,1048800000.0,4592400000.0,5755700000.0,6804500000.0,4855300000.0,95400000.0,621600000.0,-583400000.0,-78400000.0,-74200000.0,-82700000.0,55.84
2014-12-31,1216300000.0,772499900.0,443800200.0,32600000.0,418300200.0,238000000.0,0.966,512800200.0,418299900.0,255900000.0,2082700000.0,191500000.0,202900000.0,2530500000.0,8723699000.0,11254200000.0,0.0,979700000.0,4592500000.0,5702000000.0,6681700000.0,4572500000.0,94500000.0,244100000.0,-535500000.0,-465900000.0,-74600000.0,-432500000.0,54.51
2015-03-31,954000000.0,538000000.0,416000000.0,40000000.0,367000000.0,231000000.0,0.962,482000000.0,367000000.0,239700000.0,1842100000.0,167100000.0,267700000.0,2379700000.0,9105601000.0,11485300000.0,0.0,1311300000.0,4592500000.0,5755500000.0,7066800000.0,4418500000.0,115000000.0,531000000.0,-442000000.0,-430000000.0,-72000000.0,-314000000.0,56.74
2015-06-30,1311000000.0,625000000.0,686000000.0,38000000.0,630000000.0,352000000.0,1.5,734000000.0,630000000.0,235200000.0,863900000.0,194900000.0,205300000.0,1366400000.0,9632001000.0,10998400000.0,0.0,753500000.0,4592600000.0,5769100000.0,6522600000.0,4475800000.0,104000000.0,-32000000.0,-582000000.0,-571000000.0,-71000000.0,-366000000.0,64.28
2015-09-30,928000000.0,763000000.0,165000000.0,42000000.0,59000000.0,90000000.0,0.39,188000000.0,59000000.0,233100000.0,969100000.0,251900000.0,329800000.0,1764200000.0,11105600000.0,12869800000.0,0.0,1273600000.0,5592600000.0,7128700000.0,8402300000.0,4467500000.0,129000000.0,575000000.0,-758000000.0,-1298000000.0,-69000000.0,859000000.0,44.9
2015-12-31,1115000000.0,835000000.0,280000000.0,50000000.0,137000000.0,27000000.0,0.11,269000000.0,137000000.0,235300000.0,309000000.0,267000000.0,321000000.0,1127000000.0,11556000000.0,12683000000.0,0.0,1215000000.0,5537000000.0,7081000000.0,8296000000.0,4387000000.0,132000000.0,133000000.0,-675000000.0,-677000000.0,-70000000.0,-102000000.0,40.81
2016-03-31,1004000000.0,787000000.0,217000000.0,45000000.0,97000000.0,26000000.0,0.11,243000000.0,97000000.0,233200000.0,2701000000.0,262000000.0,304000000.0,3520000000.0,12061000000.0,15581000000.0,0.0,1273000000.0,5539000000.0,7114000000.0,8387000000.0,7194000000.0,146000000.0,346000000.0,-674000000.0,-662000000.0,-70000000.0,2717000000.0,31.34
2016-06-30,1134000000.0,607000000.0,527000000.0,52000000.0,238000000.0,47000000.0,0.2,419000000.0,238000000.0,233300000.0,2015000000.0,239000000.0,231000000.0,3374000000.0,12388000000.0,15762000000.0,0.0,773000000.0,5540000000.0,7824000000.0,8597000000.0,7165000000.0,181000000.0,100000000.0,-703000000.0,-696000000.0,-70000000.0,-82000000.0,24.1
2016-09-30,680000000.0,678000000.0,2000000.0,44000000.0,-101000000.0,-30000000.0,-0.13,47000000.0,-101000000.0,233100000.0,1561000000.0,207000000.0,312000000.0,2931000000.0,12701000000.0,15632000000.0,0.0,966000000.0,5540000000.0,7686000000.0,8652000000.0,6980000000.0,148000000.0,145000000.0,-434000000.0,-433000000.0,-69000000.0,-166000000.0,24.35
2016-12-31,867000000.0,770000000.0,97000000.0,32000000.0,-96000000.0,-320000000.0,-1.37,107000000.0,-96000000.0,233100000.0,1169000000.0,236000000.0,339000000.0,2655000000.0,12476000000.0,15131000000.0,0.0,686000000.0,5778000000.0,7953000000.0,8639000000.0,6492000000.0,203000000.0,26000000.0,-386000000.0,-404000000.0,-71000000.0,-30000000.0,31.48
2017-03-31,1037000000.0,930000000.0,107000000.0,46000000.0,58000000.0,-23000000.0,-0.1,263000000.0,58000000.0,233100000.0,1316000000.0,252000000.0,364000000.0,2805000000.0,12380000000.0,15185000000.0,0.0,853000000.0,5780000000.0,7949000000.0,8802000000.0,6383000000.0,205000000.0,356000000.0,-86000000.0,-86000000.0,-70000000.0,-124000000.0,29.35
2017-06-30,1124000000.0,951000000.0,173000000.0,49000000.0,108000000.0,3000000.0,0.01,325000000.0,108000000.0,233500000.0,2005000000.0,282000000.0,325000000.0,2675000000.0,12261000000.0,14936000000.0,797000000.0,1441000000.0,4986000000.0,7105000000.0,8546000000.0,6390000000.0,217000000.0,831000000.0,-87000000.0,-72000000.0,-70000000.0,-75000000.0,27.96
2017-09-30,870000000.0,859000000.0,11000000.0,45000000.0,-37000000.0,-87000000.0,-0.37,189000000.0,-37000000.0,233200000.0,1992000000.0,279000000.0,316000000.0,2651000000.0,12206000000.0,14857000000.0,798000000.0,1551000000.0,4988000000.0,7066000000.0,8617000000.0,6240000000.0,226000000.0,214000000.0,-104000000.0,-98000000.0,-70000000.0,-136000000.0,35.16
