,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,779300000.0,429200000.0,350100000.0,180800000.0,169300000.0,107700000.0,0.39,192900000.0,169300000.0,276600000.0,279300000.0,332400000.0,259100000.0,911800000.0,3152700000.0,4064500000.0,203900000.0,655600000.0,649400000.0,1323400000.0,1979000000.0,2085500000.0,23600000.0,72300000.0,-10400000.0,-33300000.0,-38600000.0,-118900000.0,32.31
2013-06-30,787600000.0,436600000.0,351000000.0,210500000.0,140500000.0,86600000.0,0.31,163200000.0,140500000.0,277000000.0,274100000.0,327400000.0,255500000.0,911000000.0,3136700000.0,4047700000.0,154800000.0,580400000.0,649500000.0,1320600000.0,1901000000.0,2146700000.0,22700000.0,88700000.0,-9700000.0,7600000.0,-38900000.0,-76200000.0,30.85
2013-09-30,804800000.0,439600000.0,365200000.0,197400000.0,167800000.0,107900000.0,0.39,189400000.0,167800000.0,277600000.0,445500000.0,323900000.0,258400000.0,1065300000.0,3133500000.0,4198800000.0,154000000.0,640100000.0,649500000.0,1328000000.0,1968100000.0,2230700000.0,21600000.0,215600000.0,-10200000.0,-13400000.0,-38800000.0,-34900000.0,30.02
2013-12-31,822600000.0,450900100.0,371700000.0,227100000.0,144599900.0,92200000.0,0.33,167199900.0,144600000.0,277200000.0,496900000.0,330200000.0,250500000.0,1115800000.0,3143900000.0,4259700000.0,153800000.0,651200000.0,649500000.0,1308500000.0,1959700000.0,2300000000.0,22600000.0,123000000.0,-36800000.0,-38000000.0,-38900000.0,-29800000.0,33.14
2014-03-31,782000000.0,442600000.0,339400000.0,177400000.0,162000000.0,102600000.0,0.37,184800000.0,162000000.0,276000000.0,300000000.0,344400000.0,265000000.0,953800000.0,3132600000.0,4086400000.0,153500000.0,658600000.0,649600000.0,1314400000.0,1973000000.0,2113400000.0,22800000.0,102400000.0,-6300000.0,-6600000.0,-42500000.0,-289900000.0,34.53
2014-06-30,808300000.0,451900000.0,356400000.0,218200000.0,138200000.0,88800000.0,0.33,161100000.0,138200000.0,269600000.0,196900000.0,342800000.0,271000000.0,864400000.0,3123700000.0,3988100000.0,153100000.0,645400000.0,649600000.0,1322800000.0,1968200000.0,2019900000.0,22900000.0,104400000.0,-10800000.0,-11400000.0,-42100000.0,-200400000.0,34.97
2014-09-30,841800000.0,474300000.0,367500000.0,190300000.0,177200000.0,115900000.0,0.435,199200000.0,177200000.0,267400000.0,370200000.0,321300000.0,261600000.0,992800000.0,3333000000.0,4325800000.0,404100000.0,918400000.0,649600000.0,1320000000.0,2238400000.0,2087400000.0,22000000.0,201900000.0,-19100000.0,-235600000.0,-41400000.0,218700000.0,35.08
2014-12-31,865500000.0,475899900.0,389600100.0,225800000.0,163800000.0,106600000.0,0.4,187300000.0,163800200.0,270200000.0,423000000.0,322900000.0,245900000.0,1018100000.0,3341100000.0,4359200000.0,396600000.0,905300000.0,690000000.0,1352000000.0,2257300000.0,2101900000.0,23500000.0,131600000.0,-34300000.0,-34800000.0,-41500000.0,-35000000.0,39.4
2015-03-31,812300000.0,456800000.0,355500000.0,183400000.0,172100000.0,107200000.0,0.405,198100000.0,172100000.0,264000000.0,299700000.0,337100000.0,256800000.0,932000000.0,3412700000.0,4344700000.0,523300000.0,1050400000.0,703500000.0,1385600000.0,2436000000.0,1908700000.0,26000000.0,144200000.0,-21900000.0,-97900000.0,-43700000.0,-153900000.0,42.71
2015-06-30,847100000.0,474000000.0,373100000.0,230800000.0,142300000.0,73700000.0,0.28,167700000.0,142300000.0,261800000.0,203200000.0,340400000.0,270800000.0,848100000.0,3380100000.0,4228200000.0,373600000.0,885500000.0,700100000.0,1371100000.0,2256600000.0,1971600000.0,25400000.0,104200000.0,-12100000.0,-13000000.0,-43800000.0,-194000000.0,40.56
2015-09-30,861800000.0,476000000.0,385800000.0,195200000.0,190600000.0,120400000.0,0.46,215500000.0,190600000.0,262200000.0,210600000.0,330700000.0,274300000.0,851700000.0,3366100000.0,4217800000.0,275000000.0,783000000.0,706000000.0,1385200000.0,2168200000.0,2049600000.0,24900000.0,160400000.0,-10700000.0,-11700000.0,-43900000.0,-132400000.0,41.95
2015-12-31,873600000.0,476200000.0,397400000.0,228200000.0,169199900.0,109100000.0,0.42,193899900.0,169200000.0,262200000.0,330000000.0,276200000.0,274000000.0,906000000.0,3350900000.0,4256900000.0,357200000.0,872700000.0,692800000.0,1361000000.0,2233700000.0,2023200000.0,24700000.0,197300000.0,-17100000.0,-18600000.0,-43900000.0,-54700000.0,42.44
