,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,2994267000.0,2538545000.0,455722200.0,287016000.0,168706100.0,103343000.0,0.64,182513100.0,168706100.0,160637000.0,159900000.0,1469826000.0,1690579000.0,1139981000.0,2830560000.0,390629000.0,1249427000.0,0.0,91448000.0,1340875000.0,1489685000.0,13807000.0,-58050000.0,-8745000.0,-10134000.0,-56473000.0,18627000.0,59.46
2013-06-30,3288262000.0,2815660000.0,472602100.0,290126000.0,182476100.0,111872000.0,0.7000000000000001,196621100.0,182476100.0,159818000.0,150017000.0,1570886000.0,1782968000.0,1138577000.0,2921545000.0,365652000.0,1330987000.0,0.0,91493000.0,1422480000.0,1499065000.0,14145000.0,116321000.0,-9571000.0,6790000.0,-56558000.0,-129867000.0,56.31
2013-09-30,3316665000.0,2853359000.0,463305900.0,286951000.0,176355000.0,107737000.0,0.6900000000000001,190455000.0,176355000.0,156924000.0,129723000.0,1564997000.0,1753441000.0,1138127000.0,2891568000.0,350000000.0,1306231000.0,500000000.0,596774000.0,1903005000.0,988563000.0,14100000.0,124658000.0,-9545000.0,-11545000.0,-54099000.0,-134914000.0,59.59
2013-12-31,3152882000.0,2708416000.0,444466300.0,289352100.0,155114300.0,92952000.0,0.62,169944300.0,155113300.0,156915000.0,162047000.0,1449581000.0,1664485000.0,1138333000.0,2802818000.0,375000000.0,1269981000.0,500000000.0,593113000.0,1863094000.0,939724000.0,14830000.0,164848000.0,-12493000.0,-13970000.0,-53127000.0,-118750000.0,58.35
2014-03-31,3142585000.0,2685350000.0,457235100.0,300264000.0,156971200.0,93187000.0,0.63,171520200.0,156971200.0,148517000.0,142813000.0,1612034000.0,1823082000.0,1137086000.0,2960168000.0,410000000.0,1380489000.0,500000000.0,598082000.0,1978571000.0,981597000.0,14549000.0,14440000.0,-11124000.0,-12327000.0,-52420000.0,-21431000.0,52.39
2014-06-30,3502918000.0,2981881000.0,521036900.0,320655000.0,200381800.0,118596000.0,0.8,215181800.0,200381800.0,147826000.0,144215000.0,1699787000.0,1909201000.0,1127905000.0,3037106000.0,400000000.0,1430998000.0,500000000.0,596007000.0,2027005000.0,1010101000.0,14800000.0,113928000.0,-3736000.0,-6229000.0,-52489000.0,-106020000.0,63.79
2014-09-30,3467362000.0,2939798000.0,527564200.0,324227000.0,203337200.0,124981000.0,0.85,217430200.0,203337200.0,146646000.0,127716000.0,1640634000.0,1824716000.0,1117068000.0,2941784000.0,345000000.0,1329202000.0,500000000.0,593865000.0,1923067000.0,1018717000.0,14093000.0,176954000.0,-4431000.0,-6152000.0,-52681000.0,-181043000.0,66.32
2014-12-31,3357202000.0,2855386000.0,501815700.0,314088000.0,187727100.0,112947000.0,0.77,201294100.0,187727800.0,147202000.0,488328000.0,1571591000.0,2105459000.0,1108879000.0,3214338000.0,605000000.0,1575860000.0,500000000.0,591463000.0,2167323000.0,1047015000.0,13567000.0,208104000.0,-3073000.0,-364188000.0,-57418000.0,164857000.0,74.89
2015-03-31,3300890000.0,2775780000.0,525109900.0,343185000.0,181924800.0,106476000.0,0.73,198167800.0,181924800.0,146204000.0,135783000.0,1651427000.0,1846915000.0,1462309000.0,3309224000.0,630000000.0,1651096000.0,500000000.0,600108000.0,2251204000.0,1058020000.0,16243000.0,100395000.0,-3895000.0,-15959000.0,-57335000.0,-67833000.0,73.22
2015-06-30,3545088000.0,2961070000.0,584017800.0,354923000.0,229094700.0,137208000.0,0.9400000000000001,245533700.0,229094700.0,145515000.0,171451000.0,1706429000.0,1944339000.0,1459675000.0,3404014000.0,630000000.0,1694818000.0,500000000.0,597345000.0,2292163000.0,1111851000.0,16439000.0,150801000.0,-7647000.0,-13040000.0,-57182000.0,-105899000.0,62.39
2015-09-30,3419253000.0,2830678000.0,588575000.0,355864000.0,232710900.0,139432000.0,0.96,249541900.0,232710900.0,144578000.0,143087000.0,1651794000.0,1856211000.0,1456354000.0,3312565000.0,530000000.0,1581259000.0,500000000.0,599943000.0,2181202000.0,1131363000.0,16831000.0,213247000.0,-7775000.0,-10997000.0,-56931000.0,-224477000.0,67.78
2015-12-31,3210853000.0,2640076000.0,570776900.0,356198100.0,214579100.0,126583000.0,0.88,231475100.0,214579100.0,144967000.0,168229000.0,1505620000.0,1730698000.0,1453660000.0,3184358000.0,450000000.0,1448597000.0,500000000.0,585311000.0,2033908000.0,1150450000.0,16896000.0,253893000.0,-8798000.0,-14450000.0,-64167000.0,-209532000.0,62.02
2016-03-31,3073943000.0,2510608000.0,563335200.0,364383000.0,198952100.0,118963000.0,0.8300000000000001,215827100.0,198952100.0,143525000.0,179406000.0,1463240000.0,1705716000.0,1456529000.0,3162245000.0,470000000.0,1372055000.0,500000000.0,598384000.0,1970439000.0,1191806000.0,16875000.0,104150000.0,-13121000.0,-18595000.0,-63888000.0,-76590000.0,74.23
2016-06-30,3299741000.0,2705526000.0,594214800.0,360468000.0,233746800.0,143090000.0,1.0,251930800.0,233746800.0,142998000.0,207083000.0,1602631000.0,1879102000.0,1469968000.0,3349070000.0,465000000.0,1491457000.0,500000000.0,594773000.0,2086230000.0,1262840000.0,18184000.0,143111000.0,-20362000.0,-25786000.0,-63632000.0,-87075000.0,74.25
2016-09-30,3355754000.0,2797292000.0,558461900.0,347195000.0,211266800.0,129028000.0,0.9,228923800.0,211266800.0,142611000.0,224449000.0,1682686000.0,1967549000.0,1696513000.0,3664062000.0,725000000.0,1799797000.0,500000000.0,594597000.0,2394394000.0,1269668000.0,17657000.0,129567000.0,-22642000.0,-247668000.0,-63609000.0,135441000.0,70.46
2016-12-31,3414975000.0,2853458000.0,561516400.0,367951000.0,193565400.0,122303000.0,0.86,215518400.0,193565400.0,142706000.0,247666000.0,1711191000.0,2008102000.0,1679656000.0,3687758000.0,740000000.0,1845718000.0,500000000.0,584193000.0,2429911000.0,1257847000.0,21953000.0,152580000.0,-17327000.0,-20939000.0,-54301000.0,-99076000.0,73.26
2017-03-31,3415125000.0,2846559000.0,568565900.0,380608000.0,187958000.0,122080000.0,0.86,210389000.0,187958000.0,141484000.0,229794000.0,1802777000.0,2092610000.0,1683134000.0,3775744000.0,740000000.0,1877367000.0,500000000.0,582503000.0,2459870000.0,1315874000.0,22431000.0,92696000.0,-13537000.0,-18444000.0,-64597000.0,-96728000.0,77.29
2017-06-30,3710018000.0,3136229000.0,573789100.0,391969000.0,181820100.0,111071000.0,0.79,204766100.0,181820100.0,141061000.0,273182000.0,1948204000.0,2285022000.0,1680867000.0,3965889000.0,592000000.0,1797494000.0,750000000.0,831187000.0,2628681000.0,1337208000.0,22946000.0,57315000.0,-10568000.0,-17401000.0,-64209000.0,-384000.0,68.68
2017-09-30,3784451000.0,3190605000.0,593845900.0,399381000.0,194464800.0,119186000.0,0.85,218427800.0,194464800.0,140422000.0,297307000.0,2104314000.0,2454846000.0,1720742000.0,4175588000.0,719000000.0,1986302000.0,750000000.0,834411000.0,2820713000.0,1354875000.0,23963000.0,68338000.0,-8027000.0,-58815000.0,-63959000.0,5880000.0,76.1
2017-12-31,3959786000.0,3327937000.0,631849100.0,420973100.0,210876500.0,152556000.0,1.09,234513500.0,210876200.0,140610000.0,333890000.0,2113930000.0,2510936000.0,1724898000.0,4235834000.0,715000000.0,1987449000.0,750000000.0,822640000.0,2810089000.0,1425745000.0,23637000.0,165652000.0,-7990000.0,-12874000.0,-65457000.0,-110902000.0,89.09
2018-03-31,3925327000.0,3299402000.0,625924800.0,434340000.0,191584700.0,142297000.0,1.02,215825700.0,191584700.0,140032000.0,349782000.0,2019333000.0,2591013000.0,1716763000.0,4307776000.0,651000000.0,1994410000.0,750000000.0,828694000.0,2823104000.0,1484672000.0,24241000.0,200570000.0,-11719000.0,-16189000.0,-65382000.0,-170676000.0,93.71
2018-06-30,4276037000.0,3604554000.0,671483200.0,452475000.0,219008100.0,159163000.0,1.1400000000000001,243246100.0,219008100.0,139464000.0,310575000.0,2202460000.0,2758656000.0,1694628000.0,4453284000.0,66000000.0,1524727000.0,1341054000.0,1410398000.0,2935125000.0,1518159000.0,24238000.0,107900000.0,-8850000.0,-16755000.0,-65177000.0,-120415000.0,83.66
2018-09-30,4291900000.0,3597856000.0,694043900.0,448071000.0,245972900.0,175895000.0,1.27,269895900.0,245972900.0,138797000.0,297801000.0,2251944000.0,2805065000.0,1687657000.0,4492722000.0,0.0,1515332000.0,1341303000.0,1410787000.0,2926119000.0,1566603000.0,23923000.0,220413000.0,-15225000.0,-19563000.0,-64599000.0,-204328000.0,97.92
2018-12-31,4137907000.0,3424124000.0,713783000.0,458266000.0,255516600.0,187150000.0,1.3599999999999999,279843600.0,255517300.0,139010000.0,378615000.0,2162438000.0,2753074000.0,1674338000.0,4427412000.0,5000000.0,1433323000.0,1341352000.0,1399002000.0,2832325000.0,1595087000.0,24327000.0,264013000.0,-9206000.0,-20301000.0,-70061000.0,-159758000.0,84.09
2019-03-31,3751210000.0,3072410000.0,678799800.0,454250000.0,224549800.0,161788000.0,1.17,249109800.0,224549800.0,137854000.0,445473000.0,2057931000.0,2728354000.0,1969090000.0,4697444000.0,0.0,1429664000.0,1341605000.0,1615219000.0,3044883000.0,1652561000.0,24560000.0,256931000.0,-8619000.0,-58000000.0,-69742000.0,-134793000.0,86.99
2019-06-30,3908840000.0,3213624000.0,695216100.0,467681000.0,227535200.0,169180000.0,1.23,252617200.0,227535200.0,137185000.0,355307000.0,2100246000.0,2706573000.0,1977536000.0,4684109000.0,0.0,1496340000.0,1253849000.0,1528458000.0,3024798000.0,1659311000.0,25082000.0,199595000.0,-8155000.0,-31935000.0,-69268000.0,-255567000.0,84.35
2019-09-30,3856132000.0,3222701000.0,633431200.0,432346000.0,201085200.0,146894000.0,1.08,226565200.0,201085200.0,136380000.0,384424000.0,2074449000.0,2683166000.0,1953383000.0,4636549000.0,0.0,1434140000.0,1253091000.0,1529313000.0,2963453000.0,1673096000.0,25480000.0,167332000.0,-9887000.0,-3571000.0,-68855000.0,-126718000.0,84.78
2019-12-31,3793326000.0,3214463000.0,578863300.0,442057000.0,136805700.0,99106100.0,0.73,162132700.0,136805400.0,136955000.0,447858000.0,1974381000.0,2640118000.0,2000942000.0,4641060000.0,142885000.0,1556038000.0,1092448000.0,1414292000.0,2970330000.0,1670730000.0,25327000.0,211561000.0,-9629000.0,-19523000.0,-69921000.0,-134175000.0,78.2
2020-03-31,3805008000.0,3237055000.0,567953100.0,458513000.0,109440200.0,78146000.0,0.58,133833200.0,109440200.0,135474000.0,294572000.0,2092613000.0,2606639000.0,2241681000.0,4848320000.0,320917000.0,1804725000.0,1092660000.0,1456477000.0,3261202000.0,1587118000.0,24393000.0,58499000.0,-7841000.0,-238320000.0,-69871000.0,37040000.0,66.2
2020-06-30,3627846000.0,3013393000.0,614452900.0,425666000.0,188786900.0,143939000.0,1.07,214544900.0,188786900.0,135010000.0,362236000.0,2018190000.0,2603926000.0,2221763000.0,4825689000.0,65000000.0,1673380000.0,1092873000.0,1447981000.0,3121361000.0,1704328000.0,25758000.0,447144000.0,-3780000.0,-4424000.0,-67233000.0,-380378000.0,79.06
2020-09-30,4224800000.0,3635527000.0,589272700.0,421034000.0,168238800.0,136529000.0,1.01,195154800.0,168238800.0,135671000.0,252569000.0,2346384000.0,2852699000.0,2222139000.0,5074838000.0,59979000.0,1760979000.0,1093087000.0,1440500000.0,3201479000.0,1873359000.0,26916000.0,-168594000.0,-5825000.0,-15222000.0,-70324000.0,68354000.0,102.19
2020-12-31,4549453000.0,3908873000.0,640579800.0,433775800.0,206802700.0,147807000.0,1.09,231462700.0,206802700.0,135532000.0,243796000.0,2449577000.0,2941701000.0,2202557000.0,5144258000.0,66000000.0,1839732000.0,1093301000.0,1424593000.0,3264325000.0,1879933000.0,24660000.0,162142000.0,-5687000.0,-13748000.0,-2528000.0,-165683000.0,93.87
2021-03-31,4803869000.0,4101489000.0,702380400.0,479051000.0,223329600.0,173305000.0,1.29,246607600.0,223329600.0,134508000.0,217611000.0,2874463000.0,3410109000.0,2186514000.0,5596623000.0,250000000.0,2300907000.0,1093517000.0,1427529000.0,3728436000.0,1868187000.0,23278000.0,-56692000.0,-5435000.0,-13506000.0,-70030000.0,46763000.0,95.43
2021-06-30,5532726000.0,4783550000.0,749176300.0,488572000.0,260604500.0,193789000.0,1.45,283541500.0,260604500.0,133275000.0,172803000.0,3166769000.0,3722562000.0,2184002000.0,5906564000.0,271215000.0,2586379000.0,1095798000.0,1414015000.0,4000394000.0,1906170000.0,22937000.0,149290000.0,-7421000.0,-31080000.0,-69726000.0,-164870000.0,93.67
2021-09-30,6264000000.0,5819000000.0,444000000.0,134000000.0,310769000.0,247000000.0,1.85,333000000.0,310769000.0,132000000.0,203000000.0,4139000000.0,4431000000.0,2171943000.0,6603000000.0,698000000.0,3252000000.0,1340000000.0,1400113000.0,4652000000.0,1951000000.0,22406000.0,-73498000.0,-13647000.0,-22728000.0,-69170000.0,128018000.0,87.0
2021-12-31,6502000000.0,6066000000.0,436000000.0,568934800.0,287404800.0,230000000.0,1.74,310000000.0,287406300.0,130000000.0,257000000.0,4417000000.0,4804000000.0,2223959000.0,7028000000.0,591000000.0,3326000000.0,1635000000.0,1679836000.0,5006000000.0,2022000000.0,22638000.0,75855000.0,-7694000.0,-18358000.0,-68395000.0,-2338000.0,107.63
2022-03-31,6816000000.0,6323000000.0,493000000.0,560722000.0,345474100.0,270000000.0,2.05,368000000.0,345474100.0,130000000.0,243000000.0,4896000000.0,5279000000.0,2242107000.0,7521000000.0,641000000.0,3541000000.0,1838000000.0,1884633000.0,5426000000.0,2096000000.0,22486000.0,-13928000.0,-10046000.0,-23979000.0,-72855000.0,21770000.0,107.71
2022-06-30,6798000000.0,6212000000.0,587000000.0,561948000.0,469665500.0,348000000.0,2.67,493000000.0,469665500.0,128000000.0,239000000.0,4821000000.0,5168000000.0,2289183000.0,7457000000.0,747000000.0,3486000000.0,1875000000.0,1919274000.0,5405000000.0,2052000000.0,23262000.0,265257000.0,-26735000.0,17784000.0,-72413000.0,-278947000.0,101.37
2022-09-30,6015000000.0,5566000000.0,450000000.0,599585000.0,287608900.0,226000000.0,1.78,311000000.0,287608900.0,125000000.0,188000000.0,4166000000.0,4433000000.0,2362164000.0,6796000000.0,850000000.0,3359000000.0,1713000000.0,1759091000.0,5118000000.0,1678000000.0,22975000.0,625460000.0,49270000.0,-31251000.0,-70990000.0,-636841000.0,96.31
