,Revenue,COGS,Gross Profit,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price,Current Debt
2013-03-31,1103000000.0,868000000.0,235000000.0,230000000.0,154000000.0,0.9500000000000001,239000000.0,230000000.0,163100000.0,380000000.0,2104000000.0,2484000000.0,14553000000.0,17037000000.0,8425000000.0,935000000.0,2827000000.0,11252000000.0,5785000000.0,9000000.0,57000000.0,-1000000.0,-102000000.0,-65000000.0,-62000000.0,47.22,0
2013-06-30,1104000000.0,938000000.0,166000000.0,162000000.0,110000000.0,0.67,173000000.0,162000000.0,163500000.0,382000000.0,2127000000.0,2509000000.0,14525000000.0,17034000000.0,8576000000.0,937000000.0,2759000000.0,11335000000.0,5699000000.0,11000000.0,194000000.0,-2000000.0,-128000000.0,-65000000.0,-64000000.0,45.92,0
2013-09-30,1152000000.0,954000000.0,198000000.0,195000000.0,131000000.0,0.79,205000000.0,195000000.0,163700000.0,511000000.0,2171000000.0,2682000000.0,14657000000.0,17339000000.0,8706000000.0,936000000.0,2817000000.0,11523000000.0,5816000000.0,10000000.0,287000000.0,-2000000.0,-90000000.0,-65000000.0,-68000000.0,47.16,0
2013-12-31,1172000000.0,988000000.0,184000000.0,181000000.0,122000000.0,0.74,201000000.0,181000000.0,163500000.0,433000000.0,2099000000.0,2532000000.0,15130000000.0,17662000000.0,8677000000.0,939000000.0,2915000000.0,11592000000.0,6070000000.0,20000000.0,258000000.0,-2000000.0,-189000000.0,-68000000.0,-147000000.0,52.37,0
2014-03-31,1189000000.0,1052000000.0,137000000.0,133000000.0,91000000.0,0.56,146000000.0,133000000.0,163400000.0,521000000.0,2141000000.0,2662000000.0,15280000000.0,17942000000.0,8845000000.0,938000000.0,2929000000.0,11774000000.0,6168000000.0,13000000.0,129000000.0,-3000000.0,39000000.0,-67000000.0,-80000000.0,48.66,0
2014-06-30,1214000000.0,1091000000.0,123000000.0,120000000.0,84000000.0,0.51,132000000.0,120000000.0,163500000.0,462000000.0,2184000000.0,2646000000.0,15689000000.0,18335000000.0,9008000000.0,880000000.0,2984000000.0,11992000000.0,6343000000.0,12000000.0,222000000.0,-2000000.0,-136000000.0,-71000000.0,-145000000.0,48.04,0
2014-09-30,1280000000.0,1005000000.0,275000000.0,272000000.0,183000000.0,1.12,285000000.0,272000000.0,163500000.0,412000000.0,2192000000.0,2604000000.0,15870000000.0,18474000000.0,9047000000.0,878000000.0,3051000000.0,12098000000.0,6376000000.0,13000000.0,282000000.0,-1000000.0,-234000000.0,-70000000.0,-98000000.0,47.05,0
2014-12-31,1262000000.0,1009000000.0,253000000.0,249000000.0,167000000.0,1.03,262000000.0,249000000.0,163500000.0,591000000.0,2148000000.0,2739000000.0,16009000000.0,18748000000.0,9064000000.0,871000000.0,3111000000.0,12175000000.0,6573000000.0,13000000.0,240000000.0,-3000000.0,20000000.0,-70000000.0,-81000000.0,51.83,0
2015-03-31,1285000000.0,1094000000.0,191000000.0,187000000.0,128000000.0,0.78,201000000.0,187000000.0,164000000.0,640000000.0,2165000000.0,2805000000.0,16092000000.0,18897000000.0,9246000000.0,874000000.0,3043000000.0,12289000000.0,6608000000.0,14000000.0,215000000.0,-1000000.0,-88000000.0,-71000000.0,-78000000.0,53.28,0
2015-06-30,1316000000.0,1052000000.0,264000000.0,261000000.0,176000000.0,1.07,274000000.0,261000000.0,164100000.0,487000000.0,2234000000.0,2721000000.0,16167000000.0,18888000000.0,9425000000.0,872000000.0,2966000000.0,12391000000.0,6497000000.0,13000000.0,255000000.0,-4000000.0,-301000000.0,-74000000.0,-107000000.0,50.18,0
