,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,8183000000.0,5909000000.0,2274000000.0,0.0,74000000.0,57000000.0,0.2,224000000.0,74000000.0,283804000.0,3306000000.0,9457000000.0,12763000000.0,42176000000.0,54939000000.0,400000000.0,32221000000.0,4995000000.0,13058000000.0,45279000000.0,9660000000.0,150000000.0,-805000000.0,-84000000.0,962000000.0,0.0,185000000.0,62.37
2013-06-30,7980000000.0,4901000000.0,3079000000.0,0.0,767000000.0,505000000.0,1.76,916000000.0,767000000.0,282043000.0,3209000000.0,9384000000.0,12593000000.0,41236000000.0,53829000000.0,153000000.0,30958000000.0,5030000000.0,13096000000.0,44054000000.0,9775000000.0,149000000.0,82000000.0,-125000000.0,185000000.0,-11000000.0,-339000000.0,72.49
2013-09-30,8066000000.0,4944000000.0,3122000000.0,0.0,799000000.0,553000000.0,1.9500000000000002,945000000.0,799000000.0,278054000.0,3055000000.0,9240000000.0,12295000000.0,41748000000.0,54043000000.0,205000000.0,30884000000.0,5034000000.0,13285000000.0,44169000000.0,9874000000.0,146000000.0,830000000.0,-205000000.0,-407000000.0,0.0,-617000000.0,76.86
2013-12-31,8151000000.0,5111000000.0,3040000000.0,0.0,536000000.0,361000000.0,1.29,688000000.0,536000000.0,279296000.0,2795000000.0,9290000000.0,12085000000.0,42251000000.0,54336000000.0,233000000.0,30393000000.0,5014000000.0,13362000000.0,43755000000.0,10581000000.0,152000000.0,612000000.0,-113000000.0,-725000000.0,11000000.0,-159000000.0,87.48
2014-03-31,8496000000.0,5197000000.0,3299000000.0,0.0,853000000.0,528000000.0,1.92,1003000000.0,853000000.0,269979000.0,2276000000.0,9645000000.0,11921000000.0,43252000000.0,55173000000.0,210000000.0,31098000000.0,5022000000.0,13506000000.0,44604000000.0,10569000000.0,150000000.0,490000000.0,-97000000.0,-506000000.0,0.0,-499000000.0,83.73
2014-06-30,8733000000.0,5319000000.0,3414000000.0,0.0,901000000.0,573000000.0,2.12,1040000000.0,901000000.0,265377000.0,1967000000.0,9789000000.0,11756000000.0,44173000000.0,55929000000.0,121000000.0,31179000000.0,5022000000.0,13798000000.0,44977000000.0,10952000000.0,139000000.0,512000000.0,-139000000.0,-326000000.0,0.0,-508000000.0,91.97
2014-09-30,8757000000.0,5360000000.0,3397000000.0,0.0,818000000.0,534000000.0,2.01,964000000.0,818000000.0,261402000.0,1621000000.0,9660000000.0,11281000000.0,44372000000.0,55653000000.0,121000000.0,30779000000.0,5024000000.0,13699000000.0,44478000000.0,11175000000.0,146000000.0,470000000.0,-114000000.0,-573000000.0,0.0,-217000000.0,90.69
2014-12-31,8928000000.0,5458000000.0,3470000000.0,0.0,732000000.0,467000000.0,1.77,885000000.0,732000000.0,263889000.0,1420000000.0,9837000000.0,11257000000.0,44613000000.0,55870000000.0,147000000.0,31684000000.0,4979000000.0,13397000000.0,45081000000.0,10789000000.0,153000000.0,686000000.0,-123000000.0,-461000000.0,0.0,-411000000.0,102.91
2015-03-31,9467000000.0,5873000000.0,3594000000.0,0.0,854000000.0,533000000.0,2.04,1005000000.0,854000000.0,256707000.0,2620000000.0,10407000000.0,13027000000.0,45095000000.0,58122000000.0,999000000.0,33627000000.0,5062000000.0,13537000000.0,47164000000.0,10958000000.0,151000000.0,737000000.0,-115000000.0,-49000000.0,0.0,530000000.0,129.44
2015-06-30,9492000000.0,5776000000.0,3716000000.0,0.0,936000000.0,588000000.0,2.26,1087000000.0,936000000.0,255730000.0,1969000000.0,10811000000.0,12780000000.0,44352000000.0,57132000000.0,150000000.0,32396000000.0,5046000000.0,13433000000.0,45829000000.0,11303000000.0,151000000.0,446000000.0,-131000000.0,-47000000.0,0.0,-1050000000.0,162.0
2015-09-30,9389000000.0,5769000000.0,3620000000.0,0.0,878000000.0,547000000.0,2.1,1027000000.0,878000000.0,256070000.0,2381000000.0,10650000000.0,13031000000.0,43878000000.0,56909000000.0,149000000.0,32091000000.0,5056000000.0,13031000000.0,45122000000.0,11787000000.0,149000000.0,614000000.0,-111000000.0,-201000000.0,0.0,17000000.0,135.02
2015-12-31,9528000000.0,5872000000.0,3656000000.0,0.0,659000000.0,426000000.0,1.6400000000000001,793000000.0,659000000.0,256149000.0,1968000000.0,10507000000.0,12475000000.0,44613000000.0,57088000000.0,149000000.0,32122000000.0,5020000000.0,12922000000.0,45044000000.0,12044000000.0,134000000.0,1136000000.0,-153000000.0,-1439000000.0,0.0,-106000000.0,146.33
2016-03-31,9884000000.0,6129000000.0,3755000000.0,0.0,819000000.0,519000000.0,2.0,977000000.0,819000000.0,254822000.0,2401000000.0,10681000000.0,13082000000.0,45802000000.0,58884000000.0,399000000.0,33351000000.0,4791000000.0,12849000000.0,46200000000.0,12684000000.0,158000000.0,921000000.0,-112000000.0,-360000000.0,0.0,-146000000.0,137.24
2016-06-30,9960000000.0,6191000000.0,3769000000.0,0.0,813000000.0,510000000.0,1.97,965000000.0,813000000.0,255381000.0,2454000000.0,11034000000.0,13488000000.0,46018000000.0,59506000000.0,300000000.0,33312000000.0,4789000000.0,12830000000.0,46142000000.0,13364000000.0,152000000.0,346000000.0,-142000000.0,-212000000.0,0.0,-77000000.0,127.99
2016-09-30,9880000000.0,6035000000.0,3845000000.0,0.0,742000000.0,456000000.0,1.76,892000000.0,742000000.0,255519000.0,3224000000.0,10116000000.0,13340000000.0,47422000000.0,60762000000.0,271000000.0,33776000000.0,4780000000.0,13004000000.0,46780000000.0,13982000000.0,150000000.0,1912000000.0,-108000000.0,-1122000000.0,0.0,-32000000.0,130.32
2016-12-31,10114000000.0,5986000000.0,4128000000.0,0.0,714000000.0,382000000.0,1.47,864000000.0,714000000.0,255360000.0,3185000000.0,9555000000.0,12740000000.0,46620000000.0,59360000000.0,276000000.0,32879000000.0,4756000000.0,12754000000.0,45633000000.0,13727000000.0,150000000.0,847000000.0,-99000000.0,-880000000.0,0.0,30000000.0,133.39
2017-03-31,10474000000.0,6316000000.0,4158000000.0,0.0,890000000.0,598000000.0,2.3,1036000000.0,890000000.0,255680000.0,4155000000.0,9540000000.0,13695000000.0,47452000000.0,61147000000.0,142000000.0,34044000000.0,4621000000.0,12874000000.0,46918000000.0,14229000000.0,146000000.0,1579000000.0,-91000000.0,-117000000.0,0.0,-515000000.0,146.49
2017-06-30,10425000000.0,6225000000.0,4200000000.0,0.0,1134000000.0,813000000.0,3.15,1274000000.0,1134000000.0,254087000.0,3611000000.0,9721000000.0,13332000000.0,48406000000.0,61738000000.0,141000000.0,34043000000.0,4622000000.0,13148000000.0,47191000000.0,14547000000.0,140000000.0,697000000.0,-103000000.0,-615000000.0,0.0,-628000000.0,167.39
2017-09-30,10489000000.0,6187000000.0,4302000000.0,0.0,824000000.0,560000000.0,2.21,963000000.0,824000000.0,249242000.0,3656000000.0,9469000000.0,13125000000.0,48811000000.0,61936000000.0,141000000.0,34100000000.0,5207000000.0,13691000000.0,47791000000.0,14145000000.0,139000000.0,1235000000.0,-146000000.0,-368000000.0,0.0,-825000000.0,186.94
2017-12-31,10418000000.0,6535000000.0,3883000000.0,0.0,1094000000.0,266000000.0,1.07,1235000000.0,1094000000.0,250892000.0,2972000000.0,8918000000.0,11890000000.0,49869000000.0,61759000000.0,240000000.0,31539000000.0,5199000000.0,16509000000.0,48048000000.0,13711000000.0,141000000.0,575000000.0,-131000000.0,-603000000.0,0.0,-683000000.0,203.09
2018-03-31,11413000000.0,6772000000.0,4641000000.0,2745000000.0,1308000000.0,915000000.0,3.7199999999999998,1448000000.0,1308000000.0,242179000.0,2771000000.0,9400000000.0,12171000000.0,50970000000.0,63141000000.0,110000000.0,35453000000.0,5191000000.0,13493000000.0,48946000000.0,14195000000.0,140000000.0,2025000000.0,-103000000.0,-1700000000.0,0.0,-530000000.0,167.74
2018-06-30,11480000000.0,6845000000.0,4635000000.0,2837000000.0,1161000000.0,806000000.0,3.29,1297000000.0,1161000000.0,242453000.0,3634000000.0,9289000000.0,12923000000.0,50179000000.0,63102000000.0,109000000.0,34838000000.0,5195000000.0,13521000000.0,48359000000.0,14743000000.0,136000000.0,995000000.0,-117000000.0,-99000000.0,0.0,-12000000.0,169.95
2018-09-30,11457000000.0,6803000000.0,4654000000.0,2872000000.0,1132000000.0,772000000.0,3.14,1294000000.0,1132000000.0,242577000.0,24032000000.0,9389000000.0,33421000000.0,49535000000.0,82956000000.0,9000000.0,34168000000.0,25041000000.0,33233000000.0,67401000000.0,15555000000.0,162000000.0,624000000.0,-126000000.0,125000000.0,0.0,19657000000.0,208.25
2018-12-31,14300000000.0,7108000000.0,7192000000.0,3480000000.0,559000000.0,144000000.0,0.55,816000000.0,559000000.0,246652000.0,3855000000.0,15980000000.0,19835000000.0,133391000000.0,153226000000.0,2955000000.0,31895000000.0,39523000000.0,80296000000.0,112191000000.0,41035000000.0,257000000.0,126000000.0,-182000000.0,-24704000000.0,0.0,4400000000.0,189.92
2019-03-31,37946000000.0,7620000000.0,30326000000.0,3303000000.0,2230000000.0,1368000000.0,3.56,3127000000.0,2230000000.0,379387000.0,4976000000.0,16326000000.0,21302000000.0,133046000000.0,154348000000.0,2915000000.0,32969000000.0,37571000000.0,78966000000.0,111935000000.0,42413000000.0,897000000.0,3192000000.0,-194000000.0,475000000.0,0.0,-2534000000.0,160.82
2019-06-30,38819000000.0,7576000000.0,31243000000.0,3380000000.0,2163000000.0,1408000000.0,3.7,3077000000.0,2163000000.0,377962000.0,3610000000.0,17024000000.0,20634000000.0,133767000000.0,154401000000.0,2310000000.0,31867000000.0,36885000000.0,78716000000.0,110583000000.0,43818000000.0,914000000.0,1039000000.0,-303000000.0,-634000000.0,0.0,-1773000000.0,157.55
2019-09-30,38556000000.0,7734000000.0,30822000000.0,3413000000.0,2123000000.0,1351000000.0,3.5700000000000003,3036000000.0,2123000000.0,374842000.0,4577000000.0,16993000000.0,21570000000.0,133277000000.0,154847000000.0,4712000000.0,34447000000.0,34041000000.0,75701000000.0,110148000000.0,44699000000.0,913000000.0,2461000000.0,-243000000.0,-304000000.0,0.0,-1173000000.0,151.79
2019-12-31,38245000000.0,7889000000.0,30356000000.0,3957000000.0,1561000000.0,977000000.0,2.6,2488000000.0,1561000000.0,375919000.0,4619000000.0,15816000000.0,20435000000.0,135339000000.0,155774000000.0,5514000000.0,33326000000.0,31893000000.0,77104000000.0,110430000000.0,45344000000.0,927000000.0,2793000000.0,-310000000.0,-271000000.0,-15000000.0,-1707000000.0,204.49
2020-03-31,38469000000.0,8322000000.0,30147000000.0,3398000000.0,2061000000.0,1181000000.0,3.15,2754000000.0,2061000000.0,370440000.0,4452000000.0,16782000000.0,21234000000.0,133477000000.0,154711000000.0,4340000000.0,33337000000.0,32147000000.0,76288000000.0,109625000000.0,45086000000.0,693000000.0,1887000000.0,-267000000.0,-269000000.0,0.0,-1818000000.0,177.18
2020-06-30,39265000000.0,7112000000.0,32153000000.0,3407000000.0,2639000000.0,1754000000.0,4.73,3333000000.0,2639000000.0,367396000.0,7185000000.0,17636000000.0,24821000000.0,134807000000.0,159628000000.0,4750000000.0,35070000000.0,31774000000.0,77187000000.0,112257000000.0,47371000000.0,694000000.0,3274000000.0,-256000000.0,-237000000.0,-15000000.0,-312000000.0,187.65
2020-09-30,40955000000.0,8429000000.0,32526000000.0,3301000000.0,2108000000.0,1388000000.0,3.7800000000000002,2810000000.0,2108000000.0,364427000.0,5344000000.0,18386000000.0,23730000000.0,136314000000.0,160044000000.0,6449000000.0,36691000000.0,29537000000.0,75314000000.0,112005000000.0,48039000000.0,702000000.0,895000000.0,-252000000.0,-938000000.0,0.0,-1682000000.0,169.41
2020-12-31,41712000000.0,8847000000.0,32865000000.0,3966000000.0,1345000000.0,4135000000.0,11.45,2058000000.0,1345000000.0,364979000.0,10182000000.0,17391000000.0,27573000000.0,127878000000.0,155451000000.0,3374000000.0,36022000000.0,29545000000.0,69101000000.0,105123000000.0,50328000000.0,713000000.0,4294000000.0,-319000000.0,4420000000.0,0.0,-4721000000.0,208.18
2021-03-31,40971000000.0,8005000000.0,32966000000.0,3279000000.0,1957000000.0,1161000000.0,3.3,2672000000.0,1957000000.0,348248000.0,6505000000.0,18763000000.0,25268000000.0,126813000000.0,152081000000.0,404000000.0,33470000000.0,31568000000.0,70456000000.0,103926000000.0,48155000000.0,715000000.0,1093000000.0,-242000000.0,-717000000.0,-345000000.0,-4051000000.0,241.74
2021-06-30,43131000000.0,8484000000.0,34647000000.0,2996000000.0,2147000000.0,1467000000.0,4.25,2878000000.0,2147000000.0,341479000.0,3821000000.0,20576000000.0,24397000000.0,129810000000.0,154207000000.0,1532000000.0,51376000000.0,31606000000.0,54115000000.0,105491000000.0,48716000000.0,731000000.0,-296000000.0,-258000000.0,-2307000000.0,-342000000.0,-62000000.0,237.07
2021-09-30,44356000000.0,8330000000.0,35958000000.0,3093000000.0,2294000000.0,1621000000.0,4.8,3028000000.0,2294000000.0,335000000.0,3483000000.0,21285000000.0,24768000000.0,129483000000.0,154251000000.0,2703000000.0,52916000000.0,31609000000.0,53908000000.0,106824000000.0,47427000000.0,734000000.0,2119000000.0,-350000000.0,-710000000.0,-330000000.0,-1728000000.0,200.16
2021-12-31,45756000000.0,8743000000.0,36945000000.0,3662000000.0,1537000000.0,1116000000.0,3.39,2280000000.0,1537000000.0,325000000.0,5081000000.0,20041000000.0,25122000000.0,129767000000.0,154889000000.0,2545000000.0,37149000000.0,31125000000.0,70610000000.0,107759000000.0,47130000000.0,743000000.0,4275000000.0,-304000000.0,123000000.0,-324000000.0,-2371000000.0,229.63
2022-03-31,43686000000.0,8268000000.0,35737000000.0,3299000000.0,2167000000.0,1183000000.0,3.68,2884000000.0,2167000000.0,318000000.0,4424000000.0,20940000000.0,25364000000.0,127246000000.0,152610000000.0,2173000000.0,37546000000.0,31013000000.0,68955000000.0,106501000000.0,46109000000.0,717000000.0,2030000000.0,-288000000.0,-324000000.0,-357000000.0,-2171000000.0,239.61
2022-06-30,45385000000.0,8192000000.0,37288000000.0,3256000000.0,2381000000.0,1559000000.0,4.9,3140000000.0,2381000000.0,315000000.0,4421000000.0,23164000000.0,27585000000.0,125045000000.0,152630000000.0,2397000000.0,39367000000.0,30984000000.0,67341000000.0,106708000000.0,45922000000.0,759000000.0,1244000000.0,-324000000.0,-408000000.0,-352000000.0,-916000000.0,263.52
2022-09-30,45199000000.0,7754000000.0,37526000000.0,3148000000.0,2141000000.0,2757000000.0,8.97,2867000000.0,2141000000.0,304000000.0,7079000000.0,22101000000.0,29180000000.0,115029000000.0,144209000000.0,3488000000.0,41115000000.0,28090000000.0,58011000000.0,99126000000.0,45083000000.0,726000000.0,3283000000.0,-338000000.0,4446000000.0,-341000000.0,-5517000000.0,277.47
