,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,Shares,Cash & Equivalents,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,659000000.0,30000000.0,629000000.0,432000000.0,197000000.0,132000000.0,0.71,185000000.0,5712000000.0,53981000000.0,10904000000.0,64885000000.0,0.0,53198000000.0,4699000000.0,4699000000.0,57897000000.0,6988000000.0,40000000.0,259000000.0,-19000000.0,958000000.0,-29000000.0,-154000000.0,35.95
2013-06-30,665000000.0,29000000.0,636000000.0,429000000.0,207000000.0,141000000.0,0.77,183000000.0,4044000000.0,52712000000.0,10235000000.0,62947000000.0,0.0,52435000000.0,3601000000.0,3601000000.0,56036000000.0,6911000000.0,40000000.0,-3000000.0,-23000000.0,44000000.0,-32000000.0,-1713000000.0,39.83
2013-09-30,667000000.0,27000000.0,640000000.0,425000000.0,215000000.0,145000000.0,0.8,182000000.0,7194000000.0,54578000000.0,10092000000.0,64670000000.0,0.0,54136000000.0,3565000000.0,3565000000.0,57701000000.0,6969000000.0,33000000.0,154000000.0,-28000000.0,1402000000.0,-31000000.0,1607000000.0,39.31
2013-12-31,675000000.0,26000000.0,649000000.0,482000000.0,167000000.0,115000000.0,0.64,183000000.0,6563000000.0,55323000000.0,9901000000.0,65224000000.0,0.0,54531000000.0,3543000000.0,3543000000.0,58074000000.0,7150000000.0,32000000.0,426000000.0,-32000000.0,-1230000000.0,-31000000.0,167000000.0,47.54
2014-03-31,643000000.0,25000000.0,618000000.0,415000000.0,203000000.0,137000000.0,0.76,180000000.0,5725000000.0,55611000000.0,10070000000.0,65681000000.0,0.0,54864000000.0,3534000000.0,3534000000.0,58398000000.0,7283000000.0,31000000.0,214000000.0,-16000000.0,-1128000000.0,-31000000.0,83000000.0,51.8
2014-06-30,661000000.0,25000000.0,636000000.0,415000000.0,221000000.0,149000000.0,0.8,179000000.0,4003000000.0,55229000000.0,10096000000.0,65325000000.0,0.0,55336000000.0,2620000000.0,2620000000.0,57956000000.0,7369000000.0,35000000.0,132000000.0,-15000000.0,-1389000000.0,-34000000.0,-469000000.0,50.16
2014-09-30,651000000.0,22000000.0,629000000.0,402000000.0,227000000.0,152000000.0,0.85,179000000.0,7899000000.0,58895000000.0,9992000000.0,68887000000.0,0.0,58785000000.0,2669000000.0,2669000000.0,61454000000.0,7433000000.0,35000000.0,219000000.0,-7000000.0,190000000.0,-36000000.0,3484000000.0,49.86
2014-12-31,652000000.0,23000000.0,629000000.0,410000000.0,219000000.0,148000000.0,0.8300000000000001,179000000.0,6170000000.0,58603000000.0,10583000000.0,69186000000.0,0.0,59109000000.0,2675000000.0,2675000000.0,61784000000.0,7402000000.0,35000000.0,74000000.0,-32000000.0,-1416000000.0,-36000000.0,-374000000.0,46.84
2015-03-31,687000000.0,22000000.0,665000000.0,470000000.0,195000000.0,132000000.0,0.73,176000000.0,6063000000.0,58720000000.0,10616000000.0,69336000000.0,0.0,59150000000.0,2686000000.0,2686000000.0,61836000000.0,7500000000.0,34000000.0,338000000.0,-25000000.0,-501000000.0,-36000000.0,54000000.0,45.13
2015-06-30,702000000.0,23000000.0,679000000.0,480000000.0,199000000.0,134000000.0,0.76,176000000.0,6084000000.0,59185000000.0,10760000000.0,69945000000.0,0.0,59581000000.0,2841000000.0,2841000000.0,62422000000.0,7523000000.0,34000000.0,56000000.0,-29000000.0,-923000000.0,-36000000.0,870000000.0,51.32
2015-09-30,708000000.0,26000000.0,682000000.0,483000000.0,199000000.0,134000000.0,0.76,176000000.0,7307000000.0,59859000000.0,11153000000.0,71012000000.0,0.0,60290000000.0,3100000000.0,3100000000.0,63390000000.0,7622000000.0,33000000.0,269000000.0,-24000000.0,401000000.0,-37000000.0,565000000.0,41.1
2015-12-31,722000000.0,24000000.0,698000000.0,541000000.0,157000000.0,115000000.0,0.73,176000000.0,6260000000.0,58827000000.0,13050000000.0,71877000000.0,0.0,61259000000.0,3058000000.0,3058000000.0,64317000000.0,7560000000.0,30000000.0,202000000.0,-41000000.0,-2232000000.0,-38000000.0,977000000.0,41.83
2016-03-31,716000000.0,25000000.0,691000000.0,606000000.0,85000000.0,59000000.0,0.34,173000000.0,3096000000.0,55952000000.0,13055000000.0,69007000000.0,0.0,58254000000.0,3109000000.0,3109000000.0,61363000000.0,7644000000.0,32000000.0,248000000.0,-27000000.0,-258000000.0,-37000000.0,-3135000000.0,37.87
2016-06-30,741000000.0,28000000.0,713000000.0,514000000.0,199000000.0,103000000.0,0.6000000000000001,173000000.0,4210000000.0,58217000000.0,13063000000.0,71280000000.0,0.0,57665000000.0,5921000000.0,5921000000.0,63586000000.0,7694000000.0,31000000.0,-4000000.0,-27000000.0,-1122000000.0,-37000000.0,2234000000.0,41.13
2016-09-30,752000000.0,30000000.0,722000000.0,489000000.0,233000000.0,148000000.0,0.87,171000000.0,8132000000.0,61112000000.0,13012000000.0,74124000000.0,0.0,60507000000.0,5890000000.0,5890000000.0,66397000000.0,7727000000.0,35000000.0,158000000.0,-17000000.0,1073000000.0,-38000000.0,2699000000.0,47.32
2016-12-31,751000000.0,29000000.0,722000000.0,476000000.0,246000000.0,163000000.0,0.9500000000000001,172000000.0,7310000000.0,60108000000.0,12870000000.0,72978000000.0,0.0,60022000000.0,5160000000.0,5160000000.0,65182000000.0,7796000000.0,31000000.0,84000000.0,-24000000.0,53000000.0,-40000000.0,-959000000.0,68.11
2017-03-31,767000000.0,26000000.0,741000000.0,462000000.0,279000000.0,200000000.0,1.15,175000000.0,8411000000.0,60150000000.0,12826000000.0,72976000000.0,0.0,59893000000.0,5153000000.0,5153000000.0,65046000000.0,7930000000.0,33000000.0,404000000.0,-12000000.0,776000000.0,-40000000.0,-79000000.0,68.58
2017-06-30,805000000.0,29000000.0,776000000.0,460000000.0,316000000.0,202000000.0,1.15,175000000.0,5721000000.0,58589000000.0,12858000000.0,71447000000.0,0.0,58319000000.0,5143000000.0,5143000000.0,63462000000.0,7985000000.0,30000000.0,246000000.0,-15000000.0,-1169000000.0,-41000000.0,-1765000000.0,73.24
2017-09-30,854000000.0,33000000.0,821000000.0,480000000.0,341000000.0,224000000.0,1.29,174000000.0,6296000000.0,59208000000.0,12809000000.0,72017000000.0,0.0,59346000000.0,4637000000.0,4637000000.0,63983000000.0,8034000000.0,33000000.0,200000000.0,-16000000.0,207000000.0,-47000000.0,166000000.0,76.26
2017-12-31,863000000.0,33000000.0,830000000.0,487000000.0,343000000.0,112000000.0,0.65,174000000.0,5941000000.0,58897000000.0,12670000000.0,71567000000.0,0.0,58982000000.0,4622000000.0,4622000000.0,63604000000.0,7963000000.0,31000000.0,235000000.0,-26000000.0,66000000.0,-52000000.0,-660000000.0,86.81
2018-03-31,834000000.0,41000000.0,793000000.0,442000000.0,351000000.0,279000000.0,1.62,172000000.0,6969000000.0,59896000000.0,12439000000.0,72335000000.0,0.0,58741000000.0,5594000000.0,5594000000.0,64335000000.0,8000000000.0,32000000.0,358000000.0,-20000000.0,-147000000.0,-53000000.0,780000000.0,95.93
2018-06-30,898000000.0,60000000.0,838000000.0,408000000.0,430000000.0,324000000.0,1.9,171000000.0,5794000000.0,59605000000.0,12382000000.0,71987000000.0,0.0,58325000000.0,5583000000.0,5583000000.0,63908000000.0,8079000000.0,30000000.0,256000000.0,-21000000.0,-569000000.0,-51000000.0,-863000000.0,90.92
2018-09-30,909000000.0,76000000.0,833000000.0,440000000.0,393000000.0,316000000.0,1.8900000000000001,167000000.0,5975000000.0,59114000000.0,12334000000.0,71448000000.0,0.0,57244000000.0,6418000000.0,6418000000.0,63662000000.0,7786000000.0,31000000.0,353000000.0,-24000000.0,743000000.0,-57000000.0,-917000000.0,90.2
