,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,15310000000.0,9129000000.0,6181000000.0,1147000000.0,3067000000.0,1437000000.0,0.27,7006000000.0,3067000000.0,5268000000.0,4680000000.0,5063000000.0,0.0,11783000000.0,144581000000.0,156364000000.0,2177000000.0,18018000000.0,45049000000.0,89695000000.0,107713000000.0,48651000000.0,3939000000.0,4369000000.0,-1361000000.0,-2763000000.0,-429000000.0,-10718000000.0,20.99
2013-06-30,16270000000.0,9538000000.0,6732000000.0,1307000000.0,3435000000.0,1734000000.0,0.325,3453000000.0,3435000000.0,5262000000.0,5154000000.0,5507000000.0,0.0,12735000000.0,144084000000.0,156819000000.0,2535000000.0,18602000000.0,44114000000.0,88731000000.0,107333000000.0,49486000000.0,18000000.0,3316000000.0,-2817000000.0,-2197000000.0,-513000000.0,-1569000000.0,20.88
2013-09-30,16151000000.0,9538000000.0,6613000000.0,1283000000.0,3414000000.0,1732000000.0,0.325,5330000000.0,3414000000.0,5244000000.0,5735000000.0,5501000000.0,0.0,13407000000.0,143188000000.0,156595000000.0,2337000000.0,18666000000.0,44188000000.0,87795000000.0,106461000000.0,50134000000.0,1916000000.0,3994000000.0,-2120000000.0,-2367000000.0,-512000000.0,-1413000000.0,22.56
2013-12-31,16926000000.0,10040000000.0,6886000000.0,1241000000.0,3647000000.0,1913000000.0,0.36,5645000000.0,3647000000.0,5250000000.0,5291000000.0,6376000000.0,0.0,14075000000.0,144738000000.0,158813000000.0,3280000000.0,18912000000.0,44567000000.0,88843000000.0,107755000000.0,51058000000.0,1998000000.0,2481000000.0,-2202000000.0,-2187000000.0,-510000000.0,-179000000.0,25.99
2014-03-31,17408000000.0,10657000000.0,6751000000.0,1213000000.0,3568000000.0,1871000000.0,0.355,5538000000.0,3568000000.0,5206000000.0,5443000000.0,6151000000.0,0.0,14043000000.0,143730000000.0,157773000000.0,2819000000.0,17803000000.0,44581000000.0,88338000000.0,106141000000.0,51632000000.0,1970000000.0,4486000000.0,-1448000000.0,-1505000000.0,-508000000.0,-1645000000.0,25.02
2014-06-30,16844000000.0,9796000000.0,7048000000.0,1244000000.0,3804000000.0,1992000000.0,0.38,5804000000.0,3804000000.0,5188000000.0,3854000000.0,6232000000.0,0.0,12772000000.0,144687000000.0,157459000000.0,2947000000.0,17375000000.0,43602000000.0,87752000000.0,105127000000.0,52332000000.0,2000000000.0,3061000000.0,-1808000000.0,-2383000000.0,-584000000.0,-2203000000.0,26.84
2014-09-30,16791000000.0,9789000000.0,7002000000.0,1298000000.0,3745000000.0,2592000000.0,0.495,5704000000.0,3745000000.0,5160000000.0,5078000000.0,6172000000.0,0.0,13936000000.0,145301000000.0,159237000000.0,3523000000.0,17084000000.0,44827000000.0,88500000000.0,105584000000.0,53653000000.0,1959000000.0,4755000000.0,-1968000000.0,-2192000000.0,-584000000.0,455000000.0,26.89
2014-12-31,17732000000.0,10509000000.0,7223000000.0,1346000000.0,3787000000.0,1925000000.0,0.37,5877000000.0,3787000000.0,5166000000.0,4512000000.0,6321000000.0,0.0,13531000000.0,145655000000.0,159186000000.0,4217000000.0,17410000000.0,43864000000.0,88708000000.0,106118000000.0,53068000000.0,2090000000.0,4643000000.0,-2239000000.0,-2653000000.0,-578000000.0,-2627000000.0,29.0
2015-03-31,17853000000.0,10537000000.0,7316000000.0,1360000000.0,3890000000.0,2059000000.0,0.405,5956000000.0,3890000000.0,5040000000.0,4095000000.0,6144000000.0,0.0,12921000000.0,145836000000.0,158757000000.0,4180000000.0,18502000000.0,42953000000.0,87744000000.0,106246000000.0,52511000000.0,2066000000.0,5245000000.0,-1750000000.0,-1694000000.0,-572000000.0,-3524000000.0,28.24
2015-06-30,18743000000.0,10943000000.0,7800000000.0,1534000000.0,4105000000.0,2137000000.0,0.42,6266000000.0,4105000000.0,5000000000.0,3630000000.0,7016000000.0,0.0,13319000000.0,146355000000.0,159674000000.0,3887000000.0,17565000000.0,44636000000.0,89380000000.0,106945000000.0,52729000000.0,2161000000.0,3589000000.0,-2012000000.0,-2542000000.0,-628000000.0,-1498000000.0,30.07
2015-09-30,18669000000.0,10972000000.0,7697000000.0,1513000000.0,4001000000.0,1996000000.0,0.4,6184000000.0,4001000000.0,4944000000.0,2030000000.0,6527000000.0,0.0,11501000000.0,147457000000.0,158958000000.0,3152000000.0,17359000000.0,44605000000.0,89634000000.0,106993000000.0,51965000000.0,2183000000.0,4979000000.0,-2216000000.0,-2968000000.0,-623000000.0,-3604000000.0,28.44
2015-12-31,19245000000.0,11423000000.0,7822000000.0,1550000000.0,4002000000.0,1971000000.0,0.395,6272000000.0,4002000000.0,4972000000.0,2295000000.0,6896000000.0,0.0,12303000000.0,154271000000.0,166574000000.0,3627000000.0,18178000000.0,48994000000.0,94418000000.0,112596000000.0,53978000000.0,2270000000.0,5672000000.0,-2699000000.0,-4760000000.0,-614000000.0,-510000000.0,28.22
2016-03-31,18790000000.0,10957000000.0,7833000000.0,1466000000.0,4089000000.0,2134000000.0,0.435,6367000000.0,4089000000.0,4868000000.0,5628000000.0,6375000000.0,0.0,15180000000.0,155419000000.0,170599000000.0,4119000000.0,19084000000.0,51515000000.0,97003000000.0,116087000000.0,54512000000.0,2278000000.0,5399000000.0,-2025000000.0,-2709000000.0,-611000000.0,643000000.0,30.54
2016-06-30,19269000000.0,11255000000.0,8014000000.0,1559000000.0,4066000000.0,2028000000.0,0.41500000000000004,6455000000.0,4066000000.0,4839000000.0,4665000000.0,6708000000.0,0.0,14777000000.0,157208000000.0,171985000000.0,2934000000.0,17601000000.0,52629000000.0,99108000000.0,116709000000.0,55276000000.0,2389000000.0,4395000000.0,-2342000000.0,-3119000000.0,-670000000.0,-2239000000.0,32.6
2016-09-30,21319000000.0,12999000000.0,8320000000.0,1485000000.0,4440000000.0,2237000000.0,0.46,6835000000.0,4440000000.0,4805000000.0,2807000000.0,7533000000.0,0.0,15228000000.0,162696000000.0,177924000000.0,3333000000.0,18038000000.0,57095000000.0,104063000000.0,122101000000.0,55823000000.0,2395000000.0,4195000000.0,-2498000000.0,-8324000000.0,-663000000.0,2271000000.0,33.17
2016-12-31,21358000000.0,12977000000.0,8381000000.0,1781000000.0,4236000000.0,2279000000.0,0.47500000000000003,6600000000.0,4236000000.0,4819000000.0,3301000000.0,7955000000.0,0.0,16361000000.0,164139000000.0,180500000000.0,5480000000.0,21535000000.0,55566000000.0,102791000000.0,124326000000.0,56174000000.0,2364000000.0,5702000000.0,-2720000000.0,-4113000000.0,-657000000.0,-1109000000.0,34.53
2017-03-31,20587000000.0,12000000000.0,8587000000.0,1577000000.0,4542000000.0,2573000000.0,0.53,7010000000.0,4542000000.0,4747000000.0,4022000000.0,7525000000.0,0.0,15245000000.0,167234000000.0,182479000000.0,3509000000.0,19074000000.0,58276000000.0,105757000000.0,124831000000.0,57648000000.0,2468000000.0,5625000000.0,-2208000000.0,-3753000000.0,-657000000.0,-1141000000.0,37.59
2017-06-30,21286000000.0,12498000000.0,8788000000.0,1713000000.0,4568000000.0,2521000000.0,0.52,7075000000.0,4568000000.0,4728000000.0,2693000000.0,7849000000.0,0.0,14832000000.0,168199000000.0,183031000000.0,6358000000.0,22276000000.0,57210000000.0,104907000000.0,127183000000.0,55848000000.0,2507000000.0,5124000000.0,-2476000000.0,-3654000000.0,-747000000.0,-2794000000.0,38.92
