,Revenue,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,718600000.0,718600000.0,193800000.0,405500000.0,235800000.0,0.71,464000000.0,405500000.0,331953000.0,1904100000.0,309200000.0,12297800000.0,30124000000.0,42421800000.0,1499000000.0,11786700000.0,1358000000.0,9079300000.0,20866000000.0,21555800000.0,58500000.0,396000000.0,-20200000.0,-21000000.0,-149400000.0,-136300000.0,61.41
2013-06-30,816100000.0,816100000.0,206100000.0,507800000.0,311200000.0,0.9400000000000001,566900000.0,507800000.0,332341000.0,2029300000.0,359100000.0,16924600000.0,29958100000.0,46882700000.0,1499400000.0,16192900000.0,1358200000.0,8835200000.0,25028100000.0,21854600000.0,59100000.0,372800000.0,-35600000.0,-35600000.0,-150400000.0,-212600000.0,75.95
2013-09-30,714600000.0,714600000.0,217900000.0,400500000.0,236700000.0,0.71,461100000.0,400500000.0,332763000.0,2130000000.0,311900000.0,19048100000.0,29931800000.0,48979900000.0,749700000.0,17213200000.0,2107000000.0,9788800000.0,27002000000.0,21977900000.0,60600000.0,129800000.0,-38900000.0,89600000.0,-149800000.0,-122400000.0,73.88
2013-12-31,687000200.0,687000200.0,218200000.0,323200300.0,193100000.0,0.58,383100300.0,323200200.0,332678000.0,2538100000.0,302700000.0,24405600000.0,29872200000.0,54277800000.0,749900000.0,23311000000.0,2107200000.0,9806301000.0,33117300000.0,21160500000.0,59900000.0,381900000.0,161500000.0,157500000.0,-149500000.0,-134700000.0,78.46
2014-03-31,777400000.0,777400000.0,216200000.0,454500000.0,266800000.0,0.8,513800000.0,454500000.0,333905000.0,1125900000.0,344600000.0,23309700000.0,29857400000.0,53167100000.0,0.0,22029700000.0,2107400000.0,9827300000.0,31857000000.0,21310100000.0,59300000.0,383000000.0,-28600000.0,-29400000.0,-1025000000.0,-1769600000.0,74.02
2014-06-30,731600000.0,731600000.0,225800000.0,412000000.0,263800000.0,0.79,471500000.0,412000000.0,334097000.0,1110200000.0,334900000.0,21731200000.0,29880100000.0,51611300000.0,0.0,20376700000.0,2107500000.0,9769200000.0,30145900000.0,21465400000.0,59500000.0,171700000.0,-40900000.0,-40900000.0,-157100000.0,-147200000.0,70.95
2014-09-30,762400000.0,762400000.0,211400000.0,430400000.0,290000000.0,0.87,488400000.0,430400000.0,334424000.0,1160700000.0,344800000.0,34166400000.0,29803900000.0,63970300000.0,0.0,32627900000.0,2107700000.0,9805300000.0,42433200000.0,21537100000.0,58000000.0,234200000.0,-26800000.0,-37300000.0,-157100000.0,-146300000.0,79.96
2014-12-31,841100100.0,841100100.0,232100000.0,471500100.0,306500000.0,0.91,527900100.0,471500000.0,334409000.0,1440800000.0,341200000.0,42545300000.0,29696200000.0,72241500000.0,0.0,41531200000.0,2107900000.0,9786800000.0,51318000000.0,20923500000.0,56400000.0,502500000.0,-36500000.0,-91500000.0,-157600000.0,-132800000.0,88.65
2015-03-31,842700000.0,842700000.0,224200000.0,507300000.0,330400000.0,0.98,564000000.0,507300000.0,335680000.0,1773600000.0,383400000.0,47486000000.0,29642400000.0,77128400000.0,0.0,45495100000.0,2851900000.0,10537800000.0,56032900000.0,21095500000.0,56700000.0,418900000.0,-31400000.0,-24400000.0,-838800000.0,-65800000.0,94.71
2015-06-30,820000000.0,820000000.0,220700000.0,495100000.0,265000000.0,0.79,553400000.0,495100000.0,336036000.0,1227300000.0,399900000.0,44055100000.0,29608000000.0,73663100000.0,0.0,42432600000.0,2241000000.0,9971700000.0,52404300000.0,21258800000.0,58300000.0,258800000.0,-29300000.0,23300000.0,-167900000.0,-825900000.0,93.06
2015-09-30,850300000.0,850300000.0,225800000.0,516400000.0,359900000.0,1.07,573700000.0,516400000.0,336323000.0,1506700000.0,363800000.0,51458800000.0,29490800000.0,80949600000.0,0.0,49598800000.0,2241200000.0,9974000000.0,59572800000.0,21376800000.0,57300000.0,463500000.0,-29600000.0,-20200000.0,-168200000.0,-160000000.0,92.74
2015-12-31,813800000.0,813800000.0,221900000.0,469900000.0,291700000.0,0.87,526200000.0,469900100.0,336224000.0,1765100000.0,357800000.0,37904500000.0,29454900000.0,67359400000.0,0.0,36824500000.0,2229300000.0,9983100000.0,46807600000.0,20551800000.0,56300000.0,391300000.0,-23900000.0,39200000.0,-168500000.0,-172200000.0,90.6
2016-03-31,934200000.0,934200000.0,226700000.0,573900000.0,367800000.0,1.09,631800000.0,573900000.0,337014000.0,1225200000.0,389300000.0,39253300000.0,29514900000.0,68768200000.0,0.0,37848100000.0,2229800000.0,10078700000.0,47926800000.0,20841400000.0,57900000.0,530000000.0,-20200000.0,-27300000.0,-1179300000.0,-1049300000.0,96.05
2016-06-30,906400000.0,906400000.0,227500000.0,563300000.0,320100000.0,0.9500000000000001,617700100.0,563300000.0,337289000.0,1240900000.0,427000000.0,38027200000.0,29598400000.0,67625600000.0,0.0,36419800000.0,2230200000.0,10131900000.0,46551700000.0,21073900000.0,54400000.0,223700000.0,-19400000.0,-20000000.0,-202400000.0,-188600000.0,97.4
2016-09-30,841700000.0,841700000.0,219800000.0,525300000.0,472800000.0,1.4,580500000.0,525300000.0,337592000.0,1503800000.0,395700000.0,33776000000.0,29475300000.0,63251300000.0,0.0,31886400000.0,2230700000.0,10100000000.0,41986400000.0,21264900000.0,55200000.0,478700000.0,-23300000.0,-16500000.0,-202600000.0,-202800000.0,104.52
