,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,3922000000.0,2965000000.0,957000000.0,444000000.0,414000000.0,282000000.0,1.5,512000000.0,414000000.0,188400000.0,1679000000.0,2496000000.0,2387000000.0,7220000000.0,5536000000.0,12756000000.0,54000000.0,3257000000.0,736000000.0,2454000000.0,5711000000.0,7045000000.0,98000000.0,428000000.0,-114000000.0,-143000000.0,-95000000.0,-103000000.0,115.81
2013-06-30,4525000000.0,3372000000.0,1153000000.0,484000000.0,610000000.0,414000000.0,2.2,712000000.0,610000000.0,187800000.0,1587000000.0,2745000000.0,2475000000.0,7404000000.0,5644000000.0,13048000000.0,43000000.0,3462000000.0,754000000.0,2493000000.0,5955000000.0,7093000000.0,102000000.0,532000000.0,-161000000.0,-268000000.0,-94000000.0,-370000000.0,108.46
2013-09-30,4266000000.0,3185000000.0,1081000000.0,464000000.0,524000000.0,355000000.0,1.9100000000000001,629000000.0,524000000.0,186000000.0,2661000000.0,2709000000.0,2513000000.0,8526000000.0,5810000000.0,14336000000.0,47000000.0,3390000000.0,1731000000.0,3482000000.0,6872000000.0,7464000000.0,105000000.0,373000000.0,-142000000.0,-134000000.0,-116000000.0,817000000.0,132.87
2013-12-31,4588000000.0,3499000000.0,1089000000.0,425000000.0,553000000.0,432000000.0,2.33,655000000.0,553000000.0,186994000.0,2849000000.0,2649000000.0,2381000000.0,8639000000.0,6089000000.0,14728000000.0,51000000.0,3368000000.0,1672000000.0,3490000000.0,6858000000.0,7870000000.0,102000000.0,756000000.0,-259000000.0,-301000000.0,-115000000.0,-292000000.0,140.97
2014-03-31,4406000000.0,3307000000.0,1099000000.0,485000000.0,513000000.0,338000000.0,1.83,618000000.0,513000000.0,184300000.0,2307000000.0,2949000000.0,2580000000.0,8499000000.0,6252000000.0,14751000000.0,37000000.0,3555000000.0,1632000000.0,3462000000.0,7017000000.0,7734000000.0,105000000.0,263000000.0,-107000000.0,-187000000.0,-115000000.0,-602000000.0,148.99
2014-06-30,4835000000.0,3630000000.0,1205000000.0,513000000.0,612000000.0,446000000.0,2.44,724000000.0,612000000.0,182800000.0,2377000000.0,3188000000.0,2745000000.0,9080000000.0,6420000000.0,15500000000.0,33000000.0,3809000000.0,1627000000.0,3533000000.0,7342000000.0,8158000000.0,112000000.0,438000000.0,-138000000.0,-276000000.0,-114000000.0,-154000000.0,154.29
2014-09-30,4890000000.0,3606000000.0,1284000000.0,529000000.0,659000000.0,423000000.0,2.32,772000000.0,659000000.0,182200000.0,2381000000.0,3059000000.0,2833000000.0,9068000000.0,6576000000.0,15644000000.0,27000000.0,4038000000.0,1584000000.0,3509000000.0,7547000000.0,8097000000.0,113000000.0,687000000.0,-164000000.0,-177000000.0,-141000000.0,-343000000.0,131.98
2014-12-31,5090000000.0,3817000000.0,1273000000.0,568000000.0,581000000.0,444000000.0,2.45,706000000.0,581000000.0,182638000.0,2394000000.0,2946000000.0,2866000000.0,9055000000.0,6709000000.0,15764000000.0,23000000.0,4021000000.0,1577000000.0,3650000000.0,7671000000.0,8093000000.0,125000000.0,878000000.0,-334000000.0,-594000000.0,-142000000.0,-244000000.0,144.17
2015-03-31,4709000000.0,3514000000.0,1195000000.0,517000000.0,548000000.0,387000000.0,2.14,676000000.0,548000000.0,180600000.0,2112000000.0,3240000000.0,2936000000.0,9000000000.0,6736000000.0,15736000000.0,33000000.0,4057000000.0,1602000000.0,3610000000.0,7667000000.0,8069000000.0,128000000.0,173000000.0,-100000000.0,-125000000.0,-140000000.0,-296000000.0,138.64
2015-06-30,5015000000.0,3683000000.0,1332000000.0,537000000.0,723000000.0,471000000.0,2.63,849000000.0,723000000.0,179200000.0,1849000000.0,3422000000.0,2986000000.0,9003000000.0,6875000000.0,15878000000.0,31000000.0,4053000000.0,1576000000.0,3611000000.0,7664000000.0,8214000000.0,126000000.0,396000000.0,-147000000.0,-175000000.0,-140000000.0,-533000000.0,131.19
2015-09-30,4620000000.0,3412000000.0,1208000000.0,530000000.0,557000000.0,380000000.0,2.15,686000000.0,557000000.0,177000000.0,1723000000.0,3159000000.0,3059000000.0,8862000000.0,6935000000.0,15797000000.0,31000000.0,3968000000.0,1595000000.0,3748000000.0,7716000000.0,8081000000.0,129000000.0,562000000.0,-146000000.0,-177000000.0,-172000000.0,-386000000.0,108.58
2015-12-31,4766000000.0,3554000000.0,1212000000.0,508000000.0,229000000.0,161000000.0,0.92,360000000.0,229000000.0,178038000.0,1811000000.0,2820000000.0,2707000000.0,7947000000.0,7187000000.0,15134000000.0,39000000.0,3803000000.0,1576000000.0,3581000000.0,7384000000.0,7750000000.0,131000000.0,934000000.0,-326000000.0,-441000000.0,-170000000.0,-435000000.0,88.01
2016-03-31,4291000000.0,3235000000.0,1056000000.0,490000000.0,470000000.0,321000000.0,1.87,598000000.0,470000000.0,171800000.0,1274000000.0,2921000000.0,2759000000.0,7468000000.0,7359000000.0,14827000000.0,49000000.0,3917000000.0,1614000000.0,3650000000.0,7567000000.0,7260000000.0,128000000.0,267000000.0,-71000000.0,-388000000.0,-170000000.0,-636000000.0,109.94
2016-06-30,4528000000.0,3331000000.0,1197000000.0,524000000.0,567000000.0,406000000.0,2.41,698000000.0,567000000.0,168800000.0,1280000000.0,3023000000.0,2778000000.0,7630000000.0,7390000000.0,15020000000.0,38000000.0,4150000000.0,1614000000.0,3675000000.0,7825000000.0,7195000000.0,131000000.0,471000000.0,-118000000.0,-3000000.0,-163000000.0,-260000000.0,112.44
2016-09-30,4187000000.0,3108000000.0,1079000000.0,513000000.0,384000000.0,289000000.0,1.72,516000000.0,384000000.0,167800000.0,1501000000.0,2873000000.0,2820000000.0,7794000000.0,7342000000.0,15136000000.0,35000000.0,4308000000.0,1593000000.0,3564000000.0,7872000000.0,7264000000.0,132000000.0,576000000.0,-112000000.0,-199000000.0,-172000000.0,-149000000.0,128.15
2016-12-31,4503000000.0,3377000000.0,1126000000.0,572000000.0,459000000.0,378000000.0,2.26,598000000.0,459000000.0,169038000.0,1380000000.0,3025000000.0,2675000000.0,7707000000.0,7304000000.0,15011000000.0,35000000.0,4325000000.0,1568000000.0,3512000000.0,7837000000.0,7174000000.0,139000000.0,625000000.0,-216000000.0,-327000000.0,-171000000.0,-368000000.0,136.67
2017-03-31,4589000000.0,3457000000.0,1132000000.0,547000000.0,540000000.0,396000000.0,2.36,679000000.0,540000000.0,167500000.0,1467000000.0,3247000000.0,2894000000.0,8159000000.0,7475000000.0,15634000000.0,47000000.0,4662000000.0,1576000000.0,3496000000.0,8158000000.0,7476000000.0,139000000.0,379000000.0,-81000000.0,-27000000.0,-171000000.0,-164000000.0,151.2
2017-06-30,5078000000.0,3827000000.0,1251000000.0,606000000.0,586000000.0,424000000.0,2.5300000000000002,731000000.0,586000000.0,167300000.0,1467000000.0,3553000000.0,2982000000.0,8602000000.0,7658000000.0,16260000000.0,45000000.0,4894000000.0,1564000000.0,3544000000.0,8438000000.0,7822000000.0,145000000.0,447000000.0,-101000000.0,-133000000.0,-172000000.0,-380000000.0,162.22
