,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1979000000.0,1117000000.0,862000000.0,352000000.0,329000000.0,144000000.0,0.55,510000000.0,329000000.0,263600000.0,615000000.0,952000000.0,637000000.0,2528000000.0,14741000000.0,17269000000.0,732000000.0,1645000000.0,6890000000.0,12274000000.0,13919000000.0,3350000000.0,181000000.0,725000000.0,-274000000.0,-293000000.0,-67000000.0,61000000.0,27.94
2013-06-30,1406000000.0,683000000.0,723000000.0,354000000.0,232000000.0,80000000.0,0.30000000000000004,369000000.0,232000000.0,264500000.0,566000000.0,758000000.0,830000000.0,2485000000.0,14944000000.0,17429000000.0,758000000.0,1802000000.0,6839000000.0,12267000000.0,14069000000.0,3360000000.0,137000000.0,370000000.0,-306000000.0,-323000000.0,-68000000.0,-96000000.0,27.17
2013-09-30,1445000000.0,645000000.0,800000000.0,338000000.0,317000000.0,126000000.0,0.48,462000000.0,317000000.0,264800000.0,292000000.0,715000000.0,1089000000.0,2401000000.0,14585000000.0,16986000000.0,532000000.0,1464000000.0,7229000000.0,12089000000.0,13553000000.0,3433000000.0,145000000.0,23000000.0,-320000000.0,-388000000.0,-70000000.0,88000000.0,26.32
2013-12-31,1736000000.0,881000000.0,855000000.0,426000000.0,264000000.0,102000000.0,0.38,429000000.0,264000000.0,264500000.0,204000000.0,924000000.0,881000000.0,2526000000.0,14890000000.0,17416000000.0,562000000.0,1945000000.0,7239000000.0,11980000000.0,13925000000.0,3491000000.0,165000000.0,303000000.0,-425000000.0,-528000000.0,-68000000.0,137000000.0,26.77
2014-03-31,2523000000.0,1575000000.0,948000000.0,341000000.0,408000000.0,204000000.0,0.77,607000000.0,408000000.0,266100000.0,789000000.0,1042000000.0,537000000.0,2969000000.0,14955000000.0,17924000000.0,666000000.0,1801000000.0,7671000000.0,12468000000.0,14269000000.0,3655000000.0,199000000.0,611000000.0,-304000000.0,-346000000.0,-72000000.0,321000000.0,29.28
2014-06-30,1468000000.0,722000000.0,746000000.0,360000000.0,235000000.0,83000000.0,0.31,386000000.0,235000000.0,268000000.0,389000000.0,765000000.0,775000000.0,2465000000.0,15254000000.0,17719000000.0,439000000.0,1563000000.0,7666000000.0,12474000000.0,14037000000.0,3682000000.0,151000000.0,326000000.0,-359000000.0,-437000000.0,-74000000.0,-289000000.0,31.15
2014-09-30,1430000000.0,655000000.0,775000000.0,386000000.0,236000000.0,94000000.0,0.34,389000000.0,236000000.0,274000000.0,530000000.0,694000000.0,1043000000.0,2734000000.0,15647000000.0,18381000000.0,690000000.0,1648000000.0,8171000000.0,13026000000.0,14674000000.0,3707000000.0,153000000.0,25000000.0,-462000000.0,-564000000.0,-74000000.0,674000000.0,29.66
2014-12-31,1758000000.0,906000000.0,852000000.0,397000000.0,273000000.0,96000000.0,0.35000000000000003,455000000.0,273000000.0,270600000.0,244000000.0,892000000.0,918000000.0,2597000000.0,16588000000.0,19185000000.0,540000000.0,1948000000.0,8139000000.0,13530000000.0,15478000000.0,3707000000.0,182000000.0,519000000.0,-452000000.0,-551000000.0,-75000000.0,-244000000.0,34.75
2015-03-31,2111000000.0,1128000000.0,983000000.0,364000000.0,397000000.0,202000000.0,0.73,619000000.0,397000000.0,274800000.0,571000000.0,919000000.0,540000000.0,2501000000.0,16697000000.0,19198000000.0,543000000.0,1599000000.0,8260000000.0,13760000000.0,15359000000.0,3839000000.0,222000000.0,760000000.0,-348000000.0,-422000000.0,-80000000.0,-23000000.0,34.91
2015-06-30,1350000000.0,605000000.0,745000000.0,372000000.0,204000000.0,67000000.0,0.25,373000000.0,204000000.0,275400000.0,517000000.0,681000000.0,683000000.0,2291000000.0,16947000000.0,19238000000.0,519000000.0,1640000000.0,8153000000.0,13743000000.0,15383000000.0,3855000000.0,169000000.0,502000000.0,-327000000.0,-360000000.0,-81000000.0,-187000000.0,31.84
2015-09-30,1486000000.0,626000000.0,860000000.0,370000000.0,317000000.0,148000000.0,0.53,490000000.0,317000000.0,276000000.0,202000000.0,662000000.0,863000000.0,2123000000.0,17329000000.0,19452000000.0,741000000.0,1788000000.0,8014000000.0,13725000000.0,15513000000.0,3939000000.0,173000000.0,158000000.0,-427000000.0,-558000000.0,-80000000.0,73000000.0,35.32
2015-12-31,1509000000.0,684000000.0,825000000.0,379000000.0,260000000.0,106000000.0,0.39,446000000.0,260000000.0,275600000.0,285000000.0,785000000.0,778000000.0,2320000000.0,17979000000.0,20299000000.0,706000000.0,2302000000.0,8518000000.0,14022000000.0,16324000000.0,3975000000.0,186000000.0,220000000.0,-462000000.0,-724000000.0,-81000000.0,600000000.0,36.08
2016-03-31,1801000000.0,847000000.0,954000000.0,390000000.0,326000000.0,164000000.0,0.59,564000000.0,326000000.0,276700000.0,205000000.0,741000000.0,498000000.0,1890000000.0,18147000000.0,20037000000.0,950000000.0,2047000000.0,8284000000.0,13844000000.0,15891000000.0,4146000000.0,238000000.0,632000000.0,-407000000.0,-444000000.0,-86000000.0,-270000000.0,42.44
2016-06-30,1371000000.0,574000000.0,797000000.0,346000000.0,275000000.0,124000000.0,0.45,451000000.0,275000000.0,278200000.0,403000000.0,615000000.0,573000000.0,2031000000.0,18432000000.0,20463000000.0,918000000.0,2091000000.0,8596000000.0,14179000000.0,16270000000.0,4193000000.0,176000000.0,469000000.0,-410000000.0,-467000000.0,-87000000.0,198000000.0,45.86
2016-09-30,1587000000.0,666000000.0,921000000.0,363000000.0,375000000.0,186000000.0,0.67,558000000.0,375000000.0,278200000.0,367000000.0,646000000.0,736000000.0,2198000000.0,18644000000.0,20842000000.0,1005000000.0,2069000000.0,8832000000.0,14477000000.0,16546000000.0,4296000000.0,183000000.0,140000000.0,-407000000.0,-487000000.0,-87000000.0,309000000.0,42.01
2016-12-31,1640000000.0,716000000.0,924000000.0,430000000.0,280000000.0,77000000.0,0.28,494000000.0,280000000.0,277900000.0,254000000.0,833000000.0,626000000.0,2280000000.0,19342000000.0,21622000000.0,886000000.0,2655000000.0,8750000000.0,14677000000.0,17332000000.0,4290000000.0,214000000.0,388000000.0,-448000000.0,-517000000.0,-87000000.0,18000000.0,41.62
2017-03-31,1829000000.0,808000000.0,1021000000.0,371000000.0,388000000.0,199000000.0,0.71,650000000.0,388000000.0,278900000.0,463000000.0,787000000.0,425000000.0,2215000000.0,19408000000.0,21623000000.0,812000000.0,1926000000.0,9233000000.0,15290000000.0,17216000000.0,4407000000.0,262000000.0,646000000.0,-365000000.0,-346000000.0,-94000000.0,-94000000.0,44.74
2017-06-30,1449000000.0,630000000.0,819000000.0,381000000.0,241000000.0,92000000.0,0.33,438000000.0,241000000.0,279500000.0,435000000.0,678000000.0,582000000.0,2211000000.0,19656000000.0,21867000000.0,840000000.0,2115000000.0,9190000000.0,15266000000.0,17381000000.0,4486000000.0,197000000.0,473000000.0,-381000000.0,-460000000.0,-94000000.0,-35000000.0,46.25
2017-09-30,1527000000.0,638000000.0,889000000.0,366000000.0,330000000.0,172000000.0,0.61,523000000.0,330000000.0,280800000.0,169000000.0,643000000.0,787000000.0,2121000000.0,19999000000.0,22120000000.0,980000000.0,2261000000.0,9121000000.0,15287000000.0,17548000000.0,4572000000.0,193000000.0,80000000.0,-462000000.0,-548000000.0,-94000000.0,200000000.0,46.32
2017-12-31,1778000000.0,768000000.0,1010000000.0,402000000.0,379000000.0,-3000000.0,-0.01,608000000.0,379000000.0,280000000.0,199000000.0,1044000000.0,672000000.0,2475000000.0,20575000000.0,23050000000.0,1103000000.0,2784000000.0,9214000000.0,15788000000.0,18572000000.0,4478000000.0,229000000.0,506000000.0,-457000000.0,-514000000.0,-95000000.0,39000000.0,47.3
2018-03-31,1953000000.0,914000000.0,1039000000.0,397000000.0,363000000.0,241000000.0,0.86,642000000.0,363000000.0,281500000.0,221000000.0,1015000000.0,445000000.0,2207000000.0,20661000000.0,22868000000.0,1286000000.0,2482000000.0,9082000000.0,15753000000.0,18235000000.0,4633000000.0,279000000.0,708000000.0,-422000000.0,-456000000.0,-101000000.0,-229000000.0,45.29
2018-06-30,1492000000.0,639000000.0,853000000.0,394000000.0,255000000.0,139000000.0,0.49,459000000.0,255000000.0,282100000.0,494000000.0,722000000.0,570000000.0,2286000000.0,21026000000.0,23312000000.0,1216000000.0,2535000000.0,9353000000.0,16068000000.0,18603000000.0,4709000000.0,204000000.0,708000000.0,-450000000.0,-552000000.0,-103000000.0,118000000.0,47.28
2018-09-30,1599000000.0,666000000.0,933000000.0,433000000.0,294000000.0,169000000.0,0.6000000000000001,500000000.0,294000000.0,282500000.0,365000000.0,725000000.0,741000000.0,2374000000.0,21539000000.0,23913000000.0,1971000000.0,3442000000.0,8944000000.0,15685000000.0,19127000000.0,4786000000.0,206000000.0,149000000.0,-700000000.0,-807000000.0,-101000000.0,523000000.0,49.0
2018-12-31,1829000000.0,839000000.0,990000000.0,496000000.0,250000000.0,108000000.0,0.38,494000000.0,250000000.0,282200000.0,174000000.0,978000000.0,650000000.0,2468000000.0,22061000000.0,24529000000.0,996000000.0,2624000000.0,10684000000.0,17113000000.0,19737000000.0,4792000000.0,244000000.0,138000000.0,-502000000.0,-791000000.0,-102000000.0,462000000.0,49.65
2019-03-31,2059000000.0,942000000.0,1117000000.0,460000000.0,359000000.0,213000000.0,0.75,657000000.0,359000000.0,282800000.0,267000000.0,1011000000.0,442000000.0,2376000000.0,22417000000.0,24793000000.0,842000000.0,2106000000.0,11196000000.0,17792000000.0,19898000000.0,4895000000.0,298000000.0,617000000.0,-481000000.0,-675000000.0,-108000000.0,150000000.0,55.54
2019-06-30,1445000000.0,597000000.0,848000000.0,414000000.0,218000000.0,93000000.0,0.33,434000000.0,218000000.0,282900000.0,334000000.0,764000000.0,552000000.0,2254000000.0,23038000000.0,25292000000.0,1077000000.0,2386000000.0,11322000000.0,18018000000.0,20404000000.0,4888000000.0,216000000.0,568000000.0,-492000000.0,-735000000.0,-110000000.0,234000000.0,57.91
2019-09-30,1546000000.0,597000000.0,949000000.0,383000000.0,351000000.0,207000000.0,0.73,566000000.0,351000000.0,283000000.0,432000000.0,657000000.0,699000000.0,2305000000.0,23704000000.0,26009000000.0,1074000000.0,2165000000.0,12121000000.0,18850000000.0,21015000000.0,4994000000.0,215000000.0,210000000.0,-597000000.0,-802000000.0,-108000000.0,691000000.0,63.95
2019-12-31,1574000000.0,697000000.0,877000000.0,430000000.0,187000000.0,167000000.0,0.59,447000000.0,187000000.0,283000000.0,157000000.0,903000000.0,605000000.0,2331000000.0,24506000000.0,26837000000.0,1130000000.0,2704000000.0,12027000000.0,19078000000.0,21782000000.0,5055000000.0,260000000.0,395000000.0,-527000000.0,-604000000.0,-110000000.0,-67000000.0,62.84
2020-03-31,1864000000.0,751000000.0,1113000000.0,429000000.0,368000000.0,243000000.0,0.86,684000000.0,368000000.0,283300000.0,861000000.0,909000000.0,434000000.0,2817000000.0,24630000000.0,27447000000.0,1721000000.0,2940000000.0,12616000000.0,19285000000.0,22225000000.0,5222000000.0,316000000.0,201000000.0,-523000000.0,-559000000.0,-116000000.0,1062000000.0,58.75
2020-06-30,1382000000.0,521000000.0,861000000.0,391000000.0,248000000.0,136000000.0,0.48,469000000.0,248000000.0,285500000.0,1604000000.0,757000000.0,506000000.0,3532000000.0,25049000000.0,28581000000.0,1744000000.0,3123000000.0,13481000000.0,20207000000.0,23330000000.0,5251000000.0,221000000.0,595000000.0,-421000000.0,-609000000.0,-118000000.0,757000000.0,58.42
2020-09-30,1507000000.0,586000000.0,921000000.0,355000000.0,340000000.0,218000000.0,0.76,566000000.0,340000000.0,285600000.0,558000000.0,669000000.0,639000000.0,2494000000.0,26786000000.0,29280000000.0,1799000000.0,2992000000.0,13336000000.0,20390000000.0,23382000000.0,5898000000.0,226000000.0,348000000.0,-749000000.0,-1130000000.0,-117000000.0,-264000000.0,61.41
2020-12-31,1665000000.0,650000000.0,1015000000.0,462000000.0,274000000.0,158000000.0,0.55,554000000.0,274000000.0,285000000.0,49000000.0,872000000.0,576000000.0,2404000000.0,27262000000.0,29666000000.0,591000000.0,3074000000.0,11800000000.0,20515000000.0,23589000000.0,6077000000.0,280000000.0,132000000.0,-618000000.0,-569000000.0,-116000000.0,64000000.0,61.01
2021-03-31,2013000000.0,812000000.0,1201000000.0,433000000.0,430000000.0,349000000.0,1.21,768000000.0,430000000.0,288600000.0,524000000.0,856000000.0,407000000.0,2513000000.0,27210000000.0,29723000000.0,1506000000.0,2885000000.0,13612000000.0,20536000000.0,23421000000.0,6302000000.0,338000000.0,832000000.0,-436000000.0,-283000000.0,-126000000.0,-210000000.0,61.22
2021-06-30,1558000000.0,620000000.0,938000000.0,442000000.0,252000000.0,176000000.0,0.61,496000000.0,252000000.0,289000000.0,171000000.0,761000000.0,539000000.0,2322000000.0,27631000000.0,29953000000.0,589000000.0,3114000000.0,11778000000.0,20473000000.0,23587000000.0,6366000000.0,244000000.0,535000000.0,-442000000.0,-568000000.0,-127000000.0,-199000000.0,59.08
2021-09-30,1725000000.0,724000000.0,1001000000.0,491000000.0,260000000.0,186000000.0,0.64,510000000.0,260000000.0,289100000.0,132000000.0,730000000.0,760000000.0,2477000000.0,28036000000.0,30513000000.0,585000000.0,3254000000.0,12075000000.0,20606000000.0,23860000000.0,6653000000.0,250000000.0,116000000.0,-564000000.0,-609000000.0,-127000000.0,437000000.0,59.73
2021-12-31,2033000000.0,914000000.0,1119000000.0,633000000.0,204000000.0,637000000.0,2.2,486000000.0,204000000.0,289000000.0,476000000.0,943000000.0,667000000.0,2627000000.0,26126000000.0,28753000000.0,382000000.0,2204000000.0,12092000000.0,19361000000.0,21565000000.0,7188000000.0,282000000.0,336000000.0,-634000000.0,227000000.0,-129000000.0,-323000000.0,65.05
2022-03-31,2374000000.0,1107000000.0,1267000000.0,466000000.0,456000000.0,351000000.0,1.21,801000000.0,456000000.0,289300000.0,474000000.0,1052000000.0,454000000.0,2459000000.0,26281000000.0,28740000000.0,382000000.0,1814000000.0,12091000000.0,19521000000.0,21335000000.0,7405000000.0,345000000.0,707000000.0,-520000000.0,-539000000.0,-136000000.0,-170000000.0,69.94
2022-06-30,1920000000.0,958000000.0,962000000.0,481000000.0,239000000.0,145000000.0,0.5,481000000.0,239000000.0,289500000.0,96000000.0,1004000000.0,845000000.0,2393000000.0,26647000000.0,29040000000.0,674000000.0,2389000000.0,11711000000.0,19180000000.0,21569000000.0,7471000000.0,242000000.0,352000000.0,-568000000.0,-600000000.0,-137000000.0,-130000000.0,67.5
2022-09-30,2024000000.0,1023000000.0,1001000000.0,500000000.0,258000000.0,163000000.0,0.56,501000000.0,258000000.0,289600000.0,195000000.0,1175000000.0,1304000000.0,3026000000.0,27346000000.0,30372000000.0,1000000000.0,2488000000.0,12755000000.0,20380000000.0,22868000000.0,7504000000.0,243000000.0,-392000000.0,-650000000.0,-669000000.0,-137000000.0,1160000000.0,58.24
