,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,2525482000.0,2282586000.0,242895800.0,203296000.0,39599900.0,23002000.0,0.11,55290900.0,39599900.0,209428000.0,876898000.0,320371000.0,1375271000.0,1511886000.0,2887157000.0,3419000.0,1307094000.0,532734000.0,593533000.0,1900627000.0,986530000.0,15691000.0,42993000.0,-10654000.0,-156277000.0,0.0,123000.0,11.01
2013-06-30,2610539000.0,2318343000.0,292196000.0,223459000.0,68737100.0,39484000.0,0.18,85974100.0,68737100.0,218116000.0,820042000.0,357908000.0,1342360000.0,1702875000.0,3045235000.0,3029000.0,1320572000.0,548473000.0,602389000.0,1922961000.0,1122274000.0,17237000.0,37946000.0,-19403000.0,-119231000.0,0.0,39206000.0,13.11
2013-09-30,2795568000.0,2462548000.0,333020300.0,249028000.0,83992200.0,49373000.0,0.225,101284200.0,83992200.0,218720000.0,863912000.0,355947000.0,1368435000.0,1770602000.0,3139037000.0,3046000.0,1386972000.0,517931000.0,566974000.0,1953946000.0,1185091000.0,17292000.0,130731000.0,-16326000.0,-48630000.0,0.0,-29532000.0,15.99
2013-12-31,2931411000.0,2591523000.0,339887500.0,255217000.0,84670700.0,53141000.0,0.24250000000000002,101450700.0,84670900.0,216506000.0,1140000000.0,429000000.0,1800000000.0,1729000000.0,3529000000.0,3000000.0,1559000000.0,666000000.0,727000000.0,2286000000.0,1243000000.0,16780000.0,170330000.0,-21617000.0,-17862000.0,0.0,144203000.0,14.74
2014-03-31,3460000000.0,3063000000.0,397000000.0,296000000.0,70000000.0,33000000.0,0.14250000000000002,90000000.0,70000000.0,229936000.0,1370488000.0,570105000.0,2281849000.0,2164598000.0,4446447000.0,6110000.0,2021443000.0,810970000.0,1002826000.0,3024269000.0,1422178000.0,20000000.0,252000000.0,-18000000.0,-150000000.0,0.0,131000000.0,15.56
2014-06-30,4024000000.0,3579000000.0,445000000.0,321000000.0,93000000.0,49000000.0,0.21250000000000002,115000000.0,93000000.0,231034000.0,1386145000.0,610969000.0,2324886000.0,2357681000.0,4682567000.0,6135000.0,2117707000.0,884890000.0,1078909000.0,3196616000.0,1485951000.0,22000000.0,160000000.0,-24000000.0,-240000000.0,0.0,68000000.0,18.9
2014-09-30,4352000000.0,3878000000.0,474000000.0,334000000.0,108000000.0,82000000.0,0.35250000000000004,131000000.0,108000000.0,234454000.0,1749965000.0,685188000.0,2767711000.0,2678634000.0,5446345000.0,5131000.0,2634293000.0,949720000.0,1171001000.0,3805294000.0,1641051000.0,23000000.0,441000000.0,-27000000.0,-191000000.0,0.0,74000000.0,20.68
2014-12-31,4724000000.0,4136000000.0,588000000.0,347000000.0,193000000.0,107000000.0,0.455,217000000.0,193000000.0,232692000.0,1787000000.0,912000000.0,2951000000.0,2873000000.0,5824000000.0,5000000.0,2900000000.0,874000000.0,1181000000.0,4081000000.0,1743000000.0,24000000.0,370000000.0,-34000000.0,-267000000.0,0.0,-75000000.0,25.96
2015-03-31,5131000000.0,4544000000.0,587000000.0,396000000.0,129000000.0,63000000.0,0.265,156000000.0,129000000.0,237568000.0,1817000000.0,1245000000.0,3590000000.0,3106000000.0,6696000000.0,5000000.0,3343000000.0,1123000000.0,1516000000.0,4859000000.0,1837000000.0,27000000.0,45000000.0,-27000000.0,-225000000.0,0.0,236000000.0,35.35
2015-06-30,5506000000.0,4839000000.0,667000000.0,437000000.0,173000000.0,88000000.0,0.37,199000000.0,173000000.0,238008000.0,2107000000.0,1248000000.0,3838000000.0,3184000000.0,7022000000.0,5000000.0,3458000000.0,1139000000.0,1624000000.0,5082000000.0,1940000000.0,26000000.0,350000000.0,-31000000.0,-74000000.0,0.0,25000000.0,40.2
