,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,Shares,Cash & Equivalents,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,6032000000.0,481000000.0,5551000000.0,3699000000.0,1675000000.0,1038000000.0,1.81,580500000.0,7764000000.0,202279000000.0,97884000000.0,300163000000.0,0.0,213575000000.0,36637000000.0,45292000000.0,258867000000.0,41296000000.0,341000000.0,2370000000.0,-236000000.0,6156000000.0,-30000000.0,-12838000000.0,54.95
2013-06-30,6095000000.0,457000000.0,5638000000.0,3613000000.0,1858000000.0,1091000000.0,1.8900000000000001,581500000.0,5030000000.0,199837000000.0,96705000000.0,296542000000.0,0.0,211955000000.0,34465000000.0,43546000000.0,255501000000.0,41041000000.0,811000000.0,2554000000.0,-214000000.0,-1770000000.0,-176000000.0,-2877000000.0,62.81
2013-09-30,6089000000.0,438000000.0,5651000000.0,3797000000.0,1693000000.0,1087000000.0,1.8900000000000001,582300000.0,6108000000.0,195073000000.0,94815000000.0,289888000000.0,0.0,208796000000.0,30159000000.0,39342000000.0,248138000000.0,41750000000.0,495000000.0,3515000000.0,-172000000.0,5371000000.0,-177000000.0,-7821000000.0,68.74
2013-12-31,5960000000.0,416000000.0,5544000000.0,4026000000.0,1352000000.0,835000000.0,1.47,579700000.0,7165000000.0,201685000000.0,95248000000.0,296933000000.0,0.0,205745000000.0,39739000000.0,49556000000.0,255301000000.0,41632000000.0,418000000.0,1545000000.0,-196000000.0,-6036000000.0,-172000000.0,5064000000.0,76.61
2014-03-31,5773000000.0,403000000.0,5370000000.0,3524000000.0,1703000000.0,1136000000.0,1.99,571000000.0,6732000000.0,197159000000.0,93341000000.0,290500000000.0,0.0,210127000000.0,28574000000.0,37572000000.0,247699000000.0,42801000000.0,514000000.0,3159000000.0,-129000000.0,3386000000.0,-174000000.0,-6654000000.0,77.16
2014-06-30,5865000000.0,397000000.0,5468000000.0,3547000000.0,1785000000.0,1177000000.0,2.07,567500000.0,7093000000.0,203805000000.0,94512000000.0,298317000000.0,0.0,208229000000.0,37084000000.0,46273000000.0,254502000000.0,43815000000.0,503000000.0,1761000000.0,-121000000.0,-7253000000.0,-170000000.0,6042000000.0,82.6
2014-09-30,6029000000.0,390000000.0,5639000000.0,3848000000.0,1661000000.0,1056000000.0,1.8900000000000001,559900000.0,6553000000.0,205628000000.0,94574000000.0,300202000000.0,0.0,206843000000.0,39913000000.0,49341000000.0,256184000000.0,44018000000.0,515000000.0,2781000000.0,-155000000.0,-4220000000.0,-169000000.0,855000000.0,81.62
2014-12-31,6202000000.0,389000000.0,5813000000.0,4270000000.0,1420000000.0,974000000.0,1.76,563100000.0,7476000000.0,213114000000.0,95053000000.0,308167000000.0,0.0,206682000000.0,47577000000.0,56432000000.0,263114000000.0,45053000000.0,470000000.0,1603000000.0,-97000000.0,-7904000000.0,-166000000.0,7395000000.0,82.55
2015-03-31,6045000000.0,398000000.0,5647000000.0,3874000000.0,1663000000.0,1115000000.0,2.03,550200000.0,9125000000.0,211107000000.0,95117000000.0,306224000000.0,0.0,211568000000.0,40096000000.0,48926000000.0,260494000000.0,45730000000.0,483000000.0,1993000000.0,-153000000.0,3071000000.0,-167000000.0,-3415000000.0,78.82
2015-06-30,6072000000.0,400000000.0,5672000000.0,4325000000.0,1236000000.0,830000000.0,1.52,545600000.0,7409000000.0,214560000000.0,95950000000.0,310510000000.0,0.0,210930000000.0,43878000000.0,52921000000.0,263851000000.0,46659000000.0,529000000.0,2355000000.0,-76000000.0,-7542000000.0,-218000000.0,3452000000.0,87.97
2015-09-30,6304000000.0,404000000.0,5900000000.0,4146000000.0,1648000000.0,1079000000.0,2.0,540600000.0,7423000000.0,217572000000.0,96128000000.0,313700000000.0,0.0,214122000000.0,41757000000.0,51893000000.0,266015000000.0,47685000000.0,546000000.0,4657000000.0,-182000000.0,-5089000000.0,-217000000.0,113000000.0,72.52
2015-12-31,6617000000.0,423000000.0,6194000000.0,4757000000.0,1334000000.0,848000000.0,1.6,541800000.0,9040000000.0,235854000000.0,98194000000.0,334048000000.0,0.0,219001000000.0,58134000000.0,67763000000.0,286764000000.0,47284000000.0,542000000.0,1122000000.0,-121000000.0,-20166000000.0,-214000000.0,21013000000.0,72.18
2016-03-31,6681000000.0,461000000.0,6220000000.0,4649000000.0,1470000000.0,970000000.0,1.85,523500000.0,6195000000.0,230864000000.0,99482000000.0,330346000000.0,0.0,222913000000.0,49580000000.0,59726000000.0,282639000000.0,47707000000.0,591000000.0,4102000000.0,-134000000.0,-728000000.0,-211000000.0,-6219000000.0,69.31
2016-06-30,6732000000.0,478000000.0,6254000000.0,4792000000.0,1367000000.0,871000000.0,1.7000000000000002,511700000.0,7414000000.0,238592000000.0,100525000000.0,339117000000.0,0.0,222359000000.0,58182000000.0,68650000000.0,291009000000.0,48108000000.0,616000000.0,2466000000.0,-190000000.0,-8190000000.0,-205000000.0,6943000000.0,63.51
2016-09-30,6978000000.0,517000000.0,6461000000.0,4860000000.0,1512000000.0,962000000.0,1.92,501100000.0,9381000000.0,243387000000.0,101674000000.0,345061000000.0,0.0,227297000000.0,58741000000.0,69551000000.0,296848000000.0,48213000000.0,612000000.0,3293000000.0,-184000000.0,-6259000000.0,-202000000.0,4933000000.0,71.83
2016-12-31,7128000000.0,562000000.0,6566000000.0,5330000000.0,1135000000.0,710000000.0,1.47,504900000.0,12493000000.0,253970000000.0,103063000000.0,357033000000.0,0.0,238087000000.0,59468000000.0,71432000000.0,309519000000.0,47514000000.0,609000000.0,1995000000.0,-271000000.0,-10453000000.0,-194000000.0,11570000000.0,87.24
2017-03-31,7131000000.0,596000000.0,6535000000.0,5364000000.0,1109000000.0,752000000.0,1.56,482300000.0,9801000000.0,245508000000.0,103041000000.0,348549000000.0,0.0,242488000000.0,47393000000.0,58021000000.0,300509000000.0,48040000000.0,566000000.0,3163000000.0,-222000000.0,2078000000.0,-195000000.0,-7933000000.0,86.66
2017-06-30,7359000000.0,655000000.0,6704000000.0,5153000000.0,1490000000.0,948000000.0,1.96,484000000.0,7015000000.0,246270000000.0,104323000000.0,350593000000.0,0.0,241097000000.0,48996000000.0,60359000000.0,301456000000.0,49137000000.0,565000000.0,3860000000.0,-261000000.0,-6373000000.0,-195000000.0,-273000000.0,82.62
2017-09-30,7705000000.0,720000000.0,6985000000.0,5339000000.0,1585000000.0,1047000000.0,2.16,484900000.0,8788000000.0,256784000000.0,104618000000.0,361402000000.0,0.0,240130000000.0,58691000000.0,71118000000.0,311248000000.0,50154000000.0,588000000.0,3068000000.0,-293000000.0,-7450000000.0,-195000000.0,6155000000.0,84.66
2017-12-31,7804000000.0,791000000.0,7013000000.0,5644000000.0,1308000000.0,-1043000000.0,-2.17,484200000.0,14352000000.0,263830000000.0,101863000000.0,365693000000.0,0.0,244691000000.0,59705000000.0,72272000000.0,316963000000.0,48730000000.0,721000000.0,4091000000.0,-242000000.0,-3796000000.0,-195000000.0,5269000000.0,99.58
