,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-01-31,2162000000.0,1400000000.0,762000000.0,438000000.0,277000000.0,190000000.0,0.61,398000000.0,277000000.0,314000000.0,410000000.0,799000000.0,886000000.0,2264000000.0,6329000000.0,8593000000.0,0.0,2891000000.0,2940000000.0,4547000000.0,7438000000.0,1155000000.0,121000000.0,418000000.0,-69000000.0,-71000000.0,-274000000.0,-301000000.0,36.71
2013-04-30,1962000000.0,1256000000.0,706000000.0,409000000.0,257000000.0,181000000.0,0.58,356000000.0,257000000.0,314000000.0,453000000.0,674000000.0,888000000.0,2177000000.0,6276000000.0,8453000000.0,0.0,2604000000.0,2944000000.0,4536000000.0,7140000000.0,1313000000.0,99000000.0,365000000.0,-94000000.0,-89000000.0,0.0,-226000000.0,46.41
2013-07-31,1723000000.0,1100000000.0,623000000.0,386000000.0,178000000.0,-158000000.0,-0.5,267000000.0,178000000.0,314000000.0,333000000.0,635000000.0,925000000.0,2221000000.0,6102000000.0,8323000000.0,0.0,3282000000.0,2544000000.0,3831000000.0,7113000000.0,1210000000.0,89000000.0,155000000.0,-130000000.0,-380000000.0,-1000000.0,206000000.0,46.8
2013-10-31,2165000000.0,1388000000.0,777000000.0,409000000.0,305000000.0,172000000.0,0.55,379000000.0,305000000.0,314000000.0,305000000.0,804000000.0,1079000000.0,2587000000.0,6468000000.0,9055000000.0,0.0,4104000000.0,2247000000.0,3606000000.0,7710000000.0,1345000000.0,74000000.0,38000000.0,-52000000.0,-381000000.0,-97000000.0,261000000.0,42.57
2014-01-31,2281000000.0,1467000000.0,814000000.0,410000000.0,361000000.0,325000000.0,1.04,435000000.0,361000000.0,314000000.0,293000000.0,783000000.0,891000000.0,2174000000.0,5945000000.0,8119000000.0,0.0,3189000000.0,2247000000.0,3531000000.0,6720000000.0,1399000000.0,74000000.0,325000000.0,-55000000.0,478000000.0,-98000000.0,-814000000.0,41.21
2014-04-30,1970000000.0,1294000000.0,676000000.0,351000000.0,292000000.0,184000000.0,0.59,366000000.0,292000000.0,314000000.0,222000000.0,669000000.0,858000000.0,1947000000.0,6017000000.0,7964000000.0,0.0,2817000000.0,2247000000.0,3556000000.0,6373000000.0,1591000000.0,74000000.0,400000000.0,-72000000.0,-86000000.0,-98000000.0,-389000000.0,45.49
2014-07-31,1852000000.0,1148000000.0,704000000.0,335000000.0,309000000.0,185000000.0,0.44,392000000.0,309000000.0,314000000.0,232000000.0,670000000.0,1016000000.0,2100000000.0,6013000000.0,8113000000.0,0.0,2989000000.0,2244000000.0,3521000000.0,6510000000.0,1603000000.0,83000000.0,136000000.0,-146000000.0,-145000000.0,-98000000.0,17000000.0,41.59
2014-10-31,2255000000.0,1460000000.0,795000000.0,374000000.0,389000000.0,248000000.0,0.75,464000000.0,389000000.0,314000000.0,239000000.0,840000000.0,1105000000.0,2358000000.0,5939000000.0,8297000000.0,0.0,3168000000.0,2244000000.0,3523000000.0,6691000000.0,1606000000.0,75000000.0,188000000.0,-56000000.0,-64000000.0,-101000000.0,-111000000.0,44.17
2015-01-31,2234000000.0,1491000000.0,743000000.0,374000000.0,337000000.0,222000000.0,0.66,411000000.0,337000000.0,313000000.0,201000000.0,794000000.0,916000000.0,2090000000.0,5813000000.0,7903000000.0,0.0,2850000000.0,2253000000.0,3539000000.0,6389000000.0,1514000000.0,74000000.0,396000000.0,-79000000.0,-79000000.0,-98000000.0,-337000000.0,45.74
2015-04-30,1900000000.0,1218000000.0,682000000.0,355000000.0,285000000.0,179000000.0,0.59,359000000.0,285000000.0,311000000.0,230000000.0,641000000.0,876000000.0,1902000000.0,5857000000.0,7759000000.0,0.0,2323000000.0,2553000000.0,3851000000.0,6174000000.0,1585000000.0,74000000.0,387000000.0,-98000000.0,-97000000.0,-98000000.0,-263000000.0,44.71
2015-07-31,1693000000.0,1131000000.0,562000000.0,382000000.0,43000000.0,17000000.0,0.22,123000000.0,43000000.0,312000000.0,253000000.0,647000000.0,995000000.0,2093000000.0,5984000000.0,8077000000.0,0.0,2806000000.0,2539000000.0,3894000000.0,6700000000.0,1377000000.0,80000000.0,235000000.0,-132000000.0,-363000000.0,-97000000.0,161000000.0,49.31
2015-10-31,2203000000.0,1448000000.0,755000000.0,382000000.0,315000000.0,194000000.0,0.63,389000000.0,315000000.0,310000000.0,263000000.0,829000000.0,1049000000.0,2337000000.0,5967000000.0,8304000000.0,0.0,2904000000.0,2551000000.0,3990000000.0,6894000000.0,1410000000.0,74000000.0,244000000.0,-69000000.0,-68000000.0,-100000000.0,-162000000.0,50.79
2016-01-31,2201000000.0,1382000000.0,819000000.0,369000000.0,414000000.0,265000000.0,0.85,492000000.0,414000000.0,310000000.0,306000000.0,770000000.0,855000000.0,2132000000.0,5947000000.0,8079000000.0,0.0,2566000000.0,2551000000.0,3989000000.0,6555000000.0,1524000000.0,78000000.0,510000000.0,-80000000.0,-71000000.0,-97000000.0,-391000000.0,56.41
2016-04-30,1870000000.0,1210000000.0,660000000.0,382000000.0,268000000.0,185000000.0,0.6000000000000001,344000000.0,268000000.0,309000000.0,383000000.0,648000000.0,829000000.0,2042000000.0,6039000000.0,8081000000.0,0.0,2377000000.0,2552000000.0,4030000000.0,6407000000.0,1674000000.0,76000000.0,457000000.0,-71000000.0,-95000000.0,-97000000.0,-303000000.0,61.71
2016-07-31,1687000000.0,1141000000.0,546000000.0,401000000.0,-37000000.0,-81000000.0,-0.26,43000000.0,-37000000.0,308000000.0,296000000.0,626000000.0,940000000.0,1908000000.0,5929000000.0,7837000000.0,0.0,2555000000.0,2314000000.0,3749000000.0,6304000000.0,1533000000.0,80000000.0,280000000.0,-116000000.0,-120000000.0,-96000000.0,-243000000.0,62.27
2016-10-31,2202000000.0,1351000000.0,851000000.0,355000000.0,457000000.0,292000000.0,0.9500000000000001,534000000.0,457000000.0,308000000.0,290000000.0,841000000.0,964000000.0,2146000000.0,5893000000.0,8039000000.0,0.0,2760000000.0,2298000000.0,3681000000.0,6441000000.0,1598000000.0,77000000.0,221000000.0,-48000000.0,-52000000.0,-100000000.0,-173000000.0,54.34
2017-01-31,2171000000.0,1360000000.0,811000000.0,381000000.0,205000000.0,101000000.0,0.33,282000000.0,205000000.0,306000000.0,309000000.0,714000000.0,820000000.0,1896000000.0,5674000000.0,7570000000.0,0.0,2436000000.0,2293000000.0,3655000000.0,6091000000.0,1479000000.0,77000000.0,446000000.0,-71000000.0,-80000000.0,-107000000.0,-345000000.0,62.23
2017-04-30,1853000000.0,1188000000.0,665000000.0,354000000.0,298000000.0,176000000.0,0.58,378000000.0,298000000.0,304000000.0,313000000.0,618000000.0,791000000.0,1790000000.0,5661000000.0,7451000000.0,0.0,2352000000.0,2270000000.0,3609000000.0,5961000000.0,1490000000.0,80000000.0,344000000.0,-76000000.0,-77000000.0,-107000000.0,-262000000.0,57.54
2017-07-31,1664000000.0,1066000000.0,598000000.0,315000000.0,440000000.0,318000000.0,1.05,524000000.0,440000000.0,303000000.0,319000000.0,605000000.0,902000000.0,1900000000.0,5826000000.0,7726000000.0,0.0,2395000000.0,2499000000.0,3686000000.0,6081000000.0,1645000000.0,84000000.0,277000000.0,-143000000.0,-159000000.0,-106000000.0,-128000000.0,52.83
