,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-01-31,266185000.0,169368000.0,96817000.0,34047000.0,62770000.0,39640000.0,0.08,77382000.0,62770000.0,498836000.0,49510000.0,211267000.0,11043000.0,311905000.0,942041000.0,1253946000.0,75177000.0,212811000.0,333068000.0,373632000.0,586443000.0,667503000.0,14612000.0,-22225000.0,-36656000.0,-56732000.0,0.0,-2845000.0,8.98
2013-04-30,277638000.0,162041000.0,115597000.0,32784000.0,82813000.0,53236000.0,0.105,97610000.0,82813000.0,501080000.0,139331000.0,168539000.0,10524000.0,353162000.0,945520000.0,1298682000.0,75937000.0,218377000.0,314230000.0,355911000.0,574288000.0,724394000.0,14797000.0,129913000.0,-58535000.0,-24964000.0,0.0,-14658000.0,8.81
2013-07-31,263697000.0,160625000.0,103072000.0,40020000.0,63052000.0,41304000.0,0.0825,77532000.0,63052000.0,499648000.0,63631000.0,192130000.0,10736000.0,306452000.0,1028029000.0,1334481000.0,76047000.0,238559000.0,296410000.0,333521000.0,572080000.0,762401000.0,14480000.0,16323000.0,-67983000.0,-67983000.0,0.0,-21818000.0,8.13
2013-10-31,279883000.0,172047000.0,107836000.0,42877000.0,64959000.0,41422000.0,0.0825,79463000.0,64959000.0,501840000.0,77052000.0,189461000.0,9205000.0,320955000.0,1076433000.0,1397388000.0,77305000.0,257907000.0,280121000.0,316834000.0,574741000.0,822647000.0,14504000.0,67715000.0,-20449000.0,-20742000.0,0.0,-34981000.0,8.06
2014-01-31,286434000.0,174888000.0,111546000.0,40062000.0,71484000.0,45345000.0,0.09,84560000.0,71484000.0,502256000.0,46199000.0,227732000.0,9850000.0,332929000.0,1105564000.0,1438493000.0,77028000.0,259651000.0,261182000.0,298118000.0,557769000.0,880724000.0,13076000.0,8076000.0,-43465000.0,-42678000.0,0.0,4980000.0,8.57
2014-04-30,309722000.0,177470000.0,132252000.0,40515000.0,62633000.0,40877000.0,0.08,75402000.0,62633000.0,503176000.0,132832000.0,195968000.0,9826000.0,385754000.0,1090918000.0,1476672000.0,76171000.0,256742000.0,242106000.0,280169000.0,536911000.0,939761000.0,12769000.0,131843000.0,-11751000.0,-11387000.0,0.0,-34606000.0,9.07
2014-07-31,287450000.0,170510900.0,116939100.0,41081000.0,75858100.0,51043000.0,0.10250000000000001,89235100.0,75858100.0,502772000.0,158668000.0,199273000.0,7259000.0,412291000.0,1094513000.0,1506804000.0,79674000.0,244284000.0,223227000.0,259021000.0,503305000.0,1003499000.0,13377000.0,54960000.0,-17296000.0,-17296000.0,0.0,-12216000.0,8.35
2014-10-31,290386000.0,168078000.0,122308000.0,39907000.0,82401000.0,52615000.0,0.105,96368000.0,82401000.0,504868000.0,198484000.0,205214000.0,7592000.0,457766000.0,1078820000.0,1536586000.0,76171000.0,259691000.0,203868000.0,239464000.0,499155000.0,1037431000.0,13967000.0,83366000.0,-22916000.0,-22699000.0,0.0,-17579000.0,8.36
2015-01-31,276258000.0,161391000.0,114867000.0,34399000.0,80468000.0,52193000.0,0.10250000000000001,91868000.0,80468000.0,505200000.0,590366000.0,243280000.0,8015000.0,888425000.0,1063646000.0,1952071000.0,76171000.0,234724000.0,608236000.0,644110000.0,878834000.0,1073237000.0,11400000.0,5517000.0,-16018000.0,-16018000.0,0.0,406274000.0,9.15
2015-04-30,297142000.0,169725000.0,127417000.0,32650000.0,94767000.0,57563000.0,0.115,106979000.0,94767000.0,505660000.0,678742000.0,219590000.0,8107000.0,954459000.0,1048518000.0,2002977000.0,64921000.0,229448000.0,599951000.0,637561000.0,867009000.0,1135968000.0,12212000.0,114486000.0,-9275000.0,-9275000.0,0.0,-17552000.0,8.89
2015-07-31,282293000.0,163509000.0,118784000.0,32019000.0,86765000.0,57412000.0,0.115,98079000.0,86765000.0,503658000.0,456012000.0,221788000.0,8613000.0,734582000.0,1064078000.0,1798660000.0,53671000.0,213126000.0,590843000.0,621070000.0,834196000.0,964464000.0,11314000.0,61707000.0,-29423000.0,-33923000.0,0.0,-250781000.0,9.01
