,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,189811000.0,69446000.0,120365000.0,9794000.0,47593000.0,63476000.0,0.72,101979000.0,47593000.0,86703000.0,65220000.0,26948000.0,92168000.0,5290688000.0,5382856000.0,0.0,122990000.0,2483605000.0,2609843000.0,2732833000.0,2650023000.0,54386000.0,84870000.0,9847000.0,8079000.0,-49941000.0,-59976000.0,68.68
2013-06-30,194983000.0,76839000.0,118144000.0,11590000.0,51643000.0,72172000.0,0.8200000000000001,106856000.0,51643000.0,87191000.0,12887000.0,27274000.0,40161000.0,5446121000.0,5486282000.0,0.0,137142000.0,2523823000.0,2644010000.0,2781152000.0,2705130000.0,55213000.0,96159000.0,-166811000.0,-164779000.0,-56528000.0,15484000.0,69.14
2013-09-30,199740000.0,78122000.0,121618000.0,9993000.0,52645000.0,70720000.0,0.81,109308000.0,52645000.0,87449000.0,65596000.0,27474000.0,93070000.0,5598141000.0,5691211000.0,0.0,174583000.0,2665037000.0,2838638000.0,3013221000.0,2677990000.0,56663000.0,128575000.0,-150462000.0,-214565000.0,-56821000.0,84191000.0,61.44
2013-12-31,204317000.0,71879000.0,132438000.0,9209000.0,58585100.0,129996000.0,1.47,113866100.0,58585100.0,87204000.0,24393000.0,27724000.0,52117000.0,5580024000.0,5632141000.0,0.0,148955000.0,2530766000.0,2723005000.0,2871960000.0,2760181000.0,55281000.0,94687000.0,-267812000.0,112280000.0,-56793000.0,-193880000.0,56.88
2014-03-31,205929000.0,80163000.0,125766000.0,9545000.0,56044000.0,40036000.0,0.45,114281000.0,56044000.0,87651000.0,22317000.0,26145000.0,48462000.0,5631387000.0,5679849000.0,0.0,146903000.0,2589922000.0,2793841000.0,2940744000.0,2739105000.0,58237000.0,94019000.0,-104336000.0,-99226000.0,-56787000.0,4181000.0,67.34
2014-06-30,208492000.0,81733000.0,126759000.0,10534000.0,58227000.0,35272000.0,0.4,116996000.0,58227000.0,87845000.0,21493000.0,26501000.0,47994000.0,5742094000.0,5790088000.0,0.0,162539000.0,2700239000.0,2912680000.0,3075219000.0,2714869000.0,58769000.0,99979000.0,-149943000.0,-150986000.0,-59728000.0,50308000.0,71.15
2014-09-30,213098000.0,84091000.0,129007000.0,10331000.0,56656000.0,38283000.0,0.43,116671000.0,56656000.0,88146000.0,71896000.0,25954000.0,97850000.0,5814126000.0,5911976000.0,0.0,201624000.0,2743949000.0,2958807000.0,3160431000.0,2751545000.0,60015000.0,133008000.0,-113871000.0,-115889000.0,-59769000.0,32939000.0,68.53
2014-12-31,162744000.0,61783000.0,100961000.0,20595000.0,29228000.0,178498000.0,1.99,74262000.0,29228000.0,88084000.0,159816000.0,25977000.0,185793000.0,5858188000.0,6043981000.0,0.0,196381000.0,2730613000.0,2959191000.0,3155572000.0,2888409000.0,45034000.0,91522000.0,46391000.0,39514000.0,-60230000.0,-43946000.0,73.84
2015-03-31,201608000.0,79320000.0,122288000.0,9748000.0,51616000.0,115599000.0,1.29,109600000.0,51616000.0,88987000.0,179387000.0,25652000.0,205039000.0,5872020000.0,6077059000.0,0.0,157707000.0,2743117000.0,2979443000.0,3137150000.0,2939909000.0,57984000.0,76536000.0,15935000.0,14142000.0,-60386000.0,-70243000.0,78.13
2015-06-30,206432000.0,79681000.0,126751000.0,11582000.0,54405000.0,36079000.0,0.4,114345000.0,54405000.0,89153000.0,22299000.0,25855000.0,48154000.0,5952614000.0,6000768000.0,0.0,172437000.0,2674687000.0,2909246000.0,3081683000.0,2919085000.0,59940000.0,118086000.0,-136585000.0,-143331000.0,-64237000.0,-132600000.0,74.28
