,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-01-31,834681200.0,183362000.0,651319200.0,550939000.0,-20806900.0,-20844000.0,-0.035,86882100.0,-20807000.0,564896000.0,867621000.0,872634000.0,2015880000.0,3513076000.0,5528956000.0,521278000.0,2917624000.0,0.0,293699000.0,3211323000.0,2317633000.0,107689000.0,281573000.0,-50522000.0,-178318000.0,0.0,124483000.0,43.03
2013-04-30,892633000.0,208994000.0,683639000.0,596240000.0,-44540000.0,-67721000.0,-0.12,73094000.0,-44540000.0,588385000.0,2099817000.0,502609000.0,2876039000.0,3637670000.0,6513709000.0,527810000.0,2729687000.0,1166544000.0,1321226000.0,4050913000.0,2462796000.0,117634000.0,283189000.0,-54010000.0,-219276000.0,0.0,1123641000.0,41.11
2013-07-31,957094000.0,217717000.0,739377000.0,631155000.0,-39857100.0,76603000.0,0.13,97491900.0,-39857100.0,593955000.0,623491000.0,599543000.0,1698165000.0,6271730000.0,7969896000.0,564391000.0,3063315000.0,1305271000.0,2087932000.0,5151247000.0,2818649000.0,137349000.0,183183000.0,-102549000.0,-1855320000.0,0.0,325309000.0,43.75
2013-10-31,1076034000.0,268187000.0,807847000.0,735088000.0,-97931000.0,-124434000.0,-0.21,77767000.0,-97931000.0,600467000.0,703542000.0,604045000.0,1800886000.0,6296748000.0,8097634000.0,571125000.0,3096689000.0,1303583000.0,2088589000.0,5185278000.0,2912356000.0,175698000.0,137859000.0,-72702000.0,-163522000.0,0.0,92348000.0,53.36
2014-01-31,1145242000.0,273530000.0,871711700.0,802368000.0,-103746500.0,-116623000.0,-0.19,79130500.0,-103746200.0,597613000.0,838774000.0,1360837000.0,2680252000.0,6472678000.0,9152930000.0,572159000.0,3980188000.0,1301930000.0,2134232000.0,6114420000.0,3038510000.0,182877000.0,271238000.0,-69849000.0,-193437000.0,0.0,56936000.0,60.53
2014-04-30,1226772000.0,292305000.0,934467000.0,801450000.0,-55340900.0,-96911000.0,-0.16,127113100.0,-55340900.0,612512000.0,879124000.0,684155000.0,2039381000.0,6601963000.0,8641344000.0,305029000.0,3359954000.0,1300315000.0,2149476000.0,5509430000.0,3131914000.0,182454000.0,473087000.0,-60098000.0,-210370000.0,0.0,-219150000.0,51.65
2014-07-31,1318551000.0,307831000.0,1010720000.0,841045000.0,-33434100.0,-61088000.0,-0.1,145410900.0,-33434100.0,617016000.0,844575000.0,834323000.0,2304687000.0,6705141000.0,9009828000.0,295102000.0,3502738000.0,1298737000.0,2206522000.0,5709260000.0,3300568000.0,178845000.0,245893000.0,-71576000.0,-286476000.0,0.0,-6919000.0,54.25
2014-10-31,1383655000.0,333211000.0,1050444000.0,877026000.0,-22042000.0,-38924000.0,-0.06,164703000.0,-22042000.0,629548000.0,926104000.0,794590000.0,2439155000.0,6973509000.0,9412663000.0,179755000.0,3308352000.0,1364683000.0,2313697000.0,5622049000.0,3790614000.0,186745000.0,122511000.0,-73426000.0,-56266000.0,0.0,19893000.0,63.99
2015-01-31,1444608000.0,355923000.0,1088685000.0,917510900.0,-34815600.0,-65765000.0,-0.1,162698400.0,-34815800.0,624148000.0,995429000.0,1905506000.0,3514544000.0,7150583000.0,10665130000.0,0.0,4390103000.0,1370692000.0,2299841000.0,6689944000.0,3975183000.0,197514000.0,339953000.0,-85354000.0,-145248000.0,0.0,-112035000.0,56.45
2015-04-30,1511167000.0,381802000.0,1129365000.0,912749000.0,31105000.0,4092000.0,0.01,242048000.0,31105000.0,653809000.0,1019015000.0,926381000.0,2604825000.0,7760857000.0,10365680000.0,0.0,3960876000.0,1275503000.0,2169603000.0,6130479000.0,4235203000.0,210943000.0,735081000.0,-71087000.0,-536123000.0,0.0,-161810000.0,72.82
2015-07-31,1634684000.0,405384000.0,1229300000.0,975376000.0,19824000.0,-852000.0,0.0,235469000.0,19824000.0,659366000.0,1170469000.0,1067799000.0,2916787000.0,7877190000.0,10793980000.0,0.0,4112994000.0,1281612000.0,2145180000.0,6258174000.0,4535803000.0,215645000.0,304278000.0,-64883000.0,-233777000.0,0.0,73725000.0,73.3
2015-10-31,1711967000.0,423683000.0,1288284000.0,1005638000.0,43434100.0,-25157000.0,-0.04,263742100.0,43434100.0,664131000.0,1358005000.0,1060726000.0,2938773000.0,7973193000.0,10911970000.0,0.0,3976978000.0,1287761000.0,2185034000.0,6162012000.0,4749954000.0,220308000.0,162514000.0,-80041000.0,-112746000.0,0.0,87071000.0,77.71
2016-01-31,1809398000.0,443679000.0,1365719000.0,1094299000.0,20560100.0,-25509000.0,-0.04,245955100.0,20559800.0,661647000.0,2725377000.0,2496165000.0,5731323000.0,7031597000.0,12762920000.0,0.0,5617005000.0,1286095000.0,2143046000.0,7760051000.0,5002869000.0,225395000.0,470208000.0,-68465000.0,-605232000.0,0.0,74166000.0,68.06
2016-04-30,1916603000.0,496981000.0,1419622000.0,1106666000.0,51986000.0,38759000.0,0.06,280457000.0,51986000.0,677514000.0,2031192000.0,1192965000.0,3774672000.0,9042598000.0,12817270000.0,0.0,5085103000.0,1293170000.0,2147903000.0,7233006000.0,5584264000.0,228471000.0,1051062000.0,-83301000.0,-450278000.0,0.0,39173000.0,75.8
2016-07-31,2036618000.0,525579000.0,1511039000.0,1186982000.0,32551000.0,229622000.0,0.34,277563000.0,32551000.0,681126000.0,1174283000.0,1323114000.0,3277999000.0,11103320000.0,14381310000.0,0.0,5376096000.0,1796929000.0,2872642000.0,8248738000.0,6132576000.0,245012000.0,250678000.0,-96030000.0,-1542432000.0,0.0,616633000.0,81.8
2016-10-31,2144775000.0,585522000.0,1559253000.0,1244758000.0,3035900.0,-37309000.0,-0.05,272892900.0,3035900.0,690468000.0,1200807000.0,1281425000.0,3001554000.0,11386120000.0,14387670000.0,0.0,4975534000.0,1804371000.0,2606098000.0,7581632000.0,6806037000.0,269857000.0,154312000.0,-140653000.0,-193784000.0,0.0,81849000.0,75.16
2017-01-31,2339004000.0,625918000.0,1713086000.0,1238594000.0,130427200.0,91928000.0,-0.07,520087300.0,130427100.0,688000000.0,2208887000.0,3196643000.0,5996827000.0,11588100000.0,17584920000.0,0.0,7295466000.0,2008391000.0,2789330000.0,10084800000.0,7500127000.0,389660000.0,705948000.0,-144016000.0,-497506000.0,0.0,260345000.0,79.1
2017-04-30,2397000000.0,651000000.0,1746000000.0,1366000000.0,4000000.0,1000000.0,-0.01,338000000.0,4000000.0,706000000.0,3219550000.0,1439875000.0,5404491000.0,11654440000.0,17058930000.0,1123525000.0,7625863000.0,695845000.0,1498579000.0,9124442000.0,7934488000.0,334000000.0,1230000000.0,-157000000.0,-768000000.0,0.0,-49000000.0,86.12
2017-07-31,2577000000.0,670000000.0,1907000000.0,1436000000.0,84000000.0,46000000.0,0.02,431000000.0,84000000.0,712000000.0,3501245000.0,1569322000.0,5811341000.0,11607460000.0,17418800000.0,1130729000.0,7526185000.0,713422000.0,1441304000.0,8967489000.0,8451314000.0,347000000.0,331000000.0,-128000000.0,-524000000.0,0.0,117000000.0,90.8
2017-10-31,2701000000.0,714000000.0,1987000000.0,1438000000.0,155000000.0,107000000.0,0.07,513000000.0,155000000.0,717000000.0,3628665000.0,1519916000.0,5946170000.0,11543870000.0,17490040000.0,1137954000.0,7216444000.0,696555000.0,1444222000.0,8660666000.0,8829370000.0,358000000.0,125000000.0,-111000000.0,-135000000.0,0.0,134000000.0,102.34
2018-01-31,2865000000.0,738000000.0,2127000000.0,1520000000.0,211000000.0,206000000.0,0.09,548000000.0,211000000.0,715000000.0,4521000000.0,3921000000.0,9584000000.0,12400000000.0,21984000000.0,1025000000.0,10067000000.0,695000000.0,1541000000.0,11608000000.0,10376000000.0,337000000.0,1052000000.0,-138000000.0,-584000000.0,0.0,19000000.0,113.91
2018-04-30,3006000000.0,767000000.0,2239000000.0,1624000000.0,191000000.0,344000000.0,0.47000000000000003,576000000.0,191000000.0,729000000.0,7159000000.0,1763000000.0,10151000000.0,12812000000.0,22963000000.0,3000000.0,7895000000.0,3172000000.0,4008000000.0,11903000000.0,11060000000.0,385000000.0,1466000000.0,-122000000.0,276000000.0,0.0,1625000000.0,120.99
2018-07-31,3281000000.0,849000000.0,2432000000.0,1854000000.0,115000000.0,299000000.0,0.4,551000000.0,115000000.0,747000000.0,3427000000.0,1980000000.0,6802000000.0,19021000000.0,25823000000.0,503000000.0,8469000000.0,3173000000.0,3826000000.0,12295000000.0,13528000000.0,436000000.0,458000000.0,-170000000.0,-4661000000.0,0.0,589000000.0,137.15
2018-10-31,3392000000.0,889000000.0,2503000000.0,1930000000.0,92000000.0,105000000.0,0.14,539000000.0,92000000.0,760000000.0,3450000000.0,2037000000.0,6870000000.0,19718000000.0,26588000000.0,503000000.0,8022000000.0,3173000000.0,3873000000.0,11895000000.0,14693000000.0,447000000.0,143000000.0,-136000000.0,-545000000.0,0.0,182000000.0,137.24
