,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,104033000.0,33606000.0,70427000.0,56798000.0,-2598000.0,-2410000.0,-0.009000000000000001,8315000.0,-2598000.0,274280000.0,167394000.0,26216000.0,225465000.0,958392900.0,1183858000.0,17500000.0,97719000.0,148750000.0,235488000.0,333207000.0,850651000.0,10913000.0,10708000.0,-4643000.0,-4560000.0,0.0,5249000.0,10.95
2013-06-30,108999000.0,32101000.0,76898000.0,46233000.0,15283000.0,8293000.0,0.03,26098000.0,15283000.0,276360000.0,190101000.0,26604000.0,244698000.0,952320000.0,1197018000.0,19688000.0,102735000.0,142187000.0,227687000.0,330422000.0,866596000.0,10815000.0,30859000.0,-4269000.0,-4274000.0,0.0,-3888000.0,12.91
2013-09-30,112301000.0,31724000.0,80577000.0,45565000.0,19770000.0,11052000.0,0.04,30552000.0,19770000.0,277580000.0,222938000.0,24756000.0,277570000.0,952804000.0,1230374000.0,21875000.0,107403000.0,135625000.0,223652000.0,331055000.0,899319000.0,10782000.0,31261000.0,-6419000.0,-6410000.0,0.0,7858000.0,16.79
2013-12-31,115610000.0,31754000.0,83856000.0,47068000.0,21699000.0,12799000.0,0.046,32261000.0,21699000.0,276700000.0,255953000.0,20761000.0,308466000.0,948515900.0,1256982000.0,24063000.0,111553000.0,129062000.0,217567000.0,329120000.0,927862000.0,10562000.0,35470000.0,-3711000.0,-3722000.0,0.0,1186000.0,18.46
2014-03-31,119076000.0,33643000.0,85433000.0,52642000.0,17141000.0,9740000.0,0.034,27702000.0,17141000.0,282730000.0,223443000.0,32286000.0,303751000.0,941044900.0,1244796000.0,26250000.0,107276000.0,122500000.0,207727000.0,315003000.0,929793000.0,10561000.0,-6555000.0,-4149000.0,-4149000.0,0.0,-21844000.0,18.67
2014-06-30,147708000.0,39481000.0,108227000.0,67139000.0,16909000.0,8249000.0,0.028,38424000.0,16909000.0,290610000.0,444857000.0,39661000.0,531014000.0,1515380000.0,2046394000.0,20000000.0,117286000.0,375000000.0,457867000.0,575153000.0,1471241000.0,21515000.0,49889000.0,-7288000.0,-590956000.0,0.0,762377000.0,15.82
2014-09-30,153056000.0,40932000.0,112124000.0,66056000.0,23480000.0,12957000.0,0.041,44596000.0,23480000.0,317420000.0,486195000.0,39051000.0,562752000.0,1501589000.0,2064341000.0,20000000.0,120201000.0,370000000.0,451767000.0,571968000.0,1492373000.0,21116000.0,52702000.0,-9428000.0,-8828000.0,0.0,-2285000.0,15.55
2014-12-31,156096000.0,42923000.0,113173000.0,68384000.0,23348000.0,13923000.0,0.044,43840000.0,23348000.0,302150000.0,527012000.0,39721000.0,596476000.0,1474007000.0,2070483000.0,16665000.0,115955000.0,355136000.0,440982000.0,556937000.0,1513546000.0,20492000.0,47873000.0,-6579000.0,-2054000.0,0.0,-4735000.0,18.36
2015-03-31,159020000.0,45396000.0,113624000.0,94841000.0,-3507000.0,-6127000.0,-0.019,15133000.0,-3507000.0,318310000.0,541771000.0,46726000.0,627704000.0,1471997000.0,2099701000.0,20000000.0,135858000.0,360000000.0,448885000.0,584743000.0,1514958000.0,18640000.0,30169000.0,-11744000.0,-11094000.0,0.0,-4053000.0,19.78
2015-06-30,170657000.0,44634000.0,126023000.0,122343000.0,-20129000.0,-14966000.0,-0.047,-626000.0,-20129000.0,319910000.0,351781000.0,55409000.0,450348000.0,1623599000.0,2073947000.0,20000000.0,141318000.0,355000000.0,426476000.0,567794000.0,1506153000.0,19503000.0,-3213000.0,-6186000.0,-178153000.0,0.0,-9064000.0,20.13
2015-09-30,189078000.0,53728000.0,135350000.0,111580000.0,-431000.0,-5362000.0,-0.017,22919000.0,-431000.0,319800000.0,375509000.0,52093000.0,476474000.0,1614262000.0,2090736000.0,20000000.0,162918000.0,350000000.0,417860000.0,580778000.0,1509958000.0,23350000.0,42760000.0,-10023000.0,-14282000.0,0.0,-4379000.0,17.31
2015-12-31,193009000.0,45127000.0,147882000.0,88969000.0,35522100.0,22990000.0,0.07200000000000001,55872000.0,35522000.0,319500000.0,421818000.0,40706000.0,472733000.0,1606838000.0,2079571000.0,16746000.0,135281000.0,338366000.0,400510000.0,535791000.0,1543780000.0,20350000.0,70057000.0,-7108000.0,-11973000.0,0.0,-11536000.0,20.67
2016-03-31,199739000.0,42900000.0,156839000.0,102680000.0,30301000.0,16721000.0,0.052000000000000005,48633000.0,30301000.0,320850000.0,462812000.0,47469000.0,519937000.0,1586076000.0,2106013000.0,16777000.0,143342000.0,334146000.0,397195000.0,540537000.0,1565476000.0,18332000.0,48356000.0,-3794000.0,416000.0,0.0,-8655000.0,18.82
2016-06-30,206869000.0,42679000.0,164190000.0,110695000.0,28119000.0,15576000.0,0.048,46358000.0,28119000.0,321860000.0,465281000.0,46044000.0,524219000.0,1583015000.0,2107234000.0,11812000.0,132830000.0,324910000.0,388463000.0,521293000.0,1585941000.0,18239000.0,38338000.0,-3600000.0,-13905000.0,0.0,-21475000.0,21.87
2016-09-30,212711000.0,42222000.0,170489000.0,105986000.0,39596000.0,23201000.0,0.07200000000000001,58473000.0,39596000.0,321860000.0,523270000.0,48510000.0,583443000.0,1569144000.0,2152587000.0,21825000.0,153459000.0,315694000.0,380430000.0,533889000.0,1618698000.0,18877000.0,61766000.0,-4298000.0,-3946000.0,0.0,348000.0,21.65
2016-12-31,218311000.0,46013000.0,172298000.0,100419000.0,46889000.0,29573000.0,0.092,64833000.0,46889000.0,321670000.0,567223000.0,48666000.0,627491000.0,1557572000.0,2185063000.0,31866000.0,154946000.0,306473000.0,375904000.0,530850000.0,1654213000.0,17944000.0,52182000.0,-7074000.0,-5824000.0,0.0,-781000.0,18.85
2017-03-31,226553000.0,51346000.0,175207000.0,110397000.0,37662000.0,22130000.0,0.069,55732000.0,37662000.0,322760000.0,572472000.0,49686000.0,634163000.0,1560992000.0,2195155000.0,6961000.0,144091000.0,297150000.0,367302000.0,511393000.0,1683762000.0,18070000.0,64557000.0,-6146000.0,-19819000.0,0.0,-39547000.0,20.72
2017-06-30,237153000.0,55273000.0,181880000.0,126283000.0,27883000.0,22184000.0,0.068,44458000.0,27883000.0,324060000.0,564638000.0,51512000.0,635987000.0,1584032000.0,2220019000.0,21945000.0,150901000.0,282881000.0,352383000.0,503284000.0,1716735000.0,16575000.0,30806000.0,-6528000.0,-37923000.0,0.0,-1226000.0,26.36
2017-09-30,247533000.0,55483000.0,192050000.0,108703000.0,57513000.0,34177000.0,0.105,73302000.0,57513000.0,324440000.0,622995000.0,60871000.0,700081000.0,1580515000.0,2280596000.0,36910000.0,176587000.0,268586000.0,341582000.0,518169000.0,1762427000.0,15789000.0,67944000.0,-7080000.0,-9779000.0,0.0,-121000.0,26.83
2017-12-31,253991000.0,58301000.0,195689900.0,119107000.0,50757900.0,44204000.0,0.124,66269900.0,50757900.0,332000000.0,1211463000.0,60900000.0,1287935000.0,1585506000.0,2873441000.0,0.0,146666000.0,0.0,75525000.0,222191000.0,2651250000.0,15512000.0,71396000.0,-4745000.0,-4746000.0,0.0,521324000.0,29.69
2018-03-31,273718000.0,62477000.0,211241000.0,129080000.0,53445000.0,52231000.0,0.146,82653000.0,53445000.0,358930000.0,931429000.0,68914000.0,1032004000.0,2063096000.0,3095100000.0,0.0,165643000.0,0.0,128493000.0,294136000.0,2800964000.0,29208000.0,72985000.0,-8617000.0,-348691000.0,0.0,-4776000.0,36.27
2018-06-30,297018000.0,67136000.0,229882000.0,151021000.0,43774000.0,43835000.0,0.122,76844000.0,43774000.0,360730000.0,966278000.0,69984000.0,1075985000.0,2046589000.0,3122574000.0,0.0,145920000.0,0.0,126036000.0,271956000.0,2850618000.0,33070000.0,46332000.0,-7234000.0,-7234000.0,0.0,-3404000.0,41.26
2018-09-30,305525000.0,72072000.0,233453000.0,128263000.0,70688000.0,58759000.0,0.163,103309000.0,70688000.0,361290000.0,1071786000.0,82279000.0,1179268000.0,2027954000.0,3207222000.0,0.0,153470000.0,0.0,125438000.0,278908000.0,2928314000.0,32621000.0,101367000.0,-5950000.0,-5950000.0,0.0,10282000.0,42.08
2018-12-31,315571000.0,68248000.0,247323000.0,108153000.0,105657000.0,83509000.0,0.231,137690000.0,105657100.0,360580000.0,1100416000.0,89192000.0,1213298000.0,2099659000.0,3312957000.0,0.0,154159000.0,0.0,136856000.0,291015000.0,3021942000.0,32033000.0,114774000.0,-7831000.0,-86126000.0,0.0,642000.0,33.73
2019-03-31,328425000.0,71153000.0,257272000.0,128170000.0,93492000.0,85169000.0,0.23500000000000001,125777000.0,93492000.0,362370000.0,1232817000.0,92841000.0,1346371000.0,2201913000.0,3548284000.0,0.0,198227000.0,0.0,221443000.0,419670000.0,3128614000.0,32285000.0,148494000.0,-9429000.0,-9429000.0,0.0,-6618000.0,46.64
2019-06-30,343760000.0,71918000.0,271842000.0,161412000.0,74800000.0,63248000.0,0.17400000000000002,106916000.0,74800000.0,363100000.0,1297812000.0,95583000.0,1413762000.0,2206836000.0,3620598000.0,0.0,197260000.0,0.0,219267000.0,416527000.0,3204071000.0,32116000.0,85073000.0,-4958000.0,-18679000.0,0.0,-1035000.0,55.41
2019-09-30,352808000.0,71172000.0,281636000.0,147112000.0,94269000.0,78619000.0,0.216,126949000.0,94269000.0,363330000.0,1389619000.0,91325000.0,1504722000.0,2210669000.0,3715391000.0,0.0,198036000.0,0.0,218189000.0,416225000.0,3299166000.0,32680000.0,116450000.0,-29775000.0,-29775000.0,0.0,5460000.0,59.32
2019-12-31,374726000.0,74996000.0,299730000.0,150642000.0,100986000.0,87927000.0,0.242,139367000.0,100986000.0,363096000.0,1070731000.0,92240000.0,1199165000.0,2654821000.0,3853986000.0,30000000.0,207056000.0,120000000.0,241337000.0,448393000.0,3405593000.0,38381000.0,107763000.0,-2035000.0,-425870000.0,0.0,-1961000.0,59.83
2020-03-31,391847000.0,78909000.0,312938000.0,183980000.0,75864000.0,72793000.0,0.2,115159000.0,75864000.0,364710000.0,1927923000.0,112248000.0,2070390000.0,2614207000.0,4684597000.0,28000000.0,236679000.0,745000000.0,985107000.0,1221786000.0,3462811000.0,39295000.0,131464000.0,-7133000.0,2694000.0,0.0,725151000.0,58.72
2020-06-30,397159000.0,74040000.0,323119000.0,187864000.0,81319000.0,60360000.0,0.161,124429000.0,81319000.0,375239000.0,3548405000.0,113667000.0,3690648000.0,2788382000.0,6479030000.0,31000000.0,263365000.0,745000000.0,991344000.0,1254709000.0,5224321000.0,43110000.0,117182000.0,-5649000.0,-189719000.0,0.0,1691207000.0,71.07
2020-09-30,425620000.0,77865000.0,347755000.0,211956000.0,76809000.0,58186000.0,0.149,124414000.0,76809000.0,391586000.0,3867805000.0,105014000.0,4007233000.0,2790092000.0,6797325000.0,31000000.0,245111000.0,986413000.0,1234156000.0,1479267000.0,5318058000.0,47605000.0,106692000.0,-29355000.0,-36855000.0,0.0,249544000.0,84.85
2020-12-31,444393100.0,78154000.0,366239100.0,251676000.0,55210100.0,35789000.0,0.091,104318000.0,55210000.0,380726000.0,3755912000.0,103949000.0,3888512000.0,3026908000.0,6915420000.0,33000000.0,330850000.0,986715000.0,1209211000.0,1540061000.0,5375359000.0,49108000.0,130768000.0,-6210000.0,-240283000.0,0.0,-3605000.0,92.43
2021-03-31,457697000.0,88748000.0,368949000.0,202537000.0,101209000.0,74212000.0,0.19,152514000.0,101209000.0,391578000.0,3690296000.0,109798000.0,3822327000.0,3119644000.0,6941971000.0,28000000.0,290135000.0,987018000.0,1204911000.0,1495046000.0,5446925000.0,51305000.0,87853000.0,-133878000.0,-134320000.0,0.0,-18543000.0,82.19
2021-06-30,480333000.0,89566000.0,390767000.0,222838000.0,101011000.0,61148000.0,0.16,150228000.0,101011000.0,392306000.0,3674909000.0,108269000.0,3817931000.0,3257683000.0,7075614000.0,29000000.0,328678000.0,987325000.0,1219709000.0,1548387000.0,5527227000.0,49217000.0,132436000.0,-2637000.0,-150470000.0,0.0,2405000.0,82.82
2021-09-30,499319000.0,92597000.0,406722000.0,244726000.0,89732000.0,64304000.0,0.16,140070000.0,89732000.0,392419000.0,3761587000.0,115651000.0,3914837000.0,3216479000.0,7131316000.0,30000000.0,321517000.0,987633000.0,1206376000.0,1527893000.0,5603423000.0,50338000.0,98929000.0,-8396000.0,-12715000.0,0.0,1800000.0,86.06
2021-12-31,506786000.0,86330000.0,420456100.0,208617100.0,140385100.0,92900000.0,0.24,194801100.0,140385000.0,392210000.0,3827126000.0,124817000.0,3988125000.0,3268745000.0,7256871000.0,26000000.0,338689000.0,987944000.0,1206510000.0,1545199000.0,5711672000.0,54416000.0,150513000.0,-43461000.0,-83838000.0,0.0,-1341000.0,79.03
2022-03-31,515825000.0,95479000.0,420346000.0,221958000.0,128275000.0,89318000.0,0.23,178636000.0,128275000.0,392895000.0,3929097000.0,134978000.0,4100258000.0,3257184000.0,7357442000.0,33000000.0,370195000.0,988257000.0,1189949000.0,1560144000.0,5797298000.0,50361000.0,130707000.0,-12401000.0,-12401000.0,0.0,-15754000.0,66.61
2022-06-30,536308000.0,100971000.0,435337000.0,258689000.0,110183000.0,83473000.0,0.21,161123000.0,110183000.0,393342000.0,3964116000.0,161451000.0,4180761000.0,3239987000.0,7420748000.0,35000000.0,349950000.0,988572000.0,1186445000.0,1536395000.0,5884353000.0,50940000.0,81392000.0,-38975000.0,-45306000.0,0.0,1184000.0,60.41
2022-09-30,556921000.0,108364000.0,448557000.0,276665000.0,85329000.0,72290000.0,0.18,151155000.0,85329000.0,394712000.0,4774465000.0,157048000.0,5006587000.0,3199276000.0,8205863000.0,34000000.0,325906000.0,988890000.0,1173045000.0,1498951000.0,6706912000.0,65826000.0,81490000.0,-18779000.0,-18779000.0,0.0,749103000.0,69.65
