,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-02-28,1075674000.0,633733000.0,441941000.0,308918000.0,133022900.0,74188000.0,0.6000000000000001,180854900.0,133022900.0,123120000.0,245686000.0,510455000.0,246957000.0,1509452000.0,2711847000.0,4221299000.0,674000.0,500752000.0,1308656000.0,1590301000.0,2091053000.0,2130246000.0,47832000.0,141080000.0,-52737000.0,-63254000.0,-79744000.0,-101915000.0,43.9
2013-05-31,1058579000.0,625122000.0,433457100.0,278819100.0,154638200.0,86859000.0,0.6900000000000001,202889200.0,154637900.0,123956000.0,357953000.0,505151000.0,240440000.0,1624826000.0,2720806000.0,4345632000.0,8187000.0,556256000.0,1300979000.0,1587884000.0,2144140000.0,2201492000.0,48251000.0,184405000.0,-44687000.0,-29348000.0,0.0,-19537000.0,45.65
2013-08-31,1100246000.0,644151000.0,456095000.0,316483000.0,139611900.0,77754000.0,0.63,188005900.0,139611900.0,122130000.0,282859000.0,511642000.0,245470000.0,1572289000.0,2738888000.0,4311177000.0,8200000.0,515695000.0,1300799000.0,1599471000.0,2115166000.0,2196011000.0,48394000.0,82559000.0,-37462000.0,-67004000.0,0.0,-88933000.0,47.76
2013-11-30,1123931000.0,656852000.0,467079000.0,314868000.0,152211100.0,84862000.0,0.71,200738100.0,152211100.0,119907000.0,313490000.0,520523000.0,249486000.0,1618782000.0,2746616000.0,4365398000.0,714000.0,614561000.0,1300615000.0,1602865000.0,2217426000.0,2147972000.0,48527000.0,139721000.0,-39323000.0,-53523000.0,0.0,-55470000.0,55.5
2014-02-28,1110973000.0,641339000.0,469634000.0,317873000.0,149603000.0,84602000.0,0.7000000000000001,197967000.0,149603000.0,119913000.0,353699000.0,529668000.0,256132000.0,1664909000.0,2735532000.0,4400441000.0,633000.0,552802000.0,1300523000.0,1603606000.0,2156408000.0,2244033000.0,48364000.0,163493000.0,-36830000.0,-40621000.0,-93314000.0,-81758000.0,60.66
2014-05-31,858694100.0,501743000.0,356951000.0,197815000.0,161294200.0,127224000.0,1.04,206871200.0,161294200.0,120377000.0,513288000.0,508427000.0,251239000.0,1805681000.0,2656771000.0,4462452000.0,503000.0,630131000.0,1300477000.0,1639463000.0,2269594000.0,2192858000.0,45577000.0,220196000.0,-31965000.0,146605000.0,-6000.0,-203574000.0,62.12
2014-08-31,1102077000.0,624131000.0,477946000.0,314458000.0,163488000.0,110108000.0,0.9400000000000001,203142000.0,163488000.0,116659000.0,581453000.0,489211000.0,249817000.0,2012949000.0,2543321000.0,4556270000.0,0.0,636011000.0,1300000000.0,1648285000.0,2284296000.0,2271974000.0,39654000.0,148201000.0,-68050000.0,-38819000.0,0.0,-41198000.0,66.14
2014-11-30,1123379000.0,641955000.0,481424000.0,299841000.0,181583000.0,120412000.0,1.02,220082000.0,181583000.0,117115000.0,826724000.0,510153000.0,235860000.0,2145980000.0,2551591000.0,4697571000.0,0.0,851764000.0,1300000000.0,1642473000.0,2494237000.0,2203334000.0,38499000.0,144372000.0,-44975000.0,105002000.0,0.0,1491000.0,73.15
2015-02-28,1108847000.0,633540000.0,475307000.0,301690000.0,173617000.0,94883000.0,0.81,211504000.0,173617000.0,116178000.0,403194000.0,504611000.0,234641000.0,1710125000.0,2556221000.0,4266346000.0,0.0,579231000.0,1300000000.0,1639449000.0,2218680000.0,2047666000.0,37887000.0,85073000.0,-50015000.0,-109259000.0,-201941000.0,-442243000.0,83.48
2015-05-31,1035374000.0,577128100.0,458245600.0,293295000.0,164950600.0,105215000.0,0.91,203992600.0,164950600.0,115900000.0,433154000.0,497066000.0,226211000.0,1735807000.0,2456653000.0,4192460000.0,0.0,508669000.0,1300000000.0,1751336000.0,2260005000.0,1932455000.0,39042000.0,202630000.0,-54680000.0,88063000.0,50000.0,-230610000.0,86.09
2015-08-31,1198890000.0,674746000.0,524144000.0,338637000.0,185507100.0,100181000.0,0.89,225275100.0,185507100.0,110597000.0,200214000.0,531127000.0,240046000.0,1733952000.0,2388997000.0,4122949000.0,250000000.0,959326000.0,1050000000.0,1314954000.0,2274280000.0,1848669000.0,39768000.0,143083000.0,-62631000.0,-201862000.0,0.0,-209719000.0,84.99
2015-11-30,1219080000.0,691680000.0,527400000.0,327051000.0,200349000.0,345100000.0,3.11,241475000.0,200349000.0,108301000.0,672611000.0,549190000.0,251477000.0,2043280000.0,2407512000.0,4450792000.0,250000000.0,1130981000.0,1050000000.0,1395283000.0,2526264000.0,1924528000.0,41126000.0,121954000.0,-59186000.0,515130000.0,0.0,-174500000.0,91.59
2016-02-29,1216083000.0,691475000.0,524608000.0,331656000.0,192952000.0,117341000.0,1.07,234729000.0,192952000.0,107843000.0,386819000.0,550748000.0,255203000.0,1758824000.0,2472386000.0,4231210000.0,250000000.0,858804000.0,1050000000.0,1422300000.0,2281104000.0,1950106000.0,41777000.0,32117000.0,-85685000.0,-111490000.0,-115273000.0,-210096000.0,83.99
2016-05-31,1161719000.0,636531100.0,525187700.0,335055000.0,190132600.0,130898000.0,1.23,232740600.0,190132800.0,108221000.0,209762000.0,548200000.0,249362000.0,1590579000.0,2508236000.0,4098815000.0,250000000.0,815555000.0,1044422000.0,1440601000.0,2256156000.0,1842659000.0,42608000.0,168691000.0,-67883000.0,-73397000.0,0.0,-272409000.0,94.8
