,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2014-09-30,418300000.0,293000000.0,125300000.0,81400000.0,42500000.0,-19500000.0,-0.18,89900000.0,42500000.0,105535000.0,63200000.0,332200000.0,142400000.0,619100000.0,2332200000.0,2951300000.0,36400000.0,377600000.0,1780300000.0,2070700000.0,2448300000.0,503000000.0,47400000.0,-39800000.0,-31200000.0,-44700000.0,0.0,86900000.0,25.03
2014-12-31,455800000.0,299700000.0,156100000.0,88100000.0,62400000.0,46500000.0,0.37,99000000.0,62400000.0,124103000.0,84100000.0,336400000.0,144300000.0,637500000.0,2400600000.0,3038100000.0,28800000.0,346500000.0,1905400000.0,2199200000.0,2545700000.0,492400000.0,36600000.0,40200000.0,-40100000.0,-151700000.0,0.0,135700000.0,27.88
2015-03-31,446600000.0,294400000.0,152200000.0,80900000.0,65800000.0,31500000.0,0.25,101200000.0,65800000.0,124234000.0,116100000.0,331600000.0,142200000.0,653100000.0,2321000000.0,2974100000.0,24800000.0,365400000.0,1857000000.0,2140500000.0,2505900000.0,468200000.0,35400000.0,94300000.0,-37400000.0,-43900000.0,0.0,-13600000.0,31.15
2015-06-30,510100100.0,328400000.0,181700100.0,86900000.0,89200000.0,153700000.0,1.23,126600000.0,89200000.0,119576000.0,151300000.0,372400000.0,132900000.0,737500000.0,2400800000.0,3138300000.0,23800000.0,399000000.0,1857000000.0,2105300000.0,2504300000.0,634000000.0,37400000.0,77100000.0,-32300000.0,-31500000.0,0.0,-12500000.0,29.33
2015-09-30,423000000.0,301500000.0,121500000.0,82300000.0,37000000.0,11900000.0,0.07,73600000.0,37000000.0,124753000.0,151400000.0,308200000.0,150900000.0,691200000.0,2365200000.0,3056400000.0,24000000.0,352900000.0,1859900000.0,2106300000.0,2459200000.0,597200000.0,36600000.0,44900000.0,-33200000.0,-33200000.0,0.0,-10300000.0,24.3
2015-12-31,454900000.0,302800000.0,152100000.0,93000000.0,58600000.0,30700000.0,0.25,95000000.0,58600000.0,124818000.0,115500000.0,332000000.0,159300000.0,679500000.0,2355700000.0,3035200000.0,24400000.0,340200000.0,1848300000.0,2087600000.0,2427800000.0,607400000.0,36400000.0,26600000.0,-49300000.0,-49300000.0,0.0,-10600000.0,25.03
2016-03-31,438000000.0,311800000.0,126200000.0,93400000.0,31300000.0,10700000.0,0.08,67200000.0,31300000.0,124810000.0,133900000.0,343700000.0,167700000.0,727500000.0,2330200000.0,3057700000.0,25900000.0,371500000.0,1844900000.0,2083300000.0,2454800000.0,602900000.0,35900000.0,49900000.0,-25300000.0,-25300000.0,0.0,-6200000.0,26.67
2016-06-30,532200000.0,344400000.0,187799900.0,89400000.0,90900000.0,58200000.0,0.47000000000000003,127300000.0,90900000.0,124788000.0,131600000.0,414800000.0,154800000.0,790200000.0,2300900000.0,3091100000.0,27700000.0,391200000.0,1832800000.0,2064000000.0,2455200000.0,635900000.0,36400000.0,33900000.0,-29900000.0,-29900000.0,0.0,-3700000.0,22.99
2016-09-30,442200000.0,318100000.0,124100000.0,98200000.0,24800000.0,4600000.0,0.04,61700000.0,24800000.0,124819000.0,132100000.0,376300000.0,177500000.0,768900000.0,2359200000.0,3128100000.0,99300000.0,448600000.0,1838000000.0,2065000000.0,2513600000.0,614500000.0,36900000.0,48300000.0,-27700000.0,-114600000.0,0.0,65900000.0,25.84
2016-12-31,483700000.0,335800000.0,147900000.0,96200000.0,47900000.0,17400000.0,0.14,86600000.0,47900000.0,124890000.0,255800000.0,366300000.0,169800000.0,882600000.0,2271700000.0,3154300000.0,23100000.0,334800000.0,2001300000.0,2231500000.0,2566300000.0,588000000.0,38700000.0,47700000.0,-25100000.0,-23900000.0,0.0,109800000.0,26.96
