,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,373285000.0,86107000.0,287178000.0,47391000.0,87014000.0,42824000.0,0.1,236564000.0,87014000.0,420300000.0,20457000.0,172661000.0,11278000.0,238880000.0,4448956000.0,4687836000.0,75000000.0,447264000.0,1052000000.0,2117358000.0,2564622000.0,2123214000.0,149550000.0,212685000.0,-259683000.0,-260933000.0,-4201000.0,37969000.0,33.81
2013-06-30,449680000.0,96330000.0,353350000.0,32972000.0,165026000.0,89114000.0,0.21,317360000.0,165026000.0,420698000.0,47277000.0,212243000.0,18276000.0,403193000.0,4614743000.0,5017936000.0,75000000.0,494391000.0,1067000000.0,2237304000.0,2731695000.0,2286241000.0,152334000.0,277282000.0,-263467000.0,-266467000.0,-4206000.0,16005000.0,35.51
2013-09-30,435850000.0,99639000.0,336211000.0,36229000.0,131810000.0,69889000.0,0.17,301715000.0,131810000.0,420986000.0,27932000.0,180451000.0,20839000.0,289756000.0,4741636000.0,5031392000.0,0.0,399273000.0,1162000000.0,2303385000.0,2702658000.0,2328734000.0,169905000.0,276709000.0,-305076000.0,-309578000.0,-8423000.0,13524000.0,37.32
2013-12-31,487463000.0,118205000.0,369258000.0,31059000.0,167731900.0,77946000.0,0.19,350687900.0,167731900.0,420188000.0,51494000.0,222476000.0,17468000.0,378899000.0,4602181000.0,4981080000.0,0.0,407905000.0,1147000000.0,2368573000.0,2776478000.0,2204602000.0,182956000.0,257850000.0,-43012000.0,-81229000.0,-8402000.0,-181153000.0,38.76
2014-03-31,509803000.0,125459000.0,384344000.0,34680000.0,194487000.0,107031000.0,0.26,343031000.0,194487000.0,416900000.0,45144000.0,245073000.0,10392000.0,373830000.0,4771945000.0,5145775000.0,0.0,432628000.0,1222000000.0,2444356000.0,2876984000.0,2268791000.0,148544000.0,255378000.0,-338593000.0,-336148000.0,-8332000.0,82801000.0,33.88
2014-06-30,533187000.0,126612000.0,406575000.0,32943000.0,210653000.0,118420000.0,0.28,369342000.0,210653000.0,417291000.0,45610000.0,212100000.0,11914000.0,306096000.0,4902826000.0,5208922000.0,0.0,362147000.0,1193000000.0,2444836000.0,2806983000.0,2401939000.0,158689000.0,329570000.0,-279775000.0,-276356000.0,-8347000.0,-33035000.0,34.14
2014-09-30,512017000.0,129448000.0,382569000.0,30512000.0,190341000.0,100788000.0,0.24,345481000.0,190341000.0,416173000.0,309987000.0,191270000.0,13731000.0,587946000.0,5219318000.0,5807264000.0,0.0,432791000.0,1612000000.0,3008002000.0,3440793000.0,2366471000.0,155140000.0,358302000.0,-342460000.0,-364840000.0,-8339000.0,270915000.0,32.69
2014-12-31,618003900.0,143361000.0,474642900.0,31467000.0,-489295000.0,-221771000.0,-0.54,-314154000.0,-489295000.0,415840000.0,20954000.0,239009000.0,14026000.0,413447000.0,5024269000.0,5437716000.0,0.0,499018000.0,1752000000.0,2795965000.0,3294983000.0,2142733000.0,175141000.0,293185000.0,-479312000.0,-687496000.0,-8260000.0,105278000.0,29.61
2015-03-31,464765000.0,160991000.0,303774000.0,33809000.0,87295000.0,40255000.0,0.1,264059000.0,87295000.0,413344000.0,13948000.0,185281000.0,14087000.0,349403000.0,5162920000.0,5512323000.0,0.0,402746000.0,1877000000.0,2934046000.0,3336792000.0,2175531000.0,176764000.0,267381000.0,-392161000.0,-397239000.0,-8263000.0,122852000.0,29.53
2015-06-30,306297000.0,137292000.0,169005000.0,31589000.0,-18962000.0,-27508000.0,-0.07,134620000.0,-18962000.0,413713000.0,15231000.0,138354000.0,20423000.0,254993000.0,5249927000.0,5504920000.0,0.0,278852000.0,1995000000.0,3080152000.0,3359004000.0,2145916000.0,153582000.0,171210000.0,-249929000.0,-271265000.0,-8274000.0,101338000.0,31.54
2015-09-30,305296000.0,139959000.0,165337000.0,22509000.0,-1024000.0,-15514000.0,-0.04,144360000.0,-1024000.0,413846000.0,8773000.0,135961000.0,18283000.0,215421000.0,5269251000.0,5484672000.0,20000000.0,265585000.0,2017000000.0,3097350000.0,3362935000.0,2121737000.0,145384000.0,146363000.0,-170369000.0,-181065000.0,-8275000.0,28244000.0,21.86
2015-12-31,280792000.0,142752000.0,138040000.0,22898000.0,-156223000.0,-111124000.0,-0.27,-5288000.0,-156222900.0,413696000.0,514000.0,124552000.0,17049000.0,144786000.0,5108252000.0,5253038000.0,20000000.0,235552000.0,1996139000.0,3008298000.0,3243850000.0,2009188000.0,150935000.0,164644000.0,-135490000.0,-143765000.0,-8278000.0,-29138000.0,17.69
2016-03-31,281941000.0,138253000.0,143688000.0,33867000.0,-55085900.0,-51194000.0,-0.12,107992100.0,-55085900.0,431841000.0,579316000.0,105058000.0,15948000.0,720687000.0,4982021000.0,5702708000.0,20000000.0,199382000.0,1583192000.0,2559266000.0,2758648000.0,2944060000.0,163078000.0,67112000.0,-42409000.0,-54061000.0,-8282000.0,565751000.0,22.71
2016-06-30,246816000.0,136058000.0,110758000.0,28918000.0,-70382000.0,-62910000.0,-0.14,78652000.0,-70382000.0,465068000.0,517490000.0,122235000.0,14985000.0,659238000.0,4911232000.0,5570470000.0,20000000.0,228490000.0,1519849000.0,2464381000.0,2692871000.0,2877599000.0,149034000.0,85178000.0,-67162000.0,-73681000.0,-9300000.0,-73323000.0,25.74
2016-09-30,310429000.0,133236000.0,177193000.0,28145000.0,3598000.0,-10260000.0,-0.02,144284000.0,3598000.0,465149000.0,501193000.0,136859000.0,13487000.0,655645000.0,4876276000.0,5531921000.0,0.0,196763000.0,1520190000.0,2471908000.0,2668671000.0,2863250000.0,140686000.0,105415000.0,-86394000.0,-92399000.0,-9303000.0,-29313000.0,25.8
2016-12-31,316491100.0,140476000.0,176015100.0,23926000.0,-443075000.0,-292760000.0,-0.63,-300662000.0,-443075000.0,456847000.0,498542000.0,201343000.0,13304000.0,715881000.0,4406688000.0,5122569000.0,0.0,257812000.0,1520530000.0,2297090000.0,2554902000.0,2567667000.0,142413000.0,139736000.0,-128769000.0,-133077000.0,-9302000.0,-9310000.0,23.36
2017-03-31,517843000.0,152161000.0,365682000.0,32758000.0,190120000.0,105720000.0,0.23,326409000.0,190120000.0,465348000.0,537485000.0,194384000.0,12095000.0,748313000.0,4496075000.0,5244388000.0,0.0,224395000.0,1520870000.0,2312814000.0,2537209000.0,2707179000.0,136289000.0,269378000.0,-208010000.0,-215752000.0,-9306000.0,-14683000.0,23.91
