,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,2020738000.0,1199965000.0,820773100.0,413204000.0,365907100.0,284209000.0,0.47000000000000003,409508100.0,365907100.0,603708000.0,2744446000.0,1702334000.0,4836640000.0,1872662000.0,6709302000.0,0.0,1225843000.0,0.0,267525000.0,1493368000.0,5215934000.0,43601000.0,73468000.0,-72185000.0,-185874000.0,0.0,16932000.0,38.31
2013-06-30,2161240000.0,1272013000.0,889227100.0,420526000.0,426803100.0,300410000.0,0.5,470637100.0,426803100.0,603340000.0,2900569000.0,1785227000.0,5133961000.0,1878359000.0,7012320000.0,0.0,1357297000.0,0.0,331275000.0,1688572000.0,5323748000.0,43834000.0,365557000.0,-50325000.0,-39900000.0,0.0,-106313000.0,31.32
2013-09-30,2305723000.0,1382336000.0,923386800.0,443376000.0,437358900.0,319627000.0,0.53,481936900.0,437358900.0,603265000.0,3360599000.0,1891186000.0,5739205000.0,1877944000.0,7617149000.0,0.0,1602038000.0,0.0,366835000.0,1968873000.0,5648276000.0,44578000.0,478878000.0,-31836000.0,-152602000.0,0.0,28332000.0,41.06
2013-12-31,2355499000.0,1411186000.0,944313100.0,450494000.0,447830700.0,324354000.0,0.535,495717700.0,447830800.0,604000000.0,3747473000.0,1875272000.0,6147882000.0,1986836000.0,8134718000.0,0.0,1774508000.0,0.0,224419000.0,1998927000.0,6135791000.0,47887000.0,505897000.0,-107254000.0,-352424000.0,0.0,30149000.0,50.49
2014-03-31,2422300000.0,1432400000.0,989900000.0,485400000.0,460000000.0,348900000.0,0.5700000000000001,506700000.0,460000000.0,607700000.0,3864984000.0,1970954000.0,6290740000.0,1988559000.0,8279299000.0,0.0,1502866000.0,0.0,153476000.0,1656342000.0,6622957000.0,46700000.0,157300000.0,-43300000.0,-433700000.0,0.0,-6500000.0,50.6
2014-06-30,2517100000.0,1499500000.0,1017600000.0,482900000.0,488000100.0,371900000.0,0.61,536800100.0,488000100.0,607900000.0,4129221000.0,2120580000.0,6740690000.0,1946604000.0,8687294000.0,0.0,1567662000.0,0.0,128803000.0,1696465000.0,6990829000.0,48800000.0,408300000.0,-38700000.0,-257500000.0,0.0,-93500000.0,48.91
2014-09-30,2581000000.0,1569800000.0,1011200000.0,506000000.0,457500000.0,355600000.0,0.58,507200000.0,457500000.0,608100000.0,4618479000.0,2147131000.0,7260026000.0,1967017000.0,9227043000.0,0.0,1741464000.0,0.0,103869000.0,1845333000.0,7381710000.0,49700000.0,583200000.0,-55500000.0,64600000.0,0.0,-8400000.0,44.77
2014-12-31,2742600000.0,1639300000.0,1103300000.0,562700000.0,479500000.0,362600000.0,0.6000000000000001,542300000.0,479499900.0,608000000.0,3774700000.0,2293300000.0,6420600000.0,5058400000.0,11479000000.0,0.0,2592100000.0,937500000.0,1146700000.0,3738800000.0,7740200000.0,62800000.0,324200000.0,-74500000.0,-2534400000.0,0.0,1611400000.0,52.66
2015-03-31,2911400000.0,1727200000.0,1184200000.0,610800000.0,500300000.0,382900000.0,0.63,575900000.0,500300000.0,609600000.0,3349800000.0,2448100000.0,6406500000.0,4976900000.0,11383400000.0,0.0,1884100000.0,925000000.0,1320800000.0,3204900000.0,8178500000.0,75600000.0,189300000.0,-58000000.0,-364000000.0,0.0,-557300000.0,62.39
2015-06-30,3085100000.0,1844800000.0,1240300000.0,612000000.0,545500000.0,420100000.0,0.6900000000000001,629500000.0,545500000.0,609900000.0,3566500000.0,2548700000.0,6771400000.0,5026200000.0,11797600000.0,0.0,1956500000.0,912500000.0,1300300000.0,3256800000.0,8540800000.0,84000000.0,456100000.0,-75600000.0,-489500000.0,0.0,-149100000.0,61.09
