,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2019-06-30,5556000000.0,3047000000.0,2509000000.0,937000000.0,787000000.0,-608000000.0,-0.81,2299000000.0,787000000.0,749400000.0,2083000000.0,7434000000.0,3918000000.0,14445000000.0,29477000000.0,43922000000.0,2058000000.0,8614000000.0,117000000.0,9241000000.0,17855000000.0,26067000000.0,1512000000.0,453000000.0,-171000000.0,-172000000.0,0.0,-1997000000.0,29.57
2019-09-30,1911000000.0,1349000000.0,562000000.0,646000000.0,-612000000.0,-494000000.0,-0.66,-371000000.0,-612000000.0,749500000.0,2097000000.0,6574000000.0,4403000000.0,14117000000.0,29118000000.0,43235000000.0,3604000000.0,8993000000.0,116000000.0,8981000000.0,17974000000.0,25261000000.0,241000000.0,-1215000000.0,-164000000.0,-290000000.0,-97000000.0,1446000000.0,28.0
2019-12-31,2983000000.0,1968000000.0,1015000000.0,747000000.0,-163000000.0,-21000000.0,-0.03,126000000.0,-163000000.0,749500000.0,1769000000.0,5528000000.0,5032000000.0,13519000000.0,28878000000.0,42397000000.0,7000000.0,8238000000.0,115000000.0,9604000000.0,17842000000.0,24555000000.0,289000000.0,3373000000.0,-41000000.0,60000000.0,-97000000.0,-3690000000.0,29.56
2020-03-31,3956000000.0,2269000000.0,1687000000.0,757000000.0,418000000.0,272000000.0,0.36,701000000.0,418000000.0,749900000.0,1973000000.0,6775000000.0,4401000000.0,14679000000.0,28299000000.0,42978000000.0,1996000000.0,9199000000.0,614000000.0,9700000000.0,18899000000.0,24079000000.0,283000000.0,-1930000000.0,-117000000.0,-130000000.0,-97000000.0,2344000000.0,23.5
2020-06-30,5191000000.0,2829000000.0,2362000000.0,965000000.0,858000000.0,760000000.0,1.01,1158000000.0,858000000.0,749200000.0,2869000000.0,6772000000.0,3589000000.0,14422000000.0,27758000000.0,42180000000.0,1529000000.0,7529000000.0,1102000000.0,9850000000.0,17379000000.0,24801000000.0,300000000.0,1061000000.0,-67000000.0,-122000000.0,-97000000.0,-130000000.0,26.79
2020-09-30,1863000000.0,1297000000.0,566000000.0,597000000.0,-496000000.0,-392000000.0,-0.52,-211000000.0,-496000000.0,749500000.0,2920000000.0,5627000000.0,4374000000.0,14088000000.0,27602000000.0,41690000000.0,2142000000.0,7734000000.0,1102000000.0,9610000000.0,17344000000.0,24346000000.0,285000000.0,-368000000.0,-95000000.0,-193000000.0,-97000000.0,481000000.0,28.81
2020-12-31,3207000000.0,2112000000.0,1095000000.0,724000000.0,-60000000.0,41000000.0,0.05,249000000.0,-60000000.0,748700000.0,3795000000.0,4926000000.0,4882000000.0,14768000000.0,27881000000.0,42649000000.0,3000000.0,8548000000.0,1102000000.0,9038000000.0,17586000000.0,25063000000.0,309000000.0,3301000000.0,-113000000.0,-229000000.0,-97000000.0,-2392000000.0,38.72
2021-03-31,4178000000.0,2420000000.0,1758000000.0,733000000.0,798000000.0,600000000.0,0.81,1102000000.0,798000000.0,743400000.0,2518000000.0,6792000000.0,4321000000.0,15036000000.0,27513000000.0,42549000000.0,1250000000.0,8999000000.0,1102000000.0,8772000000.0,17771000000.0,24778000000.0,304000000.0,-1950000000.0,-117000000.0,36000000.0,-97000000.0,821000000.0,46.62
2021-06-30,5627000000.0,3010000000.0,2617000000.0,998000000.0,1309000000.0,970000000.0,1.31,1622000000.0,1309000000.0,737300000.0,2900000000.0,6792000000.0,3541000000.0,14285000000.0,27211000000.0,41496000000.0,677000000.0,7252000000.0,1101000000.0,8619000000.0,15871000000.0,25625000000.0,313000000.0,1307000000.0,-126000000.0,-53000000.0,-95000000.0,-848000000.0,44.35
2021-09-30,2371000000.0,1558000000.0,813000000.0,672000000.0,16000000.0,30000000.0,0.04,325000000.0,16000000.0,733800000.0,2882000000.0,5818000000.0,4417000000.0,14146000000.0,26976000000.0,41122000000.0,1372000000.0,7805000000.0,1101000000.0,8338000000.0,16143000000.0,24979000000.0,309000000.0,-176000000.0,-117000000.0,-184000000.0,-103000000.0,392000000.0,42.08
2021-12-31,3479000000.0,2232000000.0,1247000000.0,806000000.0,253000000.0,159000000.0,0.22,570000000.0,253000000.0,735900000.0,4545000000.0,4811000000.0,5180000000.0,15546000000.0,26798000000.0,42344000000.0,17000000.0,9558000000.0,1100000000.0,7163000000.0,16721000000.0,25623000000.0,317000000.0,3546000000.0,-138000000.0,-161000000.0,-102000000.0,-1631000000.0,47.28
