,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,30751000000.0,25174000000.0,5577000000.0,0.0,1694000000.0,954000000.0,0.78,2196000000.0,1694000000.0,1232000000.0,1556000000.0,6635000000.0,10592000000.0,19727000000.0,46341000000.0,66068000000.0,312000000.0,13195000000.0,9352000000.0,14664000000.0,27859000000.0,38209000000.0,502000000.0,1640000000.0,-313000000.0,-567000000.0,-277000000.0,-897000000.0,54.99
2013-06-30,31248000000.0,25407000000.0,5841000000.0,0.0,1972000000.0,1124000000.0,0.91,2421000000.0,1972000000.0,1227000000.0,1179000000.0,7093000000.0,10578000000.0,19869000000.0,46415000000.0,66284000000.0,18000000.0,12690000000.0,9358000000.0,14688000000.0,27378000000.0,38906000000.0,449000000.0,902000000.0,-480000000.0,-526000000.0,-276000000.0,-751000000.0,57.18
2013-09-30,31932000000.0,25905000000.0,6027000000.0,0.0,2154000000.0,1249000000.0,1.03,2615000000.0,2154000000.0,1218000000.0,1613000000.0,8035000000.0,10825000000.0,21432000000.0,46373000000.0,67805000000.0,1386000000.0,15098000000.0,8819000000.0,14173000000.0,29271000000.0,38534000000.0,461000000.0,1703000000.0,-524000000.0,-529000000.0,-276000000.0,-850000000.0,56.75
2013-12-31,32830000000.0,26492000000.0,6338000000.0,0.0,2217000000.0,1265000000.0,1.06,2675000000.0,2217000000.0,1217000000.0,4177000000.0,8729000000.0,11045000000.0,25325000000.0,46201000000.0,71526000000.0,561000000.0,15425000000.0,12841000000.0,18163000000.0,33588000000.0,37938000000.0,458000000.0,1538000000.0,-613000000.0,-213000000.0,-268000000.0,1261000000.0,71.57
2014-03-31,32689000000.0,26747000000.0,5942000000.0,0.0,2024000000.0,1129000000.0,0.96,2501000000.0,2024000000.0,1180000000.0,2848000000.0,9086000000.0,11188000000.0,24460000000.0,48362000000.0,72822000000.0,565000000.0,16213000000.0,12845000000.0,18397000000.0,34610000000.0,38212000000.0,477000000.0,2172000000.0,-383000000.0,-2560000000.0,-325000000.0,-935000000.0,74.86
2014-06-30,34602000000.0,28278000000.0,6324000000.0,0.0,2208000000.0,1246000000.0,1.07,2696000000.0,2208000000.0,1165000000.0,1712000000.0,9533000000.0,11360000000.0,24138000000.0,48455000000.0,72593000000.0,1119000000.0,16629000000.0,12252000000.0,17832000000.0,34461000000.0,38132000000.0,488000000.0,897000000.0,-501000000.0,-625000000.0,-322000000.0,-1423000000.0,75.37
2014-09-30,35021000000.0,28553000000.0,6468000000.0,0.0,2246000000.0,948000000.0,0.8200000000000001,2723000000.0,2246000000.0,1157000000.0,1210000000.0,10828000000.0,11613000000.0,25337000000.0,48239000000.0,73576000000.0,1347000000.0,18213000000.0,11709000000.0,17254000000.0,35467000000.0,38109000000.0,477000000.0,1645000000.0,-544000000.0,-349000000.0,-324000000.0,-1775000000.0,79.59
2014-12-31,37055000000.0,30422000000.0,6633000000.0,0.0,2321000000.0,1321000000.0,1.15,2810000000.0,2321000000.0,1161000000.0,2515000000.0,9687000000.0,11930000000.0,25983000000.0,48204000000.0,74187000000.0,1260000000.0,19027000000.0,11630000000.0,17197000000.0,36224000000.0,37963000000.0,489000000.0,3423000000.0,-697000000.0,-511000000.0,-317000000.0,-1561000000.0,96.31
2015-03-31,36332000000.0,30168000000.0,6164000000.0,0.0,2132000000.0,1221000000.0,1.08,2622000000.0,2132000000.0,1128000000.0,1634000000.0,10162000000.0,12231000000.0,25622000000.0,48308000000.0,73930000000.0,1073000000.0,19713000000.0,11689000000.0,17222000000.0,36935000000.0,36995000000.0,490000000.0,1984000000.0,-411000000.0,-544000000.0,-399000000.0,-2406000000.0,103.21
2015-06-30,37169000000.0,30767000000.0,6402000000.0,0.0,2262000000.0,1272000000.0,1.13,2750000000.0,2262000000.0,1124000000.0,1404000000.0,10892000000.0,12384000000.0,26401000000.0,48267000000.0,74668000000.0,1512000000.0,20386000000.0,11633000000.0,17149000000.0,37535000000.0,37133000000.0,488000000.0,1037000000.0,-517000000.0,-546000000.0,-395000000.0,-761000000.0,104.88
