,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,8500000000.0,7058000000.0,1442000000.0,357000000.0,222000000.0,7000000.0,0.01,222000000.0,222000000.0,848000000.0,3885000000.0,1994000000.0,995000000.0,8641000000.0,36427000000.0,45068000000.0,1593000000.0,14068000000.0,10721000000.0,32943000000.0,47011000000.0,-1943000000.0,0.0,1004000000.0,-647000000.0,-630000000.0,0.0,-154000000.0,16.51
2013-06-30,9707000000.0,7571000000.0,2136000000.0,408000000.0,914000000.0,685000000.0,0.81,914000000.0,914000000.0,850000000.0,4096000000.0,2084000000.0,962000000.0,8895000000.0,36877000000.0,45772000000.0,1695000000.0,14775000000.0,10526000000.0,32181000000.0,46956000000.0,-1184000000.0,0.0,1208000000.0,-338000000.0,-561000000.0,0.0,-318000000.0,18.71
2013-09-30,10490000000.0,7517000000.0,2973000000.0,447000000.0,1563000000.0,1369000000.0,1.6099999999999999,1563000000.0,1563000000.0,851000000.0,4190000000.0,1969000000.0,1032000000.0,8951000000.0,37046000000.0,45997000000.0,1823000000.0,14134000000.0,10077000000.0,31726000000.0,45860000000.0,137000000.0,0.0,1161000000.0,-631000000.0,-617000000.0,-51000000.0,-491000000.0,23.59
2013-12-31,9076000000.0,5677000000.0,3399000000.0,1758000000.0,701000000.0,8479000000.0,10.02,701000000.0,701000000.0,846000000.0,3803000000.0,1612000000.0,1063000000.0,9651000000.0,42601000000.0,52252000000.0,1547000000.0,14152000000.0,9795000000.0,26457000000.0,40609000000.0,11643000000.0,1658000000.0,1131000000.0,-905000000.0,-948000000.0,-51000000.0,-357000000.0,27.47
2014-03-31,8916000000.0,5734000000.0,3182000000.0,1692000000.0,620000000.0,213000000.0,0.25,620000000.0,620000000.0,844000000.0,3783000000.0,2042000000.0,948000000.0,9746000000.0,42421000000.0,52167000000.0,1578000000.0,15010000000.0,9466000000.0,25516000000.0,40526000000.0,11641000000.0,0.0,951000000.0,-614000000.0,-563000000.0,-51000000.0,-533000000.0,34.65
2014-06-30,10621000000.0,6352000000.0,4269000000.0,1801000000.0,1579000000.0,801000000.0,0.9500000000000001,1579000000.0,1579000000.0,841000000.0,4202000000.0,2104000000.0,961000000.0,10517000000.0,41674000000.0,52191000000.0,1233000000.0,15209000000.0,9089000000.0,24779000000.0,39988000000.0,12203000000.0,0.0,2056000000.0,-518000000.0,-279000000.0,-50000000.0,-1114000000.0,38.72
2014-09-30,11178000000.0,6989000000.0,4189000000.0,1829000000.0,835000000.0,357000000.0,0.43,835000000.0,835000000.0,834000000.0,4511000000.0,2135000000.0,942000000.0,10995000000.0,40945000000.0,51940000000.0,1169000000.0,14813000000.0,8970000000.0,24831000000.0,39644000000.0,12296000000.0,0.0,1358000000.0,-457000000.0,-1583000000.0,-75000000.0,-627000000.0,36.15
2014-12-31,9647000000.0,7860000000.0,1787000000.0,1615000000.0,-828000000.0,-712000000.0,-0.86,-828000000.0,-828000000.0,825000000.0,3305000000.0,3222000000.0,852000000.0,9158000000.0,44847000000.0,54005000000.0,1184000000.0,16847000000.0,8477000000.0,28345000000.0,45192000000.0,8813000000.0,1771000000.0,582000000.0,-660000000.0,-38000000.0,-75000000.0,-966000000.0,49.19
2015-03-31,9388000000.0,5579000000.0,3809000000.0,1439000000.0,1398000000.0,746000000.0,0.91,1398000000.0,1398000000.0,818000000.0,3569000000.0,2440000000.0,801000000.0,12266000000.0,41486000000.0,53752000000.0,1261000000.0,17319000000.0,8305000000.0,27387000000.0,44706000000.0,9046000000.0,0.0,1636000000.0,-586000000.0,-812000000.0,-75000000.0,-790000000.0,44.96
2015-06-30,10707000000.0,5694000000.0,5013000000.0,1518000000.0,2474000000.0,1485000000.0,1.85,2474000000.0,2474000000.0,803000000.0,3787000000.0,2100000000.0,881000000.0,11441000000.0,41340000000.0,52781000000.0,1659000000.0,17082000000.0,7598000000.0,26136000000.0,43218000000.0,9563000000.0,0.0,2745000000.0,-919000000.0,-955000000.0,-72000000.0,-1619000000.0,41.08
2015-09-30,11107000000.0,6327000000.0,4780000000.0,1536000000.0,2213000000.0,1315000000.0,1.67,2213000000.0,2213000000.0,788000000.0,3811000000.0,2355000000.0,695000000.0,11973000000.0,41673000000.0,53646000000.0,1705000000.0,17608000000.0,7096000000.0,25693000000.0,43301000000.0,10345000000.0,0.0,2067000000.0,-562000000.0,-1009000000.0,-107000000.0,-982000000.0,44.87
2015-12-31,9502000000.0,9762000000.0,-260000000.0,-2821000000.0,1717000000.0,980000000.0,1.26,1717000000.0,1717000000.0,797000000.0,3437000000.0,2020000000.0,697000000.0,9056000000.0,44078000000.0,53134000000.0,1563000000.0,17526000000.0,6766000000.0,24758000000.0,42284000000.0,10850000000.0,1835000000.0,1479000000.0,-878000000.0,-1179000000.0,-105000000.0,-697000000.0,50.69
2016-03-31,9251000000.0,5338000000.0,3913000000.0,1394000000.0,1540000000.0,946000000.0,1.22,1540000000.0,1540000000.0,774000000.0,2914000000.0,2633000000.0,693000000.0,9306000000.0,44036000000.0,53342000000.0,1531000000.0,18108000000.0,6920000000.0,23982000000.0,42090000000.0,11252000000.0,0.0,1011000000.0,-871000000.0,-601000000.0,-107000000.0,-674000000.0,48.68
2016-06-30,10447000000.0,5536000000.0,4911000000.0,1533000000.0,2423000000.0,1546000000.0,2.04,2423000000.0,2423000000.0,758000000.0,2951000000.0,2102000000.0,795000000.0,7638000000.0,43996000000.0,51634000000.0,1115000000.0,16250000000.0,6689000000.0,23574000000.0,39824000000.0,11810000000.0,0.0,3215000000.0,-1046000000.0,-1112000000.0,-103000000.0,-2149000000.0,36.43
2016-09-30,10483000000.0,5928000000.0,4555000000.0,2112000000.0,1969000000.0,1259000000.0,1.7000000000000002,1969000000.0,1969000000.0,740000000.0,3152000000.0,1996000000.0,775000000.0,7329000000.0,43619000000.0,50948000000.0,1092000000.0,15147000000.0,6473000000.0,23291000000.0,38438000000.0,12510000000.0,0.0,1854000000.0,-680000000.0,-887000000.0,-150000000.0,-991000000.0,39.36
2016-12-31,9269000000.0,5765000000.0,3504000000.0,159000000.0,1064000000.0,444000000.0,0.85,1064000000.0,1064000000.0,751000000.0,3249000000.0,2064000000.0,891000000.0,7451000000.0,43810000000.0,51261000000.0,1131000000.0,15239000000.0,6201000000.0,23735000000.0,38974000000.0,12287000000.0,1886000000.0,1135000000.0,-794000000.0,445000000.0,-149000000.0,-446000000.0,49.19
2017-03-31,9101000000.0,5635000000.0,3466000000.0,1638000000.0,999000000.0,561000000.0,0.8300000000000001,999000000.0,999000000.0,728000000.0,2650000000.0,2307000000.0,855000000.0,6880000000.0,44579000000.0,51459000000.0,1040000000.0,15953000000.0,8187000000.0,22561000000.0,38514000000.0,12945000000.0,0.0,-830000000.0,-802000000.0,-1708000000.0,-149000000.0,1680000000.0,45.96
2017-06-30,10747000000.0,6206000000.0,4541000000.0,1305000000.0,1982000000.0,1186000000.0,1.6800000000000002,1982000000.0,1982000000.0,728000000.0,2988000000.0,2164000000.0,938000000.0,7177000000.0,44638000000.0,51815000000.0,1098000000.0,16631000000.0,7916000000.0,21705000000.0,38336000000.0,13479000000.0,0.0,2369000000.0,-988000000.0,-958000000.0,-148000000.0,-1074000000.0,53.74
2017-09-30,11061000000.0,6463000000.0,4598000000.0,1386000000.0,1823000000.0,1159000000.0,1.6400000000000001,1823000000.0,1823000000.0,716000000.0,2438000000.0,2399000000.0,1136000000.0,7083000000.0,44845000000.0,51928000000.0,1224000000.0,16496000000.0,7584000000.0,21431000000.0,37927000000.0,14001000000.0,0.0,1593000000.0,-941000000.0,-1295000000.0,-219000000.0,-1086000000.0,48.22
2017-12-31,10229000000.0,6249000000.0,3980000000.0,2573000000.0,1162000000.0,299000000.0,0.81,1162000000.0,1162000000.0,720000000.0,2639000000.0,2377000000.0,1329000000.0,7804000000.0,45867000000.0,53671000000.0,2242000000.0,18959000000.0,6592000000.0,22182000000.0,41141000000.0,12530000000.0,2222000000.0,1891000000.0,-1160000000.0,-1305000000.0,-215000000.0,-250000000.0,56.0
2018-03-31,9968000000.0,6353000000.0,3615000000.0,1265000000.0,844000000.0,557000000.0,0.78,844000000.0,844000000.0,704000000.0,1970000000.0,2568000000.0,1146000000.0,7724000000.0,46354000000.0,54078000000.0,2289000000.0,20012000000.0,6360000000.0,21509000000.0,41521000000.0,12557000000.0,0.0,1343000000.0,-1265000000.0,-927000000.0,-217000000.0,-787000000.0,54.81
2018-06-30,11775000000.0,7202000000.0,4573000000.0,1374000000.0,1684000000.0,1036000000.0,1.47,1684000000.0,1684000000.0,695000000.0,2406000000.0,2427000000.0,1589000000.0,7641000000.0,48155000000.0,55796000000.0,1342000000.0,19269000000.0,8562000000.0,23671000000.0,42940000000.0,12856000000.0,0.0,2927000000.0,-1578000000.0,-1543000000.0,-213000000.0,394000000.0,49.54
2018-09-30,11953000000.0,7450000000.0,4503000000.0,1420000000.0,1645000000.0,1322000000.0,1.9100000000000001,1645000000.0,1645000000.0,686000000.0,1858000000.0,2517000000.0,1170000000.0,6726000000.0,48277000000.0,55003000000.0,1176000000.0,18158000000.0,8115000000.0,23141000000.0,41299000000.0,13704000000.0,0.0,1499000000.0,-962000000.0,-903000000.0,-240000000.0,-1208000000.0,57.83
2018-12-31,10742000000.0,7043000000.0,3699000000.0,1320000000.0,1091000000.0,1020000000.0,1.5,1091000000.0,1091000000.0,691000000.0,1565000000.0,2314000000.0,1055000000.0,6340000000.0,53926000000.0,60266000000.0,1518000000.0,18578000000.0,8253000000.0,28001000000.0,46579000000.0,13687000000.0,2329000000.0,-4397000000.0,2540000000.0,2446000000.0,453000000.0,785000000.0,49.9
2019-03-31,10472000000.0,6737000000.0,3735000000.0,1320000000.0,1020000000.0,730000000.0,1.1,1020000000.0,1020000000.0,665000000.0,1910000000.0,3154000000.0,1071000000.0,7196000000.0,54645000000.0,61841000000.0,3055000000.0,21323000000.0,7710000000.0,27607000000.0,48930000000.0,12911000000.0,0.0,1942000000.0,-1360000000.0,-1096000000.0,-233000000.0,-609000000.0,51.65
2019-06-30,12536000000.0,7523000000.0,5013000000.0,1443000000.0,2128000000.0,1443000000.0,2.22,2128000000.0,2128000000.0,650000000.0,2009000000.0,2844000000.0,1083000000.0,7134000000.0,55384000000.0,62518000000.0,2281000000.0,21164000000.0,7710000000.0,27396000000.0,48560000000.0,13958000000.0,0.0,3269000000.0,-1560000000.0,-1563000000.0,-228000000.0,-1662000000.0,56.75
2019-09-30,12560000000.0,7664000000.0,4896000000.0,1439000000.0,2071000000.0,1495000000.0,2.32,2071000000.0,2071000000.0,646000000.0,1899000000.0,2836000000.0,1072000000.0,6944000000.0,56275000000.0,63219000000.0,2196000000.0,20211000000.0,7923000000.0,27940000000.0,48151000000.0,15068000000.0,0.0,2244000000.0,-944000000.0,-1124000000.0,-260000000.0,-1451000000.0,57.6
2019-12-31,11439000000.0,8443000000.0,2996000000.0,167000000.0,1399000000.0,1099000000.0,1.71,1399000000.0,1399000000.0,651000000.0,2882000000.0,2854000000.0,1251000000.0,8249000000.0,56283000000.0,64532000000.0,2287000000.0,20204000000.0,8873000000.0,28970000000.0,49174000000.0,15358000000.0,2581000000.0,970000000.0,-1072000000.0,-780000000.0,-259000000.0,842000000.0,58.48
2020-03-31,8592000000.0,6597000000.0,1995000000.0,975000000.0,-410000000.0,-534000000.0,-0.84,-410000000.0,-410000000.0,637000000.0,5967000000.0,2280000000.0,974000000.0,10275000000.0,58463000000.0,68738000000.0,4337000000.0,19392000000.0,12662000000.0,35037000000.0,54429000000.0,14309000000.0,678000000.0,358000000.0,-937000000.0,-2971000000.0,-260000000.0,5344000000.0,28.53
2020-06-30,1468000000.0,3520000000.0,-2052000000.0,388000000.0,-4815000000.0,-5717000000.0,-9.01,-4815000000.0,-4815000000.0,635000000.0,15668000000.0,1728000000.0,494000000.0,18915000000.0,53346000000.0,72261000000.0,5230000000.0,20150000000.0,19412000000.0,43421000000.0,63571000000.0,8690000000.0,0.0,-290000000.0,-281000000.0,-4075000000.0,0.0,9722000000.0,28.05
2020-09-30,3062000000.0,3672000000.0,-610000000.0,390000000.0,-6386000000.0,-5379000000.0,-8.47,-6386000000.0,-6386000000.0,635000000.0,21525000000.0,1503000000.0,746000000.0,25030000000.0,54046000000.0,79076000000.0,5045000000.0,19725000000.0,29825000000.0,55994000000.0,75719000000.0,3357000000.0,0.0,-2575000000.0,-133000000.0,-1144000000.0,0.0,10247000000.0,30.58
2020-12-31,3973000000.0,3946000000.0,27000000.0,474000000.0,-858000000.0,-755000000.0,-1.19,-858000000.0,-858000000.0,636000000.0,14096000000.0,1773000000.0,355000000.0,17404000000.0,54592000000.0,71996000000.0,2410000000.0,15927000000.0,27425000000.0,54535000000.0,70462000000.0,1534000000.0,2312000000.0,-1286000000.0,-548000000.0,-1048000000.0,0.0,-5957000000.0,40.21
2021-03-31,4150000000.0,4747000000.0,-597000000.0,511000000.0,-1398000000.0,-1177000000.0,-1.85,-1398000000.0,-1398000000.0,636000000.0,14035000000.0,2294000000.0,371000000.0,17853000000.0,55230000000.0,73083000000.0,2983000000.0,20688000000.0,26061000000.0,51913000000.0,72601000000.0,482000000.0,492000000.0,691000000.0,-438000000.0,-60000000.0,0.0,-790000000.0,48.28
2021-06-30,7126000000.0,5411000000.0,1715000000.0,625000000.0,816000000.0,652000000.0,1.02,816000000.0,816000000.0,637000000.0,15230000000.0,2899000000.0,364000000.0,19666000000.0,55643000000.0,75309000000.0,2372000000.0,23573000000.0,26679000000.0,50455000000.0,74028000000.0,1281000000.0,0.0,1866000000.0,-761000000.0,26000000.0,0.0,-330000000.0,43.26
2021-09-30,9154000000.0,6040000000.0,3114000000.0,761000000.0,2205000000.0,1212000000.0,1.9,2205000000.0,2205000000.0,637000000.0,13202000000.0,2824000000.0,371000000.0,17471000000.0,55312000000.0,72783000000.0,2296000000.0,20924000000.0,25523000000.0,49253000000.0,70177000000.0,2606000000.0,0.0,151000000.0,-830000000.0,-384000000.0,0.0,-1565000000.0,42.61
