,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,Shares,Cash & Equivalents,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,2290000000.0,298000000.0,1992000000.0,912000000.0,1080000000.0,659000000.0,1.33,496000000.0,8549000000.0,67299000000.0,8840000000.0,76139000000.0,0.0,46610000000.0,19230000000.0,19230000000.0,65840000000.0,10299000000.0,20000000.0,1492000000.0,-59000000.0,2625000000.0,-79000000.0,1366000000.0,44.84
2013-06-30,2338000000.0,297000000.0,2041000000.0,1060000000.0,981000000.0,588000000.0,1.2,489000000.0,6281000000.0,66428000000.0,8516000000.0,74944000000.0,0.0,46463000000.0,18033000000.0,18033000000.0,64496000000.0,10448000000.0,49000000.0,595000000.0,-58000000.0,-1393000000.0,-108000000.0,-1525000000.0,47.64
2013-09-30,2340000000.0,278000000.0,2062000000.0,1116000000.0,946000000.0,579000000.0,1.2,482000000.0,5806000000.0,66946000000.0,8598000000.0,75544000000.0,0.0,46277000000.0,18665000000.0,18665000000.0,64942000000.0,10602000000.0,35000000.0,448000000.0,-60000000.0,-1134000000.0,-107000000.0,565000000.0,50.54
2013-12-31,2402000000.0,273000000.0,2129000000.0,1192000000.0,937000000.0,588000000.0,1.24,485492000.0,6736000000.0,70859000000.0,8481000000.0,79340000000.0,0.0,48057000000.0,20474000000.0,20474000000.0,68531000000.0,10809000000.0,-235000000.0,982000000.0,-54000000.0,-3261000000.0,-105000000.0,3210000000.0,55.95
2014-03-31,2348000000.0,270000000.0,2078000000.0,1056000000.0,1022000000.0,618000000.0,1.31,471000000.0,9894000000.0,72155000000.0,7429000000.0,79584000000.0,0.0,48381000000.0,20182000000.0,20182000000.0,68563000000.0,11021000000.0,-29000000.0,1129000000.0,-43000000.0,1811000000.0,-106000000.0,-763000000.0,58.19
2014-06-30,2446000000.0,274000000.0,2172000000.0,1157000000.0,1015000000.0,630000000.0,1.35,466000000.0,7184000000.0,71445000000.0,7492000000.0,78937000000.0,0.0,47499000000.0,20057000000.0,20057000000.0,67556000000.0,11381000000.0,-29000000.0,642000000.0,-30000000.0,-1509000000.0,-122000000.0,-985000000.0,61.98
2014-09-30,2478000000.0,288000000.0,2190000000.0,1181000000.0,1009000000.0,630000000.0,1.37,460000000.0,7485000000.0,73207000000.0,7389000000.0,80596000000.0,0.0,48377000000.0,20918000000.0,20918000000.0,69295000000.0,11301000000.0,-26000000.0,1055000000.0,-29000000.0,-1627000000.0,-120000000.0,1075000000.0,64.39
2014-12-31,2339000000.0,302000000.0,2037000000.0,1389000000.0,648000000.0,392000000.0,0.87,462000000.0,7390000000.0,75613000000.0,7513000000.0,83126000000.0,0.0,49448000000.0,22544000000.0,22544000000.0,71992000000.0,11134000000.0,-21000000.0,1000000000.0,-43000000.0,-2872000000.0,-119000000.0,1774000000.0,65.49
2015-03-31,2471000000.0,300000000.0,2171000000.0,1263000000.0,908000000.0,573000000.0,1.28,448000000.0,11923000000.0,77795000000.0,6383000000.0,84178000000.0,0.0,50043000000.0,22924000000.0,22924000000.0,72967000000.0,11211000000.0,-18000000.0,1063000000.0,-41000000.0,3253000000.0,-119000000.0,214000000.0,56.35
2015-06-30,2486000000.0,311000000.0,2175000000.0,1233000000.0,942000000.0,586000000.0,1.33,441000000.0,11349000000.0,78642000000.0,6269000000.0,84911000000.0,0.0,49549000000.0,24099000000.0,24099000000.0,73648000000.0,11263000000.0,-10000000.0,600000000.0,-47000000.0,-2294000000.0,-135000000.0,475000000.0,57.62
2015-09-30,2511000000.0,323000000.0,2188000000.0,1214000000.0,974000000.0,599000000.0,1.38,433000000.0,10348000000.0,78683000000.0,6928000000.0,85611000000.0,0.0,50508000000.0,23800000000.0,23800000000.0,74308000000.0,11303000000.0,-10000000.0,1147000000.0,-30000000.0,-747000000.0,-131000000.0,-745000000.0,51.99
2015-12-31,2534000000.0,329000000.0,2205000000.0,1417000000.0,788000000.0,488000000.0,1.15,437000000.0,9671000000.0,80187000000.0,6612000000.0,86799000000.0,0.0,50874000000.0,24650000000.0,24650000000.0,75524000000.0,11275000000.0,-3000000.0,1044000000.0,-49000000.0,-3080000000.0,-130000000.0,1358000000.0,53.62
2016-03-31,2558000000.0,334000000.0,2224000000.0,1310000000.0,914000000.0,562000000.0,1.35,417000000.0,13145000000.0,81544000000.0,6549000000.0,88093000000.0,0.0,52025000000.0,24752000000.0,24752000000.0,76777000000.0,11316000000.0,-14000000.0,1158000000.0,-46000000.0,982000000.0,-129000000.0,423000000.0,50.92
2016-06-30,2555000000.0,339000000.0,2216000000.0,1318000000.0,898000000.0,602000000.0,1.47,410000000.0,10715000000.0,80690000000.0,6821000000.0,87511000000.0,0.0,51433000000.0,24681000000.0,24681000000.0,76114000000.0,11397000000.0,-8000000.0,658000000.0,-40000000.0,-1578000000.0,-125000000.0,-598000000.0,53.59
2016-09-30,2660000000.0,359000000.0,2301000000.0,1340000000.0,961000000.0,625000000.0,1.56,402000000.0,13023000000.0,84550000000.0,5991000000.0,90541000000.0,0.0,52364000000.0,26830000000.0,26830000000.0,79194000000.0,11347000000.0,-14000000.0,1317000000.0,-46000000.0,-2007000000.0,-132000000.0,2149000000.0,56.55
2016-12-31,2724000000.0,366000000.0,2358000000.0,1475000000.0,883000000.0,550000000.0,1.4,405000000.0,12009000000.0,87096000000.0,5212000000.0,92308000000.0,0.0,55542000000.0,25443000000.0,25443000000.0,80985000000.0,11323000000.0,-8000000.0,1292000000.0,-47000000.0,-2295000000.0,-128000000.0,837000000.0,72.09
