,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-01-31,4207620000.0,2839823000.0,1367798000.0,845450100.0,522348100.0,317422000.0,0.97,602861100.0,522348900.0,332254000.0,140809000.0,0.0,2397175000.0,2677113000.0,7690569000.0,10367680000.0,892000.0,1738547000.0,2771336000.0,3643805000.0,5382352000.0,4985330000.0,80513000.0,440466000.0,-117354000.0,-117354000.0,0.0,-324883000.0,46.22
2013-04-30,4233733000.0,2938585000.0,1295148000.0,900148000.0,395000000.0,220083000.0,0.67,475493000.0,395000000.0,326975000.0,155526000.0,0.0,2414411000.0,2724476000.0,7769221000.0,10493700000.0,909000.0,1600402000.0,2835303000.0,3714396000.0,5314798000.0,5178899000.0,80493000.0,147226000.0,-149577000.0,-149577000.0,0.0,17068000.0,52.09
2013-07-31,4394651000.0,3017361000.0,1377290000.0,964468000.0,412821800.0,245475000.0,0.76,495565800.0,412821800.0,324770000.0,169220000.0,7894000.0,2533766000.0,2864743000.0,7834887000.0,10699630000.0,25927000.0,1740190000.0,2845138000.0,3727964000.0,5468154000.0,5231476000.0,82744000.0,336889000.0,-158691000.0,-158691000.0,0.0,-164504000.0,54.67
2013-10-31,4381838000.0,3053345000.0,1328493000.0,938252000.0,390241000.0,237385000.0,0.74,474676000.0,390241000.0,321711000.0,165717000.0,9786000.0,2591552000.0,2904302000.0,7871672000.0,10775970000.0,50945000.0,1753049000.0,2873967000.0,3747971000.0,5501020000.0,5274954000.0,84435000.0,276460000.0,-134760000.0,-134760000.0,0.0,-145203000.0,57.78
2014-01-31,4493947000.0,3059134000.0,1434813000.0,896688900.0,538124000.0,322173000.0,1.01,623289100.0,538123800.0,322886000.0,505566000.0,0.0,2552993000.0,3205607000.0,7661917000.0,10867520000.0,75966000.0,1811971000.0,2742788000.0,3653360000.0,5465331000.0,5402193000.0,85165000.0,452490000.0,193050000.0,193050000.0,0.0,-305691000.0,56.32
2014-04-30,4522081000.0,3164335000.0,1357746000.0,978038000.0,379708000.0,222398000.0,0.72,463866000.0,379708000.0,309331000.0,166330000.0,0.0,2605356000.0,2943346000.0,7658538000.0,10601880000.0,100989000.0,1863318000.0,3006404000.0,3906339000.0,5769657000.0,4832227000.0,84158000.0,251460000.0,-83985000.0,-83985000.0,0.0,-506711000.0,56.44
2014-07-31,4724039000.0,3268465000.0,1455574000.0,1027048000.0,428525900.0,251260000.0,0.8300000000000001,513865900.0,428525900.0,303015000.0,172474000.0,4237000.0,2788872000.0,3140631000.0,7685163000.0,10825790000.0,101013000.0,1969418000.0,2881217000.0,3760383000.0,5729801000.0,5095993000.0,85340000.0,235464000.0,-106737000.0,-106737000.0,0.0,-122583000.0,55.23
2014-10-31,4724409000.0,3300661000.0,1423748000.0,1029605000.0,394143600.0,236316000.0,0.78,480404500.0,394143600.0,303080000.0,216155000.0,0.0,2788996000.0,3179132000.0,7698240000.0,10877370000.0,101041000.0,2010846000.0,2666022000.0,3522889000.0,5533735000.0,5343637000.0,86261000.0,353623000.0,-96227000.0,-96227000.0,0.0,-213715000.0,62.67
2015-01-31,4939059000.0,3373620000.0,1565438000.0,998723100.0,566714800.0,355371000.0,1.17,653308800.0,566714400.0,304633000.0,579823000.0,0.0,2782521000.0,3532609000.0,7676033000.0,11208640000.0,101158000.0,1962472000.0,2623965000.0,3536132000.0,5498604000.0,5710038000.0,86594000.0,486344000.0,-84750000.0,-84750000.0,0.0,-37926000.0,67.06
2015-04-30,4918672000.0,3419967000.0,1498705000.0,1070511000.0,428193800.0,253235000.0,0.84,515345800.0,428193800.0,301202000.0,225116000.0,0.0,2839198000.0,3244900000.0,7711649000.0,10956550000.0,101309000.0,2072939000.0,2614005000.0,3497753000.0,5570692000.0,5385858000.0,87152000.0,370210000.0,-99766000.0,-99766000.0,-66037000.0,-625151000.0,72.71
2015-07-31,5095904000.0,3507749000.0,1588155000.0,1112343000.0,475812000.0,282349000.0,0.9500000000000001,563394000.0,475812000.0,295679000.0,180525000.0,14646000.0,3029731000.0,3424847000.0,7770348000.0,11195200000.0,101335000.0,2154763000.0,2761794000.0,3621498000.0,5776261000.0,5418934000.0,87582000.0,214771000.0,-147028000.0,-147028000.0,-65167000.0,-112334000.0,80.37
2015-10-31,5067048000.0,3530086000.0,1536962000.0,1113103000.0,423858900.0,253321000.0,0.87,512411900.0,423858900.0,292037000.0,182514000.0,11877000.0,3101908000.0,3488775000.0,7799518000.0,11288290000.0,1358000.0,1991583000.0,3105332000.0,3953117000.0,5944700000.0,5343593000.0,88553000.0,224131000.0,-139279000.0,-139279000.0,-63965000.0,-82863000.0,67.77
2016-01-31,5286939000.0,3604669000.0,1682271000.0,1069840000.0,612431200.0,376175000.0,1.3,701575200.0,612430200.0,294330000.0,157947000.0,6843000.0,3074153000.0,3432410000.0,7825475000.0,11257880000.0,1379000.0,1995596000.0,2969175000.0,3884413000.0,5880009000.0,5377876000.0,89144000.0,582574000.0,-117310000.0,-117310000.0,-63159000.0,-489831000.0,75.06
2016-04-30,5265432000.0,3652818000.0,1612614000.0,1131871000.0,480743200.0,295124000.0,1.03,573067100.0,480743200.0,285886000.0,187687000.0,6827000.0,3072063000.0,3477346000.0,7839038000.0,11316380000.0,1526000.0,2011594000.0,2989663000.0,3916407000.0,5928001000.0,5388383000.0,92324000.0,403953000.0,-98645000.0,-98645000.0,-71308000.0,-275568000.0,81.91
2016-07-31,5391891000.0,3710124000.0,1681767000.0,1172670000.0,509097200.0,306518000.0,1.08,603715100.0,509097200.0,283130000.0,185033000.0,22985000.0,3270685000.0,3708051000.0,7909318000.0,11617370000.0,501548000.0,2719406000.0,2556464000.0,3484603000.0,6204009000.0,5413361000.0,94618000.0,389381000.0,-166741000.0,-166741000.0,-70853000.0,-225294000.0,94.74
2016-10-31,5320029000.0,3732519000.0,1587510000.0,1194519000.0,392990700.0,235315000.0,0.84,488434700.0,392990700.0,280441000.0,200236000.0,54586000.0,3488247000.0,3968512000.0,7948563000.0,11917080000.0,501480000.0,2959739000.0,2673210000.0,3595485000.0,6555224000.0,5361852000.0,95444000.0,331080000.0,-136180000.0,-136180000.0,-70088000.0,-179697000.0,69.09
2017-01-31,6009246000.0,4108499000.0,1900747000.0,1220129000.0,680618200.0,414176100.0,1.5,778163200.0,680618200.0,281317000.0,187915000.0,11050000.0,3258785000.0,3677771000.0,7994527000.0,11672300000.0,500950000.0,2622805000.0,2710576000.0,3643199000.0,6266004000.0,5406294000.0,97545000.0,480627000.0,-149370000.0,-149370000.0,-68886000.0,-343578000.0,73.82
2017-04-30,5609625000.0,3910642000.0,1698983000.0,1225188000.0,473794900.0,279489000.0,1.02,572380900.0,473794900.0,274692000.0,205977000.0,10492000.0,3300082000.0,3748949000.0,8047406000.0,11796360000.0,401188000.0,2692041000.0,2632090000.0,3575433000.0,6267474000.0,5528881000.0,98586000.0,510462000.0,-143388000.0,-143388000.0,-71294000.0,-349012000.0,72.71
2017-07-31,5828305000.0,4037783000.0,1790522000.0,1297376000.0,493146000.0,294783000.0,1.08,592176000.0,493146000.0,273690000.0,214173000.0,44255000.0,3463004000.0,3979991000.0,8140833000.0,12120820000.0,401402000.0,2806755000.0,2683105000.0,3626974000.0,6433729000.0,5687095000.0,99030000.0,275768000.0,-170319000.0,-170319000.0,-71045000.0,-97253000.0,75.16
2017-10-31,5903606000.0,4137150000.0,1766456000.0,1349025000.0,417431200.0,252533000.0,0.93,518386200.0,417431200.0,272319000.0,226192000.0,99678000.0,3597195000.0,4153334000.0,8221422000.0,12374760000.0,401532000.0,2937806000.0,2719568000.0,3692795000.0,6630601000.0,5744155000.0,100955000.0,356650000.0,-173904000.0,-173904000.0,-70595000.0,-170727000.0,80.84
