,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1431600000.0,1109200000.0,322399900.0,183100000.0,139299900.0,111000000.0,0.35000000000000003,154099900.0,139299900.0,321700000.0,1599300000.0,0.0,5324100000.0,6923400000.0,1309100000.0,8232500000.0,0.0,1215800000.0,3273000000.0,3273000000.0,4488800000.0,3743700000.0,14800000.0,-183800000.0,-11300000.0,85800000.0,0.0,681600000.0,24.3
2013-06-30,1692800000.0,1295400000.0,397400000.0,198800000.0,198600000.0,146000000.0,0.45,214300000.0,198600000.0,322600000.0,1064800000.0,0.0,5911500000.0,6976300000.0,1310700000.0,8287000000.0,0.0,1295900000.0,3083600000.0,3083600000.0,4379500000.0,3907500000.0,15700000.0,-296000000.0,-15300000.0,-29000000.0,0.0,-187500000.0,21.28
2013-09-30,1859800000.0,1446600000.0,413200100.0,217900100.0,195300400.0,139400000.0,0.43,212000400.0,195300200.0,322100000.0,1450300000.0,0.0,6197400000.0,7647700000.0,1208700000.0,8856400000.0,0.0,1286000000.0,3509000000.0,3509000000.0,4795000000.0,4061400000.0,16700000.0,-93000000.0,-17400000.0,-28100000.0,0.0,421400000.0,19.43
2013-12-31,1670600000.0,1273600000.0,397000000.0,213200000.0,183800000.0,123200000.0,0.38,201900100.0,183800000.0,323100000.0,1201000000.0,0.0,6496100000.0,7697100000.0,1230100000.0,8927200000.0,0.0,1265400000.0,3461900000.0,3461900000.0,4727300000.0,4199900000.0,18100000.0,-7700000.0,-18300000.0,-57300000.0,0.0,-51600000.0,22.32
2014-03-31,1735000000.0,1319800000.0,415200000.0,218100000.0,197100000.0,131000000.0,0.4,216500000.0,197100000.0,324300000.0,1373700000.0,0.0,6783600000.0,8157300000.0,1215500000.0,9372800000.0,0.0,1161100000.0,3862100000.0,3862100000.0,5023200000.0,4349600000.0,19400000.0,-258100000.0,-14500000.0,-13700000.0,-12100000.0,404400000.0,21.65
2014-06-30,2147000000.0,1725500000.0,421500000.0,255700000.0,165800000.0,113100000.0,0.32,180300000.0,165800000.0,349700000.0,1014300000.0,0.0,7375600000.0,8389900000.0,1326700000.0,9716600000.0,0.0,1301400000.0,3445300000.0,3445300000.0,4746700000.0,4969900000.0,14500000.0,-307900000.0,-17100000.0,-146700000.0,-13700000.0,78500000.0,24.58
2014-09-30,2472300000.0,1949700000.0,522599700.0,278400000.0,244199700.0,166200000.0,0.46,257999700.0,244199800.0,340500000.0,1148700000.0,0.0,7700500000.0,8849200000.0,1336200000.0,10185400000.0,0.0,1400000000.0,3665700000.0,3665700000.0,5065700000.0,5119700000.0,13800000.0,-87700000.0,-50300000.0,-64400000.0,-22800000.0,196600000.0,20.52
2014-12-31,2302600000.0,1814400000.0,488200100.0,275800000.0,212400100.0,142500000.0,0.39,226000200.0,212400100.0,364900000.0,1004400000.0,0.0,7989300000.0,8993700000.0,1345000000.0,10338700000.0,0.0,1348100000.0,3726800000.0,3726800000.0,5074900000.0,5263800000.0,13600000.0,-129000000.0,-11300000.0,-13900000.0,-22800000.0,22100000.0,25.29
2015-03-31,2398000000.0,1892000000.0,506000000.0,283100000.0,222899900.0,147900000.0,0.4,237399900.0,222899900.0,365800000.0,1225700000.0,0.0,8136900000.0,9362600000.0,1350500000.0,10713100000.0,0.0,1346600000.0,3945500000.0,3945500000.0,5292100000.0,5421000000.0,14500000.0,-39800000.0,-12700000.0,-15400000.0,-22900000.0,211900000.0,28.48
2015-06-30,2950800000.0,2320400000.0,630400100.0,303800000.0,326600100.0,221400000.0,0.6000000000000001,342300100.0,326600100.0,366800000.0,1385700000.0,0.0,8111200000.0,9496900000.0,1366600000.0,10863500000.0,0.0,1411400000.0,3821100000.0,3821100000.0,5232500000.0,5631000000.0,15700000.0,357400000.0,-19300000.0,-105500000.0,-22900000.0,-144000000.0,27.36
2015-09-30,3172600000.0,2508899000.0,663700700.0,323300000.0,330601300.0,238900100.0,0.65,356301300.0,330600800.0,366300000.0,2024500000.0,0.0,7807000000.0,9831500000.0,1319500000.0,11151000000.0,0.0,1444100000.0,3811500000.0,3811500000.0,5255600000.0,5895400000.0,25700000.0,511800000.0,43200000.0,39400000.0,-23000000.0,27000000.0,29.36
2015-12-31,2416400000.0,1892200000.0,524199800.0,289400000.0,234799800.0,157700000.0,0.43,249799800.0,234799800.0,369300000.0,1802800000.0,0.0,8088200000.0,9891000000.0,1288500000.0,11179500000.0,0.0,1384700000.0,3734300000.0,3734300000.0,5119000000.0,6060500000.0,15000000.0,-1500000.0,-20100000.0,-22200000.0,-29600000.0,-91400000.0,32.03
2016-03-31,2767900000.0,2169300000.0,598599900.0,309200000.0,289399900.0,195100000.0,0.53,304799900.0,289399900.0,370200000.0,1851600000.0,0.0,8216600000.0,10068200000.0,1232000000.0,11300200000.0,0.0,1388500000.0,3662700000.0,3662700000.0,5051200000.0,6249000000.0,15400000.0,28400000.0,-20300000.0,15500000.0,-29600000.0,-88500000.0,30.23
2016-06-30,3231900000.0,2523000000.0,708899900.0,336800000.0,372099900.0,249800000.0,0.67,387199900.0,372099900.0,371800000.0,1553100000.0,0.0,8504200000.0,10057300000.0,1275900000.0,11333200000.0,0.0,1519100000.0,3301300000.0,3301300000.0,4820400000.0,6512800000.0,15100000.0,61700000.0,-24800000.0,-20500000.0,-29700000.0,-358500000.0,31.48
2016-09-30,3741200000.0,2918100000.0,823100600.0,384900100.0,431000500.0,283700000.0,0.76,459100500.0,431001200.0,371000000.0,1966700000.0,0.0,8340900000.0,10307600000.0,1251300000.0,11558900000.0,0.0,1494600000.0,3271300000.0,3271300000.0,4765900000.0,6793000000.0,28100000.0,535300000.0,-20900000.0,-85400000.0,-29800000.0,-53500000.0,30.2
2016-12-31,2904200000.0,2267900000.0,636300000.0,325900000.0,310400100.0,206900000.0,0.55,326100200.0,310400100.0,373300000.0,1707400000.0,0.0,8742400000.0,10449800000.0,1262300000.0,11712100000.0,0.0,1512700000.0,3217600000.0,3217600000.0,4730300000.0,6981800000.0,15700000.0,-28200000.0,-22200000.0,-31300000.0,-37300000.0,-93400000.0,27.33
2017-03-31,3251300000.0,2549900000.0,701400100.0,355200000.0,346200200.0,229200000.0,0.61,360400200.0,346200200.0,374400000.0,1582100000.0,0.0,9038101000.0,10620200000.0,1300900000.0,11921100000.0,0.0,1478600000.0,3222400000.0,3222400000.0,4701000000.0,7220100000.0,14200000.0,-107500000.0,-35300000.0,-42100000.0,-37400000.0,-7500000.0,33.31
2017-06-30,3776400000.0,2961100000.0,815299800.0,374500000.0,440799800.0,289000000.0,0.77,455199800.0,440799800.0,374800000.0,1150700000.0,0.0,9554000000.0,10704700000.0,1272400000.0,11977100000.0,0.0,1613900000.0,2926500000.0,2926500000.0,4540400000.0,7436700000.0,14400000.0,-50000000.0,-46000000.0,-47600000.0,-37500000.0,-383200000.0,34.57
2017-09-30,4159100000.0,3263900000.0,895199700.0,416000000.0,479200200.0,313300000.0,0.84,494600200.0,479200400.0,374300000.0,1611600000.0,0.0,9237101000.0,10848700000.0,1335900000.0,12184600000.0,0.0,1565400000.0,2871600000.0,2871600000.0,4437000000.0,7747600000.0,15400000.0,625900000.0,-53800000.0,-43000000.0,-37400000.0,-80500000.0,39.93
2017-12-31,3332700000.0,2580100000.0,752599900.0,384200000.0,368399900.0,189300000.0,0.5,385799900.0,368399900.0,375800000.0,1512200000.0,0.0,10040200000.0,11552400000.0,1404900000.0,12957300000.0,0.0,1643800000.0,3258100000.0,3258100000.0,4901900000.0,8055400000.0,17400000.0,-75000000.0,-19600000.0,-161000000.0,-48700000.0,185700000.0,51.07
2018-03-31,3794700000.0,2961600000.0,833099900.0,400900000.0,432200000.0,351000000.0,0.93,450300000.0,432200000.0,376800000.0,1724400000.0,0.0,10144400000.0,11868800000.0,1349300000.0,13218100000.0,0.0,1612300000.0,3233900000.0,3233900000.0,4846200000.0,8371900000.0,18100000.0,-23800000.0,194000000.0,192400000.0,-47400000.0,-76400000.0,43.84
2018-06-30,4435300000.0,3397200000.0,1038100000.0,434900000.0,603200000.0,453800000.0,1.2,620600000.0,603200000.0,377400000.0,1916800000.0,0.0,10303300000.0,12220100000.0,1373300000.0,13593400000.0,0.0,1729900000.0,3093600000.0,3093600000.0,4823500000.0,8769900000.0,17400000.0,405300000.0,-23400000.0,-23900000.0,-47400000.0,-210700000.0,41.0
2018-09-30,4505300000.0,3459199000.0,1046101000.0,456800000.0,592099900.0,466200100.0,1.24,611499900.0,592100600.0,376600000.0,2302400000.0,0.0,10395000000.0,12697400000.0,1417200000.0,14114600000.0,0.0,1752200000.0,3203500000.0,3203500000.0,4955700000.0,9158900000.0,19400000.0,238700000.0,3600000.0,11500000.0,-48100000.0,18900000.0,42.18
2018-12-31,3519000000.0,2751100000.0,767899900.0,402800000.0,365099900.0,287200000.0,0.77,384599900.0,365099900.0,375100000.0,1390500000.0,0.0,11595600000.0,12986100000.0,1549700000.0,14535800000.0,0.0,1895300000.0,3342300000.0,3342300000.0,5237600000.0,9298200000.0,19500000.0,-373100000.0,-21200000.0,-310400000.0,-56500000.0,-54200000.0,34.66
2019-03-31,4128700000.0,3256700000.0,872000200.0,444200000.0,427800300.0,351300000.0,0.9400000000000001,447500300.0,427800300.0,373300000.0,1527700000.0,0.0,11920300000.0,13448000000.0,1559000000.0,15007000000.0,0.0,1850600000.0,3622400000.0,3622400000.0,5473000000.0,9534000000.0,19700000.0,-88600000.0,6900000.0,-10700000.0,-59100000.0,62200000.0,41.38
2019-06-30,4906300000.0,3831600000.0,1074700000.0,480000000.0,594699700.0,474800000.0,1.28,615999700.0,594699700.0,372300000.0,1840200000.0,0.0,11702300000.0,13542500000.0,1681500000.0,15224000000.0,0.0,1958700000.0,3450600000.0,3450600000.0,5409300000.0,9814700000.0,21300000.0,542400000.0,-3500000.0,-5200000.0,-56200000.0,-383100000.0,43.13
2019-09-30,5038900000.0,3881500000.0,1157400000.0,505500000.0,651899400.0,505200000.0,1.37,674299400.0,651900100.0,372600000.0,2586000000.0,0.0,11282000000.0,13868000000.0,1738600000.0,15606600000.0,0.0,1912100000.0,3399400000.0,3399400000.0,5311500000.0,10295100000.0,22400000.0,811400000.0,-62500000.0,-67700000.0,-55500000.0,-115000000.0,52.71
2019-12-31,4020700000.0,3084200000.0,936500000.0,455800000.0,480700000.0,431300000.0,1.17,502800000.0,480700000.0,368300000.0,2621000000.0,213000000.0,11899200000.0,14520200000.0,1802700000.0,16322900000.0,1868000000.0,2036700000.0,3783300000.0,3783300000.0,5820000000.0,10502900000.0,22100000.0,-113800000.0,-18400000.0,-17800000.0,-65000000.0,213500000.0,52.75
2020-03-31,4500000000.0,3450800000.0,1049200000.0,466800000.0,582399900.0,482700000.0,1.32,604899900.0,582399900.0,365800000.0,2916700000.0,231000000.0,12224500000.0,15141200000.0,1988800000.0,17130000000.0,2086000000.0,2088600000.0,4306600000.0,4306600000.0,6395200000.0,10734800000.0,22500000.0,-281300000.0,-12400000.0,-16800000.0,-64100000.0,239500000.0,34.0
2020-06-30,5390000000.0,4084700000.0,1305300000.0,527500000.0,777799800.0,630700000.0,1.73,798399800.0,777799800.0,363800000.0,3875300000.0,258000000.0,12138700000.0,16014000000.0,1959900000.0,17973900000.0,1573000000.0,2349500000.0,4297300000.0,4297300000.0,6646800000.0,11327100000.0,20600000.0,984000000.0,-59800000.0,-65800000.0,-63900000.0,-82800000.0,55.45
2020-09-30,6400399000.0,4753500000.0,1646899000.0,597700000.0,1049200000.0,829000100.0,2.2800000000000002,1074600000.0,1049200000.0,365500000.0,4569100000.0,271000000.0,12237400000.0,16806500000.0,2105800000.0,18912300000.0,1540000000.0,2507500000.0,4283300000.0,4283300000.0,6790800000.0,12121500000.0,25400000.0,832700000.0,-66400000.0,-65700000.0,-63000000.0,-99600000.0,75.63
2020-12-31,5933400000.0,4332500000.0,1600900000.0,585900000.0,1015000000.0,791800000.0,2.17,1037900000.0,1015000000.0,364400000.0,3913800000.0,277000000.0,13576500000.0,17490300000.0,2290100000.0,19780400000.0,969000000.0,2784500000.0,4225600000.0,4225600000.0,7010100000.0,12770300000.0,22900000.0,-252100000.0,-70700000.0,-91400000.0,-72900000.0,-221700000.0,68.92
2021-03-31,6446900000.0,4650900000.0,1796000000.0,621500000.0,1174500000.0,929500000.0,2.5700000000000003,1195700000.0,1174500000.0,362300000.0,3987700000.0,308000000.0,14476300000.0,18464000000.0,2619800000.0,21083800000.0,1204000000.0,3335500000.0,4472300000.0,4472300000.0,7807800000.0,13276000000.0,21200000.0,97200000.0,-101900000.0,-104700000.0,-72700000.0,-235500000.0,89.12
2021-06-30,7284600000.0,5212600000.0,2072000000.0,655700000.0,1398200000.0,1115500000.0,3.1,1417700000.0,1398200000.0,359700000.0,3613200000.0,305000000.0,16011700000.0,19624900000.0,2168600000.0,21793500000.0,1094000000.0,3252200000.0,4416300000.0,4416300000.0,7668500000.0,14125000000.0,19500000.0,120400000.0,-9700000.0,-10800000.0,-72100000.0,-372400000.0,90.37
2021-09-30,8109299000.0,5703199000.0,2406100000.0,693100000.0,1713002000.0,1339000000.0,3.74,1731502000.0,1713001000.0,361100000.0,3237000000.0,322000000.0,16479000000.0,20090000000.0,2272300000.0,24230000000.0,896000000.0,3190000000.0,4553000000.0,5412400000.0,9013000000.0,14887000000.0,18500000.0,568900000.0,-47500000.0,-45300000.0,-71600000.0,744500000.0,83.97
2021-12-31,7053400000.0,4905700000.0,2147700000.0,665900000.0,1481800000.0,1141600000.0,3.21,1501200000.0,1481800000.0,356100000.0,2465000000.0,322000000.0,18203000000.0,21060000000.0,2499000000.0,24999000000.0,1610000000.0,4181000000.0,3685000000.0,5255300000.0,8986000000.0,15678000000.0,19400000.0,-174100000.0,-30900000.0,-26500000.0,-80100000.0,-572000000.0,108.45
2022-03-31,7999000000.0,5429900000.0,2569100000.0,695100000.0,1874000000.0,1436300000.0,4.07,1893900000.0,1874000000.0,353100000.0,1689000000.0,328000000.0,19847000000.0,21941000000.0,2906900000.0,26685000000.0,1929000000.0,4523000000.0,3685000000.0,5570000000.0,9568000000.0,16775000000.0,19900000.0,-660500000.0,-41600000.0,-42200000.0,-79100000.0,-72800000.0,74.51
2022-06-30,8788100000.0,5879300000.0,2908800000.0,740600000.0,2168200000.0,1647800000.0,4.7,2189100000.0,2168200000.0,350800000.0,1684000000.0,364000000.0,21699000000.0,23840000000.0,3404200000.0,28870000000.0,1756000000.0,4832000000.0,4264000000.0,5975200000.0,10434000000.0,18063000000.0,20900000.0,271800000.0,-35500000.0,-304200000.0,-79200000.0,27600000.0,66.19
2022-09-30,9639500000.0,6761001000.0,2878499000.0,832100100.0,2046401000.0,1631800000.0,4.7,2067601000.0,2046401000.0,351700000.0,2573000000.0,423000000.0,21656000000.0,24729000000.0,3736500000.0,30663000000.0,697000000.0,3414000000.0,5418000000.0,6066900000.0,10877000000.0,19396000000.0,21200000.0,1124600000.0,-40200000.0,-42000000.0,-78100000.0,-194000000.0,67.35
2022-12-31,7257800000.0,5291300000.0,1966500000.0,737000000.0,1229500000.0,958700000.0,0.0,1249300000.0,1229500000.0,344200000.0,4395200000.0,0.0,22445300000.0,26840500000.0,3424000000.0,30264500000.0,0.0,4021800000.0,5690300000.0,5690300000.0,9712100000.0,20552400000.0,19800000.0,829100000.0,-47500000.0,-142900000.0,-86100000.0,-646600000.0,89.14
