,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,4444700000.0,2119000000.0,2325700000.0,1298400000.0,730900400.0,691900000.0,1.0,947700400.0,730900400.0,692000000.0,2150700000.0,3118300000.0,1866500000.0,7910000000.0,24559300000.0,32469300000.0,0.0,3926500000.0,4404300000.0,8793600000.0,12720100000.0,19749200000.0,216800000.0,636500000.0,-116300000.0,554700000.0,0.0,-710500000.0,47.12
2013-06-30,4737500000.0,2242000000.0,2495500000.0,1339700000.0,843600100.0,616800000.0,0.89,1063200000.0,843600100.0,695200000.0,2324900000.0,3281400000.0,1911000000.0,8231000000.0,24878000000.0,33109000000.0,0.0,4132500000.0,4100900000.0,8611900000.0,12744400000.0,20364600000.0,219600000.0,899200000.0,-136200000.0,-443700000.0,-17300000.0,-275200000.0,47.99
2013-09-30,4669100000.0,2244400000.0,2424700000.0,1303200000.0,812400100.0,597000000.0,0.86,1037700000.0,812400100.0,697700000.0,1995600000.0,3372700000.0,1965700000.0,8023700000.0,25697500000.0,33721200000.0,0.0,4279400000.0,3445500000.0,8071000000.0,12350400000.0,21370800000.0,225300000.0,971400000.0,-139300000.0,-683000000.0,-17400000.0,-635200000.0,52.55
2013-12-31,5266700000.0,2555000000.0,2711700000.0,1491500000.0,888000000.0,789300000.0,1.13,1076900000.0,888000000.0,699000000.0,3115200000.0,3451600000.0,1783500000.0,9113700000.0,25558500000.0,34672200000.0,0.0,4527400000.0,3436700000.0,7693400000.0,12220800000.0,22451400000.0,188900000.0,1078200000.0,-146300000.0,19500000.0,-17400000.0,15100000.0,58.53
2014-03-31,4662700000.0,2209800000.0,2452900000.0,1350600000.0,788900400.0,579700000.0,0.8300000000000001,1013600000.0,788900400.0,700100000.0,3346500000.0,3467600000.0,1871300000.0,9404300000.0,25638300000.0,35042600000.0,0.0,4304400000.0,3422900000.0,7709400000.0,12013800000.0,23028800000.0,224700000.0,511200000.0,-130900000.0,-284700000.0,-17400000.0,14700000.0,56.86
2014-06-30,4963600000.0,2343400000.0,2620200000.0,1394500000.0,889300300.0,676400000.0,0.96,1124700000.0,889300300.0,701200000.0,3321100000.0,3631800000.0,1894200000.0,9507300000.0,26144800000.0,35652100000.0,0.0,4406700000.0,3020000000.0,7456500000.0,11863200000.0,23788900000.0,235400000.0,991700000.0,-147700000.0,-564400000.0,-70000000.0,-458200000.0,59.69
2014-09-30,4707100000.0,2254800000.0,2452300000.0,1298000000.0,866200000.0,680600000.0,0.97,1070600000.0,866200000.0,702600000.0,4025300000.0,3498100000.0,1874000000.0,9989500000.0,25546400000.0,35535900000.0,0.0,4471100000.0,2964700000.0,7254700000.0,11725800000.0,23810100000.0,204400000.0,1016100000.0,-130700000.0,-149100000.0,-70000000.0,-55100000.0,57.6
2014-12-31,5417200000.0,2613500000.0,2803700000.0,1580300000.0,887299800.0,661700000.0,0.9400000000000001,940899800.0,887299800.0,704800000.0,3005600000.0,3445800000.0,1782800000.0,9431300000.0,27560400000.0,36991700000.0,0.0,5396400000.0,3401500000.0,8145500000.0,13541900000.0,23449800000.0,53600000.0,1239400000.0,-56100000.0,-2446100000.0,-70300000.0,280400000.0,64.98
2015-03-31,4694700000.0,2226500000.0,2468200000.0,1413700000.0,755100300.0,569800000.0,0.81,990600300.0,755100300.0,707200000.0,2511000000.0,3446900000.0,1897200000.0,8774400000.0,27297900000.0,36072300000.0,0.0,4952700000.0,3053800000.0,7728900000.0,12681600000.0,23390700000.0,235500000.0,523600000.0,-117000000.0,-690700000.0,-70400000.0,-260800000.0,64.37
2015-06-30,4960200000.0,2316200000.0,2644000000.0,1405000000.0,934400100.0,695700000.0,0.98,1171400000.0,934400100.0,709500000.0,3342000000.0,3565200000.0,1912200000.0,9654500000.0,27332300000.0,36986800000.0,0.0,5055600000.0,3052700000.0,7759200000.0,12814800000.0,24172000000.0,237000000.0,1094000000.0,-136200000.0,-246900000.0,-95500000.0,-38600000.0,64.89
2015-09-30,3512200000.0,1618800000.0,1893400000.0,1201200000.0,480000000.0,1403300000.0,2.04,616300000.0,480000000.0,688500000.0,1833500000.0,3906100000.0,2340600000.0,8931800000.0,40776100000.0,49707900000.0,0.0,8625600000.0,11522700000.0,17898500000.0,26524100000.0,23183800000.0,136300000.0,952600000.0,-98400000.0,-13753000000.0,-95700000.0,11329300000.0,64.6
2015-12-31,1266600000.0,501099900.0,765499800.0,727600100.0,-7300500.0,688599900.0,1.0,264699500.0,-7300300.0,698100000.0,790800000.0,2985100000.0,1573100000.0,7836700000.0,40385500000.0,48222200000.0,0.0,6170400000.0,12025200000.0,18287800000.0,24458200000.0,23764000000.0,272000000.0,1231600000.0,-100900000.0,-260400000.0,-92500000.0,-1979700000.0,70.42
2016-03-31,3924100000.0,1756800000.0,2167300000.0,1328100000.0,613100100.0,758400000.0,1.1,880800100.0,613100100.0,688600000.0,664300000.0,3871200000.0,2237700000.0,7747200000.0,40638400000.0,48385600000.0,0.0,5321300000.0,12194700000.0,18487200000.0,23808500000.0,24577100000.0,267700000.0,772800000.0,-122600000.0,8300000.0,-92700000.0,-890600000.0,71.92
2016-06-30,4241900000.0,1860600000.0,2381300000.0,1431300000.0,710099900.0,656700000.0,0.9500000000000001,987699800.0,710099900.0,690900000.0,4097600000.0,3994800000.0,2240200000.0,11231000000.0,40272700000.0,51503700000.0,0.0,8025900000.0,12007700000.0,18357500000.0,26383400000.0,25120300000.0,277600000.0,1281800000.0,-145700000.0,-174200000.0,-110100000.0,2364700000.0,76.57
2016-09-30,4132100000.0,1846100000.0,2286000000.0,1345800000.0,699100100.0,391600000.0,0.5700000000000001,976300100.0,699100100.0,692200000.0,971400000.0,3081800000.0,1712200000.0,6493200000.0,34804300000.0,41297500000.0,0.0,4763400000.0,7503100000.0,13269700000.0,18033100000.0,23264400000.0,277200000.0,818200000.0,-146600000.0,-153600000.0,-110500000.0,-3778400000.0,78.39
2016-12-31,4584300000.0,2084300000.0,2500001000.0,1519100000.0,712900900.0,746999900.0,1.08,1018501000.0,712901100.0,691200000.0,963700000.0,3186100000.0,1709400000.0,6665100000.0,38630200000.0,45295300000.0,0.0,6874000000.0,9674200000.0,15344500000.0,22218500000.0,23076800000.0,305600000.0,649000000.0,-164900000.0,-4923500000.0,-86500000.0,4347000000.0,77.84
2017-03-31,4205700000.0,1871400000.0,2334300000.0,1449900000.0,617000000.0,506100000.0,0.73,922600000.0,617000000.0,694300000.0,803900000.0,3034900000.0,1764900000.0,6318900000.0,38926200000.0,45245100000.0,0.0,6003100000.0,9729300000.0,15450900000.0,21454000000.0,23791100000.0,305600000.0,560200000.0,-157900000.0,-163700000.0,-86600000.0,-590700000.0,85.53
2017-06-30,4510100000.0,2027800000.0,2482300000.0,1522300000.0,676700000.0,557300000.0,0.8,979899900.0,676700000.0,695400000.0,726400000.0,3214800000.0,1791700000.0,6256600000.0,39390200000.0,45646800000.0,0.0,4202600000.0,11422500000.0,16849000000.0,21051600000.0,24595200000.0,303200000.0,1010500000.0,-118600000.0,-209200000.0,-97300000.0,-925000000.0,84.39
2017-09-30,4528200000.0,1991400000.0,2536800000.0,1498400000.0,759200200.0,572100000.0,0.8200000000000001,1070600000.0,759200200.0,696200000.0,648600000.0,3254600000.0,1892300000.0,6260200000.0,39591100000.0,45851300000.0,0.0,4387500000.0,10726800000.0,16083200000.0,20470700000.0,25380600000.0,311400000.0,1072400000.0,-137000000.0,-155000000.0,-97100000.0,-1028900000.0,85.78
2017-12-31,2274799000.0,1056900000.0,1217899000.0,572000100.0,519399900.0,856600200.0,1.23,716099900.0,519399700.0,695800000.0,630300000.0,3521800000.0,1840800000.0,6850000000.0,39798600000.0,46648600000.0,0.0,4792300000.0,10327400000.0,15488500000.0,20280800000.0,26367800000.0,196700000.0,834700000.0,-124700000.0,-315500000.0,-97300000.0,-553900000.0,92.82
2018-03-31,4695400000.0,2051800000.0,2643600000.0,1601900000.0,743000000.0,566600000.0,0.81,1063800000.0,743000000.0,698600000.0,1045700000.0,3270700000.0,1949100000.0,7075100000.0,40070100000.0,47145200000.0,0.0,4442900000.0,10410700000.0,15500500000.0,19943400000.0,27201800000.0,320800000.0,828900000.0,-137500000.0,-122700000.0,-97500000.0,-321700000.0,97.91
