,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,358370000.0,128727000.0,229643000.0,15951000.0,98586000.0,42657000.0,0.34,212643000.0,98586000.0,126445000.0,86059000.0,177951000.0,264010000.0,8707481000.0,8971492000.0,0.0,613537000.0,4682124000.0,4976007000.0,5589544000.0,3381948000.0,114057000.0,89041000.0,-78185000.0,-355638000.0,-195940000.0,252446000.0,66.91
2013-06-30,363502000.0,128318000.0,235184000.0,17891000.0,99994000.0,47077000.0,0.37,219053000.0,99994000.0,128420000.0,63237000.0,159847000.0,223084000.0,8961774000.0,9184859000.0,0.0,617766000.0,4698248000.0,4983823000.0,5601589000.0,3583270000.0,119059000.0,186466000.0,-41354000.0,-356610000.0,-102507000.0,152274000.0,61.0
2013-09-30,379456000.0,157452000.0,222004000.0,16275000.0,85177000.0,138872000.0,1.08,209525000.0,85177000.0,128427000.0,97575000.0,191715000.0,289290000.0,9136751000.0,9426041000.0,0.0,652720000.0,4780397000.0,5092752000.0,5745472000.0,3680569000.0,124348000.0,178573000.0,-37512000.0,-20253000.0,-102506000.0,-127462000.0,53.1
2013-12-31,380931000.0,141163000.0,239768000.0,15536000.0,98054900.0,42977000.0,0.33,227395900.0,98055000.0,127941000.0,97170000.0,122248000.0,219418000.0,9407411000.0,9626830000.0,0.0,765196000.0,4961892000.0,5215122000.0,5980318000.0,3646512000.0,129341000.0,202310000.0,-2256000.0,-328108000.0,0.0,124574000.0,49.12
2014-03-31,390590000.0,142443000.0,248147000.0,30678000.0,90007000.0,34186000.0,0.27,229294000.0,90007000.0,128536000.0,113084000.0,181433000.0,294517000.0,9510877000.0,9805394000.0,0.0,614645000.0,5007381000.0,5315029000.0,5929674000.0,3875720000.0,139287000.0,116411000.0,0.0,-227544000.0,-211887000.0,124567000.0,53.08
2014-06-30,401446000.0,149287000.0,252159000.0,20321000.0,92453000.0,41510000.0,0.31,233529000.0,92453000.0,133803000.0,120704000.0,161495000.0,282199000.0,9628031000.0,9910231000.0,0.0,636783000.0,4859235000.0,5139167000.0,5775950000.0,4134281000.0,141076000.0,198853000.0,37945000.0,-176272000.0,-114885000.0,-11897000.0,58.32
2014-09-30,412186000.0,158804000.0,253382000.0,20709000.0,82372000.0,109314000.0,0.81,223088000.0,82372000.0,135493000.0,50514000.0,140463000.0,190977000.0,9531030000.0,9722007000.0,0.0,648314000.0,4739729000.0,4970133000.0,5618447000.0,4103560000.0,140716000.0,157303000.0,-24305000.0,-61070000.0,-114963000.0,-139504000.0,62.38
2014-12-31,412215900.0,152787000.0,259428900.0,21480000.0,-6166000.0,-52292000.0,-0.39,130111000.0,-6166000.0,133369000.0,52876000.0,135931000.0,188807000.0,9337978000.0,9526784000.0,0.0,720942000.0,4673127000.0,4891604000.0,5612546000.0,3914238000.0,136277000.0,183321000.0,0.0,-179294000.0,41000.0,-140000.0,66.3
2015-03-31,406609000.0,149981000.0,256628000.0,21194000.0,149318000.0,101728000.0,0.75,281734000.0,149318000.0,135705000.0,49263000.0,112995000.0,162258000.0,9246168000.0,9408426000.0,0.0,523948000.0,4817911000.0,5026617000.0,5550565000.0,3857861000.0,132416000.0,138922000.0,43274000.0,-149070000.0,-232878000.0,6156000.0,65.96
2015-06-30,420295000.0,152593000.0,267702000.0,25613000.0,107053000.0,117055000.0,0.86,243234000.0,107053000.0,135810000.0,68546000.0,126734000.0,195280000.0,9390729000.0,9586009000.0,0.0,516232000.0,4968826000.0,5179584000.0,5695816000.0,3890193000.0,136181000.0,216229000.0,93867000.0,-92789000.0,-117891000.0,-101617000.0,66.68
