,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,417617000.0,287811000.0,129806000.0,54281000.0,75525000.0,34420000.0,0.59,82587000.0,75525000.0,55747000.0,136456000.0,90156000.0,29916000.0,308557000.0,167998000.0,476555000.0,24211000.0,223585000.0,1530411000.0,1576342000.0,1799927000.0,-1323372000.0,7062000.0,47649000.0,-3858000.0,-4336000.0,-327000.0,-23070000.0,51.44
2013-06-30,414009000.0,288022000.0,125987000.0,52146000.0,73841000.0,33270000.0,0.5700000000000001,81039000.0,73841000.0,55469000.0,100550000.0,93987000.0,27996000.0,302536000.0,166263000.0,468799000.0,24153000.0,228812000.0,1524420000.0,1568778000.0,1797590000.0,-1328791000.0,7198000.0,19191000.0,-5652000.0,-3605000.0,-11127000.0,-49724000.0,58.15
2013-09-30,404050000.0,283416000.0,120634000.0,53858000.0,66776000.0,30632000.0,0.53,74260000.0,66776000.0,55065000.0,95367000.0,92765000.0,30282000.0,302410000.0,166114000.0,468524000.0,24140000.0,225476000.0,1518383000.0,1565223000.0,1790699000.0,-1322175000.0,7484000.0,37735000.0,-7592000.0,-10895000.0,-11769000.0,-35648000.0,67.95
2013-12-31,566547100.0,394000000.0,172547000.0,74878000.0,97669100.0,44663000.0,0.78,107802100.0,97669000.0,55346000.0,139836000.0,105779000.0,30321000.0,351540000.0,173715000.0,525255000.0,24144000.0,254611000.0,1512299000.0,1560846000.0,1815457000.0,-1290202000.0,10133000.0,89414000.0,-23285000.0,-80897000.0,-11018000.0,-26362000.0,69.65
2014-03-31,453852000.0,316810000.0,137042000.0,52867000.0,84175000.0,40474000.0,0.71,91986000.0,84175000.0,55212000.0,147002000.0,103881000.0,33578000.0,353880000.0,170432000.0,524312000.0,24155000.0,240404000.0,1506256000.0,1552864000.0,1793268000.0,-1268956000.0,7811000.0,36204000.0,-2655000.0,13893000.0,-11053000.0,-26232000.0,76.97
2014-06-30,450463000.0,315818000.0,134645000.0,53282000.0,81363000.0,38462000.0,0.67,89400000.0,81363000.0,55015000.0,90014000.0,105970000.0,33542000.0,320980000.0,174691000.0,495671000.0,538000.0,216007000.0,1523882000.0,1569346000.0,1785353000.0,-1289682000.0,8037000.0,24586000.0,-11326000.0,21820000.0,-14077000.0,-69322000.0,73.09
2014-09-30,446568000.0,313054000.0,133514000.0,56573000.0,76941000.0,35618000.0,0.63,85163000.0,76941000.0,54621000.0,104528000.0,103540000.0,35213000.0,333324000.0,177559000.0,510883000.0,549000.0,220386000.0,1523740000.0,1572239000.0,1792625000.0,-1281742000.0,8222000.0,58095000.0,-11200000.0,-10398000.0,-14078000.0,-32109000.0,76.96
2014-12-31,642950000.0,453384900.0,189565100.0,86683000.0,102882000.0,48033000.0,0.85,120346000.0,102882000.0,54918000.0,151809000.0,118395000.0,37944000.0,428361000.0,167972000.0,596333000.0,565000.0,265608000.0,1500599000.0,1550190000.0,1815798000.0,-1219465000.0,17464000.0,73454000.0,-35752000.0,-82758000.0,-13635000.0,8765000.0,94.17
2015-03-31,502027000.0,344961000.0,157066000.0,62813000.0,94253000.0,46289000.0,0.81,102874000.0,94253000.0,55208000.0,196524000.0,118085000.0,37899000.0,446041000.0,190940000.0,636981000.0,234000.0,275313000.0,1527202000.0,1575246000.0,1850559000.0,-1213578000.0,8621000.0,84745000.0,-811000.0,166000.0,-13965000.0,-41339000.0,100.55
2015-06-30,488622000.0,335950000.0,152672000.0,60441000.0,92231000.0,45909000.0,0.81,101188000.0,92231000.0,54833000.0,122708000.0,113328000.0,36283000.0,404501000.0,193400000.0,597901000.0,237000.0,269213000.0,1527161000.0,1574343000.0,1843556000.0,-1245655000.0,8957000.0,18849000.0,-10642000.0,13967000.0,-17074000.0,-81589000.0,113.4
2015-09-30,484696000.0,342742000.0,141954000.0,61411000.0,80543000.0,37832000.0,0.67,89485000.0,80543000.0,54463000.0,123527000.0,112398000.0,39826000.0,404432000.0,198764000.0,603196000.0,256000.0,279291000.0,1527664000.0,1579854000.0,1859145000.0,-1255949000.0,8942000.0,63714000.0,-11917000.0,-6266000.0,-17102000.0,-51199000.0,107.91
2015-12-31,741183000.0,509744000.0,231439000.0,93027000.0,138411900.0,62759000.0,1.18,156718900.0,138412100.0,53829000.0,314389000.0,131582000.0,36861000.0,602637000.0,197208000.0,799845000.0,59333000.0,375983000.0,2181460000.0,2224113000.0,2600096000.0,-1800251000.0,18307000.0,124478000.0,-27188000.0,-117159000.0,-32188000.0,93191000.0,111.25
2016-03-31,539175000.0,371959000.0,167216000.0,68504000.0,98712000.0,45451000.0,0.89,108593000.0,98712000.0,49697000.0,332375000.0,130520000.0,39108000.0,626486000.0,194273000.0,820759000.0,41593000.0,333726000.0,2173403000.0,2217312000.0,2551038000.0,-1730279000.0,9881000.0,17148000.0,-8744000.0,17486000.0,-164000.0,10419000.0,131.86
