,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,2829582000.0,1960891000.0,868691000.0,284410000.0,166861100.0,30164000.0,0.145,292617100.0,166861100.0,208969000.0,706813000.0,1815513000.0,76582000.0,3191168000.0,13222310000.0,16413480000.0,228219000.0,2325239000.0,8277259000.0,10131710000.0,12456950000.0,3956531000.0,125756000.0,379207000.0,-116724000.0,-146011000.0,0.0,-67392000.0,59.29
2013-06-30,2871673000.0,2014320000.0,857353100.0,268110000.0,522020000.0,254376000.0,1.21,652646000.0,522020000.0,209797000.0,624698000.0,1844887000.0,77997000.0,3131834000.0,13323670000.0,16455510000.0,242324000.0,2214888000.0,8234290000.0,9958337000.0,12173220000.0,4282284000.0,130626000.0,306819000.0,-141672000.0,-201876000.0,0.0,-186357000.0,60.4
2013-09-30,2999586000.0,2095334000.0,904252000.0,305138000.0,377074200.0,136628000.0,0.65,510079200.0,377074200.0,210395000.0,977490000.0,1763941000.0,84899000.0,3381408000.0,13445910000.0,16827320000.0,259770000.0,2453126000.0,8181434000.0,9936763000.0,12389890000.0,4437431000.0,133005000.0,733128000.0,-141131000.0,-229199000.0,0.0,-150474000.0,56.9
2013-12-31,3063209000.0,2127832000.0,935377000.0,318827000.0,484178000.0,212278000.0,1.01,622910000.0,484177500.0,209939000.0,953050000.0,1844568000.0,88805000.0,3472278000.0,13626600000.0,17098880000.0,274697000.0,2462049000.0,8141231000.0,10031290000.0,12493340000.0,4605541000.0,138732000.0,354187000.0,-155812000.0,-299796000.0,0.0,-78768000.0,63.37
2014-03-31,3042776000.0,2179772000.0,863003900.0,284061000.0,441224900.0,183289000.0,0.87,583789900.0,441224900.0,211375000.0,1116149000.0,1913745000.0,101173000.0,3707233000.0,13691110000.0,17398340000.0,292220000.0,2566174000.0,8071622000.0,9994532000.0,12560710000.0,4837636000.0,142565000.0,419107000.0,-126562000.0,-195793000.0,0.0,-62125000.0,68.85
2014-06-30,3172489000.0,2246538000.0,925950900.0,298636000.0,484294900.0,147683000.0,0.7000000000000001,630200000.0,484294900.0,212259000.0,1484808000.0,2012837000.0,99650000.0,4161247000.0,13764320000.0,17925570000.0,408987000.0,2608148000.0,8390578000.0,10360600000.0,12968750000.0,4956825000.0,145905000.0,262391000.0,-152031000.0,-247062000.0,0.0,298773000.0,72.32
2014-09-30,3251824000.0,2326534000.0,925290000.0,322822000.0,437535900.0,184122000.0,0.87,586400900.0,437535900.0,212617000.0,1669157000.0,1815275000.0,114677000.0,4178435000.0,13922980000.0,18101420000.0,121530000.0,2597631000.0,8380903000.0,10352310000.0,12949940000.0,5151475000.0,148865000.0,847900000.0,-164914000.0,-388330000.0,0.0,-355657000.0,73.14
2014-12-31,3328017000.0,2366460000.0,961556600.0,355987000.0,452086700.0,208020000.0,0.98,605686600.0,452086900.0,212302000.0,1302640000.0,2010604000.0,136084000.0,3636170000.0,13981260000.0,17617430000.0,120154000.0,2088651000.0,8298624000.0,10168470000.0,12257120000.0,5360311000.0,153600000.0,-69991000.0,-189032000.0,-446544000.0,0.0,-45970000.0,75.74
2015-03-31,3287965000.0,2362612000.0,925353000.0,341801000.0,-64156000.0,-110617000.0,-0.52,89633000.0,-64156000.0,213387000.0,1433636000.0,2098895000.0,145740000.0,4300795000.0,14065870000.0,18366660000.0,118076000.0,2679516000.0,8380153000.0,10516430000.0,13195950000.0,5170714000.0,153789000.0,410089000.0,-121421000.0,-252287000.0,0.0,-110868000.0,81.28
2015-06-30,3434618000.0,2446076000.0,988542000.0,347960000.0,480548100.0,170477000.0,0.8,639391100.0,480548100.0,212992000.0,1875876000.0,2317152000.0,159353000.0,4780921000.0,14165900000.0,18946820000.0,108795000.0,2334290000.0,9101052000.0,11265610000.0,13599900000.0,5346916000.0,158843000.0,31442000.0,-169452000.0,-695050000.0,0.0,585961000.0,79.47
2015-09-30,3525665000.0,2501015000.0,1024650000.0,353492000.0,509368200.0,215872000.0,1.02,671430200.0,509368200.0,212375000.0,1970267000.0,2165787000.0,173050000.0,4737886000.0,14156940000.0,18894830000.0,114617000.0,2410554000.0,9082096000.0,11292080000.0,13702630000.0,5192197000.0,162062000.0,678996000.0,-171340000.0,-203047000.0,0.0,-361214000.0,72.33
2015-12-31,-266002900.0,-453641100.0,187638200.0,-12128000.0,211005400.0,-6000000.0,-0.03,374335400.0,211005400.0,211868000.0,1907200000.0,2220183000.0,185575000.0,4503280000.0,14011590000.0,18514880000.0,129037000.0,2399138000.0,9001308000.0,11031560000.0,13430700000.0,5084172000.0,163330000.0,436673000.0,-226070000.0,268600000.0,0.0,-252849000.0,69.71
2016-03-31,3581136000.0,2582333000.0,998803000.0,386429000.0,364889200.0,97434000.0,0.48,534244100.0,364889200.0,204367000.0,1437895000.0,2381689000.0,192689000.0,4199560000.0,14314640000.0,18514200000.0,137966000.0,2443618000.0,8979855000.0,11148850000.0,13592460000.0,4921732000.0,169355000.0,429002000.0,-173187000.0,-554311000.0,0.0,-333097000.0,73.38
2016-06-30,3717651000.0,2671025000.0,1046626000.0,386895000.0,329070100.0,53382000.0,0.26,509451000.0,329070100.0,204498000.0,1677582000.0,2433484000.0,197388000.0,4496217000.0,14195410000.0,18691630000.0,144183000.0,2645662000.0,8957257000.0,11087270000.0,13732930000.0,4958703000.0,180381000.0,516637000.0,-185440000.0,-203918000.0,0.0,-70457000.0,77.32
2016-09-30,3730576000.0,2697629000.0,1032947000.0,406890000.0,819156000.0,571332000.0,2.8,1000895000.0,819156000.0,203761000.0,1572974000.0,2310574000.0,200563000.0,4261359000.0,14664290000.0,18925650000.0,152764000.0,2639469000.0,8972002000.0,11166790000.0,13806260000.0,5119391000.0,181739000.0,535623000.0,-216616000.0,-499013000.0,0.0,-404422000.0,66.07
2016-12-31,-321896200.0,-519404800.0,197508500.0,-107373000.0,516594500.0,157726000.0,0.81,705371500.0,516594700.0,201641000.0,981757000.0,1792106000.0,160419000.0,3994748000.0,14761030000.0,18755780000.0,160262000.0,2710964000.0,8944676000.0,11195070000.0,13906040000.0,4849741000.0,188777000.0,490864000.0,-189127000.0,55574000.0,0.0,-544005000.0,64.2
2017-03-31,2631251000.0,1852045000.0,779205900.0,262895000.0,875928000.0,447697000.0,2.33,1066134000.0,875928000.0,192377000.0,1785497000.0,2440217000.0,174159000.0,4603900000.0,14784360000.0,19388260000.0,170217000.0,2813577000.0,8918878000.0,11234100000.0,14047670000.0,5340591000.0,190206000.0,865171000.0,-167923000.0,-249987000.0,0.0,-58937000.0,67.97
