,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1971000000.0,0.0,1971000000.0,1151000000.0,-1857000000.0,-1340000000.0,-3.3,-1153000000.0,-1857000000.0,402000000.0,6501000000.0,1369000000.0,8403000000.0,33179000000.0,41582000000.0,4197000000.0,6800000000.0,7955000000.0,15074000000.0,21874000000.0,19708000000.0,704000000.0,1002000000.0,-1897000000.0,-782000000.0,-81000000.0,430000000.0,56.42
2013-06-30,3088000000.0,0.0,3088000000.0,1233000000.0,1100000000.0,683000000.0,1.6800000000000002,1774000000.0,1100000000.0,402000000.0,4232000000.0,1538000000.0,6357000000.0,33663000000.0,40020000000.0,2194000000.0,4865000000.0,7956000000.0,15089000000.0,19954000000.0,20066000000.0,674000000.0,1396000000.0,-1638000000.0,-1197000000.0,-89000000.0,-2089000000.0,51.88
2013-09-30,2714000000.0,0.0,2714000000.0,1241000000.0,733000000.0,429000000.0,1.06,1424000000.0,733000000.0,402000000.0,4320000000.0,1520000000.0,6315000000.0,34531000000.0,40846000000.0,2112000000.0,4782000000.0,7956000000.0,15452000000.0,20234000000.0,20612000000.0,691000000.0,1601000000.0,-1368000000.0,-498000000.0,-89000000.0,-171000000.0,57.76
2013-12-31,2624000000.0,0.0,2624000000.0,1274000000.0,591000000.0,206000000.0,0.51,1302000000.0,591000000.0,402000000.0,6066000000.0,1609000000.0,8005000000.0,34872000000.0,42877000000.0,4066000000.0,6655000000.0,7956000000.0,15723000000.0,22378000000.0,20499000000.0,711000000.0,1437000000.0,-1436000000.0,-1522000000.0,-89000000.0,1850000000.0,61.87
2014-03-31,3725000000.0,0.0,3725000000.0,2251000000.0,690000000.0,324000000.0,0.8,1429000000.0,690000000.0,403000000.0,2027000000.0,2580000000.0,5020000000.0,47745000000.0,52765000000.0,3773000000.0,7580000000.0,11739000000.0,20139000000.0,27719000000.0,25046000000.0,739000000.0,1410000000.0,-7376000000.0,-7282000000.0,-190000000.0,1844000000.0,66.93
2014-06-30,4510000000.0,0.0,4510000000.0,2927000000.0,1774000000.0,675000000.0,1.65,2602000000.0,1774000000.0,404000000.0,1706000000.0,2301000000.0,4392000000.0,46723000000.0,51115000000.0,475000000.0,4679000000.0,11880000000.0,20377000000.0,25056000000.0,26059000000.0,828000000.0,2049000000.0,753000000.0,800000000.0,-140000000.0,-3194000000.0,79.4
2014-09-30,5336000000.0,0.0,5336000000.0,2700000000.0,1774000000.0,1005000000.0,2.48,2616000000.0,1774000000.0,405000000.0,3408000000.0,2009000000.0,5973000000.0,44866000000.0,50839000000.0,1898000000.0,5994000000.0,10161000000.0,18077000000.0,24071000000.0,26768000000.0,842000000.0,1559000000.0,557000000.0,560000000.0,-144000000.0,-389000000.0,68.18
2014-12-31,7067000000.0,0.0,7067000000.0,2651000000.0,460000000.0,-397000000.0,-1.01,1459000000.0,460000000.0,405000000.0,1480000000.0,2481000000.0,6498000000.0,44139000000.0,50637000000.0,1432000000.0,5935000000.0,9830000000.0,18361000000.0,24296000000.0,26341000000.0,999000000.0,1003000000.0,-2264000000.0,-2262000000.0,-147000000.0,-655000000.0,61.21
2015-03-31,3265000000.0,0.0,3265000000.0,2351000000.0,-5495000000.0,-3600000000.0,-8.88,-4565000000.0,-5495000000.0,406000000.0,1858000000.0,1663000000.0,5806000000.0,39536000000.0,45342000000.0,1448000000.0,5560000000.0,10301000000.0,16763000000.0,22323000000.0,23019000000.0,930000000.0,1648000000.0,-2119000000.0,-2116000000.0,-152000000.0,892000000.0,60.31
2015-06-30,3393000000.0,0.0,3393000000.0,2753000000.0,-4363000000.0,-2817000000.0,-6.94,-3549000000.0,-4363000000.0,406000000.0,1725000000.0,1611000000.0,4730000000.0,35876000000.0,40606000000.0,670000000.0,3998000000.0,11375000000.0,16457000000.0,20455000000.0,20151000000.0,814000000.0,1101000000.0,-1439000000.0,-1447000000.0,-163000000.0,210000000.0,59.49
2015-09-30,3601000000.0,0.0,3601000000.0,2436000000.0,-5444000000.0,-3508000000.0,-8.64,-4700000000.0,-5444000000.0,406000000.0,1787000000.0,1326000000.0,4298000000.0,30053000000.0,34351000000.0,500000000.0,3501000000.0,11400000000.0,14928000000.0,18429000000.0,15922000000.0,744000000.0,1553000000.0,-1166000000.0,-1169000000.0,-167000000.0,-300000000.0,37.09
2015-12-31,2886000000.0,0.0,2886000000.0,2868000000.0,-3766000000.0,-2976000000.0,-11.12,-2157000000.0,-3766000000.0,407000000.0,2310000000.0,1105000000.0,4021000000.0,25430000000.0,29451000000.0,976000000.0,3295000000.0,12056000000.0,15167000000.0,18462000000.0,10989000000.0,1609000000.0,596000000.0,-1063000000.0,-1071000000.0,-168000000.0,1010000000.0,32.0
2016-03-31,2126000000.0,0.0,2126000000.0,1782000000.0,-3500000000.0,-3056000000.0,-6.44,-2939000000.0,-3500000000.0,474000000.0,1635000000.0,1047000000.0,2950000000.0,25687000000.0,28637000000.0,350000000.0,2600000000.0,12195000000.0,15529000000.0,18129000000.0,10508000000.0,561000000.0,165000000.0,-2358000000.0,-2359000000.0,-198000000.0,1493000000.0,27.44
2016-06-30,2488000000.0,0.0,2488000000.0,1976000000.0,-1497000000.0,-1571000000.0,-3.04,-993000000.0,-1497000000.0,518000000.0,1723000000.0,1167000000.0,3982000000.0,23262000000.0,27244000000.0,350000000.0,2929000000.0,12357000000.0,15396000000.0,18325000000.0,8919000000.0,504000000.0,345000000.0,-309000000.0,-335000000.0,-107000000.0,90000000.0,36.25
2016-09-30,4233000000.0,0.0,4233000000.0,2043000000.0,1465000000.0,993000000.0,1.9,1878000000.0,1465000000.0,518000000.0,2385000000.0,1092000000.0,4451000000.0,22362000000.0,26813000000.0,350000000.0,2851000000.0,11004000000.0,13901000000.0,16752000000.0,10061000000.0,413000000.0,727000000.0,2897000000.0,1290000000.0,-109000000.0,-1346000000.0,44.11
2016-12-31,-2094000000.0,0.0,-2094000000.0,-812000000.0,3816000000.0,2578000000.0,0.63,4005000000.0,3816000000.0,507000000.0,1959000000.0,1356000000.0,3772000000.0,24903000000.0,28675000000.0,0.0,2616000000.0,10154000000.0,13337000000.0,15953000000.0,12722000000.0,189000000.0,-403000000.0,557000000.0,2191000000.0,193000000.0,-2407000000.0,45.67
2017-03-31,3551000000.0,457000000.0,3094000000.0,2045000000.0,450000000.0,303000000.0,1.08,1002000000.0,450000000.0,519000000.0,2119000000.0,1320000000.0,3775000000.0,22359000000.0,26134000000.0,0.0,2470000000.0,10381000000.0,12742000000.0,15212000000.0,10922000000.0,552000000.0,746000000.0,-641000000.0,-454000000.0,-113000000.0,-124000000.0,41.72
2017-06-30,2165000000.0,455000000.0,1710000000.0,1030000000.0,284000000.0,219000000.0,0.81,533000000.0,284000000.0,520000000.0,2369000000.0,1248000000.0,4086000000.0,22728000000.0,26814000000.0,0.0,2532000000.0,10558000000.0,12952000000.0,15484000000.0,11330000000.0,249000000.0,409000000.0,-83000000.0,-303000000.0,48000000.0,3000000.0,31.97
2017-09-30,1933000000.0,448000000.0,1485000000.0,1013000000.0,215000000.0,193000000.0,0.43,600000000.0,215000000.0,520000000.0,2781000000.0,1462000000.0,4622000000.0,22937000000.0,27559000000.0,20000000.0,2832000000.0,10383000000.0,12793000000.0,15625000000.0,11934000000.0,385000000.0,501000000.0,-226000000.0,-193000000.0,-30000000.0,-31000000.0,36.71
2017-12-31,-1148000000.0,-569000000.0,-579000000.0,116000000.0,-588000000.0,183000000.0,0.35000000000000003,-739000000.0,-588000000.0,520000000.0,2642000000.0,989000000.0,4791000000.0,25450000000.0,30241000000.0,115000000.0,3315000000.0,6749000000.0,12822000000.0,16137000000.0,14104000000.0,-151000000.0,-413000000.0,-239000000.0,-283000000.0,-32000000.0,-21000000.0,41.4
2018-03-31,2198000000.0,543000000.0,1655000000.0,1072000000.0,142000000.0,-197000000.0,-0.38,557000000.0,142000000.0,520000000.0,1424000000.0,1695000000.0,3635000000.0,25681000000.0,29316000000.0,354000000.0,3482000000.0,9628000000.0,12109000000.0,15591000000.0,13725000000.0,415000000.0,610000000.0,-610000000.0,-610000000.0,-32000000.0,-1252000000.0,31.79
