,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,29600000.0,13100000.0,16500000.0,18100000.0,-10900000.0,-11100000.0,-0.04,-9000000.0,-10900000.0,279200000.0,45300000.0,16300000.0,7500000.0,71300000.0,27500000.0,98800000.0,700000.0,16200000.0,6300000.0,9000000.0,25200000.0,73600000.0,1900000.0,-4500000.0,-1400000.0,12600000.0,0.0,2700000.0,4.18
2013-06-30,35800000.0,13900000.0,21900000.0,20700000.0,-9900000.0,-10100000.0,-0.035,-8000000.0,-9900000.0,283600000.0,46400000.0,17700000.0,7300000.0,74200000.0,28100000.0,102300000.0,1200000.0,21100000.0,5800000.0,8900000.0,30000000.0,72300000.0,1900000.0,900000.0,-2000000.0,6100000.0,0.0,2300000.0,5.61
2013-09-30,42900000.0,15300000.0,27600000.0,21600000.0,-5800000.0,-6000000.0,-0.02,-3900000.0,-5800000.0,285600000.0,47600000.0,21600000.0,10000000.0,81700000.0,28400000.0,110100000.0,1800000.0,27400000.0,5200000.0,8000000.0,35400000.0,74700000.0,1900000.0,1600000.0,-2200000.0,1700000.0,0.0,1900000.0,7.05
2013-12-31,51700000.0,17600000.0,34100000.0,23800000.0,-2300000.0,-2600000.0,-0.01,-300000.0,-2300000.0,284400000.0,54600000.0,26100000.0,9000000.0,93100000.0,29400000.0,122500000.0,2200000.0,32100000.0,4600000.0,6300000.0,38400000.0,84100000.0,2000000.0,4400000.0,-2300000.0,500000.0,0.0,4900000.0,8.85
2014-03-31,47100000.0,17300000.0,29800000.0,27600000.0,-12300000.0,-12500000.0,-0.0425,-10300000.0,-12300000.0,293200000.0,57400000.0,23800000.0,8900000.0,93600000.0,31300000.0,124900000.0,2200000.0,29700000.0,4100000.0,5200000.0,34900000.0,90000000.0,2000000.0,-2400000.0,-3900000.0,-4300000.0,0.0,9200000.0,10.34
2014-06-30,58800000.0,18900000.0,39900000.0,30900000.0,-5800000.0,-6000000.0,-0.02,-3700000.0,-5800000.0,300000000.0,61300000.0,28600000.0,11600000.0,105500000.0,34200000.0,139700000.0,2300000.0,35600000.0,3500000.0,4500000.0,40100000.0,99600000.0,2100000.0,6200000.0,-4000000.0,-4000000.0,0.0,1600000.0,9.91
2014-09-30,69000000.0,21800000.0,47200000.0,33700000.0,-5000000.0,-5200000.0,-0.0175,-2700000.0,-5000000.0,303200000.0,74900000.0,31400000.0,14300000.0,123400000.0,36000000.0,159400000.0,2300000.0,40600000.0,2900000.0,3800000.0,44400000.0,115000000.0,2300000.0,11400000.0,-3700000.0,-3800000.0,0.0,6100000.0,10.0
2014-12-31,84300000.0,24900000.0,59400000.0,36200000.0,1600000.0,1300000.0,0.005,3600000.0,1600000.0,300800000.0,83600000.0,42400000.0,16000000.0,145900000.0,38700000.0,184600000.0,2300000.0,40600000.0,2300000.0,3800000.0,44400000.0,140200000.0,2000000.0,8400000.0,-4600000.0,-4700000.0,0.0,4900000.0,13.76
2015-03-31,72800000.0,26300000.0,46500000.0,39400000.0,-12700000.0,-12900000.0,-0.0425,-10100000.0,-12700000.0,311200000.0,83800000.0,40200000.0,18400000.0,146200000.0,43100000.0,189300000.0,2400000.0,37000000.0,1700000.0,3700000.0,40700000.0,148600000.0,2600000.0,3400000.0,-8000000.0,-25900000.0,0.0,4900000.0,15.59
2015-06-30,93200000.0,27200000.0,66000000.0,45200000.0,-3600000.0,-3700000.0,-0.0125,-900000.0,-3600000.0,318400000.0,97500000.0,45500000.0,22400000.0,170400000.0,48000000.0,218400000.0,2400000.0,44200000.0,1100000.0,3500000.0,47700000.0,170700000.0,2700000.0,16400000.0,-6300000.0,-7200000.0,0.0,4300000.0,20.0
