,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,3498000000.0,2836000000.0,662000000.0,351000000.0,42000000.0,80000000.0,1.8399999999999999,311000000.0,42000000.0,154590000.0,2054000000.0,3199000000.0,5673000000.0,5578000000.0,11251000000.0,234000000.0,3349000000.0,2498000000.0,4742000000.0,8091000000.0,3160000000.0,269000000.0,41000000.0,-94000000.0,-18000000.0,-31000000.0,-156000000.0,24.46
2013-06-30,3254000000.0,2437000000.0,817000000.0,288000000.0,275000000.0,174000000.0,1.04,530000000.0,275000000.0,149854000.0,1929000000.0,2880000000.0,5360000000.0,5506000000.0,10866000000.0,243000000.0,3079000000.0,2461000000.0,4675000000.0,7754000000.0,3112000000.0,255000000.0,213000000.0,-140000000.0,-101000000.0,-30000000.0,-207000000.0,21.75
2013-09-30,3187000000.0,2317000000.0,870000000.0,314000000.0,308000000.0,232000000.0,1.37,555000000.0,308000000.0,148047000.0,2095000000.0,2823000000.0,5327000000.0,5446000000.0,10773000000.0,254000000.0,2837000000.0,2448000000.0,4628000000.0,7465000000.0,3308000000.0,247000000.0,270000000.0,-127000000.0,25000000.0,-30000000.0,-142000000.0,25.71
2013-12-31,3228000000.0,2261000000.0,967000000.0,318000000.0,398000000.0,271000000.0,0.96,649000000.0,398000000.0,146735000.0,2284000000.0,2735000000.0,5408000000.0,5818000000.0,11226000000.0,637000000.0,3382000000.0,2184000000.0,4119000000.0,7501000000.0,3725000000.0,251000000.0,529000000.0,-137000000.0,-301000000.0,-29000000.0,-44000000.0,27.76
2014-03-31,3329000000.0,2257000000.0,1072000000.0,300000000.0,507000000.0,270000000.0,1.19,772000000.0,507000000.0,145953000.0,2443000000.0,2759000000.0,5628000000.0,5761000000.0,11389000000.0,681000000.0,3462000000.0,2207000000.0,3983000000.0,7445000000.0,3944000000.0,265000000.0,565000000.0,-175000000.0,-189000000.0,-30000000.0,-223000000.0,30.22
2014-06-30,3237000000.0,2364000000.0,873000000.0,344000000.0,257000000.0,146000000.0,1.0,529000000.0,257000000.0,145338000.0,2440000000.0,2751000000.0,5649000000.0,5771000000.0,11420000000.0,685000000.0,3411000000.0,2194000000.0,3971000000.0,7382000000.0,4038000000.0,272000000.0,273000000.0,-105000000.0,-114000000.0,-29000000.0,-181000000.0,31.4
2014-09-30,3080000000.0,2207000000.0,873000000.0,346000000.0,275000000.0,151000000.0,1.05,527000000.0,275000000.0,143279000.0,1923000000.0,2664000000.0,5076000000.0,5497000000.0,10573000000.0,569000000.0,3020000000.0,2214000000.0,3834000000.0,6854000000.0,3719000000.0,252000000.0,217000000.0,-130000000.0,-184000000.0,-34000000.0,-475000000.0,30.38
2014-12-31,1949000000.0,1572000000.0,377000000.0,517000000.0,-345000000.0,-314000000.0,-2.23,-107000000.0,-345000000.0,140637000.0,2393000000.0,2435000000.0,5186000000.0,5467000000.0,10653000000.0,554000000.0,3190000000.0,2170000000.0,4108000000.0,7298000000.0,3355000000.0,238000000.0,653000000.0,-94000000.0,-101000000.0,-32000000.0,-23000000.0,31.32
2015-03-31,1910000000.0,1618000000.0,292000000.0,268000000.0,-158000000.0,9000000.0,0.06,57000000.0,-158000000.0,140760000.0,2076000000.0,1682000000.0,4856000000.0,5365000000.0,10221000000.0,883000000.0,3564000000.0,1635000000.0,3692000000.0,7256000000.0,2965000000.0,215000000.0,330000000.0,-96000000.0,-137000000.0,-33000000.0,-399000000.0,32.43
2015-06-30,1804000000.0,1272000000.0,532000000.0,271000000.0,87000000.0,163000000.0,1.16,294000000.0,87000000.0,137920000.0,2199000000.0,2123000000.0,4796000000.0,5320000000.0,10116000000.0,911000000.0,3533000000.0,1707000000.0,3569000000.0,7102000000.0,3014000000.0,207000000.0,362000000.0,-82000000.0,-84000000.0,-32000000.0,-216000000.0,32.61
