,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,3748000000.0,1152000000.0,2596000000.0,1105000000.0,800000000.0,677000000.0,0.52,1129000000.0,800000000.0,1295000000.0,9402000000.0,11790000000.0,22336000000.0,15664000000.0,38000000000.0,411000000.0,11720000000.0,4105000000.0,5168000000.0,16888000000.0,21112000000.0,329000000.0,937000000.0,-299000000.0,-719000000.0,0.0,-411000000.0,22.82
2013-06-30,3877000000.0,1211000000.0,2666000000.0,1190000000.0,750000000.0,640000000.0,0.49,1097000000.0,750000000.0,1297000000.0,10436000000.0,12028000000.0,23446000000.0,15104000000.0,38550000000.0,410000000.0,11670000000.0,4123000000.0,5229000000.0,16899000000.0,21651000000.0,347000000.0,1011000000.0,-353000000.0,-371000000.0,0.0,-352000000.0,21.77
2013-09-30,3892000000.0,1224000000.0,2668000000.0,1170000000.0,799000000.0,689000000.0,0.53,1156000000.0,799000000.0,1295000000.0,10271000000.0,12279000000.0,23476000000.0,16591000000.0,40067000000.0,408000000.0,12028000000.0,4123000000.0,5272000000.0,17300000000.0,22767000000.0,357000000.0,1334000000.0,-317000000.0,-2904000000.0,0.0,-91000000.0,23.48
2013-12-31,4530000000.0,1449000000.0,3081000000.0,1298000000.0,1022000000.0,850000000.0,0.66,649000000.0,1022000000.0,1295000000.0,9025000000.0,12948000000.0,23283000000.0,18205000000.0,41488000000.0,6000000.0,12639000000.0,4117000000.0,5202000000.0,17841000000.0,23647000000.0,-373000000.0,1713000000.0,291000000.0,-2018000000.0,0.0,-500000000.0,23.09
2014-03-31,4262000000.0,1351000000.0,2911000000.0,1270000000.0,878000000.0,-2326000000.0,-1.82,1260000000.0,878000000.0,1276000000.0,7844000000.0,13202000000.0,22359000000.0,18186000000.0,40545000000.0,4000000.0,15741000000.0,4124000000.0,5195000000.0,20936000000.0,19609000000.0,382000000.0,1174000000.0,-206000000.0,532000000.0,0.0,-1793000000.0,23.25
2014-06-30,4103000000.0,1181000000.0,2922000000.0,1333000000.0,854000000.0,676000000.0,0.54,1087000000.0,854000000.0,1258000000.0,7369000000.0,13741000000.0,22378000000.0,19262000000.0,41640000000.0,1203000000.0,17538000000.0,4118000000.0,5132000000.0,22670000000.0,18970000000.0,233000000.0,1494000000.0,-215000000.0,-1661000000.0,0.0,-445000000.0,21.07
2014-09-30,2150000000.0,413000000.0,1737000000.0,827000000.0,596000000.0,673000000.0,0.54,499000000.0,596000000.0,1242000000.0,10391000000.0,13879000000.0,25654000000.0,18822000000.0,44476000000.0,250000000.0,16491000000.0,7346000000.0,8175000000.0,24666000000.0,19810000000.0,-97000000.0,1368000000.0,-1000000.0,-2616000000.0,0.0,2281000000.0,23.83
2014-12-31,2323000000.0,442000000.0,1881000000.0,838000000.0,731000000.0,1023000000.0,0.76,895000000.0,731000000.0,1230000000.0,7835000000.0,600000000.0,26531000000.0,18601000000.0,45132000000.0,850000000.0,17531000000.0,6777000000.0,7695000000.0,25226000000.0,19906000000.0,164000000.0,1641000000.0,-200000000.0,1072000000.0,0.0,-1065000000.0,23.62
2015-03-31,2061000000.0,411000000.0,1650000000.0,821000000.0,529000000.0,626000000.0,0.51,689000000.0,529000000.0,1216000000.0,9679000000.0,15172000000.0,26514000000.0,18327000000.0,44841000000.0,868000000.0,17611000000.0,6795000000.0,7692000000.0,25303000000.0,19538000000.0,160000000.0,1151000000.0,-96000000.0,-724000000.0,0.0,-985000000.0,24.28
2015-06-30,2110000000.0,434000000.0,1676000000.0,941000000.0,428000000.0,83000000.0,0.07,602000000.0,428000000.0,1217000000.0,10554000000.0,12014000000.0,28549000000.0,17109000000.0,45658000000.0,865000000.0,17060000000.0,6757000000.0,8793000000.0,25853000000.0,19805000000.0,174000000.0,1156000000.0,-201000000.0,-1697000000.0,0.0,7000000.0,25.35
