,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,3184000000.0,1104000000.0,2080000000.0,1303000000.0,526000000.0,192000000.0,0.66,777000000.0,526000000.0,292900000.0,132000000.0,1570000000.0,270000000.0,3934000000.0,37802000000.0,41736000000.0,405000000.0,4243000000.0,10556000000.0,25604000000.0,29847000000.0,11889000000.0,251000000.0,-84000000.0,-676000000.0,-663000000.0,-180000000.0,485000000.0,61.03
2013-06-30,2818000000.0,944000000.0,1874000000.0,1233000000.0,386000000.0,172000000.0,0.59,641000000.0,386000000.0,292900000.0,747000000.0,1521000000.0,321000000.0,4103000000.0,37819000000.0,41922000000.0,483000000.0,4504000000.0,10496000000.0,25535000000.0,30039000000.0,11883000000.0,255000000.0,949000000.0,-660000000.0,-549000000.0,-180000000.0,215000000.0,58.31
2013-09-30,3484000000.0,1076000000.0,2408000000.0,1295000000.0,855000000.0,464000000.0,1.58,1113000000.0,855000000.0,292900000.0,74000000.0,1530000000.0,368000000.0,3704000000.0,38260000000.0,41964000000.0,483000000.0,4373000000.0,10495000000.0,25425000000.0,29798000000.0,12166000000.0,258000000.0,373000000.0,-658000000.0,-683000000.0,360000000.0,-363000000.0,55.14
2013-12-31,2868000000.0,930000000.0,1938000000.0,1201000000.0,477000000.0,234000000.0,0.8,737000000.0,477000000.0,292900000.0,674000000.0,1491000000.0,363000000.0,3891000000.0,36756000000.0,40647000000.0,485000000.0,4730000000.0,10489000000.0,23672000000.0,28402000000.0,12245000000.0,260000000.0,1314000000.0,-761000000.0,-764000000.0,-721000000.0,50000000.0,55.28
2014-03-31,3789000000.0,1519000000.0,2270000000.0,1324000000.0,685000000.0,361000000.0,1.23,946000000.0,685000000.0,292900000.0,102000000.0,1776000000.0,303000000.0,3484000000.0,36997000000.0,40481000000.0,285000000.0,3576000000.0,11339000000.0,24479000000.0,28055000000.0,12426000000.0,261000000.0,224000000.0,-606000000.0,-634000000.0,0.0,-162000000.0,53.65
2014-06-30,2911000000.0,968000000.0,1943000000.0,1268000000.0,455000000.0,212000000.0,0.73,720000000.0,455000000.0,292900000.0,774000000.0,1460000000.0,322000000.0,3457000000.0,36854000000.0,40311000000.0,45000000.0,3839000000.0,11085000000.0,24017000000.0,27856000000.0,12455000000.0,265000000.0,1033000000.0,-679000000.0,-599000000.0,-368000000.0,238000000.0,57.74
2014-09-30,3390000000.0,992000000.0,2398000000.0,1309000000.0,819000000.0,436000000.0,1.49,1089000000.0,819000000.0,292900000.0,205000000.0,1478000000.0,343000000.0,3519000000.0,37148000000.0,40667000000.0,210000000.0,3873000000.0,10986000000.0,24078000000.0,27951000000.0,12716000000.0,270000000.0,494000000.0,-698000000.0,-763000000.0,-185000000.0,-300000000.0,56.66
2014-12-31,2829000000.0,1034000000.0,1795000000.0,1270000000.0,250000000.0,83000000.0,0.28,525000000.0,250000000.0,292900000.0,699000000.0,1558000000.0,372000000.0,3716000000.0,40355000000.0,44071000000.0,560000000.0,3757000000.0,11546000000.0,27729000000.0,31486000000.0,12585000000.0,275000000.0,1080000000.0,-544000000.0,-763000000.0,-186000000.0,177000000.0,66.01
2015-03-31,3616000000.0,1300000000.0,2316000000.0,1311000000.0,726000000.0,370000000.0,1.26,1005000000.0,726000000.0,292900000.0,117000000.0,1593000000.0,332000000.0,3398000000.0,40579000000.0,43977000000.0,496000000.0,3407000000.0,11694000000.0,27800000000.0,31207000000.0,12770000000.0,279000000.0,559000000.0,-642000000.0,-667000000.0,-190000000.0,-474000000.0,61.0
2015-06-30,2788000000.0,780000000.0,2008000000.0,1260000000.0,472000000.0,219000000.0,0.75,748000000.0,472000000.0,292900000.0,709000000.0,1339000000.0,321000000.0,3679000000.0,41072000000.0,44751000000.0,460000000.0,3935000000.0,11925000000.0,28019000000.0,31954000000.0,12797000000.0,276000000.0,927000000.0,-815000000.0,-1058000000.0,-190000000.0,723000000.0,57.88
2015-09-30,3443000000.0,955000000.0,2488000000.0,1373000000.0,830000000.0,428000000.0,1.46,1115000000.0,830000000.0,292900000.0,91000000.0,1456000000.0,338000000.0,3505000000.0,41466000000.0,44971000000.0,761000000.0,4429000000.0,11521000000.0,27493000000.0,31922000000.0,13049000000.0,285000000.0,713000000.0,-903000000.0,-962000000.0,-180000000.0,-367000000.0,66.85
