,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,566500000.0,195100000.0,371400000.0,174500000.0,149000000.0,101100000.0,0.84,197100000.0,149000000.0,120500000.0,107600000.0,310400000.0,484800000.0,3902400000.0,4387200000.0,0.0,449700000.0,1445600000.0,1893000000.0,2342700000.0,2044500000.0,48100000.0,66300000.0,-18700000.0,25000000.0,-27600000.0,-128400000.0,57.59
2013-06-30,586900000.0,198200000.0,388700000.0,186500000.0,158100000.0,90500000.0,0.75,202300000.0,158100000.0,121000000.0,104900000.0,318500000.0,512600000.0,3861000000.0,4373600000.0,0.0,375800000.0,1429100000.0,1877800000.0,2253600000.0,2120000000.0,44200000.0,136500000.0,-17500000.0,-16100000.0,-29500000.0,-119000000.0,58.93
2013-09-30,572000000.0,196800000.0,375200000.0,173400000.0,150000000.0,83500000.0,0.73,202300000.0,150000000.0,121600000.0,131900000.0,306200000.0,526500000.0,3863900000.0,4390400000.0,0.0,332400000.0,1427800000.0,1864600000.0,2197000000.0,2193400000.0,52300000.0,174300000.0,-25300000.0,-59500000.0,-32600000.0,-86500000.0,59.85
2013-12-31,578499900.0,197200000.0,381299900.0,181400000.0,154099900.0,76700000.0,0.63,199799900.0,154099900.0,121200000.0,235900000.0,309700000.0,648400000.0,3891500000.0,4539900000.0,0.0,662500000.0,1145500000.0,1536400000.0,2198900000.0,2341000000.0,45700000.0,191900000.0,-21800000.0,-85700000.0,-27500000.0,800000.0,69.09
2014-03-31,584500000.0,206800000.0,377700000.0,175400000.0,151900000.0,83900000.0,0.6900000000000001,202800000.0,151900000.0,122000000.0,101400000.0,337200000.0,524500000.0,4225600000.0,4750100000.0,0.0,794600000.0,1145600000.0,1560000000.0,2354600000.0,2395500000.0,50900000.0,71800000.0,-18500000.0,-354700000.0,-32600000.0,154900000.0,68.03
2014-06-30,613900000.0,212300000.0,401600000.0,183500000.0,167400000.0,92800000.0,0.76,218400000.0,167400000.0,122000000.0,91700000.0,345300000.0,554200000.0,4212100000.0,4766300000.0,0.0,759800000.0,1145600000.0,1565300000.0,2325100000.0,2441200000.0,51000000.0,152800000.0,-19200000.0,-19700000.0,-34900000.0,-144400000.0,72.54
2014-09-30,613400000.0,211000000.0,402400000.0,197800000.0,153700000.0,92700000.0,0.77,205000000.0,153700000.0,121100000.0,115000000.0,324000000.0,550400000.0,4156700000.0,4707100000.0,0.0,766100000.0,1145700000.0,1570000000.0,2336100000.0,2371000000.0,51300000.0,188800000.0,-26200000.0,-25100000.0,-31500000.0,-137200000.0,74.74
2014-12-31,624599900.0,214600000.0,409999800.0,195000000.0,165199900.0,98000000.0,0.8200000000000001,216199900.0,165199900.0,121200000.0,128300000.0,337200000.0,590500000.0,4070500000.0,4661000000.0,0.0,823100000.0,1145700000.0,1603300000.0,2426400000.0,2234600000.0,51000000.0,202800000.0,-22500000.0,-29800000.0,-30100000.0,-156700000.0,80.87
2015-03-31,651800000.0,215100000.0,436700000.0,232900000.0,154200000.0,88300000.0,0.74,204500000.0,154200000.0,119400000.0,95000000.0,362700000.0,585000000.0,4010000000.0,4595000000.0,0.0,790800000.0,1145800000.0,1614500000.0,2405300000.0,2189700000.0,50300000.0,102900000.0,-21600000.0,-26100000.0,-36300000.0,-103600000.0,93.0
2015-06-30,678100000.0,220800000.0,457300000.0,218700000.0,188500000.0,111000000.0,0.9400000000000001,239000000.0,188500000.0,118600000.0,84200000.0,368200000.0,591200000.0,3994300000.0,4585500000.0,0.0,784500000.0,1145800000.0,1594400000.0,2378900000.0,2206600000.0,50500000.0,186700000.0,-33600000.0,-33600000.0,-38700000.0,-164500000.0,97.09
