,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,2632000000.0,853000000.0,1779000000.0,873000000.0,492000000.0,271000000.0,0.8300000000000001,906000000.0,492000000.0,326000000.0,115000000.0,797000000.0,351000000.0,2670000000.0,42485000000.0,45155000000.0,1220000000.0,4279000000.0,8829000000.0,29567000000.0,33846000000.0,11309000000.0,414000000.0,506000000.0,-979000000.0,-1014000000.0,-140000000.0,453000000.0,50.32
2013-06-30,3046000000.0,1157000000.0,1889000000.0,967000000.0,-71000000.0,-94000000.0,-0.29,347000000.0,-71000000.0,326000000.0,148000000.0,815000000.0,267000000.0,3022000000.0,42005000000.0,45027000000.0,1653000000.0,4888000000.0,8830000000.0,29031000000.0,33919000000.0,11108000000.0,418000000.0,755000000.0,-855000000.0,-1015000000.0,-132000000.0,293000000.0,48.16
2013-09-30,3960000000.0,1808000000.0,2152000000.0,971000000.0,789000000.0,438000000.0,1.34,1181000000.0,789000000.0,326000000.0,610000000.0,1174000000.0,272000000.0,3603000000.0,43095000000.0,46698000000.0,1929000000.0,5389000000.0,9232000000.0,29867000000.0,35256000000.0,11442000000.0,392000000.0,809000000.0,-927000000.0,-876000000.0,-140000000.0,529000000.0,46.06
2013-12-31,2943000000.0,1073000000.0,1870000000.0,662000000.0,505000000.0,300000000.0,0.92,977000000.0,505000000.0,326000000.0,146000000.0,838000000.0,256000000.0,3312000000.0,43334000000.0,46646000000.0,810000000.0,4881000000.0,9825000000.0,30074000000.0,34955000000.0,11691000000.0,472000000.0,897000000.0,-657000000.0,-667000000.0,-129000000.0,-694000000.0,46.3
2014-03-31,2926000000.0,1143000000.0,1783000000.0,811000000.0,331000000.0,176000000.0,0.54,763000000.0,331000000.0,326000000.0,149000000.0,725000000.0,268000000.0,3520000000.0,43868000000.0,47388000000.0,1212000000.0,4557000000.0,9825000000.0,30829000000.0,35386000000.0,12002000000.0,432000000.0,565000000.0,-940000000.0,-1042000000.0,-146000000.0,480000000.0,56.61
2014-06-30,3016000000.0,1239000000.0,1777000000.0,788000000.0,575000000.0,536000000.0,1.6400000000000001,1007000000.0,575000000.0,326000000.0,190000000.0,1034000000.0,277000000.0,4551000000.0,44313000000.0,48864000000.0,2153000000.0,5773000000.0,9926000000.0,30688000000.0,36461000000.0,12403000000.0,432000000.0,43000000.0,-916000000.0,-890000000.0,-139000000.0,888000000.0,58.11
2014-09-30,4356000000.0,2182000000.0,2174000000.0,879000000.0,874000000.0,480000000.0,1.47,1322000000.0,874000000.0,326000000.0,142000000.0,1218000000.0,275000000.0,4498000000.0,44977000000.0,49475000000.0,2053000000.0,5849000000.0,10133000000.0,30868000000.0,36717000000.0,12758000000.0,448000000.0,1419000000.0,-1000000000.0,-1004000000.0,-150000000.0,-463000000.0,55.92
2014-12-31,3115000000.0,1029000000.0,2086000000.0,993000000.0,692000000.0,420000000.0,1.29,1195000000.0,692000000.0,326000000.0,132000000.0,790000000.0,281000000.0,3567000000.0,46167000000.0,49734000000.0,1795000000.0,5479000000.0,10234000000.0,31273000000.0,36752000000.0,12982000000.0,503000000.0,1221000000.0,-1050000000.0,-971000000.0,-139000000.0,-260000000.0,65.48
2015-03-31,2512000000.0,786000000.0,1726000000.0,725000000.0,538000000.0,299000000.0,0.92,1023000000.0,538000000.0,326000000.0,115000000.0,752000000.0,290000000.0,3780000000.0,46798000000.0,50578000000.0,1440000000.0,4571000000.0,11133000000.0,32909000000.0,37480000000.0,13098000000.0,485000000.0,964000000.0,-1268000000.0,-1294000000.0,-170000000.0,313000000.0,62.47
2015-06-30,2908000000.0,1078000000.0,1830000000.0,825000000.0,524000000.0,379000000.0,1.16,1026000000.0,524000000.0,326000000.0,139000000.0,768000000.0,276000000.0,3906000000.0,47333000000.0,51239000000.0,1619000000.0,4836000000.0,11265000000.0,33056000000.0,37892000000.0,13347000000.0,502000000.0,804000000.0,-929000000.0,-940000000.0,-158000000.0,160000000.0,55.58
2015-09-30,3763000000.0,1785000000.0,1978000000.0,864000000.0,608000000.0,421000000.0,1.29,1136000000.0,608000000.0,326000000.0,134000000.0,1211000000.0,270000000.0,3792000000.0,47478000000.0,51270000000.0,1449000000.0,5239000000.0,10957000000.0,32411000000.0,37650000000.0,13620000000.0,528000000.0,1065000000.0,-937000000.0,-623000000.0,-171000000.0,-447000000.0,63.07
2015-12-31,2341000000.0,617000000.0,1724000000.0,912000000.0,338000000.0,-79000000.0,-0.24,828000000.0,338000000.0,326000000.0,161000000.0,771000000.0,267000000.0,2654000000.0,47575000000.0,50229000000.0,990000000.0,4927000000.0,10883000000.0,31914000000.0,36841000000.0,13388000000.0,490000000.0,1676000000.0,-1091000000.0,-1035000000.0,-161000000.0,-614000000.0,59.21
2016-03-31,2440000000.0,794000000.0,1646000000.0,721000000.0,448000000.0,281000000.0,0.8200000000000001,947000000.0,448000000.0,326000000.0,137000000.0,649000000.0,268000000.0,2427000000.0,48032000000.0,50459000000.0,658000000.0,4233000000.0,11243000000.0,32595000000.0,36828000000.0,13631000000.0,499000000.0,855000000.0,-951000000.0,-834000000.0,-191000000.0,-45000000.0,71.89
2016-06-30,2777000000.0,1064000000.0,1713000000.0,806000000.0,381000000.0,280000000.0,0.85,907000000.0,381000000.0,326000000.0,111000000.0,801000000.0,308000000.0,2659000000.0,48538000000.0,51197000000.0,1496000000.0,5149000000.0,10845000000.0,32300000000.0,37449000000.0,13748000000.0,526000000.0,577000000.0,-877000000.0,-847000000.0,-183000000.0,244000000.0,77.67
2016-09-30,3767000000.0,1719000000.0,2048000000.0,832000000.0,695000000.0,421000000.0,1.29,1245000000.0,695000000.0,326000000.0,84000000.0,999000000.0,310000000.0,2605000000.0,48952000000.0,51557000000.0,1638000000.0,5342000000.0,10407000000.0,32210000000.0,37552000000.0,14005000000.0,550000000.0,1070000000.0,-945000000.0,-796000000.0,-193000000.0,-301000000.0,72.25
2016-12-31,2885000000.0,950000000.0,1935000000.0,893000000.0,538000000.0,329000000.0,1.06,1061000000.0,538000000.0,326000000.0,96000000.0,715000000.0,239000000.0,2123000000.0,49196000000.0,51319000000.0,2288000000.0,5912000000.0,10175000000.0,31220000000.0,37132000000.0,14187000000.0,523000000.0,752000000.0,-976000000.0,-926000000.0,-182000000.0,197000000.0,71.99
2017-03-31,2463000000.0,784000000.0,1679000000.0,704000000.0,471000000.0,362000000.0,1.11,991000000.0,471000000.0,326000000.0,150000000.0,688000000.0,237000000.0,2046000000.0,49694000000.0,51740000000.0,1276000000.0,4416000000.0,11662000000.0,33082000000.0,37498000000.0,14242000000.0,520000000.0,884000000.0,-944000000.0,-941000000.0,-214000000.0,112000000.0,79.61
2017-06-30,2965000000.0,1175000000.0,1790000000.0,792000000.0,470000000.0,278000000.0,0.85,998000000.0,470000000.0,326000000.0,98000000.0,833000000.0,235000000.0,2546000000.0,50207000000.0,52753000000.0,1147000000.0,4602000000.0,11662000000.0,33351000000.0,37953000000.0,14800000000.0,528000000.0,554000000.0,-815000000.0,-721000000.0,-202000000.0,111000000.0,78.19
2017-09-30,3672000000.0,1783000000.0,1889000000.0,819000000.0,553000000.0,470000000.0,1.44,1096000000.0,553000000.0,326000000.0,117000000.0,1105000000.0,229000000.0,2758000000.0,50834000000.0,53592000000.0,1491000000.0,5409000000.0,11638000000.0,33573000000.0,38982000000.0,14610000000.0,543000000.0,1260000000.0,-915000000.0,-841000000.0,-214000000.0,-399000000.0,77.17
