,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,2291800000.0,443100000.0,1848700000.0,1605300000.0,245099900.0,178800000.0,0.46,335499800.0,245099900.0,387200000.0,1438600000.0,1361900000.0,989300000.0,4286200000.0,2808900000.0,7095100000.0,20000000.0,1915900000.0,1329200000.0,1972400000.0,3888300000.0,3206800000.0,90400000.0,279100000.0,-100100000.0,-94600000.0,-69800000.0,-64000000.0,64.03
2013-06-30,2407400000.0,475600000.0,1931800000.0,1765200000.0,145801800.0,94000000.0,0.24,253201800.0,145801300.0,387600000.0,1495700000.0,1171700000.0,1113900000.0,4297200000.0,2848000000.0,7145200000.0,18300000.0,1934600000.0,1326000000.0,1908700000.0,3843300000.0,3301900000.0,107400000.0,292100000.0,-155500000.0,-154700000.0,-69900000.0,-75000000.0,65.77
2013-09-30,2675000000.0,544100000.0,2130900000.0,1680200000.0,449500200.0,300700000.0,0.78,538400300.0,449500200.0,387800000.0,1322200000.0,1566700000.0,1196300000.0,4632400000.0,2888100000.0,7520500000.0,15900000.0,1987600000.0,1324700000.0,1920400000.0,3908000000.0,3612500000.0,88900000.0,29900000.0,-85700000.0,-94900000.0,-69800000.0,-114900000.0,69.9
2013-12-31,3018700000.0,581600000.0,2437100000.0,1784200000.0,656300000.0,432500000.0,1.11,751800000.0,656300000.0,388300000.0,1748000000.0,1501000000.0,1145900000.0,4925600000.0,2915600000.0,7841200000.0,15900000.0,2039100000.0,1322900000.0,1919000000.0,3958100000.0,3883100000.0,95500000.0,752500000.0,-131200000.0,-131800000.0,-78600000.0,-188200000.0,75.32
2014-03-31,2549800000.0,498700000.0,2051100000.0,1709500000.0,341600100.0,213200000.0,0.55,437200100.0,341600100.0,385800000.0,1530200000.0,1399000000.0,1215400000.0,4691800000.0,2954200000.0,7646000000.0,18400000.0,2039300000.0,1327700000.0,1924300000.0,3963600000.0,3682400000.0,95600000.0,387000000.0,-125900000.0,-117500000.0,-76800000.0,-441600000.0,66.88
2014-06-30,2725300000.0,533800000.0,2191500000.0,1812000000.0,380200400.0,257700000.0,0.67,484800400.0,380200200.0,386200000.0,1629100000.0,1379300000.0,1294000000.0,4825200000.0,3043600000.0,7868800000.0,18400000.0,2056700000.0,1324700000.0,1942700000.0,3999400000.0,3869400000.0,104600000.0,365800000.0,-167400000.0,-167400000.0,-76600000.0,-112200000.0,74.26
2014-09-30,2631000000.0,536600000.0,2094400000.0,1746400000.0,348000000.0,228100000.0,0.6000000000000001,448600000.0,348000000.0,381800000.0,1395400000.0,1502100000.0,1257000000.0,4727900000.0,2936400000.0,7664300000.0,14000000.0,1941700000.0,1319000000.0,1928400000.0,3870100000.0,3794200000.0,100600000.0,127700000.0,-78700000.0,-80300000.0,-77500000.0,-272600000.0,74.72
2014-12-31,3044500000.0,573100000.0,2471400000.0,1838600000.0,632800000.0,435700000.0,1.15,730800000.0,632800000.0,380000000.0,1372000000.0,1399000000.0,1112300000.0,4426000000.0,3430600000.0,7856600000.0,68500000.0,2044200000.0,1320700000.0,1983100000.0,4027300000.0,3829300000.0,98000000.0,866000000.0,-108700000.0,-710600000.0,-91400000.0,-295500000.0,76.2
2015-03-31,2580500000.0,502900000.0,2077600000.0,1680400000.0,397200000.0,272100000.0,0.72,497200000.0,397200000.0,378500000.0,1425000000.0,1350200000.0,1073100000.0,4429200000.0,3665900000.0,8095100000.0,135300000.0,2097400000.0,1317500000.0,2132800000.0,4230200000.0,3864900000.0,100000000.0,391300000.0,-92400000.0,-241300000.0,-90900000.0,-86300000.0,83.16
2015-06-30,2524000000.0,487400000.0,2036600000.0,1808600000.0,228000000.0,153100000.0,0.41000000000000003,338400000.0,228000000.0,379300000.0,1525100000.0,1174500000.0,1215800000.0,4183600000.0,4043300000.0,8226900000.0,29800000.0,2129800000.0,1595100000.0,2442800000.0,4572600000.0,3654300000.0,110400000.0,558000000.0,-193200000.0,-583800000.0,-90200000.0,-240600000.0,86.66
2015-09-30,2835000000.0,577000000.0,2258000000.0,1805000000.0,453000000.0,309000000.0,0.8300000000000001,551000000.0,453000000.0,372500000.0,1079300000.0,1539200000.0,1176700000.0,4383300000.0,4042100000.0,8425400000.0,453700000.0,2454300000.0,1612500000.0,2469100000.0,4923400000.0,3502000000.0,98000000.0,8000000.0,-90000000.0,-564000000.0,-90000000.0,-44000000.0,80.68
2015-12-31,3124000000.0,589000000.0,2535000000.0,1886000000.0,630000000.0,447000000.0,1.21,734000000.0,630000000.0,369600000.0,1414200000.0,1410600000.0,1077400000.0,4475800000.0,4106300000.0,8582100000.0,374400000.0,2479400000.0,1607300000.0,2487200000.0,4966600000.0,3615500000.0,104000000.0,954000000.0,-133000000.0,-80000000.0,-111000000.0,-409000000.0,88.06
2016-03-31,2657000000.0,504000000.0,2153000000.0,1754000000.0,384000000.0,265000000.0,0.72,487000000.0,384000000.0,369100000.0,1073800000.0,1416600000.0,1150500000.0,4252300000.0,4564000000.0,8816300000.0,312800000.0,2433700000.0,1612500000.0,2560200000.0,4993900000.0,3822400000.0,103000000.0,354000000.0,-111000000.0,-453000000.0,-111000000.0,-212000000.0,94.31
