,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,2307000000.0,1691000000.0,616000000.0,171000000.0,393000000.0,247000000.0,1.6,503000000.0,393000000.0,154400000.0,178000000.0,1172000000.0,1301000000.0,2737000000.0,8950000000.0,11687000000.0,0.0,1293000000.0,4779000000.0,7206000000.0,8499000000.0,3188000000.0,110000000.0,5000000.0,-88000000.0,-83000000.0,-4000000.0,10000000.0,69.87
2013-06-30,2440000000.0,1763000000.0,677000000.0,180000000.0,428000000.0,264000000.0,1.71,536000000.0,428000000.0,154400000.0,234000000.0,1226000000.0,1286000000.0,2838000000.0,8924000000.0,11762000000.0,0.0,1309000000.0,4679000000.0,7080000000.0,8389000000.0,3373000000.0,108000000.0,362000000.0,-95000000.0,-108000000.0,-50000000.0,-200000000.0,70.01
2013-09-30,2338000000.0,1649000000.0,689000000.0,159000000.0,479000000.0,308000000.0,2.0,587000000.0,479000000.0,154000000.0,222000000.0,1148000000.0,1274000000.0,2767000000.0,8960000000.0,11727000000.0,0.0,1323000000.0,4429000000.0,6735000000.0,8058000000.0,3669000000.0,108000000.0,427000000.0,-125000000.0,-117000000.0,-50000000.0,-327000000.0,77.9
2013-12-31,2265000000.0,1471000000.0,794000000.0,135000000.0,562000000.0,346000000.0,2.26,669000000.0,562000000.0,154000000.0,237000000.0,1088000000.0,1264000000.0,2840000000.0,9005000000.0,11845000000.0,0.0,1470000000.0,4254000000.0,6500000000.0,7970000000.0,3875000000.0,107000000.0,503000000.0,-175000000.0,-149000000.0,-46000000.0,-342000000.0,80.7
2014-03-31,2305000000.0,1710000000.0,595000000.0,168000000.0,361000000.0,233000000.0,1.54,468000000.0,361000000.0,151400000.0,185000000.0,1167000000.0,1377000000.0,2949000000.0,8998000000.0,11947000000.0,0.0,1259000000.0,4635000000.0,6880000000.0,8139000000.0,3808000000.0,107000000.0,-30000000.0,-123000000.0,-119000000.0,-56000000.0,98000000.0,86.21
2014-06-30,2460000000.0,1803000000.0,657000000.0,172000000.0,436000000.0,292000000.0,1.96,546000000.0,436000000.0,149500000.0,175000000.0,1226000000.0,1354000000.0,2986000000.0,9252000000.0,12238000000.0,0.0,1274000000.0,4773000000.0,7005000000.0,8279000000.0,3959000000.0,110000000.0,419000000.0,-120000000.0,-405000000.0,-59000000.0,-27000000.0,87.35
2014-09-30,2413000000.0,1777000000.0,636000000.0,171000000.0,338000000.0,210000000.0,1.4100000000000001,449000000.0,338000000.0,148700000.0,212000000.0,1126000000.0,1358000000.0,2890000000.0,9245000000.0,12135000000.0,0.0,1398000000.0,4563000000.0,6758000000.0,8156000000.0,3979000000.0,111000000.0,560000000.0,-152000000.0,-194000000.0,-53000000.0,-322000000.0,80.89
2014-12-31,2349000000.0,2016000000.0,333000000.0,244000000.0,27000000.0,16000000.0,0.11,149000000.0,27000000.0,149500000.0,214000000.0,1200000000.0,1509000000.0,3173000000.0,12899000000.0,16072000000.0,0.0,2022000000.0,7248000000.0,10460000000.0,12482000000.0,3590000000.0,122000000.0,484000000.0,-185000000.0,-3373000000.0,-51000000.0,2890000000.0,75.86
2015-03-31,2443000000.0,1787000000.0,656000000.0,180000000.0,311000000.0,171000000.0,1.15,456000000.0,311000000.0,148700000.0,196000000.0,1216000000.0,1447000000.0,3166000000.0,12668000000.0,15834000000.0,0.0,1764000000.0,7293000000.0,10548000000.0,12312000000.0,3522000000.0,145000000.0,91000000.0,-121000000.0,-122000000.0,-61000000.0,17000000.0,69.26
2015-06-30,2533000000.0,1813000000.0,720000000.0,194000000.0,469000000.0,297000000.0,2.0,611000000.0,469000000.0,148600000.0,268000000.0,1188000000.0,1439000000.0,3167000000.0,12719000000.0,15886000000.0,0.0,1821000000.0,7072000000.0,10220000000.0,12041000000.0,3845000000.0,142000000.0,591000000.0,-141000000.0,-143000000.0,-61000000.0,-376000000.0,81.82
2015-09-30,2447000000.0,1752000000.0,695000000.0,183000000.0,432000000.0,256000000.0,1.73,574000000.0,432000000.0,148600000.0,309000000.0,1120000000.0,1484000000.0,3182000000.0,12698000000.0,15880000000.0,0.0,1800000000.0,7029000000.0,10124000000.0,11924000000.0,3956000000.0,142000000.0,368000000.0,-160000000.0,-202000000.0,-63000000.0,-122000000.0,64.72
2015-12-31,2225000000.0,1716000000.0,509000000.0,214000000.0,172000000.0,124000000.0,0.8300000000000001,314000000.0,172000000.0,148600000.0,293000000.0,1038000000.0,1479000000.0,2878000000.0,12702000000.0,15580000000.0,0.0,2056000000.0,6577000000.0,9503000000.0,11559000000.0,4021000000.0,142000000.0,574000000.0,-226000000.0,-226000000.0,-59000000.0,-363000000.0,67.51
2016-03-31,2236000000.0,1602000000.0,634000000.0,183000000.0,399000000.0,251000000.0,1.7000000000000002,546000000.0,399000000.0,147800000.0,202000000.0,1106000000.0,1493000000.0,2863000000.0,12753000000.0,15616000000.0,0.0,1847000000.0,6565000000.0,9484000000.0,11331000000.0,4285000000.0,147000000.0,51000000.0,-104000000.0,-126000000.0,-68000000.0,-16000000.0,72.23
2016-06-30,2297000000.0,1692000000.0,605000000.0,174000000.0,376000000.0,255000000.0,1.73,520000000.0,376000000.0,147800000.0,240000000.0,1177000000.0,1445000000.0,2930000000.0,12652000000.0,15582000000.0,0.0,2189000000.0,6082000000.0,8940000000.0,11129000000.0,4453000000.0,144000000.0,494000000.0,-89000000.0,-86000000.0,-72000000.0,-369000000.0,67.9
2016-09-30,2287000000.0,1666000000.0,621000000.0,181000000.0,356000000.0,232000000.0,1.57,501000000.0,356000000.0,147200000.0,207000000.0,1163000000.0,1471000000.0,2900000000.0,12589000000.0,15489000000.0,0.0,2206000000.0,5933000000.0,8767000000.0,10973000000.0,4516000000.0,145000000.0,450000000.0,-182000000.0,-147000000.0,-72000000.0,-336000000.0,67.68
