,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,5960000000.0,3587000000.0,2373000000.0,1426000000.0,947000000.0,561000000.0,0.77,1152000000.0,947000000.0,720500000.0,2615000000.0,4559000000.0,2327000000.0,10189000000.0,13535000000.0,23724000000.0,1485000000.0,6644000000.0,4059000000.0,6406000000.0,13050000000.0,10674000000.0,205000000.0,574000000.0,-97000000.0,-123000000.0,-296000000.0,-342000000.0,55.87
2013-06-30,6344000000.0,3776000000.0,2568000000.0,1396000000.0,669000000.0,194000000.0,0.27,1345000000.0,669000000.0,716900000.0,2810000000.0,4725000000.0,2304000000.0,10506000000.0,13007000000.0,23513000000.0,1486000000.0,6950000000.0,4059000000.0,6299000000.0,13249000000.0,10264000000.0,676000000.0,990000000.0,-140000000.0,-188000000.0,-295000000.0,-598000000.0,54.54
2013-09-30,6812000000.0,4008000000.0,2804000000.0,1432000000.0,1347000000.0,795000000.0,1.1,1575000000.0,1347000000.0,717700000.0,3275000000.0,4808000000.0,1895000000.0,10999000000.0,13712000000.0,24711000000.0,1587000000.0,7625000000.0,4055000000.0,6368000000.0,13993000000.0,10718000000.0,228000000.0,1446000000.0,-241000000.0,-259000000.0,-293000000.0,-735000000.0,64.7
2013-12-31,5606000000.0,3370000000.0,2236000000.0,1444000000.0,792000000.0,462000000.0,0.65,1001000000.0,792000000.0,703500000.0,2737000000.0,4429000000.0,2162000000.0,9999000000.0,14125000000.0,24124000000.0,1958000000.0,7108000000.0,3834000000.0,6133000000.0,13241000000.0,10883000000.0,209000000.0,691000000.0,-236000000.0,-555000000.0,-304000000.0,-675000000.0,70.18
2014-03-31,5812000000.0,3417000000.0,2395000000.0,1394000000.0,1001000000.0,547000000.0,0.77,1211000000.0,1001000000.0,701700000.0,2724000000.0,4563000000.0,2233000000.0,10203000000.0,14143000000.0,24346000000.0,2661000000.0,7832000000.0,3836000000.0,5989000000.0,13821000000.0,10525000000.0,210000000.0,575000000.0,-161000000.0,-205000000.0,-302000000.0,-369000000.0,66.8
2014-06-30,6312000000.0,3674000000.0,2638000000.0,1424000000.0,1214000000.0,728000000.0,1.03,1418000000.0,1214000000.0,699600000.0,3049000000.0,4772000000.0,2253000000.0,10813000000.0,14302000000.0,25115000000.0,2975000000.0,8533000000.0,3565000000.0,5709000000.0,14242000000.0,10873000000.0,204000000.0,1018000000.0,-176000000.0,-266000000.0,-304000000.0,-431000000.0,66.36
2014-09-30,3000000.0,-490000000.0,493000000.0,-98000000.0,591000000.0,410000000.0,0.58,537000000.0,591000000.0,700200000.0,3149000000.0,5019000000.0,2057000000.0,10867000000.0,13310000000.0,24177000000.0,2465000000.0,8454000000.0,3559000000.0,5556000000.0,14010000000.0,10167000000.0,-54000000.0,1408000000.0,-78000000.0,-133000000.0,-300000000.0,-1084000000.0,62.58
2014-12-31,5587000000.0,3307000000.0,2280000000.0,1405000000.0,875000000.0,525000000.0,0.75,1082000000.0,875000000.0,691400000.0,3122000000.0,4404000000.0,2121000000.0,10483000000.0,13241000000.0,23724000000.0,3484000000.0,8877000000.0,3289000000.0,5291000000.0,14168000000.0,9556000000.0,207000000.0,571000000.0,-207000000.0,-376000000.0,-326000000.0,-146000000.0,61.73
2015-03-31,5400000000.0,3234000000.0,2166000000.0,1318000000.0,848000000.0,973000000.0,1.42,1053000000.0,848000000.0,680900000.0,3256000000.0,4299000000.0,2107000000.0,10344000000.0,12624000000.0,22968000000.0,3358000000.0,8770000000.0,3272000000.0,5230000000.0,14000000000.0,8968000000.0,205000000.0,358000000.0,-152000000.0,1177000000.0,-321000000.0,-1269000000.0,56.62
2015-06-30,5503000000.0,3269000000.0,2234000000.0,1276000000.0,958000000.0,564000000.0,0.84,1159000000.0,958000000.0,665700000.0,3393000000.0,4272000000.0,2144000000.0,10644000000.0,12820000000.0,23464000000.0,3179000000.0,8312000000.0,4290000000.0,6353000000.0,14665000000.0,8799000000.0,201000000.0,499000000.0,-157000000.0,-254000000.0,-313000000.0,-157000000.0,55.43
