,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,45577000.0,33376000.0,12201000.0,12886000.0,-9711000.0,-10406000.0,-0.25,-8051000.0,-9711000.0,41149000.0,36434000.0,24908000.0,22309000.0,86143000.0,26922000.0,113065000.0,2440000.0,31086000.0,8046000.0,33870000.0,64956000.0,48109000.0,1660000.0,-6972000.0,-1682000.0,-1682000.0,0.0,-28000.0,6.2
2013-06-30,58167000.0,41883000.0,16284000.0,13291000.0,-5491000.0,-6396000.0,-0.15,-3782000.0,-5491000.0,41617000.0,33976000.0,32104000.0,17906000.0,86694000.0,26654000.0,113348000.0,3365000.0,33983000.0,6531000.0,35018000.0,69001000.0,44347000.0,1709000.0,-990000.0,-1785000.0,-1785000.0,0.0,326000.0,7.73
2013-09-30,62046000.0,44611000.0,17435000.0,14487000.0,-5345000.0,-6301000.0,-0.15,-3592000.0,-5345000.0,41777000.0,31778000.0,34744000.0,24392000.0,94067000.0,26243000.0,120310000.0,3432000.0,42424000.0,5861000.0,37553000.0,79977000.0,40333000.0,1753000.0,-489000.0,-1419000.0,-1419000.0,0.0,-481000.0,8.12
2013-12-31,67056000.0,45560000.0,21496000.0,14386000.0,-1611000.0,-2810000.0,-0.07,248000.0,-1611000.0,41647000.0,38190000.0,32084000.0,16580000.0,90509000.0,26160000.0,116669000.0,3507000.0,33365000.0,5170000.0,43098000.0,76463000.0,40206000.0,1859000.0,7579000.0,-1371000.0,-1371000.0,0.0,125000.0,6.34
2014-03-31,57580000.0,38925000.0,18655000.0,15354000.0,-5785000.0,-6236000.0,-0.15,-3875000.0,-5785000.0,42205000.0,39935000.0,28450000.0,14113000.0,86781000.0,26379000.0,113160000.0,3370000.0,34095000.0,4457000.0,42627000.0,76722000.0,36438000.0,1910000.0,4281000.0,-2172000.0,-2172000.0,0.0,-412000.0,7.36
2014-06-30,82004000.0,55172000.0,26832000.0,18172000.0,-2488000.0,-3031000.0,-0.07,-496000.0,-2488000.0,42648000.0,37621000.0,46537000.0,15724000.0,105470000.0,26613000.0,132083000.0,2805000.0,51956000.0,3726000.0,42973000.0,94929000.0,37154000.0,1992000.0,-147000.0,-2161000.0,-2161000.0,0.0,-64000.0,8.55
2014-09-30,99113000.0,66592000.0,32521000.0,18516000.0,1893000.0,813000.0,0.02,3995000.0,1893000.0,43128000.0,44537000.0,49270000.0,15488000.0,114489000.0,30235000.0,144724000.0,2888000.0,57953000.0,2973000.0,44309000.0,102262000.0,42462000.0,2102000.0,11208000.0,-5503000.0,-5503000.0,0.0,1587000.0,14.99
2014-12-31,105207000.0,70172000.0,35035000.0,20044000.0,1951000.0,402000.0,0.01,4689000.0,1951000.0,42903000.0,42032000.0,45119000.0,21590000.0,114896000.0,37296000.0,152192000.0,0.0,58706000.0,0.0,46534000.0,105240000.0,46952000.0,2738000.0,8880000.0,-3413000.0,-6698000.0,0.0,-4453000.0,14.29
2015-03-31,86653000.0,58629000.0,28024000.0,20142000.0,-5548000.0,-6320000.0,-0.14,-3016000.0,-5548000.0,43950000.0,27127000.0,45870000.0,34746000.0,114830000.0,38660000.0,153490000.0,0.0,62292000.0,0.0,47217000.0,109509000.0,43981000.0,2532000.0,-11498000.0,-3611000.0,-3611000.0,0.0,677000.0,13.19
2015-06-30,102093000.0,69066000.0,33027000.0,20610000.0,-369000.0,-603000.0,-0.01,2153000.0,-369000.0,44319000.0,31887000.0,67315000.0,34054000.0,141332000.0,39966000.0,181298000.0,0.0,83688000.0,0.0,48862000.0,132550000.0,48748000.0,2522000.0,-11773000.0,-2649000.0,-2649000.0,0.0,19067000.0,7.61
2015-09-30,102874000.0,71408000.0,31466000.0,17628000.0,1779000.0,624000.0,0.01,4549000.0,1779000.0,44734000.0,22491000.0,75322000.0,36717000.0,141610000.0,41353000.0,182963000.0,0.0,79139000.0,0.0,50858000.0,129997000.0,52966000.0,2770000.0,-6038000.0,-3422000.0,-3422000.0,0.0,122000.0,3.7
2015-12-31,65629000.0,49929000.0,15700000.0,18327000.0,-15171000.0,-15783000.0,-0.35000000000000003,-12293000.0,-15171000.0,44632000.0,28452000.0,46099000.0,40800000.0,121768000.0,43760000.0,165528000.0,0.0,72848000.0,0.0,51231000.0,124079000.0,41449000.0,2878000.0,8149000.0,-2843000.0,-2780000.0,0.0,698000.0,3.51
2016-03-31,64121000.0,52361000.0,11760000.0,17782000.0,-19088000.0,-18795000.0,-0.41000000000000003,-16380000.0,-19088000.0,46209000.0,13016000.0,47056000.0,45576000.0,112885000.0,45635000.0,158520000.0,0.0,79946000.0,0.0,53014000.0,132960000.0,25560000.0,2708000.0,-15249000.0,-3348000.0,-3348000.0,0.0,3046000.0,2.33
