,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,3356514000.0,0.0,3356514000.0,1575326000.0,833074000.0,494725000.0,0.92,1679462000.0,833074000.0,538717000.0,1108034000.0,1915637000.0,697478000.0,4081018000.0,24151600000.0,28232610000.0,406579000.0,3074691000.0,5905917000.0,11401610000.0,14476300000.0,13756310000.0,846388000.0,1424935000.0,-1216888000.0,-1159739000.0,-46220000.0,-38722000.0,64.04
2013-06-30,3840185000.0,0.0,3840185000.0,1716570000.0,1092044000.0,659692000.0,1.22,2002575000.0,1092044000.0,540033000.0,1228016000.0,1832404000.0,657400000.0,4240840000.0,24836310000.0,29077150000.0,406579000.0,3020303000.0,5906210000.0,11672220000.0,14692530000.0,14384630000.0,910531000.0,1890777000.0,-1636778000.0,-1726891000.0,-50786000.0,-39321000.0,65.84
2013-09-30,3541396000.0,0.0,3541396000.0,1697933000.0,769769000.0,462498000.0,0.855,1698569000.0,769769000.0,540941000.0,1318817000.0,1891813000.0,566004000.0,4191967000.0,25955300000.0,30147270000.0,406579000.0,3347333000.0,5906494000.0,11938360000.0,15285690000.0,14861580000.0,928800000.0,2012472000.0,-1914532000.0,-1876713000.0,-50725000.0,-49229000.0,84.64
2013-12-31,3749024000.0,0.0,3749024000.0,1698160000.0,980323500.0,580193800.0,1.07,1895581000.0,980323000.0,540341000.0,1318209000.0,1663650000.0,563268000.0,4072015000.0,26502220000.0,30574240000.0,6579000.0,2861716000.0,5906642000.0,12294060000.0,15155780000.0,15418460000.0,915257000.0,2001230000.0,-1531872000.0,-1551435000.0,-51447000.0,-446654000.0,83.92
2014-03-31,4083671000.0,0.0,4083671000.0,1883134000.0,1084279000.0,660928000.0,1.22,2030770000.0,1084279000.0,542278000.0,1667212000.0,1801856000.0,635419000.0,4822476000.0,27318810000.0,32141290000.0,6579000.0,3395642000.0,5902952000.0,12712330000.0,16107970000.0,16033310000.0,946491000.0,2267673000.0,-1882771000.0,-1823560000.0,-51780000.0,-90014000.0,98.08
2014-06-30,4187556000.0,0.0,4187556000.0,1959423000.0,1144730000.0,706353000.0,1.3,2141332000.0,1144730000.0,543099000.0,1230140000.0,1926775000.0,667108000.0,4724745000.0,28577690000.0,33302430000.0,6579000.0,3537487000.0,5903099000.0,13056560000.0,16594050000.0,16708390000.0,996602000.0,1934575000.0,-2170175000.0,-2289004000.0,-67904000.0,-84184000.0,116.86
2014-09-30,5118616000.0,0.0,5118616000.0,2171580000.0,1786162000.0,1103618000.0,2.03,2826180000.0,1786162000.0,543984000.0,1481145000.0,2027069000.0,672899000.0,4884716000.0,29616170000.0,34500880000.0,6579000.0,3378746000.0,5903232000.0,13402240000.0,16780980000.0,17719900000.0,1040018000.0,2336469000.0,-2095932000.0,-2018553000.0,-67986000.0,-69865000.0,99.02
2014-12-31,4645497000.0,0.0,4645497000.0,1805886000.0,1226652000.0,444588000.0,0.8200000000000001,2240582000.0,1226651000.0,543443000.0,2087213000.0,1850932000.0,706597000.0,5416021000.0,29346670000.0,34762690000.0,6579000.0,3384308000.0,5903354000.0,13665800000.0,17050110000.0,17712580000.0,1013930000.0,2110438000.0,-1528595000.0,-1382448000.0,-92025000.0,-83671000.0,92.07
2015-03-31,2318538000.0,0.0,2318538000.0,1455190000.0,-172994600.0,-169748000.0,-0.31,739793400.0,-172994600.0,544998000.0,2127419000.0,1327702000.0,764206000.0,4793368000.0,29899090000.0,34692450000.0,506579000.0,3094752000.0,6393690000.0,14127200000.0,17221960000.0,17470500000.0,912788000.0,960547000.0,-1544481000.0,-1804222000.0,-91661000.0,892572000.0,91.69
2015-06-30,2469701000.0,0.0,2469701000.0,1409125000.0,39626000.0,5268000.0,0.01,948853000.0,39626000.0,545504000.0,1367395000.0,1353296000.0,661162000.0,3737718000.0,30146380000.0,33884100000.0,6579000.0,2277581000.0,6393885000.0,14179270000.0,16456850000.0,17427240000.0,909227000.0,887373000.0,-1152798000.0,-1062960000.0,-91469000.0,-585499000.0,87.55
2015-09-30,2172428000.0,0.0,2172428000.0,1334251000.0,-6222957000.0,-4075739000.0,-7.47,-5500785000.0,-6222957000.0,545920000.0,742689000.0,1176778000.0,660252000.0,2824958000.0,24452290000.0,27277250000.0,36279000.0,2046961000.0,6393931000.0,11946060000.0,13993020000.0,13284220000.0,722172000.0,1131432000.0,-1328796000.0,-1678216000.0,-91447000.0,-76370000.0,72.8
2015-12-31,1796761000.0,0.0,1796761000.0,1153511000.0,-329753400.0,-284296100.0,-0.52,439703600.0,-329753400.0,545697000.0,718506000.0,971314000.0,598935000.0,2592244000.0,24378230000.0,26970470000.0,6579000.0,1819287000.0,6648911000.0,12208150000.0,14027430000.0,12943040000.0,769457000.0,615813000.0,-794281000.0,-774858000.0,-92428000.0,140218000.0,70.79
2016-03-31,1354349000.0,0.0,1354349000.0,961907000.0,-638140900.0,-471776000.0,-0.86,290750100.0,-638140900.0,546715000.0,668481000.0,819670000.0,538926000.0,2365812000.0,23972610000.0,26338420000.0,6579000.0,1547972000.0,6979029000.0,12384960000.0,13932930000.0,12405490000.0,928891000.0,291591000.0,-566524000.0,-568752000.0,-92170000.0,226064000.0,72.58
2016-06-30,1775740000.0,0.0,1775740000.0,1098321000.0,-288173100.0,-292558000.0,-0.53,574317900.0,-288173100.0,547335000.0,779722000.0,940472000.0,495826000.0,2450121000.0,23380420000.0,25830540000.0,6579000.0,1712261000.0,6979286000.0,12061580000.0,13773840000.0,12056700000.0,862491000.0,503146000.0,-369079900.0,-312375000.0,-91866000.0,-89817000.0,83.42
2016-09-30,2118504000.0,0.0,2118504000.0,1198638000.0,-193480000.0,-190000000.0,-0.35000000000000003,706031100.0,-193480000.0,547838000.0,1048727000.0,920367000.0,429667000.0,2737764000.0,22817160000.0,25554920000.0,6579000.0,1732963000.0,6979538000.0,12023650000.0,13756610000.0,11798310000.0,899511000.0,759581000.0,-448621100.0,-382484000.0,-92690000.0,-108083000.0,96.71
