,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,124198000.0,77937000.0,46261000.0,27083000.0,15536000.0,12680000.0,0.28,19153000.0,15536000.0,44812000.0,104392000.0,127427000.0,255397000.0,101349000.0,356746000.0,0.0,48367000.0,0.0,4920000.0,53287000.0,303459000.0,3617000.0,-11738000.0,-2887000.0,-6474000.0,0.0,4039000.0,23.23
2013-06-30,133184000.0,83547000.0,49637000.0,28541000.0,17535000.0,14118000.0,0.31,21389000.0,17535000.0,45486000.0,108512000.0,140497000.0,273469000.0,101048000.0,374517000.0,0.0,47340000.0,0.0,1944000.0,49284000.0,325233000.0,3854000.0,7958000.0,-6111000.0,-7512000.0,0.0,4564000.0,27.18
2013-09-30,140150000.0,88539000.0,51611000.0,27893000.0,20230000.0,16437000.0,0.36,24136000.0,20230000.0,46162000.0,123196000.0,152568000.0,305196000.0,100268000.0,405464000.0,0.0,52115000.0,0.0,1737000.0,53852000.0,351612000.0,3906000.0,15575000.0,-1930000.0,-4889000.0,0.0,4104000.0,34.5
2013-12-31,157585000.0,97627000.0,59958000.0,32980000.0,23192100.0,18759000.0,0.4,26935100.0,23192000.0,45754000.0,170693000.0,138539000.0,330968000.0,101909000.0,432877000.0,0.0,54664000.0,0.0,2112000.0,56776000.0,376101000.0,3743000.0,46430000.0,-2432000.0,-2945000.0,0.0,2794000.0,34.94
2014-03-31,160384000.0,102454000.0,57930000.0,32359000.0,21857000.0,17364000.0,0.37,25546000.0,21857000.0,46797000.0,180950000.0,148723000.0,352264000.0,106373000.0,458637000.0,0.0,60455000.0,0.0,1902000.0,62357000.0,396280000.0,3689000.0,16188000.0,-2157000.0,-11676000.0,0.0,3134000.0,32.9
2014-06-30,174695000.0,110102000.0,64593000.0,38671000.0,18476000.0,14814000.0,0.31,23927000.0,18476000.0,47068000.0,176217000.0,176059000.0,374839000.0,163125000.0,537964000.0,0.0,77643000.0,0.0,33674000.0,111317000.0,426647000.0,5451000.0,16839000.0,-2288000.0,-21535000.0,0.0,4440000.0,43.75
2014-09-30,192764000.0,122509000.0,70255000.0,42875000.0,21835000.0,19040000.0,0.4,27345000.0,21835000.0,47315000.0,192307000.0,184866000.0,401940000.0,163091000.0,565031000.0,0.0,84068000.0,0.0,35263000.0,119331000.0,445700000.0,5510000.0,23142000.0,-3719000.0,-5197000.0,0.0,1785000.0,43.79
2014-12-31,202183900.0,121465000.0,80718900.0,49761000.0,24015000.0,18423000.0,0.39,26848000.0,24015000.0,47189000.0,220534000.0,180334000.0,415087000.0,178939000.0,594026000.0,0.0,125413000.0,0.0,4563000.0,129976000.0,464050000.0,2833000.0,48705000.0,-3752000.0,-14521000.0,0.0,988000.0,47.75
2015-03-31,200045000.0,125887000.0,74158000.0,46938000.0,22820000.0,14714000.0,0.31,27020000.0,22820000.0,47886000.0,222363000.0,192747000.0,433815000.0,175719000.0,609534000.0,0.0,117597000.0,0.0,4106000.0,121703000.0,487831000.0,4200000.0,6871000.0,-1873000.0,-33882000.0,0.0,1490000.0,61.29
2015-06-30,217781000.0,134256000.0,83525000.0,55976000.0,23606000.0,19231000.0,0.4,27509000.0,23606000.0,48584000.0,205717000.0,227207000.0,456966000.0,179527000.0,636493000.0,0.0,90001000.0,0.0,2432000.0,92433000.0,544060000.0,3903000.0,2163000.0,-3469000.0,-5597000.0,0.0,-15427000.0,71.23
