,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,516134000.0,258591000.0,257543000.0,149094000.0,104787000.0,32843000.0,0.73,217680000.0,104787000.0,49029000.0,1761786000.0,185163000.0,2005857000.0,5607076000.0,7612933000.0,47350000.0,1265710000.0,3710105000.0,4004962000.0,5270672000.0,2342261000.0,112893000.0,84181000.0,-75667000.0,-1142540000.0,0.0,1496760000.0,216.31
2013-06-30,528871000.0,267109000.0,261762000.0,148110000.0,115963000.0,-25816000.0,-0.58,230967000.0,115963000.0,49379000.0,840955900.0,201336000.0,1097609000.0,5980240000.0,7077849000.0,40360000.0,607535000.0,3816057000.0,4158439000.0,4765974000.0,2311875000.0,115004000.0,147159000.0,-125823000.0,537547000.0,0.0,-850034000.0,184.72
2013-09-30,543084000.0,268960000.0,274124000.0,158493000.0,115193000.0,42471000.0,0.74,230994000.0,115193000.0,49555000.0,745780000.0,199644000.0,1004774000.0,6384270000.0,7389044000.0,40185000.0,582225000.0,3989412000.0,4353823000.0,4936048000.0,2452996000.0,115801000.0,206562000.0,-243760000.0,-330958000.0,0.0,-1178000.0,183.65
2013-12-31,564677200.0,269743000.0,294934200.0,165716100.0,124989300.0,45187000.0,0.91,237630200.0,124989300.0,49438000.0,631702000.0,184840000.0,888660000.0,6603699000.0,7492359000.0,53508000.0,546504000.0,4087934000.0,4486791000.0,5033295000.0,2459064000.0,112641000.0,166706000.0,-201488000.0,-233362000.0,0.0,-70641000.0,177.45
2014-03-31,580053000.0,287525000.0,292528000.0,170731000.0,121612000.0,41387000.0,0.8300000000000001,241949000.0,121612000.0,49598000.0,817548000.0,213560000.0,1086018000.0,6644580000.0,7730598000.0,54122000.0,595156000.0,4207369000.0,4618436000.0,5213592000.0,2517006000.0,120337000.0,171718000.0,-122698000.0,98885000.0,0.0,-37282000.0,184.84
2014-06-30,605161000.0,292859000.0,312302000.0,186929000.0,124697000.0,11328000.0,0.22,245061000.0,124697000.0,51332000.0,615659000.0,237831000.0,954534000.0,6685077000.0,7639611000.0,54470000.0,563315000.0,3863328000.0,4393237000.0,4956552000.0,2683059000.0,120364000.0,98964000.0,-159816000.0,91503000.0,0.0,-278928000.0,210.09
2014-09-30,620441000.0,304052000.0,316389000.0,181539000.0,135131000.0,42841000.0,0.81,258997000.0,135131000.0,53137000.0,485040000.0,275264000.0,857711000.0,6604290000.0,7462000000.0,57767000.0,668200000.0,3905756000.0,4196120000.0,4864320000.0,2597680000.0,123866000.0,216441000.0,-156003000.0,-6316000.0,0.0,-256239000.0,212.48
2014-12-31,638121000.0,313449000.0,324672000.0,194920000.0,127826000.0,-355103000.0,-6.42,263617000.0,127825900.0,52359000.0,1143369000.0,262570000.0,1490943000.0,6291035000.0,7781978000.0,59466000.0,643757000.0,4563126000.0,4868090000.0,5511847000.0,2270131000.0,135791000.0,202297000.0,-238477000.0,-619911000.0,-83266000.0,679850000.0,226.73
2015-03-31,643174000.0,298313000.0,344861000.0,192256000.0,151449000.0,76452000.0,0.18,276859000.0,151449000.0,56661000.0,1059052000.0,277900000.0,1439544000.0,6288149000.0,7727694000.0,54939000.0,666355000.0,4587892000.0,4899610000.0,5565965000.0,2161729000.0,125410000.0,232811000.0,-188402000.0,-199834000.0,-96619000.0,-98794000.0,232.85
2015-06-30,665582000.0,315757000.0,349825000.0,200826000.0,139132900.0,59459000.0,1.04,270319900.0,139132900.0,56935000.0,954533000.0,293855000.0,1330118000.0,6495900000.0,7826018000.0,208821000.0,817732000.0,4474377000.0,4805696000.0,5623428000.0,2202590000.0,131187000.0,212463000.0,-221342000.0,-298542000.0,-96349000.0,-119562000.0,254.0
2015-09-30,686649000.0,325468000.0,361181000.0,206946000.0,140883000.0,41132000.0,0.72,277258000.0,140883000.0,57082000.0,828894000.0,293125000.0,1242023000.0,6463643000.0,7705666000.0,206559000.0,1464114000.0,4403078000.0,4752899000.0,6217013000.0,1488653000.0,136375000.0,214401000.0,-216046000.0,-107555000.0,-98041000.0,-101412000.0,273.4
2015-12-31,730462000.0,351968000.0,378494000.0,225268100.0,135877100.0,10731000.0,0.18,284535200.0,135877100.0,57790000.0,2721130000.0,291964000.0,3259280000.0,7097415000.0,10356700000.0,916357000.0,1656354000.0,5564542000.0,5954955000.0,7611309000.0,2745386000.0,148658000.0,235148000.0,-280612000.0,-31866000.0,-230452000.0,2192920000.0,302.4
2016-03-31,844156000.0,427680000.0,416476000.0,272494000.0,112688000.0,-31111000.0,-0.46,318730000.0,112688000.0,68132000.0,649531000.0,326440000.0,2168341000.0,11327490000.0,13495830000.0,635347000.0,1580195000.0,6498119000.0,7096535000.0,8676730000.0,4819105000.0,206042000.0,104834000.0,-191283000.0,-1789190000.0,-124836000.0,-376932000.0,330.71
2016-06-30,900510000.0,456967000.0,443543000.0,276294000.0,151655000.0,44711000.0,0.64,369223000.0,151655000.0,69729000.0,489899000.0,346994000.0,2095429000.0,11173620000.0,13269040000.0,511331000.0,1559779000.0,6397283000.0,7003801000.0,8563580000.0,4705465000.0,217568000.0,278264000.0,-261577000.0,-252813000.0,-121858000.0,-169361000.0,387.73
2016-09-30,924676000.0,470302000.0,454374000.0,292175000.0,169941000.0,51450000.0,0.73,387450000.0,169941000.0,71190000.0,1013663000.0,377528000.0,1660484000.0,11437070000.0,13097560000.0,518985000.0,1495566000.0,6314205000.0,6978281000.0,8473847000.0,4623710000.0,217509000.0,335637000.0,525895000.0,357871000.0,-127457000.0,-192571000.0,360.25
2016-12-31,942647000.0,465921000.0,476726000.0,292340000.0,184454800.0,61750000.0,0.86,399679800.0,184455000.0,70117000.0,751885000.0,396245000.0,1467526000.0,11140840000.0,12608370000.0,67928000.0,1028695000.0,6590599000.0,7213847000.0,8242542000.0,4365829000.0,215225000.0,300618000.0,-362936100.0,-361536000.0,-125312000.0,-158201000.0,357.41
2017-03-31,949525000.0,468961000.0,480564000.0,310326000.0,167213000.0,42062000.0,0.58,395799000.0,167213000.0,72773000.0,4938001000.0,429990000.0,5574017000.0,11610670000.0,17184680000.0,80799000.0,1020068000.0,9001368000.0,9646777000.0,10666840000.0,6517839000.0,228586000.0,247371000.0,-271214000.0,-314359000.0,-148083000.0,4225246000.0,400.37
2017-06-30,1066421000.0,522203000.0,544218000.0,332921000.0,184895000.0,45805000.0,0.59,443811000.0,184895000.0,77923000.0,1068019000.0,545734000.0,1849624000.0,15624310000.0,17473940000.0,83022000.0,1091435000.0,9143160000.0,9858839000.0,10950270000.0,6523663000.0,258916000.0,306473000.0,-355413000.0,-3938723000.0,-156290000.0,-212897000.0,429.16
2017-09-30,1152261000.0,582360000.0,569901000.0,342955000.0,224863000.0,79900000.0,1.02,507663900.0,224863000.0,78055000.0,1629560000.0,597242000.0,2443808000.0,15864690000.0,18308500000.0,84455000.0,1156624000.0,9880975000.0,10609660000.0,11766280000.0,6542217000.0,282801000.0,390510000.0,-336618000.0,-363748000.0,-159541000.0,496625000.0,446.3
2017-12-31,1200221000.0,619624900.0,580596100.0,341428000.0,232043200.0,65215000.0,0.8300000000000001,528669200.0,232043400.0,76854000.0,1440788000.0,576313000.0,2249128000.0,16442330000.0,18691460000.0,64491000.0,1242734000.0,9937223000.0,10598930000.0,11841670000.0,6849790000.0,296626000.0,494879000.0,-462796000.0,-783996000.0,-157583000.0,98886000.0,453.22
2018-03-31,1215877000.0,622430000.0,593447000.0,362933000.0,225875000.0,62894000.0,0.79,537542000.0,225875000.0,79241000.0,2050841000.0,645468000.0,2943484000.0,16998450000.0,19941930000.0,79699000.0,1246475000.0,10946750000.0,11554900000.0,12801380000.0,7140551000.0,311667000.0,300907000.0,-364429000.0,-364926000.0,-186999000.0,674025000.0,418.14
2018-06-30,1261943000.0,651801000.0,610142000.0,364691000.0,215038000.0,67618000.0,0.85,525731000.0,215038000.0,79479000.0,984507000.0,616472000.0,1850825000.0,18219460000.0,20070290000.0,75224000.0,1433620000.0,11078690000.0,11712140000.0,13145760000.0,6924527000.0,310693000.0,538728000.0,-547321000.0,-1365074000.0,-181760000.0,-206282000.0,429.89
